Day,Timepoint,dateTime,solarPV,wind
1,1,1/1/2014 0:00,0,0
1,2,1/1/2014 1:00,0,0
1,3,1/1/2014 2:00,0,0
1,4,1/1/2014 3:00,0,0
1,5,1/1/2014 4:00,0,0
1,6,1/1/2014 5:00,0,0
1,7,1/1/2014 6:00,0,0
1,8,1/1/2014 7:00,0.078815597,0
1,9,1/1/2014 8:00,0.404268627,0
1,10,1/1/2014 9:00,0.559214709,0
1,11,1/1/2014 10:00,0.631524624,0
1,12,1/1/2014 11:00,0.656374298,0
1,13,1/1/2014 12:00,0.651955542,0
1,14,1/1/2014 13:00,0.621103375,0
1,15,1/1/2014 14:00,0.596443068,0
1,16,1/1/2014 15:00,0.536692015,0
1,17,1/1/2014 16:00,0.369770961,0
1,18,1/1/2014 17:00,0.03949875,0
1,19,1/1/2014 18:00,0,0
1,20,1/1/2014 19:00,0,0
1,21,1/1/2014 20:00,0,0
1,22,1/1/2014 21:00,0,0
1,23,1/1/2014 22:00,0,0
1,24,1/1/2014 23:00,0,0
2,25,1/2/2014 0:00,0,0
2,26,1/2/2014 1:00,0,0
2,27,1/2/2014 2:00,0,0
2,28,1/2/2014 3:00,0,0
2,29,1/2/2014 4:00,0,0
2,30,1/2/2014 5:00,0,0
2,31,1/2/2014 6:00,0,0
2,32,1/2/2014 7:00,0.075249996,0
2,33,1/2/2014 8:00,0.407285397,0
2,34,1/2/2014 9:00,0.55749417,0
2,35,1/2/2014 10:00,0.628609527,0
2,36,1/2/2014 11:00,0.660191421,0
2,37,1/2/2014 12:00,0.651966228,0
2,38,1/2/2014 13:00,0.640979008,0
2,39,1/2/2014 14:00,0.629254088,0
2,40,1/2/2014 15:00,0.564953566,0
2,41,1/2/2014 16:00,0.400632954,0
2,42,1/2/2014 17:00,0.043092627,0
2,43,1/2/2014 18:00,0,0
2,44,1/2/2014 19:00,0,0
2,45,1/2/2014 20:00,0,0
2,46,1/2/2014 21:00,0,0
2,47,1/2/2014 22:00,0,0
2,48,1/2/2014 23:00,0,0
3,49,1/3/2014 0:00,0,0
3,50,1/3/2014 1:00,0,0
3,51,1/3/2014 2:00,0,0
3,52,1/3/2014 3:00,0,0
3,53,1/3/2014 4:00,0,0
3,54,1/3/2014 5:00,0,0
3,55,1/3/2014 6:00,0,0
3,56,1/3/2014 7:00,0.074209844,0
3,57,1/3/2014 8:00,0.409791011,0
3,58,1/3/2014 9:00,0.559691365,0
3,59,1/3/2014 10:00,0.649417521,0
3,60,1/3/2014 11:00,0.68244818,0
3,61,1/3/2014 12:00,0.691790328,0
3,62,1/3/2014 13:00,0.684505383,0
3,63,1/3/2014 14:00,0.650994999,0
3,64,1/3/2014 15:00,0.572246358,0
3,65,1/3/2014 16:00,0.400616317,0
3,66,1/3/2014 17:00,0.048111152,0
3,67,1/3/2014 18:00,0,0
3,68,1/3/2014 19:00,0,0
3,69,1/3/2014 20:00,0,0
3,70,1/3/2014 21:00,0,0
3,71,1/3/2014 22:00,0,0
3,72,1/3/2014 23:00,0,0
4,73,1/4/2014 0:00,0,0
4,74,1/4/2014 1:00,0,0
4,75,1/4/2014 2:00,0,0
4,76,1/4/2014 3:00,0,0
4,77,1/4/2014 4:00,0,0
4,78,1/4/2014 5:00,0,0
4,79,1/4/2014 6:00,0,0
4,80,1/4/2014 7:00,0.069697617,0
4,81,1/4/2014 8:00,0.42349557,0
