Day,Timepoint,dateTime,solarPV,wind
1,1,1/1/2014 0:00,0,0
1,2,1/1/2014 1:00,0,0
1,3,1/1/2014 2:00,0,0
1,4,1/1/2014 3:00,0,0
1,5,1/1/2014 4:00,0,0
1,6,1/1/2014 5:00,0,0
1,7,1/1/2014 6:00,0,0
1,8,1/1/2014 7:00,0.03414216,0
1,9,1/1/2014 8:00,0.212145366,0
1,10,1/1/2014 9:00,0.3909851,0
1,11,1/1/2014 10:00,0.533570701,0
1,12,1/1/2014 11:00,0.619072827,0
1,13,1/1/2014 12:00,0.649216017,0
1,14,1/1/2014 13:00,0.62199554,0
1,15,1/1/2014 14:00,0.572362327,0
1,16,1/1/2014 15:00,0.464411561,0
1,17,1/1/2014 16:00,0.273042276,0
1,18,1/1/2014 17:00,0.032818435,0
1,19,1/1/2014 18:00,0,0
1,20,1/1/2014 19:00,0,0
1,21,1/1/2014 20:00,0,0
1,22,1/1/2014 21:00,0,0
1,23,1/1/2014 22:00,0,0
1,24,1/1/2014 23:00,0,0
2,25,1/2/2014 0:00,0,0
2,26,1/2/2014 1:00,0,0
2,27,1/2/2014 2:00,0,0
2,28,1/2/2014 3:00,0,0
2,29,1/2/2014 4:00,0,0
2,30,1/2/2014 5:00,0,0
2,31,1/2/2014 6:00,0,0
2,32,1/2/2014 7:00,0.032576673,0
2,33,1/2/2014 8:00,0.212264877,0
2,34,1/2/2014 9:00,0.388346215,0
2,35,1/2/2014 10:00,0.530607181,0
2,36,1/2/2014 11:00,0.622255216,0
2,37,1/2/2014 12:00,0.649359901,0
2,38,1/2/2014 13:00,0.640849185,0
2,39,1/2/2014 14:00,0.59860305,0
2,40,1/2/2014 15:00,0.481613166,0
2,41,1/2/2014 16:00,0.288262334,0
2,42,1/2/2014 17:00,0.035415901,0
2,43,1/2/2014 18:00,0,0
2,44,1/2/2014 19:00,0,0
2,45,1/2/2014 20:00,0,0
2,46,1/2/2014 21:00,0,0
2,47,1/2/2014 22:00,0,0
2,48,1/2/2014 23:00,0,0
3,49,1/3/2014 0:00,0,0
3,50,1/3/2014 1:00,0,0
3,51,1/3/2014 2:00,0,0
3,52,1/3/2014 3:00,0,0
3,53,1/3/2014 4:00,0,0
3,54,1/3/2014 5:00,0,0
3,55,1/3/2014 6:00,0,0
3,56,1/3/2014 7:00,0.03240679,0
3,57,1/3/2014 8:00,0.212524463,0
3,58,1/3/2014 9:00,0.389535151,0
3,59,1/3/2014 10:00,0.545467405,0
3,60,1/3/2014 11:00,0.642461695,0
3,61,1/3/2014 12:00,0.688718897,0
3,62,1/3/2014 13:00,0.683737654,0
3,63,1/3/2014 14:00,0.618722271,0
3,64,1/3/2014 15:00,0.489486582,0
3,65,1/3/2014 16:00,0.289507299,0
3,66,1/3/2014 17:00,0.037973534,0
3,67,1/3/2014 18:00,0,0
3,68,1/3/2014 19:00,0,0
3,69,1/3/2014 20:00,0,0
3,70,1/3/2014 21:00,0,0
3,71,1/3/2014 22:00,0,0
3,72,1/3/2014 23:00,0,0
4,73,1/4/2014 0:00,0,0
4,74,1/4/2014 1:00,0,0
4,75,1/4/2014 2:00,0,0
4,76,1/4/2014 3:00,0,0
4,77,1/4/2014 4:00,0,0
4,78,1/4/2014 5:00,0,0
4,79,1/4/2014 6:00,0,0
4,80,1/4/2014 7:00,0.031486774,0
4,81,1/4/2014 8:00,0.217095904,0
