generator,gen_capacity,var_cost,type
GEN_MOCK_1,100,1,mock
GEN_MOCK_2,100,2,mock
GEN_MOCK_3,100,3,mock
GEN_MOCK_4,100,4,mock
GEN_MOCK_5,100,5,mock
GEN_MOCK_6,100,6,mock
GEN_MOCK_7,100,7,mock
GEN_MOCK_8,100,8,mock
GEN_MOCK_9,100,9,mock
GEN_MOCK_10,100,10,mock
GEN_MOCK_11,100,11,mock
GEN_MOCK_12,100,12,mock
GEN_MOCK_13,100,13,mock
GEN_MOCK_14,100,14,mock
GEN_MOCK_15,100,15,mock
GEN_MOCK_16,100,16,mock
GEN_MOCK_17,100,17,mock
GEN_MOCK_18,100,18,mock
GEN_MOCK_19,100,19,mock
GEN_MOCK_20,100,20,mock
GEN_MOCK_21,100,21,mock
GEN_MOCK_22,100,22,mock
GEN_MOCK_23,100,23,mock
GEN_MOCK_24,100,24,mock
GEN_MOCK_25,100,25,mock
GEN_MOCK_26,100,26,mock
GEN_MOCK_27,100,27,mock
GEN_MOCK_28,100,28,mock
GEN_MOCK_29,100,29,mock
GEN_MOCK_30,100,30,mock
GEN_MOCK_31,100,31,mock
GEN_MOCK_32,100,32,mock
GEN_MOCK_33,100,33,mock
GEN_MOCK_34,100,34,mock
GEN_MOCK_35,100,35,mock
GEN_MOCK_36,100,36,mock
GEN_MOCK_37,100,37,mock
GEN_MOCK_38,100,38,mock
GEN_MOCK_39,100,39,mock
GEN_MOCK_40,100,40,mock
GEN_MOCK_41,100,41,mock
GEN_MOCK_42,100,42,mock
GEN_MOCK_43,100,43,mock
GEN_MOCK_44,100,44,mock
GEN_MOCK_45,100,45,mock
GEN_MOCK_46,100,46,mock
GEN_MOCK_47,100,47,mock
GEN_MOCK_48,100,48,mock
GEN_MOCK_49,100,49,mock
GEN_MOCK_50,100,50,mock
GEN_MOCK_51,100,51,mock
GEN_MOCK_52,100,52,mock
GEN_MOCK_53,100,53,mock
GEN_MOCK_54,100,54,mock
GEN_MOCK_55,100,55,mock
GEN_MOCK_56,100,56,mock
GEN_MOCK_57,100,57,mock
GEN_MOCK_58,100,58,mock
GEN_MOCK_59,100,59,mock
GEN_MOCK_60,100,60,mock
GEN_MOCK_61,100,61,mock
GEN_MOCK_62,100,62,mock
GEN_MOCK_63,100,63,mock
GEN_MOCK_64,100,64,mock
GEN_MOCK_65,100,65,mock
GEN_MOCK_66,100,66,mock
GEN_MOCK_67,100,67,mock
GEN_MOCK_68,100,68,mock
GEN_MOCK_69,100,69,mock
GEN_MOCK_70,100,70,mock
GEN_MOCK_71,100,71,mock
GEN_MOCK_72,100,72,mock
GEN_MOCK_73,100,73,mock
GEN_MOCK_74,100,74,mock
GEN_MOCK_75,100,75,mock
GEN_MOCK_76,100,76,mock
GEN_MOCK_77,100,77,mock
GEN_MOCK_78,100,78,mock
GEN_MOCK_79,100,79,mock
GEN_MOCK_80,100,80,mock
GEN_MOCK_81,100,81,mock
GEN_MOCK_82,100,82,mock
GEN_MOCK_83,100,83,mock
GEN_MOCK_84,100,84,mock
GEN_MOCK_85,100,85,mock
GEN_MOCK_86,100,86,mock
GEN_MOCK_87,100,87,mock
GEN_MOCK_88,100,88,mock
GEN_MOCK_89,100,89,mock
GEN_MOCK_90,100,90,mock
GEN_MOCK_91,100,91,mock
GEN_MOCK_92,100,92,mock
GEN_MOCK_93,100,93,mock
GEN_MOCK_94,100,94,mock
GEN_MOCK_95,100,95,mock
GEN_MOCK_96,100,96,mock
GEN_MOCK_97,100,97,mock
GEN_MOCK_98,100,98,mock
GEN_MOCK_99,100,99,mock
GEN_MOCK_100,100,100,mock
GEN_MOCK_101,100,101,mock
GEN_MOCK_102,100,102,mock
GEN_MOCK_103,100,103,mock
GEN_MOCK_104,100,104,mock
GEN_MOCK_105,100,105,mock
GEN_MOCK_106,100,106,mock
GEN_MOCK_107,100,107,mock
GEN_MOCK_108,100,108,mock
GEN_MOCK_109,100,109,mock
GEN_MOCK_110,100,110,mock
GEN_MOCK_111,100,111,mock
GEN_MOCK_112,100,112,mock
GEN_MOCK_113,100,113,mock
GEN_MOCK_114,100,114,mock
GEN_MOCK_115,100,115,mock
GEN_MOCK_116,100,116,mock
GEN_MOCK_117,100,117,mock
GEN_MOCK_118,100,118,mock
GEN_MOCK_119,100,119,mock
GEN_MOCK_120,100,120,mock
GEN_MOCK_121,100,121,mock
GEN_MOCK_122,100,122,mock
GEN_MOCK_123,100,123,mock
GEN_MOCK_124,100,124,mock
GEN_MOCK_125,100,125,mock
GEN_MOCK_126,100,126,mock
GEN_MOCK_127,100,127,mock
GEN_MOCK_128,100,128,mock
GEN_MOCK_129,100,129,mock
GEN_MOCK_130,100,130,mock
GEN_MOCK_131,100,131,mock
GEN_MOCK_132,100,132,mock
GEN_MOCK_133,100,133,mock
GEN_MOCK_134,100,134,mock
GEN_MOCK_135,100,135,mock
GEN_MOCK_136,100,136,mock
GEN_MOCK_137,100,137,mock
GEN_MOCK_138,100,138,mock
GEN_MOCK_139,100,139,mock
GEN_MOCK_140,100,140,mock
GEN_MOCK_141,100,141,mock
GEN_MOCK_142,100,142,mock
GEN_MOCK_143,100,143,mock
