"generator","gen_capacity","var_cost","type"
"GEN_122073_FARIDAB2_220_G1",137,2840,"gas_ccgt"
"GEN_122073_FARIDAB2_220_G2",137,2840,"gas_ccgt"
"GEN_122073_FARIDAB2_220_S1",156,2840,"gas_ccgt"
"GEN_131116_RAMGARH21_132_1",35.5,2520,"gas_ccgt"
"GEN_131116_RAMGARH21_132_2",37.5,2520,"gas_ccgt"
"GEN_131116_RAMGARH21_132_3",37.5,2520,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_1",110,3020,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_2",110,3020,"gas_ccgt"
"GEN_132021_DHOLPU-4_220_3",110,3020,"gas_ccgt"
"GEN_132113_RAMGARH_220_4",50,2520,"gas_ccgt"
"GEN_132113_RAMGARH_220_5",110,2520,"gas_ccgt"
"GEN_134029_ANTA2_220_G1",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_G2",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_G3",88.7,3260,"gas_ccgt"
"GEN_134029_ANTA2_220_S1",153.2,3260,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G1",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G2",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G3",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G4",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G5",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_G6",30,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S1",34,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S2",34,2040,"gas_ccgt"
"GEN_140001_DEL_GAS6_66_S3",34,2040,"gas_ccgt"
"GEN_140005_RAJGHATG_33_1",67.5,3781,"gas_ccgt"
"GEN_140005_RAJGHATG_33_2",67.5,3781,"gas_ccgt"
"GEN_142003_PRAGATI_BDR_220_G1",104.6,4420,"gas_ccgt"
"GEN_142007_PRAGATI_MND_220_G2",104.6,4420,"gas_ccgt"
"GEN_142007_PRAGATI_MND_220_S1",121.2,4420,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G1",216,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G2",216,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G3",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_G4",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_S1",250,3080,"gas_ccgt"
"GEN_144000_BAWANA-G_400_S2",250,3080,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G1",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G2",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G3",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_G4",130.19,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_S1",154.51,4170,"gas_ccgt"
"GEN_152103_DADRI_G2_220_S2",154.51,4170,"gas_ccgt"
"GEN_154060_AURYA2_220_G1",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G2",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G3",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_G4",111.19,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_S1",109.3,4360,"gas_ccgt"
"GEN_154060_AURYA2_220_S2",109.3,4360,"gas_ccgt"
"GEN_181027_PAMPORE1_132_1",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_2",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_3",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_4",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_5",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_6",25,15000,"gas_ccgt"
"GEN_181027_PAMPORE1_132_7",25,15000,"gas_ccgt"
"GEN_312132_KAWAS2_220_G1",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G2",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G3",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_G4",116,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_S1",106,3600,"gas_ccgt"
"GEN_312132_KAWAS2_220_S2",116,3600,"gas_ccgt"
"GEN_312133_GANCS2_220_G1",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_G2",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_G3",167,5500,"gas_ccgt"
"GEN_312133_GANCS2_220_ST",236.9,5500,"gas_ccgt"
"GEN_412022_VIJESM-I_220_1",33,3819.08362810132,"gas_ccgt"
"GEN_412022_VIJESM-I_220_2",33,3819.08362810132,"gas_ccgt"
"GEN_412022_VIJESM-I_220_3",34,3819.08362810132,"gas_ccgt"
"GEN_412041_JEGRUADU_220_1",45.8,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_2",45.8,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_3",48.9,2620,"gas_ccgt"
"GEN_412041_JEGRUADU_220_4",75.5,2620,"gas_ccgt"
"GEN_412042_SPECTRUM_220_1",46.8,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_2",46.1,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_3",46.1,2761.5625,"gas_ccgt"
"GEN_412042_SPECTRUM_220_4",68.8,2761.5625,"gas_ccgt"
"GEN_412045_VIJHE-II_220_1",112.5,3819.08362810132,"gas_ccgt"
"GEN_412045_VIJHE-II_220_2",59.5,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_1",115,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_2",115,3819.08362810132,"gas_ccgt"
"GEN_412049_KONAPGS_220_3",125,3819.08362810132,"gas_ccgt"
"GEN_412057_RELIANCE_220_1",140,5450,"gas_ccgt"
"GEN_412057_RELIANCE_220_2",80,5450,"gas_ccgt"
"GEN_412071_GMRBORGE_220_1",237,3819.08362810132,"gas_ccgt"
"GEN_412072_VSP_220_1",286.5,3819.08362810132,"gas_ccgt"
"GEN_414015_GMR_400_1",233,5280,"gas_ccgt"
"GEN_414015_GMR_400_2",137,5280,"gas_ccgt"
"GEN_414016_GAUTAMI_400_1",145,6580,"gas_ccgt"
"GEN_414016_GAUTAMI_400_2",145,6580,"gas_ccgt"
"GEN_414016_GAUTAMI_400_3",174,6580,"gas_ccgt"
"GEN_414017_KONSEEMA_400_1",146,3819.08362810132,"gas_ccgt"
"GEN_414017_KONSEEMA_400_2",140,3819.08362810132,"gas_ccgt"
"GEN_414017_KONSEEMA_400_3",165,3819.08362810132,"gas_ccgt"
"GEN_414018_GVK-II_400_1",145,2635.21126760563,"gas_ccgt"
"GEN_414018_GVK-II_400_2",75,2635.21126760563,"gas_ccgt"
"GEN_414019_LANCO_400_1",233,2282.95819935691,"gas_ccgt"
"GEN_414019_LANCO_400_2",133,2282.95819935691,"gas_ccgt"
"GEN_441057_LNCO_TAJ_110_1",74.4,2347.46,"gas_ccgt"
"GEN_441057_LNCO_TAJ_110_2",38.8,2347.46,"gas_ccgt"
"GEN_441059_PINR_EL1_110_1",85,2809.16,"gas_ccgt"
"GEN_441060_PINR_EL2_110_1",56.6,2809.16,"gas_ccgt"
"GEN_441081_KKGTP_110_1",70,2600,"gas_ccgt"
"GEN_441081_KKGTP_110_2",37.88,2600,"gas_ccgt"
"GEN_441181_KUTGTP_110_1",64,2600,"gas_ccgt"
"GEN_441181_KUTGTP_110_2",37,2600,"gas_ccgt"
"GEN_442062_PPNALUR2_230_1",330,8540,"gas_ccgt"
"GEN_451115_KPCL_110_1",7.3,7000,"gas_ccgt"
"GEN_451115_KPCL_110_2",7.3,7000,"gas_ccgt"
"GEN_451115_KPCL_110_3",7.3,7000,"gas_ccgt"
"GEN_521059_NTPS1_132_5",24,3540,"gas_ccgt"
"GEN_522014_AGBPP2_220_1",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_2",35.68,4160,"gas_ccgt"
"GEN_522014_AGBPP2_220_3",35.68,4160,"gas_ccgt"
