generator,gen_capacity,var_cost,type
COAL-NEW-1,660,2900,coal
COAL-NEW-2,660,2901,coal
COAL-NEW-3,660,2902,coal
COAL-NEW-4,660,2903,coal
COAL-NEW-5,660,2904,coal
COAL-NEW-6,660,2905,coal
COAL-NEW-7,660,2906,coal
COAL-NEW-8,660,2907,coal
COAL-NEW-9,660,2908,coal
COAL-NEW-10,660,2909,coal
COAL-NEW-11,660,2910,coal
COAL-NEW-12,660,2911,coal
COAL-NEW-13,660,2912,coal
COAL-NEW-14,660,2913,coal
COAL-NEW-15,660,2914,coal
COAL-NEW-16,660,2915,coal
COAL-NEW-17,660,2916,coal
COAL-NEW-18,660,2917,coal
COAL-NEW-19,660,2918,coal
COAL-NEW-20,660,2919,coal
COAL-NEW-21,660,2920,coal
COAL-NEW-22,660,2921,coal
COAL-NEW-23,660,2922,coal
COAL-NEW-24,660,2923,coal
COAL-NEW-25,660,2924,coal
COAL-NEW-26,660,2925,coal
COAL-NEW-27,660,2926,coal
COAL-NEW-28,660,2927,coal
COAL-NEW-29,660,2928,coal
COAL-NEW-30,660,2929,coal
COAL-NEW-31,660,2930,coal
COAL-NEW-32,660,2931,coal
COAL-NEW-33,660,2932,coal
COAL-NEW-34,660,2933,coal
COAL-NEW-35,660,2934,coal
COAL-NEW-36,660,2935,coal
COAL-NEW-37,660,2936,coal
COAL-NEW-38,660,2937,coal
COAL-NEW-39,660,2938,coal
COAL-NEW-40,660,2939,coal
COAL-NEW-41,660,2940,coal
COAL-NEW-42,660,2941,coal
COAL-NEW-43,660,2942,coal
COAL-NEW-44,660,2943,coal
COAL-NEW-45,660,2944,coal
COAL-NEW-46,660,2945,coal
COAL-NEW-47,660,2946,coal
COAL-NEW-48,660,2947,coal
COAL-NEW-49,660,2948,coal
COAL-NEW-50,660,2949,coal
COAL-NEW-51,660,2950,coal
COAL-NEW-52,660,2951,coal
COAL-NEW-53,660,2952,coal
COAL-NEW-54,660,2953,coal
COAL-NEW-55,660,2954,coal
COAL-NEW-56,660,2955,coal
COAL-NEW-57,660,2956,coal
COAL-NEW-58,660,2957,coal
COAL-NEW-59,660,2958,coal
COAL-NEW-60,660,2959,coal
COAL-NEW-61,660,2960,coal
COAL-NEW-62,660,2961,coal
COAL-NEW-63,660,2962,coal
COAL-NEW-64,660,2963,coal
COAL-NEW-65,660,2964,coal
COAL-NEW-66,660,2965,coal
COAL-NEW-67,660,2966,coal
COAL-NEW-68,660,2967,coal
COAL-NEW-69,660,2968,coal
COAL-NEW-70,660,2969,coal
COAL-NEW-71,660,2970,coal
COAL-NEW-72,660,2971,coal
COAL-NEW-73,660,2972,coal
COAL-NEW-74,660,2973,coal
COAL-NEW-75,660,2974,coal
COAL-NEW-76,660,2975,coal
COAL-NEW-77,660,2976,coal
COAL-NEW-78,660,2977,coal
COAL-NEW-79,660,2978,coal
COAL-NEW-80,660,2979,coal
COAL-NEW-81,660,2980,coal
COAL-NEW-82,660,2981,coal
COAL-NEW-83,660,2982,coal
COAL-NEW-84,660,2983,coal
COAL-NEW-85,660,2984,coal
COAL-NEW-86,660,2985,coal
COAL-NEW-87,660,2986,coal
COAL-NEW-88,660,2987,coal
COAL-NEW-89,660,2988,coal
COAL-NEW-90,660,2989,coal
COAL-NEW-91,660,2990,coal
COAL-NEW-92,660,2991,coal
COAL-NEW-93,660,2992,coal
COAL-NEW-94,660,2993,coal
COAL-NEW-95,660,2994,coal
COAL-NEW-96,660,2995,coal
COAL-NEW-97,660,2996,coal
COAL-NEW-98,660,2997,coal
COAL-NEW-99,660,2998,coal
COAL-NEW-100,660,2999,coal
COAL-NEW-101,660,3000,coal
COAL-NEW-102,660,3001,coal
COAL-NEW-103,660,3002,coal
COAL-NEW-104,660,3003,coal
COAL-NEW-105,660,3004,coal
COAL-NEW-106,660,3005,coal
COAL-NEW-107,660,3006,coal
COAL-NEW-108,660,3007,coal
COAL-NEW-109,660,3008,coal
COAL-NEW-110,660,3009,coal
COAL-NEW-111,660,3010,coal
