generator,gen_capacity,var_cost,type
GAS-CCGT-NEW-1,250,5500,gas_ccgt
GAS-CCGT-NEW-2,250,5501,gas_ccgt
GAS-CCGT-NEW-3,250,5502,gas_ccgt
GAS-CCGT-NEW-4,250,5503,gas_ccgt
GAS-CCGT-NEW-5,250,5504,gas_ccgt
GAS-CCGT-NEW-6,250,5505,gas_ccgt
GAS-CCGT-NEW-7,250,5506,gas_ccgt
GAS-CCGT-NEW-8,250,5507,gas_ccgt
GAS-CCGT-NEW-9,250,5508,gas_ccgt
GAS-CCGT-NEW-10,250,5509,gas_ccgt
GAS-CCGT-NEW-11,250,5510,gas_ccgt
GAS-CCGT-NEW-12,250,5511,gas_ccgt
GAS-CCGT-NEW-13,250,5512,gas_ccgt
GAS-CCGT-NEW-14,250,5513,gas_ccgt
GAS-CCGT-NEW-15,250,5514,gas_ccgt
GAS-CCGT-NEW-16,250,5515,gas_ccgt
GAS-CCGT-NEW-17,250,5516,gas_ccgt
GAS-CCGT-NEW-18,250,5517,gas_ccgt
GAS-CCGT-NEW-19,250,5518,gas_ccgt
GAS-CCGT-NEW-20,250,5519,gas_ccgt
GAS-CCGT-NEW-21,250,5520,gas_ccgt
GAS-CCGT-NEW-22,250,5521,gas_ccgt
GAS-CCGT-NEW-23,250,5522,gas_ccgt
GAS-CCGT-NEW-24,250,5523,gas_ccgt
GAS-CCGT-NEW-25,250,5524,gas_ccgt
GAS-CCGT-NEW-26,250,5525,gas_ccgt
GAS-CCGT-NEW-27,250,5526,gas_ccgt
GAS-CCGT-NEW-28,250,5527,gas_ccgt
GAS-CCGT-NEW-29,250,5528,gas_ccgt
GAS-CCGT-NEW-30,250,5529,gas_ccgt
GAS-CCGT-NEW-31,250,5530,gas_ccgt
GAS-CCGT-NEW-32,250,5531,gas_ccgt
GAS-CCGT-NEW-33,250,5532,gas_ccgt
GAS-CCGT-NEW-34,250,5533,gas_ccgt
GAS-CCGT-NEW-35,250,5534,gas_ccgt
GAS-CCGT-NEW-36,250,5535,gas_ccgt
GAS-CCGT-NEW-37,250,5536,gas_ccgt
GAS-CCGT-NEW-38,250,5537,gas_ccgt
GAS-CCGT-NEW-39,250,5538,gas_ccgt
GAS-CCGT-NEW-40,250,5539,gas_ccgt
GAS-CCGT-NEW-41,250,5540,gas_ccgt
GAS-CCGT-NEW-42,250,5541,gas_ccgt
GAS-CCGT-NEW-43,250,5542,gas_ccgt
GAS-CCGT-NEW-44,250,5543,gas_ccgt
GAS-CCGT-NEW-45,250,5544,gas_ccgt
GAS-CCGT-NEW-46,250,5545,gas_ccgt
GAS-CCGT-NEW-47,250,5546,gas_ccgt
GAS-CCGT-NEW-48,250,5547,gas_ccgt
GAS-CCGT-NEW-49,250,5548,gas_ccgt
GAS-CCGT-NEW-50,250,5549,gas_ccgt
GAS-CCGT-NEW-51,250,5550,gas_ccgt
GAS-CCGT-NEW-52,250,5551,gas_ccgt
GAS-CCGT-NEW-53,250,5552,gas_ccgt
GAS-CCGT-NEW-54,250,5553,gas_ccgt
