Day,HYDRO-STORAGE
1,0.059
2,0.0575
3,0.0603
4,0.0668
5,0.0708
6,0.0754
7,0.0771
8,0.0794
9,0.0878
10,0.0888
11,0.0867
12,0.0859
13,0.0874
14,0.0915
15,0.0905
16,0.0895
17,0.0905
18,0.0915
19,0.0895
20,0.0868
21,0.0816
22,0.0788
23,0.0765
24,0.0746
25,0.0754
26,0.0769
27,0.0802
28,0.0853
29,0.0914
30,0.0982
31,0.103
32,0.108
33,0.122
34,0.131
35,0.134
36,0.133
37,0.133
38,0.131
39,0.125
40,0.122
41,0.122
42,0.12
43,0.122
44,0.12
45,0.118
46,0.122
47,0.125
48,0.128
49,0.132
50,0.129
51,0.128
52,0.127
53,0.127
54,0.128
55,0.128
56,0.127
57,0.129
58,0.125
59,0.124
60,0.119
61,0.11
62,0.106
63,0.105
64,0.101
65,0.0992
66,0.0977
67,0.0971
68,0.102
69,0.103
70,0.104
71,0.104
72,0.104
73,0.104
74,0.103
75,0.111
76,0.119
77,0.124
78,0.131
79,0.134
80,0.136
81,0.138
82,0.141
83,0.139
84,0.138
85,0.137
86,0.144
87,0.148
88,0.145
89,0.141
90,0.14
91,0.142
92,0.147
93,0.144
94,0.143
95,0.147
96,0.141
97,0.134
98,0.131
99,0.124
100,0.113
101,0.113
102,0.105
103,0.103
104,0.108
105,0.108
106,0.105
107,0.108
108,0.108
109,0.104
110,0.101
111,0.105
112,0.112
113,0.117
114,0.122
115,0.119
116,0.126
117,0.13
118,0.128
119,0.123
120,0.119
121,0.116
122,0.117
123,0.11
124,0.116
125,0.112
126,0.108
127,0.104
128,0.103
129,0.104
130,0.104
131,0.112
132,0.118
133,0.124
134,0.125
135,0.122
136,0.119
137,0.115
138,0.1
139,0.0936
140,0.0921
141,0.088
142,0.0874
143,0.0843
144,0.0839
145,0.0827
146,0.0848
147,0.0852
148,0.0832
149,0.0834
150,0.0869
151,0.0854
152,0.0902
153,0.0921
154,0.0932
155,0.0951
156,0.0953
157,0.0922
158,0.0914
159,0.0889
160,0.0893
161,0.0938
162,0.0959
163,0.0983
164,0.0993
165,0.106
166,0.112
167,0.11
168,0.104
169,0.105
170,0.105
171,0.108
172,0.108
173,0.114
174,0.124
175,0.132
176,0.135
177,0.134
178,0.13
179,0.128
180,0.129
181,0.127
182,0.124
183,0.126
184,0.127
185,0.128
186,0.123
187,0.115
188,0.113
189,0.107
190,0.101
191,0.097
192,0.0962
193,0.0929
194,0.0933
195,0.0941
196,0.0994
197,0.1
198,0.103
199,0.101
200,0.103
201,0.115
202,0.118
203,0.117
204,0.12
205,0.123
206,0.123
207,0.121
208,0.13
209,0.141
210,0.158
211,0.172
212,0.176
213,0.177
214,0.176
215,0.174
216,0.179
217,0.177
218,0.178
219,0.182
220,0.178
221,0.174
222,0.187
223,0.189
224,0.187
225,0.182
226,0.188
227,0.19
228,0.188
229,0.184
230,0.183
231,0.184
232,0.182
233,0.175
234,0.17
235,0.165
236,0.152
237,0.151
238,0.15
239,0.151
240,0.154
241,0.154
242,0.153
243,0.144
244,0.151
245,0.155
246,0.152
247,0.149
248,0.146
249,0.144
250,0.16
251,0.172
252,0.181
253,0.179
254,0.173
255,0.166
256,0.172
257,0.173
258,0.172
259,0.174
260,0.188
261,0.202
262,0.217
263,0.22
264,0.212
265,0.21
266,0.2
267,0.198
268,0.195
269,0.191
270,0.18
271,0.168
272,0.173
273,0.18
274,0.18
275,0.18
276,0.182
277,0.178
278,0.162
279,0.15
280,0.144
281,0.131
282,0.11
283,0.0952
284,0.093
285,0.105
286,0.11
287,0.115
288,0.121
289,0.128
290,0.129
291,0.128
292,0.111
293,0.109
294,0.101
295,0.093
296,0.0841
297,0.0782
298,0.0737
299,0.0675
300,0.0675
301,0.0663
302,0.0648
303,0.0655
304,0.0643
305,0.0657
306,0.0704
307,0.0742
308,0.0749
309,0.0756
310,0.0764
311,0.0772
312,0.0772
313,0.0765
314,0.0698
315,0.069
316,0.0685
317,0.065
318,0.0637
319,0.0606
320,0.0574
321,0.0578
322,0.0582
323,0.0578
324,0.059
325,0.0588
326,0.0586
327,0.0622
328,0.0634
329,0.0657
330,0.0701
331,0.0704
332,0.0697
333,0.0688
334,0.069
335,0.0728
336,0.0711
337,0.0665
338,0.0643
339,0.0653
340,0.0646
341,0.0626
342,0.0578
343,0.059
344,0.0588
345,0.0597
346,0.0589
347,0.0562
348,0.0539
349,0.055
350,0.0507
351,0.0493
352,0.0489
353,0.0486
354,0.0486
355,0.0489
356,0.047
357,0.0475
358,0.0489
359,0.0467
360,0.0485
361,0.0498
362,0.0494
363,0.0493
364,0.0497
365,0.0516
366,0.0516
367,0.0516
368,0.0516
