Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
1,0.159,0.159,0.678
2,0.159,0.158,0.678
3,0.159,0.159,0.678
4,0.159,0.159,0.678
5,0.16,0.159,0.678
6,0.16,0.158,0.678
7,0.161,0.157,0.678
8,0.161,0.155,0.678
9,0.161,0.155,0.678
10,0.155,0.156,0.678
11,0.155,0.155,0.678
12,0.155,0.155,0.678
13,0.155,0.154,0.678
14,0.154,0.153,0.678
15,0.155,0.152,0.678
16,0.158,0.151,0.678
17,0.163,0.148,0.678
18,0.163,0.146,0.678
19,0.163,0.147,0.678
20,0.165,0.145,0.678
21,0.166,0.144,0.678
22,0.165,0.143,0.678
23,0.162,0.142,0.678
24,0.161,0.141,0.678
25,0.161,0.14,0.678
26,0.16,0.138,0.678
27,0.157,0.139,0.678
28,0.156,0.14,0.678
29,0.156,0.141,0.678
30,0.156,0.143,0.678
31,0.156,0.144,0.678
32,0.157,0.147,0.678
33,0.157,0.147,0.678
34,0.157,0.148,0.678
35,0.162,0.15,0.678
36,0.16,0.153,0.678
37,0.159,0.157,0.678
38,0.156,0.16,0.678
39,0.154,0.161,0.678
40,0.154,0.162,0.678
41,0.156,0.162,0.678
42,0.155,0.161,0.678
43,0.16,0.16,0.678
44,0.163,0.158,0.678
45,0.168,0.158,0.678
46,0.171,0.161,0.678
47,0.172,0.163,0.678
48,0.171,0.165,0.678
49,0.167,0.167,0.678
50,0.167,0.167,0.678
51,0.166,0.168,0.678
52,0.167,0.167,0.678
53,0.167,0.165,0.678
54,0.167,0.165,0.678
55,0.168,0.164,0.678
56,0.169,0.166,0.678
57,0.169,0.167,0.678
58,0.17,0.169,0.678
59,0.169,0.171,0.678
60,0.17,0.171,0.678
61,0.169,0.173,0.678
62,0.169,0.177,0.678
63,0.17,0.179,0.678
64,0.169,0.18,0.678
65,0.168,0.181,0.678
66,0.166,0.183,0.678
67,0.166,0.188,0.678
68,0.171,0.193,0.678
69,0.175,0.199,0.678
70,0.18,0.207,0.678
71,0.186,0.214,0.678
72,0.192,0.221,0.678
73,0.203,0.228,0.678
74,0.217,0.235,0.678
75,0.226,0.244,0.678
76,0.235,0.248,0.678
77,0.241,0.25,0.678
78,0.248,0.255,0.678
79,0.254,0.258,0.678
80,0.258,0.258,0.678
81,0.255,0.257,0.678
82,0.253,0.253,0.678
83,0.253,0.25,0.678
84,0.256,0.251,0.678
85,0.26,0.254,0.678
86,0.265,0.256,0.678
87,0.271,0.263,0.678
88,0.283,0.267,0.678
89,0.294,0.272,0.678
90,0.304,0.276,0.678
91,0.316,0.278,0.678
92,0.334,0.278,0.678
93,0.352,0.28,0.678
94,0.365,0.281,0.678
95,0.376,0.284,0.678
96,0.396,0.288,0.678
97,0.42,0.297,0.678
98,0.417,0.298,0.678
99,0.406,0.298,0.678
