Timepoint,net_load_final,hydro_dispatch_final
1,323896.0,1396.73355
2,315967.0,1396.73355
3,316609.0,1396.73355
4,319219.0,1396.73355
5,326601.0,1396.73355
6,336670.228779,3097.50477087
7,336670.228779,17757.5047709
8,336670.228779,18508.5047709
9,296808.0,1396.73355
10,235313.0,1396.73355
11,177070.0,1396.73355
12,138672.0,1396.73355
13,119389.0,1396.73355
14,122879.0,1396.73355
15,136921.0,1396.73355
16,179943.0,1396.73355
17,257579.0,1396.73355
18,336670.228779,18546.5047709
19,344926.28355,23673.45
20,342969.28355,23673.45
21,336670.228779,23405.5047709
22,336670.228779,11830.5047709
23,334219.0,1396.73355
24,323739.0,1396.73355
25,315954.0,1361.223375
26,309909.0,1361.223375
27,307701.0,1361.223375
28,310626.0,1361.223375
29,318988.0,1361.223375
30,331854.0,1361.223375
31,340613.650519,7586.57285631
32,340613.650519,8839.57285631
33,291721.0,1361.223375
34,231617.0,1361.223375
35,173646.0,1361.223375
36,133099.0,1361.223375
37,114239.0,1361.223375
38,113591.0,1361.223375
39,129252.0,1361.223375
40,178402.0,1361.223375
41,265165.0,1361.223375
42,347573.773375,23673.45
43,360973.773375,23673.45
44,358352.773375,23673.45
45,351122.773375,23673.45
46,340613.650519,21432.5728563
47,340613.650519,8508.57285631
48,337974.0,1361.223375
49,329295.0,1427.509035
50,322740.0,1427.509035
51,321004.0,1427.509035
52,323995.0,1427.509035
53,332615.0,1427.509035
54,346931.0,1427.509035
55,354458.874862,10909.634173
56,354458.874862,15185.634173
57,312543.0,1427.509035
58,250862.0,1427.509035
59,187469.0,1427.509035
60,143053.0,1427.509035
61,115981.0,1427.509035
62,111945.0,1427.509035
63,134381.0,1427.509035
64,186764.0,1427.509035
65,273530.0,1427.509035
66,354458.874862,22901.634173
67,369702.059035,23673.45
68,367436.059035,23673.45
69,360409.059035,23673.45
70,354458.874862,17307.634173
71,354458.874862,2675.63417305
72,343390.0,1427.509035
73,333324.0,1581.38646
74,325295.0,1581.38646
75,321502.0,1581.38646
76,323690.0,1581.38646
77,329318.0,1581.38646
78,337457.133372,2689.25308754
79,337457.133372,14294.2530875
80,337457.133372,12684.2530875
81,284364.0,1581.38646
82,217887.0,1581.38646
83,161372.0,1581.38646
84,122882.0,1581.38646
85,100504.0,1581.38646
86,102524.0,1581.38646
87,125783.0,1581.38646
88,177355.0,1581.38646
89,255475.0,1581.38646
90,337457.133372,14746.2530875
91,345188.93646,23673.45
92,345680.93646,23673.45
93,341217.93646,23673.45
94,337457.133372,16914.2530875
95,337457.133372,6771.25308754
96,334530.0,1581.38646
97,327448.0,1676.08026
98,322182.0,1676.08026
99,321401.0,1676.08026
100,323589.0,1676.08026
101,329217.0,1676.08026
102,333845.171896,6293.90836395
103,333845.171896,17897.908364
104,333845.171896,16632.908364
105,284907.0,1676.08026
106,218647.0,1676.08026
107,158146.0,1676.08026
108,113825.0,1676.08026
109,88141.0,1676.08026
110,86012.0,1676.08026
111,109107.0,1676.08026
112,160735.0,1676.08026
113,244671.0,1676.08026
114,333845.171896,17336.908364
115,345179.63026,23673.45
116,345670.63026,23673.45
117,341207.63026,23673.45
118,333845.171896,20517.908364
119,333845.171896,8240.90836395
120,330373.0,1676.08026
121,321537.0,1784.97813
122,314260.0,1784.97813
123,311424.0,1784.97813
124,314389.0,1784.97813
125,321525.0,1784.97813
126,333419.0,1784.97813
127,340642.207597,8912.77053343
128,340642.207597,11227.7705334
129,290004.0,1784.97813
130,225722.0,1784.97813
131,166994.0,1784.97813
132,124980.0,1784.97813
133,100632.0,1784.97813
134,97195.0,1784.97813
135,117363.0,1784.97813
136,169038.0,1784.97813
137,257360.0,1784.97813
138,347186.52813,23673.45
139,367981.52813,23673.45
140,367351.52813,23673.45
141,361448.52813,23673.45
142,347629.52813,23673.45
143,340642.207597,15185.7705334
144,340642.207597,2613.77053343
145,331971.0,1825.222995
146,324581.0,1825.222995
147,321917.0,1825.222995
148,324596.0,1825.222995
149,332129.0,1825.222995
150,345479.0,1825.222995
151,351633.313954,11901.9090409
152,351633.313954,15060.9090409
153,304132.0,1825.222995
154,234355.0,1825.222995
155,168773.0,1825.222995
156,121942.0,1825.222995
157,98256.0,1825.222995
158,97483.0,1825.222995
159,122368.0,1825.222995
160,175051.0,1825.222995
161,263430.0,1825.222995
162,351663.772995,23673.45
163,372247.772995,23673.45
164,369086.772995,23673.45
165,362980.772995,23673.45
166,351633.313954,22658.9090409
167,351633.313954,9562.90904093
168,349846.0,1825.222995
169,342043.0,1879.67193
170,334331.0,1879.67193
171,332203.0,1879.67193
172,335764.0,1879.67193
173,344257.0,1879.67193
174,358636.0,1879.67193
175,361999.091289,16437.5806407
176,361999.091289,21783.5806407
177,322705.0,1879.67193
178,253818.0,1879.67193
179,186828.0,1879.67193
180,140597.0,1879.67193
181,113720.0,1879.67193
182,113312.0,1879.67193
183,134049.0,1879.67193
184,184774.0,1879.67193
185,271215.0,1879.67193
186,361999.091289,18269.5806407
187,375737.22193,23673.45
188,374900.22193,23673.45
189,370098.22193,23673.45
190,361999.091289,19549.5806407
191,361999.091289,5946.58064074
192,355056.0,1879.67193
193,343698.0,2078.52891
194,334427.0,2078.52891
195,330816.0,2078.52891
196,333357.0,2078.52891
197,340777.0,2078.52891
198,353674.0,2078.52891
199,361659.090605,10806.4383047
200,361659.090605,15924.4383047
201,314478.0,2078.52891
202,241593.0,2078.52891
203,175893.0,2078.52891
204,130837.0,2078.52891
205,103864.0,2078.52891
206,105283.0,2078.52891
207,129058.0,2078.52891
208,183594.0,2078.52891
209,269741.0,2078.52891
210,361659.090605,19635.4383047
211,378943.07891,23673.45
212,377711.07891,23673.45
213,372610.07891,23673.45
214,361659.090605,22831.4383047
215,361659.090605,9607.43830474
216,359276.0,2078.52891
217,347813.0,2102.20236
218,337437.0,2102.20236
219,333139.0,2102.20236
220,335556.0,2102.20236
221,342759.0,2102.20236
222,357011.0,2102.20236
223,361879.719095,13999.4832647
224,361879.719095,20538.4832647
225,323511.0,2102.20236
226,258807.0,2102.20236
227,194493.0,2102.20236
228,146744.0,2102.20236
229,117478.0,2102.20236
230,114369.0,2102.20236
231,136510.0,2102.20236
232,183483.0,2102.20236
233,268634.0,2102.20236
234,361879.719095,17061.4832647
235,375420.75236,23673.45
236,375781.75236,23673.45
237,370953.75236,23673.45
238,361879.719095,20511.4832647
239,361879.719095,6315.48326474
240,355684.0,2102.20236
241,344344.0,2052.488115
242,334815.0,2052.488115
243,330869.0,2052.488115
244,332660.0,2052.488115
245,337473.0,2052.488115
246,348162.0,2052.488115
247,352872.389554,11771.0985609
248,352872.389554,16095.0985609
249,311015.0,2052.488115
250,249014.0,2052.488115
251,184817.0,2052.488115
252,139422.0,2052.488115
253,108731.0,2052.488115
254,105601.0,2052.488115
255,127077.0,2052.488115
256,175958.0,2052.488115
257,259056.0,2052.488115
258,352872.389554,16386.0985609
259,368672.038115,23673.45
260,369337.038115,23673.45
261,365631.038115,23673.45
262,353885.038115,23673.45
263,352872.389554,11296.0985609
264,351712.0,2052.488115
265,341589.0,2033.549355
266,332577.0,2033.549355
267,328683.0,2033.549355
268,330391.0,2033.549355
269,335359.0,2033.549355
270,343997.0,2033.549355
271,345424.915322,12778.6340335
272,345424.915322,14144.6340335
273,296260.0,2033.549355
274,228476.0,2033.549355
275,165587.0,2033.549355
276,118155.0,2033.549355
277,91441.0,2033.549355
278,86760.0,2033.549355
279,106564.0,2033.549355
280,156632.0,2033.549355
281,240291.0,2033.549355
282,345424.915322,5484.63403348
283,350154.099355,23673.45
284,351180.099355,23673.45
285,349518.099355,23673.45
286,345424.915322,20328.6340335
287,345424.915322,12354.6340335
288,345424.915322,6872.63403348
289,343549.0,2069.05953
290,335091.0,2069.05953
291,332724.0,2069.05953
292,336474.0,2069.05953
293,342161.0,2069.05953
294,352633.0,2069.05953
295,356517.867601,11966.1919293
296,356517.867601,14800.1919293
297,310806.0,2069.05953
298,246515.0,2069.05953
299,187749.0,2069.05953
300,140549.0,2069.05953
301,117517.0,2069.05953
302,116998.0,2069.05953
303,139682.0,2069.05953
304,186385.0,2069.05953
305,264776.0,2069.05953
306,356517.867601,9147.19192931
307,362947.60953,23673.45
308,362780.60953,23673.45
309,360093.60953,23673.45
310,356517.867601,20162.1919293
311,356517.867601,10945.1919293
312,356517.867601,4410.19192931
313,349363.737189,2928.38348584
314,341918.0,2166.120675
315,339336.0,2166.120675
316,344133.0,2166.120675
317,349076.0,2166.120675
318,349363.737189,9804.38348584
319,349363.737189,20693.3834858
320,349363.737189,18956.3834858
321,301788.0,2166.120675
322,232262.0,2166.120675
323,170606.0,2166.120675
324,124803.0,2166.120675
325,101093.0,2166.120675
326,99434.0,2166.120675
327,125330.0,2166.120675
328,165161.0,2166.120675
329,243444.0,2166.120675
330,346335.0,2166.120675
331,349951.670675,23673.45
332,350996.670675,23673.45
333,349363.737189,23134.3834858
334,349363.737189,14523.3834858
335,349363.737189,3608.38348584
336,342133.0,2166.120675
337,333732.0,2142.447225
338,326924.0,2142.447225
339,324937.0,2142.447225
340,328279.0,2142.447225
341,335087.0,2142.447225
342,346814.0,2142.447225
