Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,91339.5973526,1396.73355,0.0,-40311.9723314
2,91339.5973526,1396.73355,0.0,-37914.3678803
3,91339.5973526,1396.73355,0.0,-30526.6898004
4,91339.5973526,1396.73355,0.0,-16983.5590986
5,91339.5973526,1396.73355,0.0,-4402.400273
6,98234.887202,1396.73355,0.0,0.0
7,109249.024804,1396.73355,0.0,0.0
8,116281.879238,4876.06194712,0.0,0.0
9,116281.879238,1396.73355,25625.6169013,0.0
10,116281.879238,1396.73355,33849.5085762,0.0
11,116281.879238,22209.3931256,0.0,0.0
12,116281.879238,17316.9399773,5130.53701456,0.0
13,116281.879238,23673.45,7305.64365206,0.0
14,116281.879238,23673.45,19449.5416504,0.0
15,116281.879238,1396.73355,45706.46738,0.0
16,116281.879238,23673.45,15475.3634577,0.0
17,116281.879238,23673.45,5020.75847696,0.0
18,116281.879238,1396.73355,28661.3133101,0.0
19,116281.879238,1396.73355,11399.3815649,0.0
20,93496.9786591,1396.73355,0.0,0.0
21,91339.5973526,1396.73355,0.0,-21307.8711001
22,91339.5973526,1396.73355,0.0,-29216.2790975
23,91339.5973526,1396.73355,0.0,-29566.059284
24,91339.5973526,1396.73355,0.0,-22269.7799397
25,122827.738654,1361.223375,0.0,-45532.8771359
26,122827.738654,1361.223375,0.0,-39588.7352188
27,122827.738654,1361.223375,0.0,-33766.9003749
28,122827.738654,1361.223375,0.0,-19108.0400007
29,122827.738654,1361.223375,0.0,-3179.91785797
30,133546.768124,1361.223375,0.0,0.0
31,147878.998527,1361.223375,0.0,0.0
32,162889.752544,1361.223375,0.0,0.0
33,176556.3488,1361.223375,12392.0882297,0.0
34,176556.3488,1361.223375,28035.6827048,0.0
35,176556.3488,19971.39465,6475.34078662,0.0
36,176556.3488,23673.45,14408.1614624,0.0
37,176556.3488,23673.45,25072.981567,0.0
38,176556.3488,1361.223375,51466.1749726,0.0
39,176556.3488,23673.45,29081.6078842,0.0
40,176556.3488,23673.45,23882.5798082,0.0
41,176556.3488,23673.45,16565.689073,0.0
42,176556.3488,1361.223375,29242.8386259,0.0
43,176556.3488,1361.223375,3376.85488559,0.0
44,141092.212086,1361.223375,0.0,0.0
45,138823.440757,1361.223375,0.0,-28606.6084494
46,138823.440757,1361.223375,0.0,-38514.4906454
47,138823.440757,1361.223375,0.0,-38971.595814
48,138823.440757,1361.223375,0.0,-35083.7756795
49,153476.285753,1427.509035,0.0,-42813.7886794
50,153476.285753,1427.509035,0.0,-37028.7408183
51,153476.285753,1427.509035,0.0,-30762.1986623
52,153476.285753,1427.509035,0.0,-22223.8071229
53,153476.285753,1427.509035,0.0,-8347.93530534
54,160680.533221,1427.509035,0.0,0.0
55,175915.911362,1427.509035,0.0,0.0
56,192450.115723,1427.509035,0.0,0.0
57,216851.430934,1427.509035,0.0,0.0
58,218613.515997,2291.43017121,16892.7642372,0.0
59,218613.515997,18188.0772984,0.0,0.0
60,218613.515997,23399.7043354,0.0,0.0
61,218613.515997,1427.509035,26049.5803845,0.0
