Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,127321.872496,1396.73355,0.0,0.0
2,126111.370423,1396.73355,0.0,0.0
3,130451.246459,1396.73355,0.0,0.0
4,138949.599964,1396.73355,0.0,0.0
5,143206.262755,7914.93620117,0.0,0.0
6,143206.262755,18155.3983268,0.0,0.0
7,148202.80145,23673.45,0.0,0.0
8,148840.506844,23673.45,0.0,0.0
9,131971.589697,1396.73355,0.0,0.0
10,87682.1023358,1396.73355,0.0,0.0
11,40377.7870936,1396.73355,0.0,0.0
12,10014.6687884,1396.73355,0.0,0.0
13,0.0,1396.73355,0.0,0.0
14,8608.30582747,1396.73355,0.0,0.0
15,22697.8464709,1396.73355,0.0,0.0
16,50614.0108198,1396.73355,0.0,0.0
17,103034.138682,1396.73355,0.0,0.0
18,155261.148932,23673.45,0.0,0.0
19,156062.509818,23673.45,0.0,0.0
20,143206.262755,17192.2296705,0.0,0.0
21,143206.262755,2536.56440157,0.0,0.0
22,136229.3367,1396.73355,0.0,0.0
23,132470.728443,1396.73355,0.0,0.0
24,134268.617323,1396.73355,0.0,0.0
25,137483.311794,1361.223375,0.0,0.0
26,140487.926874,1361.223375,0.0,0.0
27,143979.340794,1361.223375,0.0,0.0
28,153856.003005,1361.223375,0.0,0.0
29,165774.797993,1361.223375,0.0,0.0
30,169855.14104,9098.17040423,0.0,0.0
31,169855.14104,21514.3166165,0.0,0.0
32,171367.333903,23673.45,0.0,0.0
33,156004.194448,1361.223375,0.0,0.0
34,115034.258714,1361.223375,0.0,0.0
35,72701.8447187,1361.223375,0.0,0.0
36,48569.7621777,1361.223375,0.0,0.0
37,44044.8602355,1361.223375,0.0,0.0
38,48021.1169623,1361.223375,0.0,0.0
39,60732.587203,1361.223375,0.0,0.0
40,94231.9242461,1361.223375,0.0,0.0
41,151517.035845,1361.223375,0.0,0.0
42,202808.619147,23673.45,0.0,0.0
43,199623.235962,23673.45,0.0,0.0
44,178296.701082,23673.45,0.0,0.0
45,169855.14104,13291.7161953,0.0,0.0
46,169855.14104,2463.0881839,0.0,0.0
47,165637.041494,1361.223375,0.0,0.0
48,164124.904308,1361.223375,0.0,0.0
49,165194.34396,1427.509035,0.0,0.0
50,165974.209295,1427.509035,0.0,0.0
51,168346.723634,1427.509035,0.0,0.0
52,174138.951,1427.509035,0.0,0.0
53,184822.44152,1427.509035,0.0,0.0
54,197151.241926,1427.509035,0.0,0.0
55,210182.203427,1429.78672025,0.0,0.0
56,210182.203427,6122.52705505,0.0,0.0
57,177101.681384,1427.509035,0.0,0.0
58,136444.775185,1427.509035,0.0,0.0
59,89541.0414256,1427.509035,0.0,0.0
60,60496.5174863,1427.509035,0.0,0.0
61,47066.0458695,1427.509035,0.0,0.0
62,47856.3267844,1427.509035,0.0,0.0
63,65828.4844265,1427.509035,0.0,0.0
64,104242.143694,1427.509035,0.0,0.0
65,166430.129738,1427.509035,0.0,0.0
66,221671.829003,23673.45,0.0,0.0
67,230423.176386,23673.45,0.0,0.0
68,222262.145632,23673.45,0.0,0.0
69,212215.008819,23673.45,0.0,0.0
70,210182.203427,18539.1175003,0.0,0.0
71,210182.203427,12736.8643199,0.0,0.0
72,210182.203427,7905.93427952,0.0,0.0
73,205211.60877,9077.28071091,0.0,0.0
74,205211.60877,7026.38091209,0.0,0.0
75,205211.60877,6961.45907136,0.0,0.0
76,205211.60877,10972.3520104,0.0,0.0
77,205211.60877,15580.7978625,0.0,0.0
78,205211.60877,21133.6730109,0.0,0.0
79,208318.603178,23673.45,0.0,0.0
80,205211.60877,23042.635407,0.0,0.0
81,178355.9739,1581.38646,0.0,0.0
82,127675.700953,1581.38646,0.0,0.0
83,77766.4109871,1581.38646,0.0,0.0
84,48208.3397401,1581.38646,0.0,0.0
85,31471.9067531,1581.38646,0.0,0.0
86,34113.7517933,1581.38646,0.0,0.0
87,51039.6523064,1581.38646,0.0,0.0
88,87446.1398655,1581.38646,0.0,0.0
89,142186.444965,1581.38646,0.0,0.0
90,205211.60877,8291.63099133,0.0,0.0
91,205211.60877,13856.5143483,0.0,0.0
92,205211.60877,2666.46709524,0.0,0.0
93,195008.973438,1581.38646,0.0,0.0
94,183160.38874,1581.38646,0.0,0.0
95,176130.572916,1581.38646,0.0,0.0
96,174700.909893,1581.38646,0.0,0.0
97,177447.936885,1676.08026,0.0,0.0
98,181086.340098,1676.08026,0.0,0.0
99,187214.409388,1676.08026,0.0,0.0
100,194519.762941,1676.08026,0.0,0.0
101,199698.385323,2589.17042523,0.0,0.0
102,199698.385323,9539.19126955,0.0,0.0
103,199698.385323,17153.217718,0.0,0.0
104,199698.385323,16335.0105273,0.0,0.0
105,167167.612614,1676.08026,0.0,0.0
106,119736.021595,1676.08026,0.0,0.0
107,77391.1301632,1676.08026,0.0,0.0
108,46065.5910233,1676.08026,0.0,0.0
109,30072.0515699,1676.08026,0.0,0.0
110,31346.3887253,1676.08026,0.0,0.0
111,50787.5322857,1676.08026,0.0,0.0
112,89693.8882411,1676.08026,0.0,0.0
113,150450.962857,1676.08026,0.0,0.0
114,205794.760171,23673.45,0.0,0.0
115,215172.562662,23673.45,0.0,0.0
116,207842.157489,23673.45,0.0,0.0
117,199698.385323,22983.4809969,0.0,0.0
118,199698.385323,14176.9602146,0.0,0.0
119,199698.385323,5819.49930845,0.0,0.0
120,198304.960784,1676.08026,0.0,0.0
121,193920.191088,1784.97813,0.0,0.0
122,190152.888162,1784.97813,0.0,0.0
123,188658.803589,1784.97813,0.0,0.0
124,192890.275161,1784.97813,0.0,0.0
125,194936.149968,6703.79363973,0.0,0.0
126,194936.149968,15636.1345073,0.0,0.0
127,197114.844565,23673.45,0.0,0.0
128,199168.542799,23673.45,0.0,0.0
129,176755.10977,1784.97813,0.0,0.0
130,129033.357942,1784.97813,0.0,0.0
131,84756.0627253,1784.97813,0.0,0.0
132,50705.8869816,1784.97813,0.0,0.0
133,32838.8633306,1784.97813,0.0,0.0
134,30811.3484194,1784.97813,0.0,0.0
135,44875.328293,1784.97813,0.0,0.0
136,80663.3869995,1784.97813,0.0,0.0
137,143639.479608,1784.97813,0.0,0.0
138,203754.189095,23673.45,0.0,0.0
139,211943.066219,23673.45,0.0,0.0
140,197798.995144,23673.45,0.0,0.0
141,194936.149968,13815.175873,0.0,0.0
142,192365.24055,1784.97813,0.0,0.0
143,179610.676821,1784.97813,0.0,0.0
144,170948.801446,1784.97813,0.0,0.0
145,164797.926008,1825.222995,0.0,0.0
146,161056.578772,1825.222995,0.0,0.0
147,161586.022783,1825.222995,0.0,0.0
148,166529.782576,1825.222995,0.0,0.0
149,175755.303556,1825.222995,0.0,0.0
150,184642.849609,4827.77023206,0.0,0.0
151,184642.849609,17792.6298144,0.0,0.0
152,184642.849609,22301.601341,0.0,0.0
153,163811.192059,1825.222995,0.0,0.0
154,119486.092328,1825.222995,0.0,0.0
155,72508.9570583,1825.222995,0.0,0.0
156,36466.1553016,1825.222995,0.0,0.0
157,19729.3615787,1825.222995,0.0,0.0
158,19718.815143,1825.222995,0.0,0.0
159,36930.7040758,1825.222995,0.0,0.0
160,74481.041927,1825.222995,0.0,0.0
161,137702.996642,1825.222995,0.0,0.0
162,200352.80497,23673.45,0.0,0.0
163,211096.119405,23673.45,0.0,0.0
164,197395.348146,23673.45,0.0,0.0
165,185213.822058,23673.45,0.0,0.0
166,184642.849609,13118.9138616,0.0,0.0
167,184642.849609,2968.94392596,0.0,0.0
168,179980.890563,1825.222995,0.0,0.0
169,176285.931039,1879.67193,0.0,0.0
170,173944.283931,1879.67193,0.0,0.0
171,174103.96447,1879.67193,0.0,0.0
172,180384.476031,1879.67193,0.0,0.0
173,180526.935201,10127.9132297,0.0,0.0
174,180526.935201,19228.4951023,0.0,0.0
175,180526.935201,18042.7145603,0.0,0.0
176,180526.935201,13757.8512948,0.0,0.0
177,144763.864865,1879.67193,0.0,0.0
178,92263.5367658,1879.67193,0.0,0.0
179,30324.049787,1879.67193,0.0,0.0
180,0.0,1879.67193,0.0,0.0
181,-5.82076609135e-11,1879.67193,0.0,0.0
182,-5.82076609135e-11,1879.67193,0.0,0.0
183,3815.51389841,1879.67193,0.0,0.0
184,44847.2914246,1879.67193,0.0,0.0
185,111044.271922,1879.67193,0.0,0.0
186,180526.935201,22282.1303572,0.0,0.0
187,194436.720076,23673.45,0.0,0.0
188,184573.238846,23673.45,0.0,0.0
189,180526.935201,16503.9241605,0.0,0.0
190,180526.935201,7596.99644519,0.0,0.0
191,180470.974006,1879.67193,0.0,0.0
192,176832.73857,1879.67193,0.0,0.0
193,173467.060392,2078.52891,0.0,0.0
194,171538.961432,2078.52891,0.0,0.0
195,173559.979591,2078.52891,0.0,0.0
196,177412.069067,2078.52891,0.0,0.0
197,183533.215737,2078.52891,0.0,0.0
198,184619.345466,10186.2813147,0.0,0.0
199,184619.345466,19894.6924087,0.0,0.0
200,184619.345466,21329.0235412,0.0,0.0
201,157186.523086,2078.52891,0.0,0.0
202,106281.193033,2078.52891,0.0,0.0
203,57731.1171413,2078.52891,0.0,0.0
204,15014.8301765,2078.52891,0.0,0.0
205,-5.82076609135e-11,2078.52891,0.0,0.0
206,6573.0213451,2078.52891,0.0,0.0
207,31144.2156445,2078.52891,0.0,0.0
208,73136.1761122,2078.52891,0.0,0.0
209,135735.657153,2078.52891,0.0,0.0
210,197466.874007,23673.45,0.0,0.0
211,208018.139731,23673.45,0.0,0.0
212,192981.30167,23673.45,0.0,0.0
213,184619.345466,19240.5052469,0.0,0.0
214,184619.345466,8154.6890285,0.0,0.0
215,182812.110694,2078.52891,0.0,0.0
216,180259.204285,2078.52891,0.0,0.0
217,178603.162333,2102.20236,0.0,0.0
218,178031.340721,2102.20236,0.0,0.0
219,179237.727737,2102.20236,0.0,0.0
220,186665.703978,2102.20236,0.0,0.0
221,188857.634453,9184.7405696,0.0,0.0
222,188857.634453,19845.6521059,0.0,0.0
223,198084.879512,23673.45,0.0,0.0
224,205370.341382,23673.45,0.0,0.0
225,187556.14,2102.20236,0.0,0.0
226,142972.104532,2102.20236,0.0,0.0
227,98688.2099897,2102.20236,0.0,0.0
228,62569.4761484,2102.20236,0.0,0.0
229,39779.8130803,2102.20236,0.0,0.0
230,34640.5666884,2102.20236,0.0,0.0
231,48235.1989626,2102.20236,0.0,0.0
232,78334.6440247,2102.20236,0.0,0.0
233,134478.827451,2102.20236,0.0,0.0
234,189313.491101,23673.45,0.0,0.0
235,197682.538696,23673.45,0.0,0.0
236,188857.634453,18413.9584219,0.0,0.0
237,188857.634453,7308.61524263,0.0,0.0
238,186499.067505,2102.20236,0.0,0.0
239,181640.522896,2102.20236,0.0,0.0
240,179607.568083,2102.20236,0.0,0.0
241,176396.62965,2052.488115,0.0,0.0
242,173513.249128,2052.488115,0.0,0.0
243,172417.616456,2052.488115,0.0,0.0
244,175892.841174,2052.488115,0.0,0.0
245,182399.08089,2052.488115,0.0,0.0
246,188507.292512,4795.50764358,0.0,0.0
247,188507.292512,15756.6410548,0.0,0.0
248,188507.292512,20900.9880411,0.0,0.0
249,169160.844614,2052.488115,0.0,0.0
250,128755.376005,2052.488115,0.0,0.0
251,85084.6795434,2052.488115,0.0,0.0
252,42573.4568736,2052.488115,0.0,0.0
253,19887.4492575,2052.488115,0.0,0.0
254,23742.2827833,2052.488115,0.0,0.0
255,43326.0456281,2052.488115,0.0,0.0
256,80391.7409945,2052.488115,0.0,0.0
257,142134.782925,2052.488115,0.0,0.0
258,199854.486737,23673.45,0.0,0.0
259,212135.136592,23673.45,0.0,0.0
260,199756.82722,23673.45,0.0,0.0
261,188507.292512,22782.6151184,0.0,0.0
262,188507.292512,12215.7399365,0.0,0.0
263,188507.292512,4822.84058061,0.0,0.0
264,185783.374859,2052.488115,0.0,0.0
265,181810.708897,2033.549355,0.0,0.0
266,177897.663387,2033.549355,0.0,0.0
267,178286.49719,2033.549355,0.0,0.0
268,182597.809944,2033.549355,0.0,0.0
269,189936.281554,2033.549355,0.0,0.0
270,191262.517674,9147.65532927,0.0,0.0
271,191262.517674,19146.3455458,0.0,0.0
272,191262.517674,22096.5546992,0.0,0.0
273,169821.012723,2033.549355,0.0,0.0
274,127743.533147,2033.549355,0.0,0.0
275,83429.9086982,2033.549355,0.0,0.0
276,47518.249961,2033.549355,0.0,0.0
277,30440.1859337,2033.549355,0.0,0.0
278,30101.6334747,2033.549355,0.0,0.0
279,46531.626618,2033.549355,0.0,0.0
280,80447.6087641,2033.549355,0.0,0.0
281,136803.411281,2033.549355,0.0,0.0
282,191262.517674,23571.8253805,0.0,0.0
283,198747.195561,23673.45,0.0,0.0
284,191262.517674,18715.2259257,0.0,0.0
285,191262.517674,9317.01275608,0.0,0.0
286,191262.517674,5666.07444716,0.0,0.0
287,191262.517674,5917.69935209,0.0,0.0
288,191262.517674,7765.86009428,0.0,0.0
289,198680.774341,2069.05953,0.0,0.0
290,197997.03417,2069.05953,0.0,0.0
291,199582.226384,2069.05953,0.0,0.0
292,204237.928716,2069.05953,0.0,0.0
293,208394.636501,4413.90648536,0.0,0.0
294,208394.636501,13003.8838554,0.0,0.0
295,208394.636501,22511.1734627,0.0,0.0
296,209548.112536,23673.45,0.0,0.0
297,186898.199676,2069.05953,0.0,0.0
298,138837.260097,2069.05953,0.0,0.0
299,95665.9624247,2069.05953,0.0,0.0
300,59511.3500232,2069.05953,0.0,0.0
301,44571.0874172,2069.05953,0.0,0.0
302,47478.9672925,2069.05953,0.0,0.0
303,66860.4499383,2069.05953,0.0,0.0
304,100171.468123,2069.05953,0.0,0.0
305,156134.744653,2069.05953,0.0,0.0
306,208394.636501,21620.0942679,0.0,0.0
307,215792.374327,23673.45,0.0,0.0
308,208394.636501,19714.0329904,0.0,0.0
309,208394.636501,9895.24039126,0.0,0.0
310,208394.636501,3946.27009688,0.0,0.0
311,204712.520583,2069.05953,0.0,0.0
312,201479.303881,2069.05953,0.0,0.0
313,197078.408717,2166.120675,0.0,0.0
314,193539.227554,2166.120675,0.0,0.0
315,193223.384852,2166.120675,0.0,0.0
316,199207.715698,2166.120675,0.0,0.0
317,199734.60473,8919.02407104,0.0,0.0
318,199734.60473,17857.136695,0.0,0.0
319,204819.791156,23673.45,0.0,0.0
320,205550.26416,23673.45,0.0,0.0
321,180760.988232,2166.120675,0.0,0.0
322,131180.62572,2166.120675,0.0,0.0
323,86629.6922903,2166.120675,0.0,0.0
