Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,199013.497312,1396.73355,0.0,0.0
2,195176.986116,1396.73355,0.0,0.0
3,196780.135898,1396.73355,0.0,0.0
4,200398.087554,1396.73355,0.0,0.0
5,198816.280992,1396.73355,8452.67066605,0.0
6,200567.569357,1396.73355,15000.0,0.0
7,202775.48076,23673.45,0.0,0.0
8,198816.280992,23673.45,6547.32933395,0.0
9,196993.845905,1396.73355,0.0,0.0
10,162719.384881,1396.73355,0.0,0.0
11,131589.205802,1396.73355,0.0,-3855.70704505
12,118069.895829,1396.73355,0.0,-15000.0
13,105914.646749,1396.73355,0.0,-15000.0
14,108522.187257,1396.73355,0.0,-15000.0
15,116976.254939,1396.73355,0.0,-15000.0
16,131589.205802,1396.73355,0.0,-6732.52824907
17,168236.526216,1396.73355,0.0,0.0
18,200265.838214,12741.3343056,15000.0,0.0
19,199699.269059,23673.45,10723.3071777,0.0
20,199699.269059,23673.45,4276.69282226,0.0
21,200265.838214,19877.6833402,0.0,0.0
22,200265.838214,11783.3774042,0.0,0.0
23,203251.045552,1396.73355,0.0,0.0
24,198785.173641,1396.73355,0.0,0.0
25,196206.724725,1361.223375,0.0,0.0
26,194541.556403,1361.223375,0.0,0.0
27,194809.335787,1361.223375,0.0,0.0
28,199283.893693,1361.223375,0.0,0.0
29,206641.782933,1361.223375,0.0,0.0
30,211136.107726,1361.223375,4720.07521637,0.0
31,211202.02704,1361.223375,15000.0,0.0
32,211136.107726,10486.2738915,10279.9247836,0.0
33,200830.151459,1361.223375,0.0,0.0
34,168145.282696,1361.223375,0.0,0.0
35,143544.33774,1361.223375,0.0,-8359.64732139
36,127374.042649,1361.223375,0.0,-15000.0
37,119837.388589,1361.223375,0.0,-15000.0
38,121125.077186,1361.223375,0.0,-15000.0
39,129583.564122,1361.223375,0.0,-15000.0
40,143544.33774,1361.223375,0.0,-2228.58797273
41,187776.095982,1361.223375,0.0,0.0
42,218437.152788,23673.45,8236.46924482,0.0
43,217417.007711,23673.45,15000.0,0.0
44,218437.152788,23673.45,6763.53075518,0.0
45,215754.245318,23673.45,0.0,0.0
46,211136.107726,18832.0328438,0.0,0.0
47,211136.107726,11156.3195025,0.0,0.0
48,211136.107726,5892.66516217,0.0,0.0
49,211594.525175,1427.509035,0.0,0.0
50,208606.143547,1427.509035,0.0,0.0
51,208521.063975,1427.509035,0.0,0.0
52,211583.064076,1427.509035,0.0,0.0
53,218436.410377,1427.509035,0.0,0.0
54,228135.032251,1427.509035,0.0,0.0
55,224368.013021,1427.509035,15000.0,0.0
56,229521.233694,1427.509035,15000.0,0.0
57,214678.611376,1427.509035,0.0,0.0
58,181018.815334,1427.509035,0.0,0.0
59,151385.191034,1427.509035,0.0,-7014.08724617
60,135464.112808,1427.509035,0.0,-15000.0
61,122479.992157,1427.509035,0.0,-15000.0
62,120986.539004,1427.509035,0.0,-15000.0
63,133439.583599,1427.509035,0.0,-15000.0
64,151385.191034,1427.509035,0.0,-3574.14804795
65,195768.520451,1427.509035,0.0,0.0
66,234702.890758,23673.45,0.0,0.0
67,229649.583944,23673.45,15000.0,0.0
68,230925.433188,23673.45,10765.6977892,0.0
69,230925.433188,23673.45,4234.30221082,0.0
70,226952.100552,23673.45,0.0,0.0
71,228088.023851,13673.3713499,0.0,0.0
72,228088.023851,6532.39045513,0.0,0.0
73,216665.250587,1581.38646,10682.7009646,0.0
74,216665.250587,1581.38646,6641.86115345,0.0
75,216665.250587,1581.38646,5131.50219597,0.0
76,216665.250587,1581.38646,7543.93568593,0.0
77,221042.198225,9048.07652214,0.0,0.0
78,221042.198225,15198.0242835,0.0,0.0
79,219493.55626,23673.45,0.0,0.0
80,219959.406018,23673.45,0.0,0.0
81,205689.844581,1581.38646,0.0,0.0
82,166747.605872,1581.38646,0.0,0.0
83,138322.53412,1581.38646,0.0,-6942.41761063
84,123299.366468,1581.38646,0.0,-15000.0
85,108525.736567,1581.38646,0.0,-15000.0
86,108990.346025,1581.38646,0.0,-15000.0
87,121062.018,1581.38646,0.0,-15000.0
88,138322.53412,1581.38646,0.0,-3645.81768349
89,179971.979812,1581.38646,0.0,0.0
90,221042.198225,18103.5276578,0.0,0.0
91,221042.198225,19909.9050161,7038.0007115,0.0
92,221042.198225,9276.38131073,15000.0,0.0
93,221042.198225,18655.6672497,0.0,0.0
94,221042.198225,1581.38646,7961.9992885,0.0
95,222021.186431,1581.38646,0.0,0.0
96,218221.91663,1581.38646,0.0,0.0
97,215782.816547,1676.08026,0.0,0.0
98,214703.425348,1676.08026,0.0,0.0
99,216484.23353,1676.08026,0.0,0.0
100,219844.95051,1676.08026,0.0,0.0
101,218724.082825,1676.08026,6283.58436986,0.0
102,218724.082825,5945.50208838,8716.41563014,0.0
103,217023.619581,23673.45,0.0,0.0
104,218724.082825,8278.51785162,15000.0,0.0
105,203594.421167,1676.08026,0.0,0.0
106,165274.586261,1676.08026,0.0,0.0
107,135828.258709,1676.08026,0.0,-5629.1812657
108,119790.267907,1676.08026,0.0,-15000.0
109,104456.849152,1676.08026,0.0,-15000.0
110,103798.380561,1676.08026,0.0,-15000.0
111,116564.460394,1676.08026,0.0,-15000.0
112,135828.258709,1676.08026,0.0,-4959.05402842
113,178632.869,1676.08026,0.0,0.0
114,218735.535785,23673.45,0.0,0.0
115,217616.989197,23673.45,11218.3278617,0.0
116,217616.989197,23673.45,9154.0733576,0.0
117,221750.506119,23673.45,0.0,0.0
118,213752.93836,23673.45,0.0,0.0
119,217616.989197,1676.08026,9627.59878074,0.0
120,220995.863304,1676.08026,0.0,0.0
121,215663.498314,1784.97813,0.0,0.0
122,211321.227737,1784.97813,0.0,0.0
123,209335.700975,1784.97813,0.0,0.0
124,212033.880616,1784.97813,0.0,0.0
125,217640.890582,1784.97813,0.0,0.0
126,217188.093157,10593.4614954,0.0,0.0
127,217188.093157,5124.10035879,15000.0,0.0
128,217188.093157,9435.50069677,15000.0,0.0
129,206403.961913,1784.97813,0.0,0.0
130,170062.818271,1784.97813,0.0,0.0
131,140688.045438,1784.97813,0.0,-4105.63273298
132,126232.883126,1784.97813,0.0,-15000.0
133,112081.243929,1784.97813,0.0,-15000.0
134,110243.538682,1784.97813,0.0,-15000.0
135,120734.780144,1784.97813,0.0,-15000.0
136,140688.045438,1784.97813,0.0,-6482.60256114
137,183972.909515,1784.97813,0.0,0.0
138,224137.085709,23673.45,3901.41573958,0.0
139,224303.762205,23673.45,15000.0,0.0
140,224137.085709,23673.45,11098.5842604,0.0
141,228129.697732,23673.45,0.0,0.0
142,217429.704679,23673.45,0.0,0.0
143,217188.093157,12787.019599,0.0,0.0
144,219785.14767,1784.97813,0.0,0.0
145,213560.944941,1825.222995,0.0,0.0
146,209467.48153,1825.222995,0.0,0.0
147,208074.726109,1825.222995,0.0,0.0
148,211056.601661,1825.222995,0.0,0.0
149,217443.377409,1825.222995,0.0,0.0
150,221163.193206,1825.222995,5849.16682762,0.0
151,223006.704127,1825.222995,15000.0,0.0
152,221163.193206,14494.6472647,9150.83317238,0.0
153,210047.778244,1825.222995,0.0,0.0
154,171655.588734,1825.222995,0.0,0.0
155,139735.203311,1825.222995,0.0,-5294.75974124
156,121950.235024,1825.222995,0.0,-15000.0
157,107837.313597,1825.222995,0.0,-15000.0
