Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,18018.6250212,1396.73355,0.0,0.0
2,10683.2294724,1396.73355,0.0,0.0
3,12424.9075522,1396.73355,0.0,0.0
4,22816.038254,1396.73355,0.0,0.0
5,37974.1970796,1396.73355,0.0,0.0
6,57886.887202,1396.73355,0.0,0.0
7,86902.0248044,1396.73355,0.0,0.0
8,116521.207635,1396.73355,0.0,0.0
9,142257.862327,13482.3673624,0.0,0.0
10,148060.671365,23673.45,0.0,0.0
11,142693.822364,23673.45,0.0,0.0
12,142257.862327,21379.4939029,0.0,0.0
13,142257.862327,9726.11056317,0.0,0.0
14,142257.862327,17207.0085615,0.0,0.0
15,142257.862327,21347.2178411,0.0,0.0
16,142257.862327,10003.8303688,0.0,0.0
17,137226.354165,1396.73355,0.0,0.0
18,133017.192549,1396.73355,0.0,0.0
19,118421.260803,1396.73355,0.0,0.0
20,84996.9786591,1396.73355,0.0,0.0
21,59157.7262526,1396.73355,0.0,0.0
22,48374.3182551,1396.73355,0.0,0.0
23,37596.5380686,1396.73355,0.0,0.0
24,35906.8174129,1396.73355,0.0,0.0
25,30700.8615179,1361.223375,0.0,0.0
26,30583.003435,1361.223375,0.0,0.0
27,34488.8382789,1361.223375,0.0,0.0
28,47481.6986531,1361.223375,0.0,0.0
29,64395.8207958,1361.223375,0.0,0.0
30,85628.7681239,1361.223375,0.0,0.0
31,111878.998527,1361.223375,0.0,0.0
32,148075.752544,1361.223375,0.0,0.0
33,189469.43703,1361.223375,0.0,0.0
34,201923.884892,12423.3699878,0.0,0.0
35,201923.884892,13596.1993446,0.0,0.0
36,201923.884892,21481.0753704,0.0,0.0
37,206088.330367,23673.45,0.0,0.0
38,202408.297148,23673.45,0.0,0.0
39,202146.956684,23673.45,0.0,0.0
40,201923.884892,15635.4937162,0.0,0.0
41,201923.884892,6904.60298099,0.0,0.0
42,196226.187426,1361.223375,0.0,0.0
43,178335.203686,1361.223375,0.0,0.0
44,140280.212086,1361.223375,0.0,0.0
45,105143.832308,1361.223375,0.0,0.0
46,89419.950112,1361.223375,0.0,0.0
47,80185.8449433,1361.223375,0.0,0.0
48,70705.6650778,1361.223375,0.0,0.0
49,64348.4970738,1427.509035,0.0,0.0
50,63750.5449348,1427.509035,0.0,0.0
51,67451.0870909,1427.509035,0.0,0.0
52,73602.4786302,1427.509035,0.0,0.0
53,87658.3504478,1427.509035,0.0,0.0
54,111882.533221,1427.509035,0.0,0.0
55,142507.911362,1427.509035,0.0,0.0
56,180944.115723,1427.509035,0.0,0.0
57,221772.430934,1427.509035,0.0,0.0
58,232884.950865,14387.7595401,0.0,0.0
59,233446.143295,23673.45,0.0,0.0
60,235976.770332,23673.45,0.0,0.0
61,236241.155416,23673.45,0.0,0.0
62,232884.950865,12879.8114446,0.0,0.0
63,232884.950865,6507.72354729,0.0,0.0
64,232884.950865,2876.89827276,0.0,0.0
65,232884.950865,5187.66890915,0.0,0.0
66,232884.950865,11779.590043,0.0,0.0
67,232884.950865,15042.8532689,0.0,0.0
68,232884.950865,4600.3929192,0.0,0.0
69,215899.151124,1427.509035,0.0,0.0
70,206592.806779,1427.509035,0.0,0.0
71,193851.397137,1427.509035,0.0,0.0
72,178972.829011,1427.509035,0.0,0.0
73,161553.594814,1581.38646,0.0,0.0
74,154104.640319,1581.38646,0.0,0.0
75,152984.930324,1581.38646,0.0,0.0
76,155435.86236,1581.38646,0.0,0.0
77,159631.366146,1581.38646,0.0,0.0
78,172227.031525,1581.38646,0.0,0.0
79,195863.45742,1581.38646,0.0,0.0
80,206147.800801,14728.533455,0.0,0.0
81,215056.972029,23673.45,0.0,0.0
82,230103.905252,23673.45,0.0,0.0
83,218901.484798,23673.45,0.0,0.0
84,208989.699618,23673.45,0.0,0.0
85,206147.800801,20310.1397295,0.0,0.0
86,206147.800801,6224.62239549,0.0,0.0
87,206089.458496,1581.38646,0.0,0.0
88,199312.959433,1581.38646,0.0,0.0
89,188778.018389,1581.38646,0.0,0.0
90,189192.269295,1581.38646,0.0,0.0
91,175604.103686,1581.38646,0.0,0.0
92,156039.71753,1581.38646,0.0,0.0
93,140989.37165,1581.38646,0.0,0.0
94,129110.667104,1581.38646,0.0,0.0
95,125563.219425,1581.38646,0.0,0.0
96,130745.930238,1581.38646,0.0,0.0
97,88377.9286131,1676.08026,0.0,0.0
