Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,139627.776106,1396.73355,0.0,0.0
2,137497.5866,1396.73355,0.0,0.0
3,141468.920531,1396.73355,0.0,0.0
4,148485.889677,1396.73355,0.0,0.0
5,157712.562541,1396.73355,0.0,0.0
6,167858.736619,1396.73355,0.0,0.0
7,177443.487387,1396.73355,0.0,0.0
8,187492.80047,1396.73355,0.0,0.0
9,185664.917724,16022.9189507,0.0,0.0
10,185973.289745,23673.45,0.0,0.0
11,185664.917724,19549.5410667,0.0,0.0
12,185664.917724,15032.0617303,0.0,0.0
13,185664.917724,12546.1826068,0.0,0.0
14,185664.917724,15291.0458985,0.0,0.0
15,185664.917724,14393.5583841,0.0,0.0
16,185664.917724,10789.8371925,0.0,0.0
17,185664.917724,6918.43073587,0.0,0.0
18,185664.917724,9069.36913456,0.0,0.0
19,186255.129278,1396.73355,0.0,0.0
20,169825.371218,1396.73355,0.0,0.0
21,157536.191694,1396.73355,0.0,0.0
22,149339.650306,1396.73355,0.0,0.0
23,144189.163566,1396.73355,0.0,0.0
24,143667.24219,1396.73355,0.0,0.0
25,145398.961175,1361.223375,0.0,0.0
26,147176.900095,1361.223375,0.0,0.0
27,149450.938219,1361.223375,0.0,0.0
28,157895.145245,1361.223375,0.0,0.0
29,168961.336397,1361.223375,0.0,0.0
30,180117.12869,1361.223375,0.0,0.0
31,192306.353444,1361.223375,0.0,0.0
32,205043.762803,1361.223375,0.0,0.0
33,220426.139008,1361.223375,0.0,0.0
34,223300.850309,10001.3172401,0.0,0.0
35,223300.850309,10314.585221,0.0,0.0
36,223300.850309,13470.4923644,0.0,0.0
37,223300.850309,17213.0556734,0.0,0.0
38,223300.850309,19009.5601829,0.0,0.0
39,223300.850309,19176.8908152,0.0,0.0
40,223300.850309,18611.3905039,0.0,0.0
41,223300.850309,18456.1586512,0.0,0.0
42,223300.850309,16168.864123,0.0,0.0
43,226447.316661,1361.223375,0.0,0.0
44,206933.146293,1361.223375,0.0,0.0
45,189364.452609,1361.223375,0.0,0.0
46,178950.881896,1361.223375,0.0,0.0
47,172608.091474,1361.223375,0.0,0.0
48,170985.899292,1361.223375,0.0,0.0
49,170415.298187,1427.509035,0.0,0.0
50,170418.992101,1427.509035,0.0,0.0
51,171992.353509,1427.509035,0.0,0.0
52,177381.412333,1427.509035,0.0,0.0
53,186577.36728,1427.509035,0.0,0.0
54,198127.257401,1427.509035,0.0,0.0
55,211364.946842,1427.509035,0.0,0.0
56,224808.174871,1427.509035,0.0,0.0
57,240696.760306,1427.509035,0.0,0.0
58,240599.304919,13008.8432646,0.0,0.0
59,240599.304919,12714.8605394,0.0,0.0
60,240599.304919,13515.6083552,0.0,0.0
61,240599.304919,14007.7226549,0.0,0.0
62,240599.304919,13772.9695588,0.0,0.0
63,240599.304919,12596.9519574,0.0,0.0
64,240599.304919,12518.3373424,0.0,0.0
65,240599.304919,15171.4745215,0.0,0.0
66,240599.304919,17110.8901581,0.0,0.0
67,240599.304919,13952.0229147,0.0,0.0
68,240599.304919,5913.36667789,0.0,0.0
69,235147.402971,1427.509035,0.0,0.0
70,227467.834381,1427.509035,0.0,0.0
71,221616.947006,1427.509035,0.0,0.0
72,216590.817301,1427.509035,0.0,0.0
73,212837.586016,1581.38646,0.0,0.0
74,210236.640216,1581.38646,0.0,0.0
75,210504.542462,1581.38646,0.0,0.0
76,214411.474634,1581.38646,0.0,0.0
77,219140.561535,1581.38646,0.0,0.0
78,224695.980671,1581.38646,0.0,0.0
79,224959.254587,6972.16632201,0.0,0.0
80,224959.254587,12326.4281299,0.0,0.0
81,220784.296792,23673.45,0.0,0.0
82,225962.87338,23673.45,0.0,0.0
83,221213.029062,23673.45,0.0,0.0
84,224959.254587,17398.1076719,0.0,0.0
85,224959.254587,13976.8485148,0.0,0.0
86,224959.254587,10332.1299718,0.0,0.0
87,224959.254587,7093.83788969,0.0,0.0
88,228407.111628,1581.38646,0.0,0.0
89,226980.592518,1581.38646,0.0,0.0
90,226003.149785,1581.38646,0.0,0.0
91,220571.715053,1581.38646,0.0,0.0
92,210905.384301,1581.38646,0.0,0.0
93,200473.821642,1581.38646,0.0,0.0
94,187855.305182,1581.38646,0.0,0.0
95,181251.046126,1581.38646,0.0,0.0
96,179631.685864,1581.38646,0.0,0.0
97,182186.636869,1676.08026,0.0,0.0
98,185513.085026,1676.08026,0.0,0.0
99,191191.566159,1676.08026,0.0,0.0
100,198121.618707,1676.08026,0.0,0.0
101,204657.215171,1676.08026,0.0,0.0
102,211001.999465,1676.08026,0.0,0.0
103,218560.491253,1676.08026,0.0,0.0
104,226510.410375,1676.08026,0.0,0.0
105,226323.485533,8803.64241736,0.0,0.0
106,226323.485533,15030.2116546,0.0,0.0
107,226323.485533,18232.1999022,0.0,0.0
108,226323.485533,17758.5472843,0.0,0.0
109,226323.485533,16151.5418824,0.0,0.0
110,226323.485533,15143.6854593,0.0,0.0
111,226323.485533,13717.5190292,0.0,0.0
112,226323.485533,13313.4133268,0.0,0.0
113,226323.485533,14424.0486438,0.0,0.0
114,226323.485533,15851.6850362,0.0,0.0
115,226323.485533,12866.4660838,0.0,0.0
116,230204.724533,1676.08026,0.0,0.0
117,221686.422929,1676.08026,0.0,0.0
118,212717.328452,1676.08026,0.0,0.0
119,204603.03202,1676.08026,0.0,0.0
120,198869.084321,1676.08026,0.0,0.0
121,194337.8389,1784.97813,0.0,0.0
122,190676.267485,1784.97813,0.0,0.0
123,189038.212809,1784.97813,0.0,0.0
124,192922.274909,1784.97813,0.0,0.0
125,199480.835247,1784.97813,0.0,0.0
126,208610.067102,1784.97813,0.0,0.0
127,218518.208905,1784.97813,0.0,0.0
128,229654.180479,1784.97813,0.0,0.0
129,230353.244773,13132.6863274,0.0,0.0
130,227613.026062,23673.45,0.0,0.0
131,228140.704054,23673.45,0.0,0.0
132,230353.244773,17891.1308124,0.0,0.0
133,230353.244773,14948.5080468,0.0,0.0
134,230353.244773,11818.2359401,0.0,0.0
135,230353.244773,9516.68650172,0.0,0.0
136,230353.244773,9176.9143082,0.0,0.0
137,230353.244773,12197.8802083,0.0,0.0
138,230353.244773,14402.3854228,0.0,0.0
139,230353.244773,9445.9608424,0.0,0.0
140,225365.819433,1784.97813,0.0,0.0
141,212334.908366,1784.97813,0.0,0.0
142,198898.586861,1784.97813,0.0,0.0
143,186349.002848,1784.97813,0.0,0.0
144,177020.05175,1784.97813,0.0,0.0
145,170837.304124,1825.222995,0.0,0.0
146,167501.775435,1825.222995,0.0,0.0
147,167017.316948,1825.222995,0.0,0.0
148,171244.085041,1825.222995,0.0,0.0
149,180339.422322,1825.222995,0.0,0.0
150,191723.006935,1825.222995,0.0,0.0
151,204261.839179,1825.222995,0.0,0.0
152,217663.37234,1825.222995,0.0,0.0
153,225592.373449,8117.58744048,0.0,0.0
154,222518.223627,23673.45,0.0,0.0
155,222489.739939,23673.45,0.0,0.0
156,225592.373449,16308.291402,0.0,0.0
157,225592.373449,13706.8542405,0.0,0.0
158,225592.373449,11594.1595724,0.0,0.0
159,225592.373449,10170.0512448,0.0,0.0
160,225592.373449,9765.17007339,0.0,0.0
161,225592.373449,12634.0439709,0.0,0.0
162,225592.373449,16858.2088752,0.0,0.0
163,225592.373449,12852.8383453,0.0,0.0
164,224328.031133,1825.222995,0.0,0.0
165,213820.750105,1825.222995,0.0,0.0
166,202814.912511,1825.222995,0.0,0.0
