,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,36323.9299324,184208.344388,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,234669,120000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,35313.7167238,180747.207596,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,230127,120000.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,33936.7743935,182515.499927,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,230589,120000.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,31687.2438876,186664.030432,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,232488,120000.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,29396.3785019,194034.895818,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,237568,120000.0
6,8248.71622671,2295.33513,3430.0,748.413,0.0,28283.3536433,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,245111,120000.0
7,17727.8378269,2295.33513,3430.0,748.413,0.0,28078.2320431,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,254385,120000.0
8,23578.9396375,2295.33513,3430.0,748.413,3714.45790638,28318.6723261,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,264191,120000.0
9,15791.9122912,2295.33513,3430.0,748.413,21210.3386689,26501.8189098,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272083,120000.0
10,4170.66848355,2295.33513,3430.0,748.413,39355.4741335,24973.927253,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,277079,120000.0
11,1396.73355,2295.33513,3430.0,748.413,54110.7983455,26714.1944065,181473.931568,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,276365,120000.0
12,1396.73355,2295.33513,3430.0,748.413,62899.5152318,28148.9232087,167698.485879,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,272813,120000.0
13,1396.73355,2295.33513,3430.0,748.413,65995.0193725,27615.4487681,162877.203,5213.664,176.4,19.2,0.0,0.0,-1835.41682062,0.0,267932,121560.104298
14,1396.73355,2295.33513,3430.0,748.413,63411.1307742,23993.7246297,162657.550962,5213.664,176.4,19.2,0.0,0.0,-509.152046077,0.0,262833,121992.883537
15,1396.73355,2295.33513,3430.0,748.413,59051.2717565,22324.7925415,163648.590022,5213.664,252.0,19.2,0.0,0.0,0.0,0.0,258380,121992.883537
16,1396.73355,2295.33513,3430.0,748.413,47818.4124675,23460.512689,171750.999163,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,257096,121992.883537
17,1396.73355,2295.33513,3430.0,748.413,28810.2378973,25628.4391346,190275.597288,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,258851,121992.883537
18,23673.45,2295.33513,3430.0,748.413,3966.40105263,25102.3504905,195838.938,5876.244,370.8,19.2,0.0,56.8683268612,0.0,0.0,261378,121936.01521
19,23068.0214069,2295.33513,3430.0,748.413,0.0,28674.0332532,195838.938,5876.244,370.8,19.2,0.0,1936.01520983,0.0,0.0,262257,120000.0
20,17003.579284,2295.33513,3430.0,748.413,0.0,35391.490586,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,260974,120000.0
21,8626.5369931,2295.33513,3430.0,748.413,0.0,39316.5328769,195838.938,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,256522,120000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,39706.4341872,194897.840133,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,248741,120000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,38285.8300782,187965.444242,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,240388,120000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,35532.3104175,184171.963903,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,233841,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,32433.8338245,182648.583,5954.094,370.8,19.2,0.0,0.0,-186.046259524,0.0,229061,120158.139321
26,1361.223375,2280.89906,3430.0,748.413,0.0,30116.3573517,182381.283,5954.094,370.8,19.2,0.0,0.0,-1164.2697867,0.0,225498,121147.768639
27,1361.223375,2280.89906,3430.0,748.413,0.0,27977.8443918,182648.583,5954.094,370.8,19.2,0.0,0.0,-448.056826823,0.0,224343,121528.616942
28,1361.223375,2280.89906,3430.0,748.413,0.0,25314.986487,187170.384078,5954.094,370.8,19.2,0.0,0.0,0.0,0.0,226650,121528.616942
29,1361.223375,2280.89906,3430.0,748.413,0.0,23211.2745102,195023.446055,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,232470,121528.616942
30,1361.223375,2280.89906,3430.0,748.413,0.0,22222.7371911,204475.983374,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,240934,121528.616942
31,9000.9265261,2280.89906,3430.0,748.413,0.0,21559.0344139,207466.983,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,250901,121528.616942
32,16327.48332,2280.89906,3430.0,748.413,3644.07755717,20636.1000628,207734.283,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,261216,121528.616942
33,10355.1834619,2280.89906,3430.0,748.413,21571.9503223,17977.8271557,207466.983,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,270246,121528.616942
34,1361.223375,2280.89906,3430.0,748.413,40163.9695376,14990.068809,206004.682218,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,275394,121528.616942
35,1361.223375,2280.89906,3430.0,748.413,54112.0437503,14818.8492923,191292.477522,5954.094,370.8,19.2,0.0,0.0,0.0,0.0,274388,121528.616942
36,1361.223375,2280.89906,3430.0,748.413,63970.0880019,11971.9534769,182381.283,5954.094,370.8,19.2,0.0,0.0,-1773.95391383,0.0,270714,123036.477769
37,1361.223375,2280.89906,3430.0,748.413,66444.725584,8069.09517527,182648.583,5954.094,370.8,19.2,0.0,0.0,-4915.03319427,0.0,266412,127214.255984
38,1361.223375,2280.89906,3430.0,748.413,65628.6968083,5705.79292477,182564.236098,5954.094,370.8,19.2,0.0,0.0,-4867.35526581,0.0,263196,131351.50796
39,1361.223375,2280.89906,3430.0,748.413,62374.9622764,4501.5329105,182381.283,5954.094,370.8,19.2,0.0,0.0,-1676.40762192,0.0,261746,132776.454439
40,1361.223375,2280.89906,3430.0,748.413,51131.8269608,5199.49277102,192658.400833,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,263225,132776.454439
41,8933.70941972,2280.89906,3430.0,748.413,31818.1824487,6843.0690716,207466.983,6024.744,370.8,19.2,0.0,0.0,0.0,0.0,267936,132776.454439
42,23673.45,2280.89906,3430.0,748.413,4756.02648212,9124.62256188,215522.838,6173.244,370.8,19.2,0.0,6274.506896,0.0,0.0,272374,126501.947543
