Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,76034.4493128,147060.062007,3508.407,176.4,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,73452.6754595,145554.020861,3222.522,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,70522.6189463,148491.892374,3508.407,176.4,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,65671.4799651,153635.774355,5114.664,176.4,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,61068.2533278,162433.670992,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,5424.47529965,2295.33513,3430.0,748.413,0.0,58814.9945703,168131.538,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,15189.7587964,2295.33513,3430.0,748.413,0.0,58323.7110736,168131.538,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,22433.7867498,2295.33513,3430.0,748.413,2938.84635372,57946.8367664,168131.538,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,21530.2723211,2295.33513,3430.0,748.413,16105.1373469,53576.0602021,168131.538,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,15746.1171648,2295.33513,3430.0,748.413,29706.7917338,50799.295907,168086.803064,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,40698.6661831,54025.3753759,167504.232761,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,47032.11369,55128.9428472,156898.167783,5612.094,252.0,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,48822.2750931,52920.8956065,153105.28362,5017.464,176.4,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,47056.0364611,46103.5814399,156195.636419,5336.064,252.0,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,43897.6352606,43082.7962936,157493.538,5764.3487658,252.0,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,35617.1196021,45464.0972157,161948.707502,5805.594,370.8,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,6395.53853705,2295.33513,3430.0,748.413,21552.3906422,50209.7406908,167953.338,5876.244,370.8,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,23673.45,2295.33513,3430.0,748.413,3034.6353273,50465.6684204,168892.938,5876.244,1312.803,1648.51312227,0.0,0.0,0.0,0.0,261378,0.0
