Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,17179.98887,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,664.911,19.2,0.0,0.0,0.0,0.0,234669,120000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,11335.75532,0.0,0.0,230127,108664.24468
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,11797.75532,0.0,0.0,230589,96866.48936
4,14998.98887,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,664.911,19.2,0.0,0.0,0.0,0.0,232488,96866.48936
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,18776.75532,0.0,0.0,237568,78089.73404
6,7286.58387563,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,20429.9049944,0.0,0.0,245111,57659.8290456
7,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,35593.75532,0.0,0.0,254385,22066.0737256
8,1396.73355,2295.33513,3430.0,748.413,23333.6815944,0.0,201838.338,8492.814,570.411,19.2,0.0,22066.0737256,0.0,0.0,264191,0.0
9,1396.73355,2295.33513,3430.0,748.413,118679.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,0.0,11495.0,272083,0.0
10,1396.73355,2295.33513,3430.0,748.413,123675.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,0.0,110665.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,182961.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,-60000.0,135283.0,276365,51000.0
12,1396.73355,2295.33513,3430.0,748.413,179409.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,-60000.0,189354.0,272813,102000.0
13,1396.73355,2295.33513,3430.0,748.413,114528.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,0.0,273424.0,267932,102000.0
14,1396.73355,2295.33513,3430.0,748.413,169429.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,-60000.0,202458.0,262833,153000.0
15,1396.73355,2295.33513,3430.0,748.413,164976.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,-60000.0,172583.0,258380,204000.0
16,1396.73355,2295.33513,3430.0,748.413,146045.215896,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,-42352.9411765,118713.0,257096,240000.0
17,1396.73355,2295.33513,3430.0,748.413,105447.27472,0.0,141286.8366,4246.407,0.0,0.0,0.0,0.0,0.0,42281.0,258851,240000.0
18,23673.45,2295.33513,3430.0,748.413,17309.7924073,0.0,201838.338,8492.814,570.411,19.2,0.0,3000.2464627,0.0,0.0,261378,236999.753537
19,1396.73355,2295.33513,3430.0,748.413,929.785625061,0.0,201838.338,8492.814,570.411,19.2,0.0,42535.9696949,0.0,0.0,262257,194463.783842
20,14334.9892444,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,660.42097327,19.2,0.0,29154.4896524,0.0,0.0,260974,165309.29419
21,23673.45,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,15454.03887,0.0,0.0,256522,149855.25532
22,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,664.911,19.2,0.0,29855.25532,0.0,0.0,248741,120000.0
23,22993.48887,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,570.411,19.2,0.0,0.0,0.0,0.0,240388,120000.0
24,16351.98887,2295.33513,3430.0,748.413,0.0,0.0,201838.338,8492.814,664.911,19.2,0.0,0.0,0.0,0.0,233841,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,10404.067565,0.0,0.0,229061,109595.932435
26,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203198.832629,7184.529,370.8,19.2,0.0,6904.10293588,0.0,0.0,225498,102691.829499
27,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,5686.067565,0.0,0.0,224343,97005.7619341
28,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,7993.067565,0.0,0.0,226650,89012.6943691
29,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,13813.067565,0.0,0.0,232470,75199.6268041
30,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,22277.067565,0.0,0.0,240934,52922.5592391
31,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,203261.868,7184.529,370.8,19.2,0.0,32244.067565,0.0,0.0,250901,20678.4916741
32,1361.223375,2280.89906,3430.0,748.413,21880.5758909,0.0,203261.868,7184.529,370.8,19.2,0.0,20678.4916741,0.0,0.0,261216,0.0
33,1361.223375,2280.89906,3430.0,748.413,114381.670965,0.0,143797.3866,4246.407,0.0,0.0,0.0,0.0,0.0,14779.0,270246,0.0
34,1361.223375,2280.89906,3430.0,748.413,161882.612141,0.0,143797.3866,4246.407,0.0,0.0,0.0,0.0,-42352.9411765,69208.0,275394,36000.0
35,1361.223375,2280.89906,3430.0,748.413,178523.670965,0.0,143797.3866,4246.407,0.0,0.0,0.0,0.0,-60000.0,133614.0,274388,87000.0
36,1361.223375,2280.89906,3430.0,748.413,174849.670965,0.0,143797.3866,4246.407,0.0,0.0,0.0,0.0,-60000.0,187439.0,270714,138000.0
37,1361.223375,2280.89906,3430.0,748.413,110547.670965,0.0,143797.3866,4246.407,0.0,0.0,0.0,0.0,0.0,272962.0,266412,138000.0
