Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,175770.893299,91867.3632,2275.542,8.1,19.2,0.0,0.0,-43142.5801788,0.0,234669,156671.193152
2,1396.73355,2295.33513,3430.0,748.413,0.0,168831.288848,91111.9453676,2275.542,8.1,19.2,0.0,0.0,-39989.5578952,0.0,230127,190662.317363
3,1396.73355,2295.33513,3430.0,748.413,0.0,161905.610768,91498.9131,2275.542,8.1,19.2,0.0,0.0,-32988.8475478,0.0,230589,218702.837779
4,1396.73355,2295.33513,3430.0,748.413,0.0,150261.480066,91492.7031,2275.542,8.1,19.2,0.0,0.0,-19439.506846,0.0,232488,235226.418598
5,1396.73355,2295.33513,3430.0,748.413,0.0,142760.32124,90250.3332,2275.542,8.1,19.2,0.0,0.0,-5615.97812038,0.0,237568,240000.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,139005.631118,95932.045202,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,245111,240000.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,137265.493516,106207.597804,2845.827,176.4,19.2,0.0,0.0,0.0,0.0,254385,240000.0
8,1396.73355,2295.33513,3430.0,748.413,0.0,136559.310685,107809.173,4551.084,374.398844672,19.2,0.0,7007.35179082,0.0,0.0,264191,232992.648209
9,1396.73355,2295.33513,3430.0,748.413,0.0,122305.02218,107809.173,4551.084,370.8,19.2,0.0,29157.2391397,0.0,0.0,272083,203835.409069
10,23673.45,2295.33513,3430.0,748.413,0.0,119077.130505,107809.173,4551.084,370.8,19.2,0.0,15104.4143645,0.0,0.0,277079,188730.994705
11,1396.73355,2295.33513,3430.0,748.413,0.0,131399.979506,107809.173,4551.084,370.8,19.2,0.0,24344.281814,0.0,0.0,276365,164386.712891
12,23673.45,2295.33513,3430.0,748.413,0.0,127609.89564,107809.173,4551.084,370.8,19.2,0.0,2305.64923019,0.0,0.0,272813,162081.063661
13,1396.73355,2295.33513,3430.0,748.413,0.0,114197.27898,107809.173,4551.084,370.8,19.2,0.0,33113.9823404,0.0,0.0,267932,128967.08132
14,23673.45,2295.33513,3430.0,748.413,0.0,96954.3809812,107809.173,4551.084,370.8,19.2,0.0,22981.1638888,0.0,0.0,262833,105985.917432
15,23673.45,2295.33513,3430.0,748.413,0.0,88521.1717016,107809.173,4551.084,370.8,19.2,0.0,26961.3731684,0.0,0.0,258380,79024.5442632
16,4401.20769677,2295.33513,3430.0,748.413,0.0,95191.5591739,107809.173,4551.084,370.8,19.2,0.0,38279.2279993,0.0,0.0,257096,40745.3162638
17,23673.45,2295.33513,3430.0,748.413,0.0,107401.164155,107809.173,4551.084,370.8,19.2,0.0,8552.38071533,0.0,0.0,258851,32192.9355485
18,1396.73355,2295.33513,3430.0,748.413,0.0,108564.325771,107809.173,4551.084,370.8,19.2,0.0,32192.9355485,0.0,0.0,261378,0.0
19,16327.7373532,2295.33513,3430.0,748.413,0.0,126705.257517,107809.173,4551.084,370.8,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,1396.73355,2295.33513,3430.0,748.413,0.0,159606.539661,97208.433,2275.542,8.1,19.2,0.0,0.0,-6014.2963409,0.0,260974,5112.15188976
21,1396.73355,2295.33513,3430.0,748.413,0.0,178619.792067,97257.033,2275.542,8.1,19.2,0.0,0.0,-29528.1487474,0.0,256522,30211.0783251
22,1396.73355,2295.33513,3430.0,748.413,0.0,178747.200065,97210.5072365,2275.542,8.1,19.2,0.0,0.0,-37390.0309814,0.0,248741,61992.6046593
23,1396.73355,2295.33513,3430.0,748.413,0.0,170743.980251,97208.433,2275.542,8.1,19.2,0.0,0.0,-37737.7369314,0.0,240388,94069.6810509
24,1396.73355,2295.33513,3430.0,748.413,0.0,156900.700907,97273.233,2275.542,8.1,19.2,0.0,0.0,-30506.2575871,0.0,233841,120000.0
