,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,128105.186583,98539.1317374,126.9,8.1,19.2,0.0,0.0,0.0,0.0,234669,120000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,123348.731986,122146.713,126.9,8.1,19.2,0.0,0.0,-23393.1266659,0.0,230127,139884.157666
3,1396.73355,2295.33513,3430.0,748.413,0.0,118558.981609,122146.713,126.9,8.1,19.2,0.0,0.0,-18141.376289,0.0,230589,155304.327512
4,1396.73355,2295.33513,3430.0,748.413,0.0,109609.293262,122146.713,126.9,8.1,19.2,0.0,0.0,-7292.68794194,0.0,232488,161503.112262
5,1396.73355,2295.33513,3430.0,748.413,0.0,102850.67631,126692.64201,126.9,8.1,19.2,0.0,0.0,0.0,0.0,237568,161503.112262
6,1396.73355,2295.33513,3430.0,748.413,0.0,99038.2096664,137921.208654,253.8,8.1,19.2,0.0,0.0,0.0,0.0,245111,161503.112262
7,1396.73355,2295.33513,3430.0,748.413,0.0,97114.7346087,149118.683711,253.8,8.1,19.2,0.0,0.0,0.0,0.0,254385,161503.112262
8,2761.63032492,2295.33513,3430.0,748.413,0.0,95937.0485451,158569.173,253.8,176.4,19.2,0.0,0.0,0.0,0.0,264191,161503.112262
9,1396.73355,2295.33513,3430.0,748.413,0.0,86867.3781001,158569.173,253.8,176.4,19.2,0.0,18326.5672199,0.0,0.0,272083,143176.545042
10,1396.73355,2295.33513,3430.0,748.413,0.0,81634.8014068,158569.173,253.8,176.4,19.2,0.0,28555.1439132,0.0,0.0,277079,114621.401129
11,23673.45,2295.33513,3430.0,748.413,0.0,86634.0012148,158569.173,253.8,176.4,19.2,0.0,565.227655211,0.0,0.0,276365,114056.173474
12,21220.6102318,2295.33513,3430.0,748.413,0.0,86100.0686382,158569.173,253.8,176.4,19.2,0.0,0.0,0.0,0.0,272813,114056.173474
13,21516.5454132,2295.33513,3430.0,748.413,0.0,80923.1334568,158569.173,253.8,176.4,19.2,0.0,0.0,0.0,0.0,267932,114056.173474
14,1396.73355,2295.33513,3430.0,748.413,0.0,70543.7431164,158569.173,253.8,176.4,19.2,0.0,25400.2022036,0.0,0.0,262833,88655.9712705
