Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6458242,126724.287496,570.285,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,96145.1478967,125513.785423,570.285,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2718607,129853.661459,570.285,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183559,138225.114964,697.185,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,7894.34095644,2295.33513,3430.0,748.413,0.0,79973.0529136,142502.373,697.185,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,18134.8030821,2295.33513,3430.0,748.413,0.0,77275.5907879,142502.373,697.185,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,76035.0004198,147427.173,748.328450186,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,23673.45,2295.33513,3430.0,748.413,9775.30977135,75427.9852543,147427.173,1140.57,253.563844392,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,1396.73355,2295.33513,3430.0,748.413,63092.775029,69148.1535943,131374.004697,570.285,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,1396.73355,2295.33513,3430.0,748.413,100390.283539,65048.928681,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,16087.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,95957.1541276,68768.0580924,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,63392.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,161173.21222,0.0,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,93755.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,90048.0260634,66244.1861566,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,105852.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,93120.0030543,58073.2091657,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,95161.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,92293.284285,54446.927935,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,81071.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,140879.097429,4577.1147909,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,53155.0,257096,0.0
17,1396.73355,2295.33513,3430.0,748.413,82795.8301416,64415.3820784,103199.0211,570.285,0.0,0.0,0.0,0.0,0.0,735.0,258851,0.0
18,23673.45,2295.33513,3430.0,748.413,11016.2574316,64953.3955068,147427.173,1140.57,4924.20593168,1769.2,0.0,0.0,0.0,0.0,261378,0.0
19,23673.45,2295.33513,3430.0,748.413,929.785164449,75117.5068879,147427.173,1140.57,5725.56681762,1769.2,0.0,0.0,0.0,0.0,262257,0.0
20,17171.6344258,2295.33513,3430.0,748.413,494.334850568,93607.4245937,142502.373,697.185,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,2598.35013575,2295.33513,3430.0,748.413,0.0,104305.424713,142419.992021,697.185,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,104641.18162,135504.8517,697.185,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,100046.789877,131873.143443,570.285,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,91701.9009968,133544.132323,697.185,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,83757.1527712,136595.026794,860.985,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,77189.5376915,139599.641874,860.985,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,72543.1237714,143091.055794,860.985,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,64973.4615596,152967.718005,860.985,8.1,19.2,0.0,0.0,0.0,0.0,226650,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,58874.6665719,164759.612993,987.885,8.1,19.2,0.0,0.0,0.0,0.0,232470,0.0
30,9054.18844404,2280.89906,3430.0,748.413,0.0,55521.376496,168883.938,987.885,8.1,19.2,0.0,0.0,0.0,0.0,240934,0.0
31,21470.3346564,2280.89906,3430.0,748.413,0.0,53072.2302836,168883.938,987.885,8.1,19.2,0.0,0.0,0.0,0.0,250901,0.0
32,23673.45,2280.89906,3430.0,748.413,9319.28273098,50396.6213063,170352.148903,987.885,8.1,19.2,0.0,0.0,0.0,0.0,261216,0.0
33,1361.223375,2280.89906,3430.0,748.413,63431.7995061,42989.4706105,154989.009448,987.885,8.1,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,1361.223375,2280.89906,3430.0,748.413,107139.897947,36342.3955184,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,9057.0,275394,0.0
35,1361.223375,2280.89906,3430.0,748.413,107405.907541,35070.3859242,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,51389.0,274388,0.0
36,1361.223375,2280.89906,3430.0,748.413,138802.293465,0.0,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,75521.0,270714,0.0
37,1361.223375,2280.89906,3430.0,748.413,115451.645479,19048.6479856,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,80046.0,266412,0.0
38,1361.223375,2280.89906,3430.0,748.413,117053.753294,14230.5401714,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,76070.0,263196,0.0
39,1361.223375,2280.89906,3430.0,748.413,117272.61195,12561.6815152,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,63359.0,261746,0.0
40,1361.223375,2280.89906,3430.0,748.413,131313.293465,0.0,123230.1861,860.985,0.0,0.0,0.0,0.0,0.0,29859.0,263225,0.0
41,1361.223375,2280.89906,3430.0,748.413,87861.4715245,20736.9571959,150628.750845,860.985,8.1,19.2,0.0,0.0,0.0,0.0,267936,0.0
42,23673.45,2280.89906,3430.0,748.413,11764.8319758,27667.7868175,176043.123,1721.97,23274.3261467,1769.2,0.0,0.0,0.0,0.0,272374,0.0
43,23673.45,2280.89906,3430.0,748.413,902.550286162,42870.4516916,176043.123,1721.97,20088.9429622,1769.2,0.0,0.0,0.0,0.0,273529,0.0
44,23673.45,2280.89906,3430.0,748.413,482.713220979,63501.8236372,176043.123,1721.97,512.408081776,19.2,0.0,0.0,0.0,0.0,272414,0.0
45,13423.6620759,2280.89906,3430.0,748.413,0.0,78114.8307049,168708.010159,987.885,8.1,19.2,0.0,0.0,0.0,0.0,267721,0.0
46,2419.10622372,2280.89906,3430.0,748.413,0.0,80310.4587163,168883.938,987.885,8.1,19.2,0.0,0.0,0.0,0.0,259088,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,76944.4230707,164621.856494,987.885,8.1,19.2,0.0,0.0,0.0,0.0,250402,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,72041.5602566,163109.719308,987.885,8.1,19.2,0.0,0.0,0.0,0.0,243987,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,65432.398875,162228.92196,2938.122,8.1,19.2,0.0,0.0,0.0,0.0,238528,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,60707.5335405,163008.787295,2938.122,8.1,19.2,0.0,0.0,0.0,0.0,234583,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,57508.0192013,165381.301634,2938.122,8.1,19.2,0.0,0.0,0.0,0.0,233756,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,54023.7918349,171173.529,2938.122,8.1,19.2,0.0,0.0,0.0,0.0,236064,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,49250.3013152,181730.11952,3065.022,8.1,19.2,0.0,0.0,0.0,0.0,241974,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,45994.5009092,194058.919926,3065.022,8.1,19.2,0.0,0.0,0.0,0.0,251047,0.0
55,1483.488147,2295.33513,3430.0,748.413,0.0,43661.261723,204818.238,5114.664,176.4,19.2,0.0,0.0,0.0,0.0,261747,0.0
56,6176.2284818,2295.33513,3430.0,748.413,9301.06342218,40765.457966,204818.238,5114.664,176.4,19.2,0.0,0.0,0.0,0.0,272845,0.0
57,1427.509035,2295.33513,3430.0,748.413,63575.8562618,32969.2051895,174136.259384,2938.122,8.1,19.2,0.0,0.0,0.0,0.0,281548,0.0
58,1427.509035,2295.33513,3430.0,748.413,105925.71343,24795.6608047,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,10683.0,285750,0.0
59,1427.509035,2295.33513,3430.0,748.413,105736.647418,23647.7268174,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,57586.0,284413,0.0
60,1427.509035,2295.33513,3430.0,748.413,125624.374235,0.0,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,86631.0,280653,0.0
61,1427.509035,2295.33513,3430.0,748.413,107195.447066,13892.9271693,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,100061.0,276117,0.0
62,1427.509035,2295.33513,3430.0,748.413,106810.884813,10358.4894216,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,99271.0,272198,0.0
63,1427.509035,2295.33513,3430.0,748.413,105663.542603,8745.83163248,144189.2466,2938.122,0.0,0.0,0.0,0.0,0.0,81299.0,269438,0.0
