Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,128041.795712,112245.8211,126.9,0.0,0.0,0.0,0.0,-13615.9984921,63.0,234669,41573.5987183
2,1396.73355,2295.33513,3430.0,748.413,0.0,123348.731986,112245.8211,126.9,0.0,0.0,0.0,0.0,-13464.9347659,0.0,230127,53018.7932693
3,1396.73355,2295.33513,3430.0,748.413,0.0,118558.981609,112245.8211,126.9,0.0,0.0,0.0,0.0,-8213.18438904,0.0,230589,60000.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,109609.293262,114881.325058,126.9,0.0,0.0,0.0,0.0,0.0,0.0,232488,60000.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,102850.67631,126692.64201,126.9,8.1,19.2,0.0,0.0,0.0,0.0,237568,60000.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,99038.2096664,138048.108654,126.9,8.1,19.2,0.0,0.0,0.0,0.0,245111,60000.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,97114.7346087,149118.683711,253.8,8.1,19.2,0.0,0.0,0.0,0.0,254385,60000.0
8,1396.73355,2295.33513,3430.0,748.413,0.0,95937.0485451,160102.369775,253.8,8.1,19.2,0.0,0.0,0.0,0.0,264191,60000.0
9,8779.21398665,2295.33513,3430.0,748.413,0.0,86867.3781001,160351.173,253.8,176.4,19.2,0.0,9162.08678325,0.0,0.0,272083,50837.9132168
10,23673.45,2295.33513,3430.0,748.413,0.0,81634.8014068,160351.173,253.8,176.4,19.2,0.0,4496.42746317,0.0,0.0,277079,46341.4857536
11,22456.6776552,2295.33513,3430.0,748.413,0.0,86634.0012148,160351.173,253.8,176.4,19.2,0.0,0.0,0.0,0.0,276365,46341.4857536
