Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,139367.663632,83715.9702385,126.9,0.0,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,133092.473457,85441.0604134,126.9,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,127305.495341,91690.0385287,126.9,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,118497.353579,102397.180291,126.9,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,7874.9137133,2295.33513,3430.0,3549.516,0.0,112787.052157,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,18277.7836736,2295.33513,3430.0,3549.516,0.0,109927.182196,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,28484.5709955,2295.33513,3430.0,3549.516,0.0,108994.394875,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,34339.0937184,2295.33513,3430.0,3549.516,5100.10268116,107845.76947,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,26195.8933653,2295.33513,3430.0,3549.516,31461.7835694,97519.2889353,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,7203.98914981,2295.33513,3430.0,3549.516,58613.4603811,94444.7151928,107387.784146,126.9,8.1,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,2164.415,2295.33513,3430.0,3549.516,80811.2496943,104986.31071,79001.2734659,126.9,0.0,0.0,0.0,0.0,0.0,0.0,276365,0.0
12,2164.415,2295.33513,3430.0,3549.516,94959.5080229,87595.3047471,78692.0211,126.9,0.0,0.0,0.0,0.0,0.0,15482.0,272813,0.0
13,2164.415,2295.33513,3430.0,3549.516,84861.5936409,92812.2191291,78692.0211,126.9,0.0,0.0,0.0,0.0,0.0,15539.0,267932,0.0
14,2164.415,2295.33513,3430.0,3549.516,94092.5616408,78482.2511292,78692.0211,126.9,0.0,0.0,0.0,0.0,0.0,2810.0,262833,0.0
15,2164.415,2295.33513,3430.0,3549.516,89671.5275333,71519.306912,85595.6994247,126.9,8.1,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,2164.415,2295.33513,3430.0,3549.516,73292.4905341,76406.6041028,95803.4392331,126.9,8.1,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,11154.5628209,2295.33513,3430.0,3549.516,44665.2351598,86125.1678893,107476.983,126.9,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,36685.0,2295.33513,3430.0,3549.516,6811.15920943,87643.3203619,112417.173,253.8,6523.49629864,1769.2,0.0,0.0,0.0,0.0,261378,0.0
19,36685.0,2295.33513,3430.0,3549.516,929.783517306,101991.372861,112417.173,253.8,685.819491916,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,15139.5115632,2295.33513,3430.0,3549.516,494.333974839,128612.320332,107298.783,126.9,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,2164.415,2295.33513,3430.0,3549.516,0.0,144591.292994,100337.240876,126.9,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,2164.415,2295.33513,3430.0,3549.516,0.0,145296.932435,91850.601435,126.9,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,2164.415,2295.33513,3430.0,3549.516,0.0,139307.929836,89486.6040336,126.9,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,128292.095859,93955.4380113,126.9,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,107612.12634,109508.7861,570.285,0.0,0.0,0.0,0.0,0.0,10139.0,229061,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,104049.12634,109508.7861,570.285,0.0,0.0,0.0,0.0,0.0,6110.0,225498,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,102894.12634,109508.7861,570.285,0.0,0.0,0.0,0.0,0.0,1108.0,224343,0.0
