,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,36323.9299324,184476.123,2234.08093761,176.4,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,35313.7167238,181831.657146,1515.06,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,33936.7743935,183670.599477,1515.06,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,3769.35098238,2295.33513,3430.0,3549.516,0.0,31687.2438876,184476.123,2776.32,484.911,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,11140.2163681,2295.33513,3430.0,3549.516,0.0,29396.3785019,184476.123,2776.32,484.911,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,19796.2412267,2295.33513,3430.0,3549.516,0.0,28283.3536433,184476.123,2776.32,484.911,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,29189.8628269,2295.33513,3430.0,3549.516,0.0,28078.2320431,184476.123,2776.32,570.411,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,28560.1547713,2295.33513,3430.0,3549.516,10243.1260925,28318.6723261,184476.123,2776.32,522.552680086,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,2164.415,2295.33513,3430.0,3549.516,63646.5797655,26501.8189098,168952.975195,1515.06,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,2164.415,2295.33513,3430.0,3549.516,110144.360517,24973.927253,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,7157.0,277079,0.0
11,2164.415,2295.33513,3430.0,3549.516,107690.093364,26714.1944065,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,52389.0,276365,0.0
12,2164.415,2295.33513,3430.0,3549.516,102703.364561,28148.9232087,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,83027.0,272813,0.0
13,2164.415,2295.33513,3430.0,3549.516,98355.8390019,27615.4487681,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,96418.0,267932,0.0
14,2164.415,2295.33513,3430.0,3549.516,120872.28777,0.0,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,89729.0,262833,0.0
15,2164.415,2295.33513,3430.0,3549.516,94094.4952285,22324.7925415,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,77622.0,258380,0.0
16,2164.415,2295.33513,3430.0,3549.516,115135.28777,0.0,129133.2861,1388.16,0.0,0.0,0.0,0.0,0.0,47655.0,257096,0.0
17,2164.415,2295.33513,3430.0,3549.516,81916.5053241,25628.4391346,138451.329411,1388.16,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,29398.254456,2295.33513,3430.0,3549.516,9845.98992347,25102.3504905,184476.123,2776.32,484.911,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,36551.5616168,2295.33513,3430.0,3549.516,0.0,28674.0332532,184476.123,2776.32,484.911,19.2,0.0,0.0,0.0,0.0,262257,0.0
