Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,27785.0210083,165406.912312,570.285,8.1,19.2,0.0,0.0,0.0,0.0,201660,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,27079.5322036,151837.401116,570.285,8.1,19.2,0.0,0.0,0.0,0.0,187385,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,25938.3824223,147794.550898,570.285,8.1,19.2,0.0,0.0,0.0,0.0,182201,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,24219.4307657,148260.502554,570.285,8.1,19.2,0.0,0.0,0.0,0.0,180948,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,22428.5666616,157708.366658,570.285,8.1,19.2,0.0,0.0,0.0,0.0,188605,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,21672.9489631,174495.084357,697.185,8.1,19.2,0.0,0.0,0.0,0.0,204763,0.0
7,10157.8227604,2295.33513,3430.0,748.413,0.0,21462.3211096,193219.623,697.185,8.1,19.2,0.0,0.0,0.0,0.0,232038,0.0
8,23673.45,2295.33513,3430.0,748.413,6930.65844283,21749.5331009,197357.373,1140.57,1856.46732632,1769.2,0.0,0.0,0.0,0.0,260951,0.0
9,17212.6701466,2295.33513,3430.0,748.413,46956.7142611,20261.9581538,192889.424309,697.185,8.1,19.2,0.0,0.0,0.0,0.0,284519,0.0
10,1396.73355,2295.33513,3430.0,748.413,87386.9244275,19102.2090119,182200.899881,697.185,8.1,19.2,0.0,0.0,0.0,0.0,297285,0.0
11,1396.73355,2295.33513,3430.0,748.413,120228.239683,20532.7798798,155011.913757,570.285,8.1,19.2,0.0,0.0,0.0,0.0,304241,0.0
12,1396.73355,2295.33513,3430.0,748.413,129280.99273,21849.0794898,138150.1611,570.285,0.0,0.0,0.0,0.0,0.0,10743.0,297721,0.0
13,1396.73355,2295.33513,3430.0,748.413,104751.480893,21312.5913269,138150.1611,570.285,0.0,0.0,0.0,0.0,0.0,43083.0,272655,0.0
14,1396.73355,2295.33513,3430.0,748.413,97826.7891792,18475.2830408,138150.1611,570.285,0.0,0.0,0.0,0.0,0.0,45138.0,262893,0.0
15,1396.73355,2295.33513,3430.0,748.413,112009.07222,0.0,138150.1611,570.285,0.0,0.0,0.0,0.0,0.0,36524.0,258600,0.0
16,1396.73355,2295.33513,3430.0,748.413,106464.614816,871.457404305,138150.1611,570.285,0.0,0.0,0.0,0.0,0.0,17033.0,253927,0.0
17,1396.73355,2295.33513,3430.0,748.413,63358.1634929,19385.8286108,161285.941216,570.285,8.1,19.2,0.0,0.0,0.0,0.0,252498,0.0
18,22262.61452,2295.33513,3430.0,748.413,7935.50014,18961.57921,193094.073,697.185,8.1,19.2,0.0,0.0,0.0,0.0,249452,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,21687.2256329,197357.373,1140.57,1168.4012371,1496.232,0.0,0.0,0.0,0.0,252997,0.0
20,23673.45,2295.33513,3430.0,748.413,0.0,26850.8399884,194751.476882,697.185,8.1,19.2,0.0,0.0,0.0,0.0,252474,0.0
21,15369.9635545,2295.33513,3430.0,748.413,0.0,29904.7303155,193175.073,697.185,8.1,19.2,0.0,0.0,0.0,0.0,245648,0.0
22,4469.50761855,2295.33513,3430.0,748.413,0.0,30218.0362515,193106.223,697.185,8.1,19.2,0.0,0.0,0.0,0.0,234992,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,29266.4727683,178349.560552,697.185,8.1,19.2,0.0,0.0,0.0,0.0,216211,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,27185.3446794,165024.588641,570.285,8.1,19.2,0.0,0.0,0.0,0.0,200678,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,25033.7398398,147627.378725,1985.346,0.0,0.0,0.0,0.0,0.0,0.0,182467,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,15998.232465,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,7138.0,172842,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,12927.232465,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,8786.0,169771,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,13568.232465,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,5977.0,170412,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,18007.6816318,149404.436933,1985.346,0.0,0.0,0.0,0.0,0.0,0.0,177218,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,17257.2816224,165925.536943,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,193016,0.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,16878.4375253,188062.48104,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,214901,0.0
32,18242.9807676,2280.89906,3430.0,748.413,6647.43299006,16206.9485486,196705.779634,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,246402,0.0
33,4007.23083356,2280.89906,3430.0,748.413,47374.1019489,14221.2111575,196565.598,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,270767,0.0
34,1361.223375,2280.89906,3430.0,748.413,87696.3589351,11731.8229339,174526.636696,1985.346,8.1,19.2,0.0,0.0,0.0,0.0,283788,0.0
35,1361.223375,2280.89906,3430.0,748.413,118324.081142,11737.1513226,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,1322.0,286905,0.0
36,1361.223375,2280.89906,3430.0,748.413,113099.358481,9537.87398405,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,27882.0,279481,0.0
37,1361.223375,2280.89906,3430.0,748.413,107658.466764,6368.76570109,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,39727.0,270871,0.0
38,1361.223375,2280.89906,3430.0,748.413,98686.7646136,4363.46785142,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,46200.0,259894,0.0
39,1361.223375,2280.89906,3430.0,748.413,101411.232465,0.0,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,37931.0,258255,0.0
40,1361.223375,2280.89906,3430.0,748.413,99828.232465,0.0,147037.8861,1985.346,0.0,0.0,0.0,0.0,0.0,14260.0,256672,0.0
41,1361.223375,2280.89906,3430.0,748.413,67329.1842028,5010.18438067,177669.549982,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,259969,0.0
42,23673.45,2280.89906,3430.0,748.413,8905.84042726,6661.77548005,210054.123,3970.692,1312.803,1763.00403269,0.0,0.0,0.0,0.0,262801,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,10979.230229,210054.123,3970.692,15024.992711,1769.2,0.0,0.0,0.0,0.0,271931,0.0
44,23673.45,2280.89906,3430.0,748.413,0.0,17080.5543969,210054.123,3970.692,8594.66854305,1769.2,0.0,0.0,0.0,0.0,271602,0.0
45,23673.45,2280.89906,3430.0,748.413,0.0,21833.9926218,208541.699318,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,262648,0.0
46,20195.7965701,2280.89906,3430.0,748.413,0.0,22660.5473699,196743.798,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,248199,0.0
47,3921.28322874,2280.89906,3430.0,748.413,0.0,21650.2607113,196565.598,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,230736,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,20498.9150516,180494.003513,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,210953,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,19032.2176603,163004.983175,2275.542,0.0,0.0,0.0,0.0,0.0,0.0,192214,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,10716.814735,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,7359.0,181886,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,7323.814735,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,10010.0,178493,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,7244.814735,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,9335.0,178414,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,13334.814735,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,2302.0,184504,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,15010.7105841,177034.190251,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,202249,0.0
55,1427.509035,2295.33513,3430.0,748.413,0.0,14477.7298138,203530.271021,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,228339,0.0
56,11635.2027291,2295.33513,3430.0,748.413,6687.48925295,13735.0198879,220377.798,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,261339,0.0
57,1427.509035,2295.33513,3430.0,748.413,47581.9316924,11386.1997664,217169.869376,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,286469,0.0
58,1427.509035,2295.33513,3430.0,748.413,88241.5318045,8588.39569646,188190.973334,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,295225,0.0
59,1427.509035,2295.33513,3430.0,748.413,123848.034924,8292.60412345,162413.561788,2275.542,0.0,0.0,0.0,0.0,0.0,0.0,304731,0.0
60,1427.509035,2295.33513,3430.0,748.413,120171.153265,6949.66146986,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,25167.0,298290,0.0
61,1427.509035,2295.33513,3430.0,748.413,113702.020981,5069.79375433,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,41964.0,289941,0.0
62,1427.509035,2295.33513,3430.0,748.413,95162.3850846,3703.4296504,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,59444.0,270035,0.0
63,1427.509035,2295.33513,3430.0,748.413,90149.814735,0.0,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,52947.0,261319,0.0
64,1427.509035,2295.33513,3430.0,748.413,87661.814735,0.0,160992.3861,2275.542,0.0,0.0,0.0,0.0,0.0,26522.0,258831,0.0
65,1427.509035,2295.33513,3430.0,748.413,66914.3288941,3165.89348974,184373.678451,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,264658,0.0
66,23673.45,2295.33513,3430.0,748.413,9233.70461571,3540.20649636,229366.648758,2559.942,8.1,19.2,0.0,0.0,0.0,0.0,274875,0.0
67,23673.45,2295.33513,3430.0,748.413,0.0,4894.21792647,229989.123,4551.084,14684.1769435,1769.2,0.0,0.0,0.0,0.0,286035,0.0
68,23673.45,2295.33513,3430.0,748.413,0.0,7127.67089256,229989.123,4551.084,14966.7239774,1769.2,0.0,0.0,0.0,0.0,288551,0.0
69,23673.45,2295.33513,3430.0,748.413,0.0,9025.06647092,229989.123,4551.084,2174.32839908,1769.2,0.0,0.0,0.0,0.0,277656,0.0
70,23673.45,2295.33513,3430.0,748.413,0.0,8672.7013178,223865.358552,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,265115,0.0
71,8570.55907589,2295.33513,3430.0,748.413,0.0,7468.8566694,220397.094125,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,245340,0.0
72,1427.509035,2295.33513,3430.0,748.413,0.0,6291.83756415,208563.163271,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,225186,0.0
73,1581.38646,2295.33513,3430.0,748.413,0.0,5633.91385865,189718.466551,697.185,8.1,19.2,0.0,0.0,0.0,0.0,204132,0.0
74,1581.38646,2295.33513,3430.0,748.413,0.0,4873.75366985,179117.52674,570.285,8.1,19.2,0.0,0.0,0.0,0.0,192644,0.0
75,1581.38646,2295.33513,3430.0,748.413,0.0,4186.11262733,175010.167783,570.285,8.1,19.2,0.0,0.0,0.0,0.0,187849,0.0
76,1581.38646,2295.33513,3430.0,748.413,0.0,3473.67913737,174354.601273,570.285,8.1,19.2,0.0,0.0,0.0,0.0,186481,0.0
77,1581.38646,2295.33513,3430.0,748.413,0.0,3338.97712288,178145.303287,570.285,8.1,19.2,0.0,0.0,0.0,0.0,190137,0.0
78,1581.38646,2295.33513,3430.0,748.413,0.0,3651.02936147,192305.351049,697.185,8.1,19.2,0.0,0.0,0.0,0.0,204736,0.0
79,1581.38646,2295.33513,3430.0,748.413,0.0,4147.24560972,219414.123,940.196800283,8.1,19.2,0.0,0.0,0.0,0.0,232584,0.0
80,22250.0520181,2295.33513,3430.0,748.413,6283.26152776,4848.13432415,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,260914,0.0
81,1581.38646,2295.33513,3430.0,748.413,48539.5156703,4218.50515868,213481.359581,697.185,8.1,19.2,0.0,0.0,0.0,0.0,275019,0.0
82,1581.38646,2295.33513,3430.0,748.413,91169.2192799,3558.04025857,183505.020872,570.285,8.1,19.2,0.0,0.0,0.0,0.0,286885,0.0
83,1581.38646,2295.33513,3430.0,748.413,123509.653524,4630.04078641,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,1794.0,290355,0.0
84,1581.38646,2295.33513,3430.0,748.413,115294.566948,4500.12736176,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,30187.0,282010,0.0
85,1581.38646,2295.33513,3430.0,748.413,107112.900657,4079.79365268,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,49179.0,273408,0.0
86,1581.38646,2295.33513,3430.0,748.413,92815.3607928,4049.33351724,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,59332.0,259080,0.0
87,1581.38646,2295.33513,3430.0,748.413,93904.69431,0.0,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,47321.0,256120,0.0
88,1581.38646,2295.33513,3430.0,748.413,92575.69431,0.0,153589.8861,570.285,0.0,0.0,0.0,0.0,0.0,19962.0,254791,0.0
89,1581.38646,2295.33513,3430.0,748.413,64364.6328257,5816.25277217,176854.394812,570.285,8.1,19.2,0.0,0.0,0.0,0.0,255688,0.0
90,19969.9218828,2295.33513,3430.0,748.413,9235.22972183,7093.29626542,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,263831,0.0
91,23673.45,2295.33513,3430.0,748.413,0.0,9522.14791738,219414.123,1140.57,1312.803,1584.15795262,0.0,0.0,0.0,0.0,263121,0.0
92,22831.7755357,2295.33513,3430.0,748.413,0.0,12533.6723343,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,262898,0.0
93,18663.0614747,2295.33513,3430.0,748.413,0.0,15005.3863953,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,261201,0.0
94,13172.7799735,2295.33513,3430.0,748.413,0.0,16797.6678965,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,257503,0.0
95,9288.76889106,2295.33513,3430.0,748.413,0.0,16994.6789789,219414.123,1140.57,484.911,19.2,0.0,0.0,0.0,0.0,253816,0.0
96,7688.67226425,2295.33513,3430.0,748.413,0.0,15672.9487804,219414.123,1140.57,383.737825326,19.2,0.0,0.0,0.0,0.0,250793,0.0
97,1676.08026,2295.33513,3430.0,753.12,0.0,13746.6480633,173456.231547,570.285,8.1,19.2,0.0,0.0,0.0,0.0,195955,0.0
98,1676.08026,2295.33513,3430.0,753.12,0.0,11530.0392615,164942.840348,570.285,8.1,19.2,0.0,0.0,0.0,0.0,185225,0.0
99,1676.08026,2295.33513,3430.0,753.12,0.0,9398.23108001,167979.64853,570.285,8.1,19.2,0.0,0.0,0.0,0.0,186130,0.0
100,1676.08026,2295.33513,3430.0,753.12,0.0,7737.51409996,171752.36551,570.285,8.1,19.2,0.0,0.0,0.0,0.0,188242,0.0
101,1676.08026,2295.33513,3430.0,753.12,0.0,6739.79741468,177077.082195,570.285,8.1,19.2,0.0,0.0,0.0,0.0,192569,0.0
102,1676.08026,2295.33513,3430.0,753.12,0.0,6498.54432602,189148.435284,697.185,8.1,19.2,0.0,0.0,0.0,0.0,204526,0.0
103,9285.72655754,2295.33513,3430.0,753.12,0.0,6610.47528878,205041.858024,697.185,8.1,19.2,0.0,0.0,0.0,0.0,228141,0.0
104,23673.45,2295.33513,3430.0,753.12,6172.6457423,6581.29845062,205419.665677,697.185,8.1,19.2,0.0,0.0,0.0,0.0,249050,0.0
105,1676.08026,2295.33513,3430.0,753.12,48459.3267769,6290.71666652,201035.936167,697.185,8.1,19.2,0.0,0.0,0.0,0.0,264665,0.0
106,1676.08026,2295.33513,3430.0,753.12,90454.0942045,5640.78414409,169167.001261,570.285,8.1,19.2,0.0,0.0,0.0,0.0,274014,0.0
107,1676.08026,2295.33513,3430.0,753.12,116911.142303,4997.55120745,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,9102.0,282976,0.0
108,1676.08026,2295.33513,3430.0,753.12,112124.78767,4415.90584027,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,36846.0,277608,0.0
109,1676.08026,2295.33513,3430.0,753.12,100644.419495,3437.27401453,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,60255.0,265149,0.0
110,1676.08026,2295.33513,3430.0,753.12,88251.8917925,2633.80171753,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,70398.0,251953,0.0
111,1676.08026,2295.33513,3430.0,753.12,90356.69351,0.0,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,55264.0,251424,0.0
112,1676.08026,2295.33513,3430.0,753.12,83075.69351,0.0,152342.4861,570.285,0.0,0.0,0.0,0.0,0.0,33169.0,244143,0.0
113,1676.08026,2295.33513,3430.0,753.12,68818.1964215,2600.39918833,163947.284,570.285,8.1,19.2,0.0,0.0,0.0,0.0,244118,0.0
114,23273.7027848,2295.33513,3430.0,753.12,9714.81507247,3343.74401277,205077.798,697.185,8.1,19.2,0.0,0.0,0.0,0.0,248613,0.0
115,23673.45,2295.33513,3430.0,753.12,0.0,4995.77781121,217632.123,1140.57,2065.42405879,1769.2,0.0,0.0,0.0,0.0,257755,0.0
