,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,11444.64,748.413,0.0,68268.2448635,150203.933457,284.4,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,11444.64,748.413,0.0,65987.3464424,147942.831878,284.4,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,11444.64,748.413,0.0,63339.4334462,151052.744874,284.4,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,11444.64,748.413,0.0,58987.8894604,157303.28886,284.4,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,1396.73355,2295.33513,11444.64,748.413,0.0,54828.5738801,166415.70444,411.3,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,1396.73355,2295.33513,11444.64,748.413,0.0,52798.2377229,175989.040597,411.3,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,1396.73355,2295.33513,11444.64,748.413,0.0,52388.4534786,185672.824841,411.3,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,5000.89857785,2295.33513,11444.64,748.413,0.0,52172.9902922,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,16655.1524318,2295.33513,11444.64,748.413,0.0,48410.7364382,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,23673.45,2295.33513,11444.64,748.413,0.0,45934.1125241,192090.123,568.8,304.926345895,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,20386.6422694,2295.33513,11444.64,748.413,0.0,48961.2466006,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,276365,0.0
12,15612.9271273,2295.33513,11444.64,748.413,0.0,50182.9617427,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,272813,0.0
13,12674.5650921,2295.33513,11444.64,748.413,0.0,48240.3237779,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,267932,0.0
14,13832.0074671,2295.33513,11444.64,748.413,0.0,41983.2181542,192090.123,411.963248674,8.1,19.2,0.0,0.0,0.0,0.0,262833,0.0
15,12079.2257404,2295.33513,11444.64,748.413,0.0,39126.1631296,192090.123,568.8,8.1,19.2,0.0,0.0,0.0,0.0,258380,0.0
16,8651.53754951,2295.33513,11444.64,748.413,0.0,41269.8513205,192090.123,568.8,8.1,19.2,0.0,0.0,0.0,0.0,257096,0.0
17,6195.1118665,2295.33513,11444.64,748.413,0.0,45481.2770035,192090.123,568.8,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,8616.4332246,2295.33513,11444.64,748.413,0.0,45586.9556454,192090.123,568.8,8.1,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,2701.9114534,2295.33513,11444.64,748.413,0.0,52537.9774166,192090.123,411.3,8.1,19.2,0.0,0.0,0.0,0.0,262257,0.0
20,1396.73355,2295.33513,11444.64,748.413,0.0,65035.2926417,179614.985678,411.3,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,1396.73355,2295.33513,11444.64,748.413,0.0,72539.2554361,167659.022884,411.3,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,1396.73355,2295.33513,11444.64,748.413,0.0,73260.8550756,159283.323244,284.4,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,1396.73355,2295.33513,11444.64,748.413,0.0,70354.1220091,153837.056311,284.4,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,11444.64,748.413,0.0,64772.6108748,152871.567445,284.4,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,11444.64,748.413,0.0,58812.861465,152137.4211,2275.542,0.0,0.0,0.0,0.0,0.0,93.0,229061,0.0
26,1361.223375,2280.89906,11444.64,748.413,0.0,54514.3796254,152872.90294,2275.542,0.0,0.0,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,11444.64,748.413,0.0,50855.2617498,155377.020815,2275.542,0.0,0.0,0.0,0.0,0.0,0.0,224343,0.0
28,1361.223375,2280.89906,11444.64,748.413,0.0,45995.0824483,162516.900117,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,226650,0.0
29,1361.223375,2280.89906,11444.64,748.413,0.0,41830.9319472,172501.050618,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,232470,0.0
30,1361.223375,2280.89906,11444.64,748.413,0.0,39533.228106,183135.854459,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,240934,0.0
31,1361.223375,2280.89906,11444.64,748.413,0.0,37972.2162817,194663.866283,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,250901,0.0
32,1361.223375,2280.89906,11444.64,748.413,0.0,36360.3213853,206590.76118,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,261216,0.0
33,2337.79776234,2280.89906,11444.64,748.413,0.0,31039.8821777,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,12159.8394105,2280.89906,11444.64,748.413,0.0,26365.8405295,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,275394,0.0
35,11788.4638757,2280.89906,11444.64,748.413,0.0,25731.2160643,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,274388,0.0
36,13727.4731974,2280.89906,11444.64,748.413,0.0,20118.2067426,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,270714,0.0
37,15622.6151221,2280.89906,11444.64,748.413,0.0,13921.0648179,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,266412,0.0
38,16046.4427155,2280.89906,11444.64,748.413,0.0,10281.2372245,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,263196,0.0
39,16115.5122913,2280.89906,11444.64,748.413,0.0,8762.16764871,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,261746,0.0
40,15836.0109298,2280.89906,11444.64,748.413,0.0,10520.6690102,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,263225,0.0
41,17036.7135746,2280.89906,11444.64,748.413,0.0,14030.9663654,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,267936,0.0
42,16900.5272228,2280.89906,11444.64,748.413,0.0,18605.1527172,217339.173,4551.084,484.911,19.2,0.0,0.0,0.0,0.0,272374,0.0
43,7573.36542298,2280.89906,11444.64,748.413,0.0,29174.9063544,217339.173,4551.084,397.319162599,19.2,0.0,0.0,0.0,0.0,273529,0.0
44,1361.223375,2280.89906,11444.64,748.413,0.0,43403.1728522,210745.909713,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,272414,0.0
45,1361.223375,2280.89906,11444.64,748.413,0.0,54078.1679204,195377.914645,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,267721,0.0
46,1361.223375,2280.89906,11444.64,748.413,0.0,55985.9414135,184837.141151,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,259088,0.0
47,1361.223375,2280.89906,11444.64,748.413,0.0,53392.1035692,178871.878996,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,250402,0.0
48,1361.223375,2280.89906,11444.64,748.413,0.0,50096.613384,175752.369181,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,243987,0.0
49,1427.509035,2295.33513,11444.64,748.413,0.0,46108.8780931,173670.102742,2805.822,8.1,19.2,0.0,0.0,0.0,0.0,238528,0.0
