Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1904.39227638,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,186.844593623,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,220116.97232,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,220578.97232,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,222114.123,2434.446,49.74932,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,4813.83687,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,12356.83687,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,21555.23687,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,252.0,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,1396.73355,2295.33513,3430.0,748.413,54726.3655457,0.0,199454.606774,2112.246,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,1396.73355,2295.33513,3430.0,748.413,106747.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,135276.0,272083,0.0
10,1396.73355,2295.33513,3430.0,748.413,111743.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,218365.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,111029.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,262467.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,107477.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,282148.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,102596.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,286712.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,97497.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,274562.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,93044.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,260319.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,91760.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,215364.0,257096,0.0
17,1396.73355,2295.33513,3430.0,748.413,93515.28622,0.0,155479.8861,1985.346,0.0,0.0,0.0,0.0,0.0,104165.0,258851,0.0
18,8015.06907362,2295.33513,3430.0,748.413,20608.7677964,0.0,222114.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,261378,0.0
19,23673.45,2295.33513,3430.0,748.413,1357.00993604,0.0,222114.123,3970.692,2898.77693396,1769.2,0.0,0.0,0.0,0.0,262257,0.0
20,23673.45,2295.33513,3430.0,748.413,1055.65112272,0.0,222114.123,3970.692,1917.13574728,1769.2,0.0,0.0,0.0,0.0,260974,0.0
21,23673.45,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,270.78687,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,15986.83687,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,7633.83687,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3970.692,176.4,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,222114.123,3660.79532,176.4,19.2,0.0,0.0,0.0,0.0,233841,0.0
