Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,139367.663632,0.0,-2398.62442686,0.0,234669,95301.3363685,89829.4791153,122038.830763
2,1396.73355,2295.33513,3430.0,748.413,0.0,133092.473457,0.0,-665.434251954,0.0,230127,97034.5265434,89829.4791153,122604.449877
3,1396.73355,2295.33513,3430.0,748.413,0.0,127305.495341,0.0,0.0,0.0,230589,103283.504659,95413.0229787,122604.449877
4,1396.73355,2295.33513,3430.0,748.413,0.0,118497.353579,0.0,0.0,0.0,232488,113990.646421,106120.164741,122604.449877
5,3801.93016583,2295.33513,3430.0,748.413,0.0,112787.052157,0.0,0.0,0.0,237568,124780.947843,114505.269547,122604.449877
6,14204.8001262,2295.33513,3430.0,748.413,0.0,109927.182196,0.0,0.0,0.0,245111,135183.817804,114505.269547,122604.449877
7,23673.45,2295.33513,3430.0,748.413,0.0,108994.394875,738.137447996,0.0,0.0,254385,145390.605125,114505.269547,121866.312429
8,23673.45,2295.33513,3430.0,748.413,5100.10268116,107845.76947,6592.66017093,0.0,0.0,264191,151245.127848,114505.269547,115273.652258
9,15258.9970936,2295.33513,3430.0,748.413,31461.7835694,97519.2889353,6863.91272419,0.0,0.0,272083,143101.927495,114505.269547,108409.739534
10,3041.80674867,2295.33513,3430.0,748.413,58613.4603811,94444.7151928,0.0,0.0,0.0,277079,124020.824426,114505.269547,108409.739534
11,1396.73355,2295.33513,3430.0,748.413,80811.2496943,104986.31071,0.0,-7132.52119948,0.0,276365,90567.4395959,89829.4791153,114472.382553
12,1396.73355,2295.33513,3430.0,748.413,94959.5080229,103077.21487,0.0,-22923.6836882,0.0,272813,74776.2771071,89829.4791153,133957.513688
13,1396.73355,2295.33513,3430.0,748.413,100400.525212,92812.2191291,0.0,-22980.7051366,0.0,267932,74719.2556587,89829.4791153,153491.113055
14,1396.73355,2295.33513,3430.0,748.413,96902.5356166,78482.2511292,0.0,-10251.7475411,0.0,262833,87448.2132543,89829.4791153,162205.098464
15,1396.73355,2295.33513,3430.0,748.413,89671.5275333,71519.306912,0.0,-510.795240693,0.0,258380,97189.1655547,89829.4791153,162639.274419
16,1396.73355,2295.33513,3430.0,748.413,73292.4905341,76406.6041028,0.0,0.0,0.0,257096,107396.905363,99526.4236831,162639.274419
17,1396.73355,2295.33513,3430.0,748.413,44665.2351598,86125.1678893,5684.84572344,0.0,0.0,258851,128060.596951,114505.269547,156954.428696
18,23673.45,2295.33513,3430.0,748.413,6811.15920943,87643.3203619,22271.0527512,0.0,0.0,261378,166923.520429,114505.269547,134683.375944
19,23673.45,2295.33513,3430.0,748.413,929.783517306,101991.372861,14683.3759444,0.0,0.0,262257,159335.843622,114505.269547,120000.0
20,10888.3280157,2295.33513,3430.0,748.413,494.333974839,128612.320332,0.0,0.0,0.0,260974,131867.345693,114505.269547,120000.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,144591.292994,0.0,0.0,0.0,256522,111930.707006,104060.225326,120000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,145296.932435,0.0,0.0,0.0,248741,103444.067565,95573.585885,120000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,139307.929836,0.0,0.0,0.0,240388,101080.070164,93209.5884836,120000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,128292.095859,0.0,0.0,0.0,233841,105548.904141,97678.4224613,120000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,117751.376441,0.0,-22928.9766004,0.0,229061,111309.623559,126418.064724,139489.63011
26,1361.223375,2280.89906,3430.0,748.413,0.0,110158.925877,0.0,-18899.5260365,0.0,225498,115339.074123,126418.064724,155554.227241
27,1361.223375,2280.89906,3430.0,748.413,0.0,104002.589392,0.0,-13898.1895517,0.0,224343,120340.410608,126418.064724,167367.68836
28,1361.223375,2280.89906,3430.0,748.413,0.0,94031.6550272,0.0,-1620.2551866,0.0,226650,132618.344973,126418.064724,168744.905269
29,1361.223375,2280.89906,3430.0,748.413,0.0,85942.9823044,0.0,0.0,0.0,232470,146527.017696,138706.482261,168744.905269
