Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,175770.893299,0.0,0.0,0.0,234669,58898.1067012,51027.6250212,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,168831.288848,0.0,0.0,0.0,230127,61295.7111524,53425.2294724,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,161905.610768,0.0,0.0,0.0,230589,68683.3892322,60812.9075522,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,150261.480066,0.0,0.0,0.0,232488,82226.519934,74356.038254,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,142760.32124,0.0,0.0,0.0,237568,94807.6787596,86937.1970796,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,139005.631118,0.0,0.0,0.0,245111,106105.368882,98234.887202,0.0
7,1396.73355,2295.33513,3430.0,748.413,0.0,137265.493516,0.0,0.0,0.0,254385,117119.506484,109249.024804,0.0
8,1396.73355,2295.33513,3430.0,748.413,0.0,136559.310685,0.0,0.0,0.0,264191,127631.689315,119761.207635,0.0
9,9539.08427111,2295.33513,3430.0,748.413,0.0,122305.02218,0.0,0.0,0.0,272083,149777.97782,133765.145419,0.0
10,17762.9759459,2295.33513,3430.0,748.413,0.0,119077.130505,0.0,0.0,0.0,277079,158001.869495,133765.145419,0.0
11,4726.12694538,2295.33513,3430.0,748.413,0.0,131399.979506,0.0,0.0,0.0,276365,144965.020494,133765.145419,0.0
12,4964.21081159,2295.33513,3430.0,748.413,0.0,127609.89564,0.0,0.0,0.0,272813,145203.10436,133765.145419,0.0
13,13495.8274718,2295.33513,3430.0,748.413,0.0,114197.27898,0.0,0.0,0.0,267932,153734.72102,133765.145419,0.0
14,23673.45,2295.33513,3430.0,748.413,0.0,96954.3809812,0.0,0.0,0.0,262833,165878.619019,135731.420889,0.0
15,23673.45,2295.33513,3430.0,748.413,0.0,88521.1717016,0.0,0.0,0.0,258380,169858.828298,139711.630168,0.0
16,21665.5472775,2295.33513,3430.0,748.413,0.0,95191.5591739,0.0,0.0,0.0,257096,161904.440826,133765.145419,0.0
17,11210.9422967,2295.33513,3430.0,748.413,0.0,107401.164155,0.0,0.0,0.0,258851,151449.835845,133765.145419,0.0
18,12574.7806799,2295.33513,3430.0,748.413,0.0,108564.325771,0.0,0.0,0.0,261378,152813.674229,133765.145419,0.0
19,1396.73355,2295.33513,3430.0,748.413,0.0,126705.257517,0.0,0.0,0.0,262257,135551.742483,127681.260803,0.0
20,1396.73355,2295.33513,3430.0,748.413,0.0,159606.539661,0.0,0.0,0.0,260974,101367.460339,93496.9786591,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,178619.792067,0.0,0.0,0.0,256522,77902.2079326,70031.7262526,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,178747.200065,0.0,0.0,0.0,248741,69993.7999351,62123.3182551,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,170743.980251,0.0,0.0,0.0,240388,69644.0197486,61773.5380686,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,156900.700907,0.0,0.0,0.0,233841,76940.2990929,69069.8174129,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,143945.603047,0.0,0.0,0.0,229061,85115.3969529,77294.8615179,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,134438.46113,0.0,0.0,0.0,225498,91059.53887,83239.003435,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,127461.626286,0.0,0.0,0.0,224343,96881.3737139,89060.8382789,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,115109.765912,0.0,0.0,0.0,226650,111540.234088,103719.698653,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,105001.643769,0.0,0.0,0.0,232470,127468.356231,119647.820796,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,99566.6964411,0.0,0.0,0.0,240934,141367.303559,133546.768124,0.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,95201.4660381,0.0,0.0,0.0,250901,155699.533962,147878.998527,0.0
32,1361.223375,2280.89906,3430.0,748.413,0.0,90505.7120213,0.0,0.0,0.0,261216,170710.287979,162889.752544,0.0
33,1361.223375,2280.89906,3430.0,748.413,0.0,73477.0275352,0.0,0.0,0.0,270246,196768.972465,188948.43703,0.0
34,5988.91822424,2280.89906,3430.0,748.413,0.0,62981.4330601,0.0,0.0,0.0,275394,212412.56694,199964.336656,0.0
35,3038.74758107,2280.89906,3430.0,748.413,0.0,64925.6037033,0.0,0.0,0.0,274388,209462.396297,199964.336656,0.0
36,14673.6236069,2280.89906,3430.0,748.413,0.0,49616.7276775,0.0,0.0,0.0,270714,221097.272323,199964.336656,0.0
37,23673.45,2280.89906,3430.0,748.413,0.0,34649.9075729,0.0,0.0,0.0,266412,231762.092427,201629.330367,0.0
38,23673.45,2280.89906,3430.0,748.413,0.0,27352.9407923,0.0,0.0,0.0,263196,235843.059208,205710.297148,0.0
39,23673.45,2280.89906,3430.0,748.413,0.0,25975.2812557,0.0,0.0,0.0,261746,235770.718744,205637.956684,0.0
40,23673.45,2280.89906,3430.0,748.413,0.0,32653.3093317,0.0,0.0,0.0,263225,230571.690668,200438.928608,0.0
41,16831.1512174,2280.89906,3430.0,748.413,0.0,44681.2000669,0.0,0.0,0.0,267936,223254.799933,199964.336656,0.0
42,7196.07414539,2280.89906,3430.0,748.413,0.0,58754.2771389,0.0,0.0,0.0,272374,213619.722861,199964.336656,0.0
43,1361.223375,2280.89906,3430.0,748.413,0.0,85775.2608793,0.0,0.0,0.0,273529,187753.739121,179933.203686,0.0
44,1361.223375,2280.89906,3430.0,748.413,0.0,123501.252479,0.0,0.0,0.0,272414,148912.747521,141092.212086,0.0
45,1361.223375,2280.89906,3430.0,748.413,0.0,149683.632257,0.0,0.0,0.0,267721,118037.367743,110216.832308,0.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,150958.514453,0.0,0.0,0.0,259088,108129.485547,100308.950112,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,142729.619622,0.0,0.0,0.0,250402,107672.380378,99851.8449433,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,132426.799487,0.0,0.0,0.0,243987,111560.200513,103739.665078,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,119964.245761,0.0,0.0,0.0,238528,118563.754239,110662.497074,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,110234.1979,0.0,0.0,0.0,234583,124348.8021,116447.544935,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,103140.655744,0.0,0.0,0.0,233756,130615.344256,122714.087091,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,96910.2642048,0.0,0.0,0.0,236064,139153.735795,131252.47863,0.0
