,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,52872.9078343,0.0,0.0,0.0,234669,181796.092166,173925.610486,30000.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,51219.012105,0.0,0.0,0.0,230127,178907.987895,171037.506215,30000.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,49278.6900157,0.0,0.0,0.0,230589,181310.309984,173439.828304,30000.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,45838.732914,0.0,0.0,0.0,232488,186649.267086,178778.785406,30000.0
5,8458.2861084,2295.33513,3430.0,748.413,0.0,42557.8091016,0.0,0.0,0.0,237568,195010.190898,180078.15666,30000.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,41028.104261,15000.0,0.0,0.0,245111,204082.895739,181212.414059,15000.0
7,23673.45,2295.33513,3430.0,748.413,0.0,40804.0089443,0.0,0.0,0.0,254385,213580.991056,183433.792926,15000.0
8,23673.45,2295.33513,3430.0,748.413,5251.38181767,40748.4144627,6000.0,0.0,0.0,264191,218191.20372,182044.00559,9000.0
9,15748.6173774,2295.33513,3430.0,748.413,31647.1330068,38135.3448258,0.0,0.0,0.0,272083,202300.522167,180078.15666,9000.0
10,1396.73355,2295.33513,3430.0,748.413,58872.0949769,35967.0503421,0.0,0.0,0.0,277079,182239.854681,174369.373001,9000.0
11,1396.73355,2295.33513,3430.0,748.413,81000.4942534,38330.8023067,0.0,0.0,0.0,276365,157033.70344,149163.22176,9000.0
12,1396.73355,2295.33513,3430.0,748.413,94356.7096518,39701.5993571,0.0,-15000.0,0.0,272813,138754.690991,145884.209311,21750.0
13,1396.73355,2295.33513,3430.0,748.413,99603.6050245,38648.9812846,0.0,-15000.0,0.0,267932,129679.413691,136808.932011,34500.0
14,1396.73355,2295.33513,3430.0,748.413,95853.1798316,33643.2976486,0.0,-15000.0,0.0,262833,133336.52252,140466.04084,47250.0
15,1396.73355,2295.33513,3430.0,748.413,88476.1509124,31333.4464755,0.0,-15000.0,0.0,258380,138570.402612,145699.920932,60000.0
16,1396.73355,2295.33513,3430.0,748.413,71946.5956152,33186.5070644,0.0,0.0,0.0,257096,151962.89732,144092.41564,60000.0
17,1396.73355,2295.33513,3430.0,748.413,43278.8086509,36364.5787658,0.0,0.0,0.0,258851,179207.612583,171337.130903,60000.0
18,23673.45,2295.33513,3430.0,748.413,5651.22676754,36179.2080273,6853.95466863,0.0,0.0,261378,219547.565205,182546.412407,53146.0453314
19,23673.45,2295.33513,3430.0,748.413,0.0,41417.3441321,8146.04533137,0.0,0.0,262257,220839.655868,182546.412407,45000.0
20,8406.76893871,2295.33513,3430.0,748.413,0.0,51015.3262713,15000.0,0.0,0.0,260974,209958.673729,180078.15666,30000.0
21,13185.4561755,2295.33513,3430.0,748.413,0.0,56784.6390345,0.0,0.0,0.0,256522,199737.360966,180078.15666,30000.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,57407.6240671,0.0,0.0,0.0,248741,191333.375933,183462.894253,30000.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,55194.4416405,0.0,0.0,0.0,240388,185193.55836,177323.07668,30000.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,51060.7014114,0.0,0.0,0.0,233841,182780.298589,174909.816909,30000.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,46460.7077524,0.0,0.0,0.0,229061,182600.292248,174779.756813,30000.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,43023.7658334,0.0,0.0,0.0,225498,182474.234167,174653.698732,30000.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,40170.2611733,0.0,0.0,0.0,224343,184172.738827,176352.203392,30000.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,36129.4142124,0.0,0.0,0.0,226650,190520.585788,182700.050353,30000.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,33042.863387,0.0,0.0,0.0,232470,199427.136613,191606.601178,30000.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,31352.1538684,0.0,0.0,0.0,240934,209581.846132,201761.310697,30000.0
31,1361.223375,2280.89906,3430.0,748.413,0.0,30129.3924703,14182.5010611,0.0,0.0,250901,220771.60753,198768.571034,15817.4989389
32,23673.45,2280.89906,3430.0,748.413,5112.60667358,28979.8450529,0.0,0.0,0.0,261216,227123.548273,196990.786213,15817.4989389
33,7667.3039346,2280.89906,3430.0,748.413,32290.2247175,24882.598115,0.0,0.0,0.0,270246,213073.177168,198946.561173,15817.4989389
34,1361.223375,2280.89906,3430.0,748.413,60215.1207037,21172.2350616,0.0,0.0,0.0,275394,194006.644235,186186.1088,15817.4989389
35,1361.223375,2280.89906,3430.0,748.413,81452.763591,20795.9275164,0.0,0.0,0.0,274388,172139.308893,164318.773458,15817.4989389
36,1361.223375,2280.89906,3430.0,748.413,96531.7501311,16430.8887119,0.0,-15000.0,0.0,270714,157751.361157,164930.825722,28567.4989389
37,1361.223375,2280.89906,3430.0,748.413,99944.9062251,11402.4600062,0.0,-15000.0,0.0,266412,155064.633769,162244.098334,41317.4989389
38,1361.223375,2280.89906,3430.0,748.413,98089.2843356,8376.57633328,0.0,-15000.0,0.0,263196,156730.139331,163909.603896,54067.4989389
39,1361.223375,2280.89906,3430.0,748.413,92503.0455888,6948.54661059,0.0,-6979.41301302,0.0,261746,162294.407801,161453.285379,60000.0
40,1361.223375,2280.89906,3430.0,748.413,75373.2857682,8182.47164477,0.0,0.0,0.0,263225,179669.242587,171848.707152,60000.0
41,4907.96774059,2280.89906,3430.0,748.413,46876.9699566,10745.1890699,0.0,0.0,0.0,267936,210313.840973,198946.561173,60000.0
42,23673.45,2280.89906,3430.0,748.413,6553.1130962,14232.7374992,15000.0,0.0,0.0,272374,251588.149405,206455.387345,45000.0
43,23673.45,2280.89906,3430.0,748.413,0.0,22318.5007978,15000.0,0.0,0.0,273529,251210.499202,206077.737142,30000.0
44,23673.45,2280.89906,3430.0,748.413,0.0,33453.222137,0.0,0.0,0.0,272414,238960.777863,208828.015803,30000.0
45,23673.45,2280.89906,3430.0,748.413,0.0,41895.336995,0.0,0.0,0.0,267721,225825.663005,195692.900945,30000.0
46,10118.5697248,2280.89906,3430.0,748.413,0.0,43563.5570423,0.0,0.0,0.0,259088,215524.442958,198946.561173,30000.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,41576.6458199,0.0,0.0,0.0,250402,208825.35418,201004.818745,30000.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,39228.333467,0.0,0.0,0.0,243987,204758.666533,196938.131098,30000.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,36273.2430888,0.0,0.0,0.0,238528,202254.756911,194353.499746,30000.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,34145.0437756,0.0,0.0,0.0,234583,200437.956224,192536.699059,30000.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,32403.3955487,0.0,0.0,0.0,233756,201352.604451,193451.347286,30000.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,30850.8971388,0.0,0.0,0.0,236064,205213.102861,197311.845696,30000.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,28421.5241501,0.0,0.0,0.0,241974,213552.47585,205651.218685,30000.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,26899.7533641,0.0,0.0,0.0,251047,224147.246636,216245.989471,30000.0
55,1427.509035,2295.33513,3430.0,748.413,0.0,25761.5038821,6000.0,0.0,0.0,261747,235985.496118,222084.238953,24000.0
56,1427.509035,2295.33513,3430.0,748.413,5155.40218089,24324.0256135,15000.0,0.0,0.0,272845,243365.572206,220464.315041,9000.0
