,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,36323.9299324,0.0,0.0,0.0,234669,198345.070068,186905.803938,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,35313.7167238,0.0,0.0,0.0,230127,194813.283276,183374.017146,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,33936.7743935,0.0,0.0,0.0,230589,196652.225607,185212.959477,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,31687.2438876,0.0,0.0,0.0,232488,200800.756112,189361.489982,0.0
5,6890.31511918,2295.33513,3430.0,3549.516,0.0,29396.3785019,0.0,0.0,0.0,237568,208171.621498,192006.455249,0.0
6,15546.3399778,2295.33513,3430.0,3549.516,0.0,28283.3536433,0.0,0.0,0.0,245111,216827.646357,192006.455249,0.0
7,25025.4615781,2295.33513,3430.0,3549.516,0.0,28078.2320431,0.0,0.0,0.0,254385,226306.767957,192006.455249,0.0
8,30876.5633886,2295.33513,3430.0,3549.516,3714.45790638,28318.6723261,0.0,0.0,0.0,264191,232157.869767,192006.455249,0.0
9,23089.5360424,2295.33513,3430.0,3549.516,21210.3386689,26501.8189098,0.0,0.0,0.0,272083,224370.842421,192006.455249,0.0
10,11468.2922347,2295.33513,3430.0,3549.516,39355.4741335,24973.927253,0.0,0.0,0.0,277079,212749.598614,192006.455249,0.0
11,2164.415,2295.33513,3430.0,3549.516,54110.7983455,26714.1944065,0.0,0.0,0.0,276365,195540.007248,184100.741118,0.0
12,2164.415,2295.33513,3430.0,3549.516,62899.5152318,28148.9232087,0.0,0.0,0.0,272813,181764.561559,170325.295429,0.0
13,2164.415,2295.33513,3430.0,3549.516,65995.0193725,27615.4487681,0.0,0.0,0.0,267932,174321.531859,162882.265729,0.0
14,2164.415,2295.33513,3430.0,3549.516,63411.1307742,23993.7246297,0.0,0.0,0.0,262833,175428.144596,163988.878466,0.0
15,2164.415,2295.33513,3430.0,3549.516,59051.2717565,22324.7925415,0.0,0.0,0.0,258380,177003.935702,165564.669572,0.0
16,2164.415,2295.33513,3430.0,3549.516,47818.4124675,23460.512689,0.0,0.0,0.0,257096,185817.074843,174377.808713,0.0
17,2164.415,2295.33513,3430.0,3549.516,28810.2378973,25628.4391346,0.0,0.0,0.0,258851,204412.322968,192973.056838,0.0
18,31027.942078,2295.33513,3430.0,3549.516,3966.40105263,25102.3504905,0.0,0.0,0.0,261378,232309.248457,192006.455249,0.0
19,32301.6603679,2295.33513,3430.0,3549.516,0.0,28674.0332532,0.0,0.0,0.0,262257,233582.966747,192006.455249,0.0
20,24301.2030352,2295.33513,3430.0,3549.516,0.0,35391.490586,0.0,0.0,0.0,260974,225582.509414,192006.455249,0.0
21,15924.1607442,2295.33513,3430.0,3549.516,0.0,39316.5328769,0.0,0.0,0.0,256522,217205.467123,192006.455249,0.0
22,7753.25943395,2295.33513,3430.0,3549.516,0.0,39706.4341872,0.0,0.0,0.0,248741,209034.565813,192006.455249,0.0
23,2164.415,2295.33513,3430.0,3549.516,0.0,38285.8300782,0.0,0.0,0.0,240388,202102.169922,190662.903792,0.0
24,2164.415,2295.33513,3430.0,3549.516,0.0,35532.3104175,0.0,0.0,0.0,233841,198308.689583,186869.423453,0.0
25,2109.3875,2280.89906,3430.0,3549.516,0.0,32433.8338245,0.0,0.0,0.0,229061,196627.166175,185257.363615,0.0
26,2109.3875,2280.89906,3430.0,3549.516,0.0,30116.3573517,0.0,0.0,0.0,225498,195381.642648,184011.840088,0.0
27,2109.3875,2280.89906,3430.0,3549.516,0.0,27977.8443918,0.0,0.0,0.0,224343,196365.155608,184995.353048,0.0
28,2109.3875,2280.89906,3430.0,3549.516,0.0,25314.986487,0.0,0.0,0.0,226650,201335.013513,189965.210953,0.0
