Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,2164.415,2295.33513,3430.0,3549.516,0.0,99476.6458242,0.0,0.0,0.0,234669,135192.354176,123753.088046,0.0
2,2164.415,2295.33513,3430.0,3549.516,0.0,96145.1478967,0.0,0.0,0.0,230127,133981.852103,122542.585973,0.0
3,2164.415,2295.33513,3430.0,3549.516,0.0,92267.2718607,0.0,0.0,0.0,230589,138321.728139,126882.462009,0.0
4,2164.415,2295.33513,3430.0,3549.516,0.0,85667.9183559,0.0,0.0,0.0,232488,146820.081644,135380.815514,0.0
5,14208.0263012,2295.33513,3430.0,3549.516,0.0,79973.0529136,0.0,0.0,0.0,237568,157594.947086,134112.069655,0.0
6,24448.4884268,2295.33513,3430.0,3549.516,0.0,77275.5907879,0.0,0.0,0.0,245111,167835.409212,134112.069655,0.0
7,36685.0,2295.33513,3430.0,3549.516,0.0,76035.0004198,0.0,0.0,0.0,254385,178349.99958,132390.14845,0.0
8,36685.0,2295.33513,3430.0,3549.516,9775.30977135,75427.9852543,0.0,0.0,0.0,264191,178987.704974,133027.853844,0.0
9,2164.415,2295.33513,3430.0,3549.516,63092.775029,69148.1535943,0.0,0.0,0.0,272083,139842.071377,128402.805247,0.0
10,2164.415,2295.33513,3430.0,3549.516,116477.487303,65048.928681,0.0,0.0,0.0,277079,95552.5840158,84113.3178858,0.0
11,2164.415,2295.33513,3430.0,3549.516,159348.673134,68768.0580924,0.0,0.0,0.0,276365,48248.2687736,36809.0026436,0.0
12,2164.415,2295.33513,3430.0,3549.516,185724.110269,69203.7392629,0.0,0.0,0.0,272813,17885.1504684,6445.8843384,0.0
13,2164.415,2295.33513,3430.0,3549.516,190248.547713,66244.1861566,0.0,0.0,5652.0,267932,11439.26613,4.07453626394e-10,0.0
14,2164.415,2295.33513,3430.0,3549.516,188281.003327,58073.2091657,0.0,0.0,0.0,262833,16478.7875075,5039.52137747,0.0
15,2164.415,2295.33513,3430.0,3549.516,173364.743914,54446.927935,0.0,0.0,0.0,258380,30568.3281509,19129.0620209,0.0
16,2164.415,2295.33513,3430.0,3549.516,140879.097429,57732.4100711,0.0,0.0,0.0,257096,58484.4924998,47045.2263698,0.0
17,2164.415,2295.33513,3430.0,3549.516,83530.9975599,64415.3820784,0.0,0.0,0.0,258851,110904.620362,99465.3542317,0.0
18,36685.0,2295.33513,3430.0,3549.516,11016.2574316,64953.3955068,0.0,0.0,0.0,261378,185408.347062,139448.495932,0.0
