Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,139367.663632,0.0,0.0,0.0,235127,95759.3363685,87888.8546885,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,133092.473457,0.0,0.0,0.0,229550,96457.5265434,88587.0448634,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,127305.495341,0.0,0.0,0.0,230082,102776.504659,94906.0229787,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,118497.353579,0.0,0.0,0.0,232020,113522.646421,105652.164741,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,112787.052157,0.0,0.0,0.0,238027,125239.947843,117369.466163,0.0
6,10472.4749099,2295.33513,3430.0,748.413,0.0,109927.182196,0.0,0.0,0.0,247285,137357.817804,120411.594764,0.0
7,21935.2622318,2295.33513,3430.0,748.413,0.0,108994.394875,0.0,0.0,0.0,257815,148820.605125,120411.594764,0.0
8,23673.45,2295.33513,3430.0,748.413,5100.10268116,107845.76947,0.0,0.0,0.0,268017,155071.127848,124923.929718,0.0
9,20047.5846016,2295.33513,3430.0,748.413,31461.7835694,97519.2889353,0.0,0.0,0.0,275914,146932.927495,120411.594764,0.0
10,1396.73355,2295.33513,3430.0,748.413,58613.4603811,94444.7151928,0.0,0.0,0.0,280401,127342.824426,119472.342746,0.0
11,1396.73355,2295.33513,3430.0,748.413,80811.2496943,104986.31071,0.0,0.0,0.0,280477,94679.4395959,86808.9579159,0.0
12,1396.73355,2295.33513,3430.0,748.413,94959.5080229,103077.21487,0.0,0.0,0.0,278002,79965.2771071,72094.7954271,0.0
13,1396.73355,2295.33513,3430.0,748.413,100400.525212,92812.2191291,0.0,0.0,0.0,273817,80604.2556587,72733.7739787,0.0
14,1396.73355,2295.33513,3430.0,748.413,96902.5356166,78482.2511292,0.0,0.0,0.0,269218,93833.2132543,85962.7315743,0.0
15,1396.73355,2295.33513,3430.0,748.413,89671.5275333,71519.306912,0.0,0.0,0.0,265245,104054.165555,96183.6838747,0.0
16,1396.73355,2295.33513,3430.0,748.413,73292.4905341,76406.6041028,0.0,0.0,0.0,264031,114331.905363,106461.423683,0.0
17,7942.25405722,2295.33513,3430.0,748.413,44665.2351598,86125.1678893,0.0,0.0,0.0,265618,134827.596951,120411.594764,0.0
18,23673.45,2295.33513,3430.0,748.413,6811.15920943,87643.3203619,0.0,0.0,0.0,267658,173203.520429,143056.322299,0.0
19,23673.45,2295.33513,3430.0,748.413,929.783517306,101991.372861,0.0,0.0,0.0,267537,164615.843622,134468.645492,0.0
20,9075.00279951,2295.33513,3430.0,748.413,494.333974839,128612.320332,0.0,0.0,0.0,265067,135960.345693,120411.594764,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,144591.292994,0.0,0.0,0.0,260050,115458.707006,107588.225326,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,145296.932435,0.0,0.0,0.0,251817,106520.067565,98649.585885,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,139307.929836,0.0,0.0,0.0,242680,103372.070164,95501.5884836,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,128292.095859,0.0,0.0,0.0,235006,106713.904141,98843.4224613,0.0
