,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,11444.64,748.413,0.0,19002.7462453,0.0,0.0,0.0,234669,215666.253755,199781.132075,0.0
2,1396.73355,2295.33513,11444.64,748.413,0.0,18582.1408525,0.0,0.0,0.0,230127,211544.859147,195659.737467,0.0
3,1396.73355,2295.33513,11444.64,748.413,0.0,17737.2159078,0.0,0.0,0.0,230589,212851.784092,196966.662412,0.0
4,1396.73355,2295.33513,11444.64,748.413,0.0,16529.1196412,0.0,0.0,0.0,232488,215958.880359,200073.758679,0.0
5,1396.73355,2295.33513,11444.64,748.413,0.0,15274.6435826,0.0,0.0,0.0,237568,222293.356417,206408.234737,0.0
6,8065.54713448,2295.33513,11444.64,748.413,0.0,14782.8483697,0.0,0.0,0.0,245111,230328.15163,207774.216366,0.0
7,17512.5036399,2295.33513,11444.64,748.413,0.0,14609.8918643,0.0,0.0,0.0,254385,239775.108136,207774.216366,0.0
8,23673.45,2295.33513,11444.64,748.413,5251.38181767,14859.3013323,0.0,0.0,0.0,264191,244080.31685,205918.47872,0.0
9,1396.73355,2295.33513,11444.64,748.413,31647.1330068,13745.0921372,0.0,0.0,0.0,272083,226690.774856,210805.653176,0.0
10,1396.73355,2295.33513,11444.64,748.413,58872.0949769,12922.210751,0.0,0.0,0.0,277079,205284.694272,189399.572592,0.0
11,1396.73355,2295.33513,11444.64,748.413,81000.4942534,14007.1057671,0.0,0.0,0.0,276365,181357.399979,165472.278299,0.0
12,1396.73355,2295.33513,11444.64,748.413,94356.7096518,14909.1756859,0.0,0.0,0.0,272813,163547.114662,147661.992982,0.0
13,1396.73355,2295.33513,11444.64,748.413,99603.6050245,14464.5316565,0.0,0.0,0.0,267932,153863.863319,137978.741639,0.0
14,1396.73355,2295.33513,11444.64,748.413,95853.1798316,12411.2461481,0.0,0.0,0.0,262833,154568.57402,138683.45234,0.0
15,1396.73355,2295.33513,11444.64,748.413,88476.1509124,11500.8553204,0.0,0.0,0.0,258380,158402.993767,142517.872087,0.0
16,1396.73355,2295.33513,11444.64,748.413,71946.5956152,11902.7836177,0.0,0.0,0.0,257096,173246.620767,157361.499087,0.0
17,1396.73355,2295.33513,11444.64,748.413,43278.8086509,12846.8992759,0.0,0.0,0.0,258851,202725.292073,186840.170393,0.0
18,23673.45,2295.33513,11444.64,748.413,5651.22676754,12632.9367197,0.0,0.0,0.0,261378,243093.836513,204931.998383,0.0
19,23673.45,2295.33513,11444.64,748.413,0.0,14474.6131461,0.0,0.0,0.0,262257,247782.386854,209620.548724,0.0
20,23673.45,2295.33513,11444.64,748.413,0.0,18048.132402,0.0,0.0,0.0,260974,242925.867598,204764.029468,0.0
21,14111.3100049,2295.33513,11444.64,748.413,0.0,20148.0854993,0.0,0.0,0.0,256522,236373.914501,207774.216366,0.0
22,6109.7678207,2295.33513,11444.64,748.413,0.0,20368.6276835,0.0,0.0,0.0,248741,228372.372317,207774.216366,0.0
23,1396.73355,2295.33513,11444.64,748.413,0.0,19904.9683624,0.0,0.0,0.0,240388,220483.031638,204597.909958,0.0
24,1396.73355,2295.33513,11444.64,748.413,0.0,18634.1484828,0.0,0.0,0.0,233841,215206.851517,199321.729837,0.0
25,1361.223375,2280.89906,11444.64,748.413,0.0,17212.7396528,0.0,0.0,0.0,229061,211848.260347,196013.084912,0.0
26,1361.223375,2280.89906,11444.64,748.413,0.0,16016.3417581,0.0,0.0,0.0,225498,209481.658242,193646.482807,0.0
27,1361.223375,2280.89906,11444.64,748.413,0.0,15134.6903157,0.0,0.0,0.0,224343,209208.309684,193373.134249,0.0
28,1361.223375,2280.89906,11444.64,748.413,0.0,13684.7372984,0.0,0.0,0.0,226650,212965.262702,197130.087267,0.0
29,1361.223375,2280.89906,11444.64,748.413,0.0,12577.585226,0.0,0.0,0.0,232470,219892.414774,204057.239339,0.0
30,1361.223375,2280.89906,11444.64,748.413,0.0,12149.6590135,0.0,0.0,0.0,240934,228784.340986,212949.165551,0.0
