,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,87170.7421507,0.0,0.0,0.0,234669,147498.257849,139627.776169,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,84758.9316629,0.0,0.0,0.0,230127,145368.068337,137497.586657,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,81249.5977294,0.0,0.0,0.0,230589,149339.402271,141468.920591,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,76131.6287389,0.0,0.0,0.0,232488,156356.371261,148485.889581,0.0
5,5929.12916523,2295.33513,3430.0,748.413,0.0,71984.9557885,0.0,0.0,0.0,237568,165583.044211,153180.166916,0.0
6,16075.3032076,2295.33513,3430.0,748.413,0.0,69381.7817462,0.0,0.0,0.0,245111,175729.218254,153180.166916,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,69071.0309692,0.0,0.0,0.0,254385,185313.969031,155166.770901,0.0
8,23673.45,2295.33513,3430.0,748.413,14527.4409038,68827.7179355,0.0,0.0,0.0,264191,180835.841161,150688.643031,0.0
9,1396.73355,2295.33513,3430.0,748.413,80907.9755581,63921.4152526,0.0,0.0,0.0,272083,127253.609189,119383.127509,0.0
10,1396.73355,2295.33513,3430.0,748.413,112502.88107,60958.5120473,0.0,0.0,0.0,277079,103617.606883,95747.1252027,0.0
11,1396.73355,2295.33513,3430.0,748.413,127961.128969,64676.7930948,0.0,0.0,0.0,276365,83727.0779358,75856.5962558,0.0
12,1396.73355,2295.33513,3430.0,748.413,133214.574295,65642.2723482,0.0,0.0,0.0,272813,73956.1533566,66085.6716766,0.0
13,1396.73355,2295.33513,3430.0,748.413,133215.309086,63247.1515217,0.0,0.0,0.0,267932,71469.5393922,63599.0577122,0.0
14,1396.73355,2295.33513,3430.0,748.413,127882.596596,55403.2882746,0.0,0.0,0.0,262833,79547.1151298,71676.6334498,0.0
15,1396.73355,2295.33513,3430.0,748.413,122729.19075,51847.7758484,0.0,0.0,0.0,258380,83803.0334015,75932.5517215,0.0
16,1396.73355,2295.33513,3430.0,748.413,110214.106927,54167.4970504,0.0,0.0,0.0,257096,92714.3960222,84843.9143422,0.0
17,1396.73355,2295.33513,3430.0,748.413,77351.2128003,59793.9034574,0.0,0.0,0.0,258851,121705.883742,113835.402062,0.0
18,23673.45,2295.33513,3430.0,748.413,8694.04115737,60169.9650823,0.0,0.0,0.0,261378,192513.99376,162366.79563,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,68131.3889557,0.0,0.0,0.0,262257,194125.611044,163978.412914,0.0
20,18041.9379449,2295.33513,3430.0,748.413,0.0,83278.1470088,0.0,0.0,0.0,260974,177695.852991,153180.166916,0.0
21,5752.75828231,2295.33513,3430.0,748.413,0.0,91115.3266714,0.0,0.0,0.0,256522,165406.673329,153180.166916,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,91530.8681045,0.0,0.0,0.0,248741,157210.131896,149339.650216,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,88328.3546569,0.0,0.0,0.0,240388,152059.645343,144189.163663,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,82303.2760773,0.0,0.0,0.0,233841,151537.723923,143667.242243,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,75841.5034142,0.0,0.0,0.0,229061,153219.496586,145398.961151,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,70500.5644426,0.0,0.0,0.0,225498,154997.435557,147176.900122,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,67071.5263222,0.0,0.0,0.0,224343,157271.473678,149450.938243,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,60934.3194037,0.0,0.0,0.0,226650,165715.680596,157895.145161,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,55688.1281118,0.0,0.0,0.0,232470,176781.871888,168961.336453,0.0
30,6843.3873758,2280.89906,3430.0,748.413,0.0,52996.3358757,0.0,0.0,0.0,240934,187937.664124,174634.964689,0.0
31,23673.45,2280.89906,3430.0,748.413,0.0,50774.1111468,0.0,0.0,0.0,250901,200126.888853,169994.126793,0.0
32,17756.0519982,2280.89906,3430.0,748.413,14013.9694693,48351.7017839,0.0,0.0,0.0,261216,198850.328747,174634.964689,0.0
33,1361.223375,2280.89906,3430.0,748.413,82666.3552834,41999.3254661,0.0,0.0,0.0,270246,145580.31925,137759.783815,0.0
34,1361.223375,2280.89906,3430.0,748.413,114309.15874,35632.5204819,0.0,0.0,0.0,275394,125452.320778,117631.785343,0.0
35,1361.223375,2280.89906,3430.0,748.413,127794.538688,34313.2524519,0.0,0.0,0.0,274388,112280.20886,104459.673425,0.0
36,1361.223375,2280.89906,3430.0,748.413,134891.88052,27483.3453453,0.0,0.0,0.0,270714,108338.774134,100518.238699,0.0
37,1361.223375,2280.89906,3430.0,748.413,132770.932263,19438.7819653,0.0,0.0,0.0,266412,114202.285772,106381.750337,0.0
38,1361.223375,2280.89906,3430.0,748.413,129749.711961,14426.2775295,0.0,0.0,0.0,263196,119020.01051,111199.475075,0.0
39,1361.223375,2280.89906,3430.0,748.413,128010.447985,12808.9468931,0.0,0.0,0.0,261746,120926.605122,113106.069687,0.0
40,1361.223375,2280.89906,3430.0,748.413,116315.676745,14853.4470355,0.0,0.0,0.0,263225,132055.876219,124235.340784,0.0
41,1361.223375,2280.89906,3430.0,748.413,85184.1594531,19719.6789116,0.0,0.0,0.0,267936,163032.161635,155211.6262,0.0
42,23673.45,2280.89906,3430.0,748.413,10280.7224473,26444.9735616,0.0,0.0,0.0,272374,235648.303991,205515.541931,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,39261.147938,0.0,0.0,0.0,273529,234267.852062,204135.090002,0.0
44,23673.45,2280.89906,3430.0,748.413,0.0,57660.3183223,0.0,0.0,0.0,272414,214753.681678,184620.919618,0.0
45,16090.7113913,2280.89906,3430.0,748.413,0.0,70536.0118602,0.0,0.0,0.0,267721,197184.98814,174634.964689,0.0
46,5677.14063471,2280.89906,3430.0,748.413,0.0,72316.5826168,0.0,0.0,0.0,259088,186771.417383,174634.964689,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,69973.3730694,0.0,0.0,0.0,250402,180428.626931,172608.091496,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,65180.5653226,0.0,0.0,0.0,243987,178806.434677,170985.899242,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,60211.4445859,0.0,0.0,0.0,238528,178316.555414,170415.298249,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,56262.7507746,0.0,0.0,0.0,234583,178320.249225,170418.99206,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,53862.3893603,0.0,0.0,0.0,233756,179893.61064,171992.353475,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,50781.3304301,0.0,0.0,0.0,236064,185282.66957,177381.412405,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,47495.3755765,0.0,0.0,0.0,241974,194478.624423,186577.367258,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,45018.4854404,0.0,0.0,0.0,251047,206028.51456,198127.257395,0.0
55,1427.509035,2295.33513,3430.0,748.413,0.0,42480.7960458,0.0,0.0,0.0,261747,219266.203954,211364.946789,0.0
56,1427.509035,2295.33513,3430.0,748.413,14002.0235903,40135.5680031,0.0,0.0,0.0,272845,218707.408407,210806.151242,0.0
57,1427.509035,2295.33513,3430.0,748.413,83540.5227046,32949.9826242,0.0,0.0,0.0,281548,165057.494671,157156.237506,0.0
58,1427.509035,2295.33513,3430.0,748.413,115240.578297,25668.1037694,0.0,0.0,0.0,285750,144841.317933,136940.060768,0.0
59,1427.509035,2295.33513,3430.0,748.413,133004.648676,24625.0864966,0.0,0.0,0.0,284413,126783.264828,118882.007663,0.0
60,1427.509035,2295.33513,3430.0,748.413,138450.334968,20064.3385095,0.0,0.0,0.0,280653,122138.326523,114237.069358,0.0
61,1427.509035,2295.33513,3430.0,748.413,139313.13626,15036.2242102,0.0,0.0,0.0,276117,121767.63953,113866.382365,0.0
62,1427.509035,2295.33513,3430.0,748.413,137731.129465,11351.9774835,0.0,0.0,0.0,272198,123114.893051,115213.635886,0.0
63,1427.509035,2295.33513,3430.0,748.413,131279.556374,9767.99496953,0.0,0.0,0.0,269438,128390.448656,120489.191491,0.0
64,1427.509035,2295.33513,3430.0,748.413,116306.168011,10304.6096208,0.0,0.0,0.0,269896,143285.222368,135383.965203,0.0
65,1427.509035,2295.33513,3430.0,748.413,83984.6238881,11505.4724264,0.0,0.0,0.0,273750,178259.903686,170358.646521,0.0
66,23673.45,2295.33513,3430.0,748.413,10794.9930907,13440.0568245,0.0,0.0,0.0,277624,253388.950085,223241.751955,0.0
67,23673.45,2295.33513,3430.0,748.413,0.0,18665.9240637,0.0,0.0,0.0,279691,261025.075936,230877.877806,0.0
68,23673.45,2295.33513,3430.0,748.413,0.0,25979.5803447,0.0,0.0,0.0,278966,252986.419655,222839.221525,0.0
69,23673.45,2295.33513,3430.0,748.413,0.0,31283.3398025,0.0,0.0,0.0,274332,243048.660197,212901.462067,0.0
70,20202.3720974,2295.33513,3430.0,748.413,0.0,30402.9084513,0.0,0.0,0.0,265772,235369.091549,208692.971321,0.0
71,14351.484784,2295.33513,3430.0,748.413,0.0,26185.7957647,0.0,0.0,0.0,255704,229518.204235,208692.971321,0.0
72,9325.35492366,2295.33513,3430.0,748.413,0.0,22893.925625,0.0,0.0,0.0,247386,224492.074375,208692.971321,0.0
73,8110.89010355,2295.33513,3430.0,748.413,0.0,20144.2794236,0.0,0.0,0.0,241037,220892.720576,206308.082343,0.0
74,5509.94428399,2295.33513,3430.0,748.413,0.0,17944.2252432,0.0,0.0,0.0,236236,218291.774757,206308.082343,0.0
75,5777.84654575,2295.33513,3430.0,748.413,0.0,15478.3229814,0.0,0.0,0.0,234038,218559.677019,206308.082343,0.0
76,9684.77871015,2295.33513,3430.0,748.413,0.0,13271.390817,0.0,0.0,0.0,235738,222466.609183,206308.082343,0.0
77,14413.8656975,2295.33513,3430.0,748.413,0.0,12707.3038297,0.0,0.0,0.0,239903,227195.69617,206308.082343,0.0
78,23673.45,2295.33513,3430.0,748.413,0.0,13613.88472,0.0,0.0,0.0,246365,232751.11528,202603.91715,0.0
79,23673.45,2295.33513,3430.0,748.413,0.0,15382.8309036,0.0,0.0,0.0,253788,238405.169096,208257.970966,0.0
80,18589.674395,2295.33513,3430.0,748.413,12387.9259054,17478.5692267,0.0,0.0,0.0,261238,231371.504868,206308.082343,0.0
81,1581.38646,2295.33513,3430.0,748.413,86060.2267875,15571.5051646,0.0,0.0,0.0,266503,164871.268048,156816.133458,0.0
82,1581.38646,2295.33513,3430.0,748.413,119604.740274,13419.9285713,0.0,0.0,0.0,269530,136505.331155,128450.196565,0.0
83,1581.38646,2295.33513,3430.0,748.413,134702.428066,18008.7727929,0.0,0.0,0.0,269369,116657.799141,108602.664551,0.0
84,1581.38646,2295.33513,3430.0,748.413,139076.261841,17504.8896655,0.0,0.0,0.0,266336,109754.848493,101699.713903,0.0
85,1581.38646,2295.33513,3430.0,748.413,141655.445138,16543.1487035,0.0,0.0,0.0,261953,103754.406158,95699.2715683,0.0
86,1581.38646,2295.33513,3430.0,748.413,136950.087715,16476.8672577,0.0,0.0,0.0,258242,104815.045027,96759.9104373,0.0
87,1581.38646,2295.33513,3430.0,748.413,129729.290901,16816.1594682,0.0,0.0,0.0,255343,108797.549631,100742.415041,0.0
88,1581.38646,2295.33513,3430.0,748.413,113414.29676,18807.7537337,0.0,0.0,0.0,255270,123047.949507,114992.814917,0.0
89,1581.38646,2295.33513,3430.0,748.413,78945.7057149,23172.2728773,0.0,0.0,0.0,258208,156090.021408,148034.886818,0.0
90,10825.0340808,2295.33513,3430.0,748.413,10451.4198467,27889.7155997,0.0,0.0,0.0,261948,223606.864554,206308.082343,0.0
91,15845.0191091,2295.33513,3430.0,748.413,0.0,35359.1504181,0.0,0.0,0.0,263986,228626.849582,206308.082343,0.0
92,6178.68849427,2295.33513,3430.0,748.413,0.0,45365.4810329,0.0,0.0,0.0,264326,218960.518967,206308.082343,0.0
93,1581.38646,2295.33513,3430.0,748.413,0.0,52648.0436862,0.0,0.0,0.0,261177,208528.956314,200473.821724,0.0
94,1581.38646,2295.33513,3430.0,748.413,0.0,57946.5601564,0.0,0.0,0.0,253857,195910.439844,187855.305254,0.0
95,1581.38646,2295.33513,3430.0,748.413,0.0,57764.8192792,0.0,0.0,0.0,247071,189306.180721,181251.046131,0.0
96,1581.38646,2295.33513,3430.0,748.413,0.0,54263.1795276,0.0,0.0,0.0,241950,187686.820472,179631.685882,0.0
97,1676.08026,2295.33513,3430.0,753.12,0.0,47342.8278315,0.0,0.0,0.0,237684,190341.172168,182186.636778,0.0
98,1676.08026,2295.33513,3430.0,753.12,0.0,40720.3795422,0.0,0.0,0.0,234388,193667.620458,185513.085068,0.0
99,1676.08026,2295.33513,3430.0,753.12,0.0,34690.898373,0.0,0.0,0.0,234037,199346.101627,191191.566237,0.0
100,1676.08026,2295.33513,3430.0,753.12,0.0,29460.8459435,0.0,0.0,0.0,235737,206276.154056,198121.618666,0.0
101,5056.69223346,2295.33513,3430.0,753.12,0.0,27090.2494601,0.0,0.0,0.0,239902,212811.75054,201276.603176,0.0
102,11401.4765039,2295.33513,3430.0,753.12,0.0,27206.4651896,0.0,0.0,0.0,246363,219156.53481,201276.603176,0.0
103,18959.9683888,2295.33513,3430.0,753.12,0.0,27070.9733048,0.0,0.0,0.0,253786,226715.026695,201276.603176,0.0
104,14712.0576273,2295.33513,3430.0,753.12,12197.8297957,26570.0542706,0.0,0.0,0.0,261235,222467.115934,201276.603176,0.0
105,1676.08026,2295.33513,3430.0,753.12,86501.6637711,24893.4168721,0.0,0.0,0.0,266499,155103.919357,146949.383967,0.0
106,1676.08026,2295.33513,3430.0,753.12,120064.213085,21691.8476222,0.0,0.0,0.0,269524,127767.939293,119613.403903,0.0
107,1676.08026,2295.33513,3430.0,753.12,136806.771307,18329.8593458,0.0,0.0,0.0,269364,114227.369347,106072.833957,0.0
108,1676.08026,2295.33513,3430.0,753.12,143171.887756,15770.5121015,0.0,0.0,0.0,266331,107388.600142,99234.0647522,0.0
109,1676.08026,2295.33513,3430.0,753.12,144958.55179,12994.5173613,0.0,0.0,0.0,261948,103994.930849,95840.3954587,0.0
110,1676.08026,2295.33513,3430.0,753.12,142008.674507,10291.3739516,0.0,0.0,0.0,258237,105936.951542,97782.4161517,0.0
111,1676.08026,2295.33513,3430.0,753.12,134938.481795,8820.54027429,0.0,0.0,0.0,255340,111580.977931,103426.442541,0.0
112,1676.08026,2295.33513,3430.0,753.12,119725.629964,9152.64610147,0.0,0.0,0.0,255268,126389.723935,118235.188545,0.0
113,1676.08026,2295.33513,3430.0,753.12,85264.6917835,10980.0107491,0.0,0.0,0.0,258206,161961.297467,153806.762077,0.0
114,23673.45,2295.33513,3430.0,753.12,11095.654669,13292.3743682,0.0,0.0,0.0,261946,237557.970963,207406.065833,0.0
115,23673.45,2295.33513,3430.0,753.12,0.0,18314.5932813,0.0,0.0,0.0,263983,245668.406719,215516.501589,0.0
116,23673.45,2295.33513,3430.0,753.12,0.0,25963.7399815,0.0,0.0,0.0,264323,238359.260019,208207.354889,0.0
117,23673.45,2295.33513,3430.0,753.12,0.0,31332.0416893,0.0,0.0,0.0,261173,229840.958311,199689.053181,0.0
118,13116.8054466,2295.33513,3430.0,753.12,0.0,32983.136247,0.0,0.0,0.0,253855,220871.863753,201276.603176,0.0
119,1676.08026,2295.33513,3430.0,753.12,0.0,32864.4326233,0.0,0.0,0.0,245622,212757.567377,204603.031987,0.0
120,1676.08026,2295.33513,3430.0,753.12,0.0,32220.380222,0.0,0.0,0.0,239244,207023.619778,198869.084388,0.0
121,1784.97813,2280.89906,3430.0,753.12,0.0,31141.1639334,0.0,0.0,0.0,233728,202586.836067,194337.838877,0.0
122,1784.97813,2280.89906,3430.0,753.12,0.0,30093.7353708,0.0,0.0,0.0,229019,198925.264629,190676.267439,0.0
123,1784.97813,2280.89906,3430.0,753.12,0.0,29952.7899988,0.0,0.0,0.0,227240,197287.210001,189038.212811,0.0
124,1784.97813,2280.89906,3430.0,753.12,0.0,28172.727841,0.0,0.0,0.0,229344,201171.272159,192922.274969,0.0
125,1784.97813,2280.89906,3430.0,753.12,0.0,26639.1675097,0.0,0.0,0.0,234369,207729.83249,199480.8353,0.0
126,15322.6423232,2280.89906,3430.0,753.12,0.0,25412.9357631,0.0,0.0,0.0,242272,216859.064237,195072.402854,0.0
127,23673.45,2280.89906,3430.0,753.12,0.0,24404.7939092,0.0,0.0,0.0,251172,226767.206091,196629.737031,0.0
128,23673.45,2280.89906,3430.0,753.12,11976.5556568,22877.8222625,0.0,0.0,0.0,260781,225926.622081,195789.153021,0.0
129,1784.97813,2280.89906,3430.0,753.12,86817.2144914,18562.0498054,0.0,0.0,0.0,268512,163132.735703,154883.738513,0.0
130,1784.97813,2280.89906,3430.0,753.12,120052.050895,15515.5048949,0.0,0.0,0.0,273266,137698.44421,129449.44702,0.0
131,1784.97813,2280.89906,3430.0,753.12,134450.024189,15227.8269643,0.0,0.0,0.0,273506,123828.148847,115579.151657,0.0
132,1784.97813,2280.89906,3430.0,753.12,141123.408478,16822.6053532,0.0,0.0,0.0,271531,113584.986169,105335.988979,0.0
133,1784.97813,2280.89906,3430.0,753.12,142552.990818,16741.2281426,0.0,0.0,0.0,268507,109212.78104,100963.78385,0.0
134,1784.97813,2280.89906,3430.0,753.12,140645.771959,16937.5002858,0.0,0.0,0.0,265573,107989.727755,99740.7305652,0.0
135,1784.97813,2280.89906,3430.0,753.12,136072.679342,17531.0497046,0.0,0.0,0.0,263865,110261.270953,102012.273763,0.0
136,1784.97813,2280.89906,3430.0,753.12,122957.158279,18794.8218638,0.0,0.0,0.0,264789,123037.019858,114788.022668,0.0
137,1784.97813,2280.89906,3430.0,753.12,90047.7979167,20310.8559359,0.0,0.0,0.0,269326,158967.346147,150718.348957,0.0
