Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,66871.7792726,0.0,0.0,0.0,234669,167797.220727,159926.739047,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,65296.9939903,0.0,0.0,0.0,230127,164830.00601,156959.52433,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,62693.2434002,0.0,0.0,0.0,230589,167895.7566,160025.27492,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,58741.9582264,0.0,0.0,0.0,232488,173746.041774,165875.560094,0.0
5,9389.85268167,2295.33513,3430.0,748.413,0.0,55376.6317972,0.0,0.0,0.0,237568,182191.368203,166327.767391,0.0
6,18823.9440527,2295.33513,3430.0,748.413,0.0,53485.5404261,0.0,0.0,0.0,245111,191625.459574,166327.767391,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,53432.4332303,0.0,0.0,0.0,254385,200952.56677,170805.36864,0.0
8,1396.73355,2295.33513,3430.0,748.413,41040.6898273,53169.1198381,0.0,0.0,0.0,264191,169981.190335,162110.708655,0.0
9,1396.73355,2295.33513,3430.0,748.413,182653.232641,49923.7033223,0.0,0.0,0.0,272083,39506.0640367,31635.5823567,0.0
10,1396.73355,2295.33513,3430.0,748.413,250940.854445,18267.6638751,0.0,0.0,29229.0,277079,7870.48168,0.0,0.0
11,1396.73355,2295.33513,3430.0,748.413,268494.51832,0.0,0.0,0.0,65690.0,276365,7870.48168,0.0,0.0
12,1396.73355,2295.33513,3430.0,748.413,264942.51832,0.0,0.0,0.0,81357.0,272813,7870.48168,0.0,0.0
13,1396.73355,2295.33513,3430.0,748.413,260061.51832,0.0,0.0,0.0,83141.0,267932,7870.48168,0.0,0.0
14,1396.73355,2295.33513,3430.0,748.413,254962.51832,0.0,0.0,0.0,67873.0,262833,7870.48168,0.0,0.0
15,1396.73355,2295.33513,3430.0,748.413,250509.51832,0.0,0.0,0.0,56260.0,258380,7870.48168,0.0,0.0
16,1396.73355,2295.33513,3430.0,748.413,234471.970128,14753.5481921,0.0,0.0,28160.0,257096,7870.48168,0.0,0.0
17,1396.73355,2295.33513,3430.0,748.413,157592.20461,47202.1240068,0.0,0.0,0.0,258851,54056.6713832,46186.1897032,0.0
18,23673.45,2295.33513,3430.0,748.413,17300.094322,47196.4963391,0.0,0.0,0.0,261378,196881.409339,166734.211209,0.0
19,23673.45,2295.33513,3430.0,748.413,1357.00734466,53449.8779304,0.0,0.0,0.0,262257,207450.114725,177302.916595,0.0
20,22645.5176332,2295.33513,3430.0,748.413,1055.64922725,64471.3176184,0.0,0.0,0.0,260974,195447.033154,166327.767391,0.0
21,13443.9594028,2295.33513,3430.0,748.413,0.0,70276.5250761,0.0,0.0,0.0,256522,186245.474924,166327.767391,0.0
22,5169.30482965,2295.33513,3430.0,748.413,0.0,70770.1796492,0.0,0.0,0.0,248741,177970.820351,166327.767391,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,68322.4759655,0.0,0.0,0.0,240388,172065.524034,164195.042354,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,63942.1289486,0.0,0.0,0.0,233841,169898.871051,162028.389371,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,59110.7366147,0.0,0.0,0.0,229061,169950.263385,162129.72795,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,55035.8862485,0.0,0.0,0.0,225498,170462.113752,162641.578317,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,52450.5319529,0.0,0.0,0.0,224343,171892.468047,164071.932612,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,47582.092431,0.0,0.0,0.0,226650,179067.907569,171247.372134,0.0
