Fuel,MaxOutputBreaks,Heat Rate,Band,Notes
CCGT-GAS,NA,7.29,1,Units are in GJ per MWh
CCGT-LNG,NA,7.29,1,NA
CCGT-NAPTHA,NA,7.29,1,NA
COGENERATION-BAGASSE,NA,12.3,1,NA
CT-GAS,NA,11.07,1,NA
DIESEL,NA,11.48,1,NA
NUCLEAR,NA,0,1,NA
SUBCRITICAL-COAL,500,11.43,1,NA
SUBCRITICAL-COAL,500,11.606,2,NA
SUBCRITICAL-COAL,500,11.844,3,NA
SUBCRITICAL-COAL,500,12.179,4,NA
SUBCRITICAL-COAL,500,12.675,5,NA
SUBCRITICAL-COAL,500,13.027,6,NA
SUBCRITICAL-COAL,9999,10.8,1,NA
SUBCRITICAL-COAL,9999,10.906,2,NA
SUBCRITICAL-COAL,9999,11.056,3,NA
SUBCRITICAL-COAL,9999,11.279,4,NA
SUBCRITICAL-COAL,9999,11.625,5,NA
SUBCRITICAL-COAL,9999,11.882,6,NA
SUPERCRITICAL-COAL,500,11.43,1,NA
SUPERCRITICAL-COAL,500,11.606,2,NA
SUPERCRITICAL-COAL,500,11.844,3,NA
SUPERCRITICAL-COAL,500,12.179,4,NA
SUPERCRITICAL-COAL,500,12.675,5,NA
SUPERCRITICAL-COAL,500,13.027,6,NA
SUPERCRITICAL-COAL,9999,10.8,1,NA
SUPERCRITICAL-COAL,9999,10.906,2,NA
SUPERCRITICAL-COAL,9999,11.056,3,NA
SUPERCRITICAL-COAL,9999,11.279,4,NA
SUPERCRITICAL-COAL,9999,11.625,5,NA
SUPERCRITICAL-COAL,9999,11.882,6,NA
SUBCRITICAL-LIGNITE,NA,12.3,1,NA
SUBCRITICAL-LIGNITE,NA,12.572,2,NA
SUBCRITICAL-LIGNITE,NA,12.931,3,NA
SUBCRITICAL-LIGNITE,NA,13.421,4,NA
SUBCRITICAL-LIGNITE,NA,14.125,5,NA
SUBCRITICAL-LIGNITE,NA,14.609,6,NA
SUBCRITICAL-OIL,NA,12.3,1,NA
SUBCRITICAL-OIL,NA,12.572,2,NA
SUBCRITICAL-OIL,NA,12.931,3,NA
SUBCRITICAL-OIL,NA,13.421,4,NA
SUBCRITICAL-OIL,NA,14.125,5,NA
SUBCRITICAL-OIL,NA,14.609,6,NA
