"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2014,1,1,"11687","11545","11423","11464","11612","12396","13499","14189","14418","15202","15385","15311","15198","14787","14513","14520","13916","12618","13063","13182","12596","11771","11430","11615"
2014,1,2,"11333","11265","11533","11486","11614","12356","13390","14311","15127","15427","15725","15754","15657","15585","15415","15344","14596","13172","13026","13069","12763","12013","11533","11683"
2014,1,3,"11562","11465","11577","11676","11800","12406","13661","14628","15104","15431","15393","15570","15380","15084","14771","14832","14395","13027","12550","12555","12275","11590","11687","11639"
2014,1,4,"11611","11734","11940","11791","12425","12874","13656","14979","15097","15640","16030","15929","15975","15305","15275","15229","14909","13045","13324","13056","12712","12199","11917","11894"
2014,1,5,"11924","12117","12256","12309","12427","13188","13806","14685","14998","15494","15796","16057","15979","15421","15170","15114","14461","12881","13221","13117","12457","11885","11532","11830"
2014,1,6,"11867","11827","11646","11937","12004","12812","13559","14617","15092","15550","15621","15975","15648","15295","15254","15215","14771","13142","13823","13595","12708","12261","11812","11816"
2014,1,7,"11885","11860","12038","11995","12198","13091","14019","15290","15520","15911","16111","15906","15979","15733","15709","15553","14783","13389","13145","13040","12831","12066","11530","11831"
2014,1,8,"11977","11919","11999","11855","11788","12950","13810","14975","15287","15667","15737","15948","15722","15402","15501","15046","14614","13468","13012","12963","12814","11986","11659","12002"
2014,1,9,"11905","11814","11820","12165","12311","12953","13979","14923","15663","15962","16236","16192","16106","15748","15697","15562","14920","13338","13136","13105","12990","12381","12048","12241"
2014,1,10,"11905","11814","11820","12165","12311","12953","13979","14923","15663","15962","16236","16192","16106","15748","15697","15562","14920","13338","13136","13105","12990","12381","12048","12241"
2014,1,11,"12051","11986","11881","12062","12149","12899","13820","14928","15268","15850","15500","15805","15522","15253","14940","14980","14197","12672","12443","12849","12755","12267","11768","11715"
2014,1,12,"12104","11836","11890","12153","11987","12946","13955","14698","14779","15389","15810","15732","15584","14919","14507","14874","14055","12774","13095","13266","12951","12164","11818","11739"
2014,1,13,"11803","11846","11916","11703","11921","12958","13621","14762","15216","15404","15641","15619","15461","15387","15364","15273","14691","13073","13143","13220","12785","12093","11947","12156"
2014,1,14,"12170","12189","12099","12255","12221","12847","13890","15024","16008","16442","16322","16383","16228","15685","15784","15600","14959","13282","12987","13220","12679","12341","11964","11775"
2014,1,15,"12174","11987","11989","12344","12028","13021","13701","15251","15655","16037","15926","16010","15650","15437","15345","15399","14795","13215","13240","13178","12803","12408","12266","12084"
2014,1,16,"12270","12148","12138","12200","12221","13628","14520","15128","15915","15933","16144","16211","15707","15355","15266","15138","14278","13231","12609","12706","12488","11629","11273","11730"
2014,1,17,"12102","12181","12034","12064","12488","12971","13829","14751","15419","15473","15458","15602","15311","14166","14270","14223","13687","12640","12564","13043","12737","11642","11590","11440"
2014,1,18,"11503","11703","11705","11821","11826","12907","13269","14792","14609","15115","15294","15278","15433","14774","14678","14794","14493","12768","12862","13273","12649","12011","11886","11840"
2014,1,19,"11956","11748","12157","12157","12109","12776","13345","14455","15361","15610","15926","15683","15487","15086","14852","15017","14154","12497","12661","12668","12396","11560","11516","11821"
2014,1,20,"12114","12118","11959","12047","12238","13148","14133","14996","15223","15757","15988","15949","15539","15247","15283","15300","14694","13263","13146","13083","12663","12286","12096","12273"
2014,1,21,"12141","12199","12009","12592","12658","13024","13666","14733","15627","16227","15549","15536","15152","15190","15311","15493","14596","13345","13431","13318","12395","11865","11662","12115"
2014,1,22,"12256","12195","12219","12231","12254","12875","13328","14890","15490","15553","15687","15952","15619","15489","15560","15619","15176","13682","13127","13549","13178","12363","12328","12482"
2014,1,23,"12340","12279","12502","12420","12530","13212","14464","15379","15510","15712","16005","16212","15794","15686","15341","15329","14867","13347","12875","13069","12975","12286","11985","11870"
2014,1,24,"12091","11761","11727","11642","11806","12793","13047","14337","14682","14811","14931","15091","14874","14701","13970","14205","13523","12340","12960","13141","12763","12104","11952","12061"
2014,1,25,"11894","11836","11735","11581","11794","12590","13381","14245","14624","14860","15007","15330","14871","14869","14847","15090","14300","12847","12787","13117","12670","12330","11892","11945"
2014,1,26,"11728","11753","11659","11807","12074","13020","13337","13735","13809","13325","13072","12949","13165","12707","12683","12778","11946","11081","11251","11632","11286","10908","10727","10437"
2014,1,27,"10903","10819","10213","10599","11140","11828","12620","13483","14619","15571","15717","15627","15147","14349","14719","14871","14090","12875","12992","13250","12726","11989","11763","11991"
2014,1,28,"11912","11579","11547","11663","11905","12295","13314","14158","14935","15450","15313","15310","15136","14825","15308","15239","14449","13281","12923","13448","12968","12507","12062","11889"
2014,1,29,"11986","12087","11659","11884","12131","12677","13532","14701","16083","15700","15605","15779","15503","15360","15196","15129","14619","13684","13239","13864","13354","12278","11931","11669"
2014,1,30,"12202","11911","11989","12426","12769","12712","13539","14763","15235","15725","15769","15932","15561","15208","15114","15289","14397","13098","13140","13621","13399","12534","12066","11917"
2014,1,31,"11586","11884","11795","12009","11744","12698","13923","14496","15087","15904","15535","15772","15871","14908","14776","14376","14554","12626","12816","13729","12930","11928","11872","11618"
2014,2,1,"11742","11960","11830","11784","12135","12451","13624","14772","15236","15505","15438","15419","15874","15325","15250","15420","14981","12994","13007","13378","12815","11806","11623","11891"
2014,2,2,"12191","12018","11825","11812","11664","12767","13535","14316","14495","15473","15758","15944","15736","15288","15255","15007","14506","12944","12276","12945","12447","12083","11474","11066"
2014,2,3,"11696","11586","11680","11741","11918","12602","13862","14960","15832","15894","16081","16000","16053","15668","15672","15701","15067","13621","13021","13428","12547","12571","11712","11549"
2014,2,4,"12261","12221","12436","12287","12460","13344","13970","15219","15526","16050","16191","16131","16272","15992","15830","15834","15345","13533","13533","13709","12984","12187","12347","12330"
2014,2,5,"12397","12630","12347","12530","12604","12896","13973","16171","16227","16641","16567","16475","16684","15970","16337","16190","15252","13763","12852","13624","13301","12620","12398","12550"
2014,2,6,"12668","12575","12612","12815","13003","13445","14226","15864","16132","16205","16447","16791","16497","15893","16160","15849","15136","13747","13296","13950","13646","13230","12840","12884"
2014,2,7,"12725","12343","12685","12925","12901","13482","14513","15377","15839","15729","15971","16067","15782","15410","15151","15354","14669","13018","13147","13873","13489","12560","12416","12594"
2014,2,8,"12836","12847","12746","12928","12865","13333","14149","15371","16060","16513","16636","16652","16131","15978","15835","15619","15051","13401","12731","13926","13177","12665","12473","12637"
2014,2,9,"12756","12579","12493","12754","12844","13292","13989","14986","15427","15989","16351","16358","16158","15861","15492","15693","14510","12730","12424","13469","13060","12467","12062","12084"
2014,2,10,"12398","12263","12348","12318","12696","13022","14078","15149","15828","16145","16233","16364","15968","15711","15526","15386","14875","13045","13131","13840","13523","12935","12360","12397"
2014,2,11,"12398","12263","12348","12318","12696","13022","14078","15149","15828","16145","16233","16364","15968","15711","15526","15386","14875","13045","13131","13840","13523","12935","12360","12397"
2014,2,12,"12688","12613","12557","12851","12822","13652","14363","15503","16212","16475","16548","16673","16506","15975","15671","15744","15196","13404","12968","13981","13354","12555","12258","12474"
2014,2,13,"12786","12834","12573","12710","12956","13366","14353","15708","15969","16191","16132","16005","15529","14841","14594","14343","14081","12521","12361","13123","13148","12519","12285","12455"
2014,2,14,"12353","12595","12460","12780","12708","13233","14102","14838","15361","15642","15709","15543","15150","14225","13906","13885","13391","12428","12488","12880","13030","12663","12004","12067"
2014,2,15,"12221","12289","12395","12071","12135","13219","13997","15070","15556","15801","15812","15781","15145","14279","14105","14079","13503","12376","12745","13370","12766","11974","11499","11745"
2014,2,16,"11752","12136","12120","12257","12320","12814","13639","14711","15669","15710","16022","16112","15574","14712","14444","14582","14114","12155","12399","12896","12426","11490","11444","11914"
