Generator,Fuel
GEN_111104_LOWERJHELUM1_132_1,HYDRO-ROR
GEN_111104_LOWERJHELUM1_132_2,HYDRO-ROR
GEN_111104_LOWERJHELUM1_132_3,HYDRO-ROR
GEN_111108_UDAMPUR1_132_1,HYDRO-ROR
GEN_111108_UDAMPUR1_132_2,HYDRO-ROR
GEN_111108_UDAMPUR1_132_3,HYDRO-ROR
GEN_111108_UDAMPUR1_132_4,HYDRO-ROR
GEN_111108_UDAMPUR1_132_5,HYDRO-ROR
GEN_111119_UPPERSIND_132_1,HYDRO-ROR
GEN_111119_UPPERSIND_132_2,HYDRO-ROR
GEN_111119_UPPERSIND_132_3,HYDRO-ROR
GEN_111119_UPPERSIND_132_4,HYDRO-ROR
GEN_111119_UPPERSIND_132_5,HYDRO-ROR
GEN_111129_PAMPORE1_132_1,CCGT-GAS
GEN_111129_PAMPORE1_132_2,CCGT-GAS
GEN_111129_PAMPORE1_132_3,CCGT-GAS
GEN_111129_PAMPORE1_132_4,CCGT-GAS
GEN_111129_PAMPORE1_132_5,CCGT-GAS
GEN_111129_PAMPORE1_132_6,CCGT-GAS
GEN_111129_PAMPORE1_132_7,CCGT-GAS
GEN_114401_BAGLIHAR4_400_1,HYDRO-PONDAGE
GEN_114401_BAGLIHAR4_400_2,HYDRO-PONDAGE
GEN_114401_BAGLIHAR4_400_3,HYDRO-PONDAGE
GEN_121102_BAJAURA1_132_TH,HYDRO-ROR
GEN_121104_MALANA1_132_1,HYDRO-ROR
GEN_121104_MALANA1_132_2,HYDRO-ROR
GEN_121105_KANGRA1_132_GJ,HYDRO-ROR
GEN_121105_KANGRA1_132_KH,HYDRO-ROR
GEN_121109_BASSI1_132_1,HYDRO-ROR
GEN_121109_BASSI1_132_2,HYDRO-ROR
GEN_121109_BASSI1_132_3,HYDRO-ROR
GEN_121109_BASSI1_132_4,HYDRO-ROR
GEN_121112_GIRI1_132_1,HYDRO-ROR
GEN_121112_GIRI1_132_2,HYDRO-ROR
GEN_121115_PALAMPUR_132_BN,HYDRO-ROR
GEN_121115_PALAMPUR_132_BW,HYDRO-ROR
GEN_121119_LARJI1_132_1,HYDRO-ROR
GEN_121119_LARJI1_132_2,HYDRO-ROR
GEN_121119_LARJI1_132_3,HYDRO-ROR
GEN_121128_CHANJU-1_220_1,HYDRO-STORAGE
GEN_121140_UHL-3_132_1,HYDRO-STORAGE
GEN_121140_UHL-3_132_2,HYDRO-STORAGE
GEN_121140_UHL-3_132_3,HYDRO-STORAGE
GEN_122202_BUDHIL_220_1,HYDRO-PONDAGE
GEN_122202_BUDHIL_220_2,HYDRO-PONDAGE
GEN_122207_KASANG_220_1,HYDRO-STORAGE
GEN_122207_KASANG_220_2,HYDRO-STORAGE
GEN_122207_KASANG_220_3,HYDRO-STORAGE
GEN_122211_TIDONG_220_1,HYDRO-STORAGE
GEN_122211_TIDONG_220_2,HYDRO-STORAGE
GEN_122226_BHABA2_220_1,HYDRO-ROR
GEN_122226_BHABA2_220_2,HYDRO-ROR
GEN_122226_BHABA2_220_3,HYDRO-ROR
GEN_122226_BHABA2_220_4,HYDRO-ROR
GEN_124402_BASPA4_400_1,HYDRO-ROR
GEN_124402_BASPA4_400_2,HYDRO-ROR
GEN_124402_BASPA4_400_3,HYDRO-ROR
GEN_124403_SHANGTONG_400_1,HYDRO-STORAGE
GEN_124403_SHANGTONG_400_2,HYDRO-STORAGE
GEN_124403_SHANGTONG_400_3,HYDRO-STORAGE
GEN_124403_SHANGTONG_400_4,HYDRO-STORAGE
GEN_124404_CHANGO-YANTG_400_1,HYDRO-STORAGE
GEN_124404_CHANGO-YANTG_400_2,HYDRO-STORAGE
GEN_124404_CHANGO-YANTG_400_3,HYDRO-STORAGE
GEN_124903_SAINJ_400_1,HYDRO-STORAGE
GEN_124903_SAINJ_400_2,HYDRO-STORAGE
GEN_124910_SAWRA-KUDDU_400_1,HYDRO-STORAGE
GEN_124910_SAWRA-KUDDU_400_2,HYDRO-STORAGE
GEN_124910_SAWRA-KUDDU_400_3,HYDRO-STORAGE
GEN_131100_UBDCPH-1_132_1,HYDRO-ROR
GEN_131100_UBDCPH-1_132_2,HYDRO-ROR
GEN_131110_MUKERIAN-4_132_1,HYDRO-ROR
GEN_131110_MUKERIAN-4_132_2,HYDRO-ROR
GEN_131110_MUKERIAN-4_132_3,HYDRO-ROR
GEN_131118_MUKERI-3_132_1,HYDRO-ROR
GEN_131118_MUKERI-3_132_2,HYDRO-ROR
GEN_131118_MUKERI-3_132_3,HYDRO-ROR
GEN_131149_ANANDGARH-2_132_1,HYDRO-ROR
GEN_131149_ANANDGARH-2_132_2,HYDRO-ROR
GEN_131149_ANANDGARH-2_132_3,HYDRO-ROR
GEN_131149_ANANDGARH-2_132_4,HYDRO-ROR
GEN_131170_UBDCPH-3_132_1,HYDRO-ROR
GEN_131170_UBDCPH-3_132_2,HYDRO-ROR
GEN_131171_UBDCPH-2_132_1,HYDRO-ROR
GEN_131171_UBDCPH-2_132_2,HYDRO-ROR
GEN_131189_MUKERI-1_132_1,HYDRO-ROR
GEN_131189_MUKERI-1_132_2,HYDRO-ROR
GEN_131189_MUKERI-1_132_3,HYDRO-ROR
GEN_131190_MUKERI-2_132_1,HYDRO-ROR
GEN_131190_MUKERI-2_132_2,HYDRO-ROR
GEN_131190_MUKERI-2_132_3,HYDRO-ROR
GEN_131192_JOGINDERNAGA_132_1,HYDRO-ROR
GEN_131192_JOGINDERNAGA_132_2,HYDRO-ROR
GEN_131192_JOGINDERNAGA_132_3,HYDRO-ROR
GEN_131192_JOGINDERNAGA_132_4,HYDRO-ROR
GEN_131192_JOGINDERNAGA_132_5,HYDRO-ROR
GEN_131197_ANANDGARH-1_132_1,HYDRO-ROR
GEN_131197_ANANDGARH-1_132_2,HYDRO-ROR
GEN_132204_LEHRAMOHABBA_220_1,SUBCRITICAL-COAL
GEN_132204_LEHRAMOHABBA_220_2,SUBCRITICAL-COAL
GEN_132204_LEHRAMOHABBA_220_3,SUBCRITICAL-COAL
GEN_132204_LEHRAMOHABBA_220_4,SUBCRITICAL-COAL
GEN_132221_RSD_220_1,HYDRO-STORAGE
GEN_132221_RSD_220_2,HYDRO-STORAGE
GEN_132221_RSD_220_3,HYDRO-STORAGE
GEN_132221_RSD_220_4,HYDRO-STORAGE
GEN_132232_ROPAR_220_1,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_2,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_3,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_4,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_5,SUBCRITICAL-COAL
GEN_132232_ROPAR_220_6,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_1,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_2,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_3,SUBCRITICAL-COAL
GEN_132247_BATHINDA_220_4,SUBCRITICAL-COAL
GEN_132270_GOINDWAL_220_1,SUBCRITICAL-COAL
GEN_132270_GOINDWAL_220_2,SUBCRITICAL-COAL
GEN_134401_TALWANDISABO_400_1,SUPERCRITICAL-COAL
GEN_134401_TALWANDISABO_400_2,SUPERCRITICAL-COAL
GEN_134401_TALWANDISABO_400_3,SUPERCRITICAL-COAL
GEN_134406_RAJPURA_TH_400_1,SUPERCRITICAL-COAL
GEN_134406_RAJPURA_TH_400_2,SUPERCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_1,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_2,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_3,SUBCRITICAL-COAL
GEN_142211_PANIPAT_OLD_220_4,SUBCRITICAL-COAL
GEN_142235_YAMUNA2_220_1,SUBCRITICAL-COAL
GEN_142235_YAMUNA2_220_2,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_5,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_6,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_7,SUBCRITICAL-COAL
GEN_142929_PANIPAT_NEW_220_8,SUBCRITICAL-COAL
