Generator,VO&M Charge
GEN_111104_LOWERJHELUM1_132_1,0
GEN_111104_LOWERJHELUM1_132_2,0
GEN_111104_LOWERJHELUM1_132_3,0
GEN_111108_UDAMPUR1_132_1,0
GEN_111108_UDAMPUR1_132_2,0
GEN_111108_UDAMPUR1_132_3,0
GEN_111108_UDAMPUR1_132_4,0
GEN_111108_UDAMPUR1_132_5,0
GEN_111119_UPPERSIND_132_1,0
GEN_111119_UPPERSIND_132_2,0
GEN_111119_UPPERSIND_132_3,0
GEN_111119_UPPERSIND_132_4,0
GEN_111119_UPPERSIND_132_5,0
GEN_111129_PAMPORE1_132_1,0
GEN_111129_PAMPORE1_132_2,0
GEN_111129_PAMPORE1_132_3,0
GEN_111129_PAMPORE1_132_4,0
GEN_111129_PAMPORE1_132_5,0
GEN_111129_PAMPORE1_132_6,0
GEN_111129_PAMPORE1_132_7,0
GEN_114401_BAGLIHAR4_400_1,0
GEN_114401_BAGLIHAR4_400_2,0
GEN_114401_BAGLIHAR4_400_3,0
GEN_121102_BAJAURA1_132_TH,0
GEN_121104_MALANA1_132_1,0
GEN_121104_MALANA1_132_2,0
GEN_121105_KANGRA1_132_GJ,0
GEN_121105_KANGRA1_132_KH,0
GEN_121109_BASSI1_132_1,0
GEN_121109_BASSI1_132_2,0
GEN_121109_BASSI1_132_3,0
GEN_121109_BASSI1_132_4,0
GEN_121112_GIRI1_132_1,0
GEN_121112_GIRI1_132_2,0
GEN_121115_PALAMPUR_132_BN,0
GEN_121115_PALAMPUR_132_BW,0
GEN_121119_LARJI1_132_1,0
GEN_121119_LARJI1_132_2,0
GEN_121119_LARJI1_132_3,0
GEN_121128_CHANJU-1_220_1,0
GEN_121140_UHL-3_132_1,0
GEN_121140_UHL-3_132_2,0
GEN_121140_UHL-3_132_3,0
GEN_122202_BUDHIL_220_1,0
GEN_122202_BUDHIL_220_2,0
GEN_122207_KASANG_220_1,0
GEN_122207_KASANG_220_2,0
GEN_122207_KASANG_220_3,0
GEN_122211_TIDONG_220_1,0
GEN_122211_TIDONG_220_2,0
GEN_122226_BHABA2_220_1,0
GEN_122226_BHABA2_220_2,0
GEN_122226_BHABA2_220_3,0
GEN_124402_BASPA4_400_1,0
GEN_124402_BASPA4_400_2,0
GEN_124402_BASPA4_400_3,0
GEN_124403_SHANGTONG_400_1,0
GEN_124403_SHANGTONG_400_2,0
GEN_124403_SHANGTONG_400_3,0
GEN_124403_SHANGTONG_400_4,0
GEN_124404_CHANGO-YANTG_400_1,0
GEN_124404_CHANGO-YANTG_400_2,0
GEN_124404_CHANGO-YANTG_400_3,0
GEN_124903_SAINJ_400_1,0
GEN_124903_SAINJ_400_2,0
GEN_124910_SAWRA-KUDDU_400_1,0
GEN_124910_SAWRA-KUDDU_400_2,0
GEN_124910_SAWRA-KUDDU_400_3,0
GEN_131100_UBDCPH-1_132_1,0
GEN_131100_UBDCPH-1_132_2,0
GEN_131110_MUKERIAN-4_132_1,0
GEN_131110_MUKERIAN-4_132_2,0
GEN_131110_MUKERIAN-4_132_3,0
GEN_131118_MUKERI-3_132_1,0
GEN_131118_MUKERI-3_132_2,0
GEN_131118_MUKERI-3_132_3,0
GEN_131149_ANANDGARH-2_132_1,0
GEN_131149_ANANDGARH-2_132_2,0
GEN_131149_ANANDGARH-2_132_3,0
GEN_131149_ANANDGARH-2_132_4,0
GEN_131170_UBDCPH-3_132_1,0
GEN_131170_UBDCPH-3_132_2,0
GEN_131171_UBDCPH-2_132_1,0
GEN_131171_UBDCPH-2_132_2,0
GEN_131189_MUKERI-1_132_1,0
GEN_131189_MUKERI-1_132_2,0
GEN_131189_MUKERI-1_132_3,0
GEN_131190_MUKERI-2_132_1,0
GEN_131190_MUKERI-2_132_2,0
GEN_131190_MUKERI-2_132_3,0
GEN_131192_JOGINDERNAGA_132_1,0
GEN_131192_JOGINDERNAGA_132_2,0
GEN_131192_JOGINDERNAGA_132_3,0
GEN_131192_JOGINDERNAGA_132_4,0
GEN_131192_JOGINDERNAGA_132_5,0
GEN_131197_ANANDGARH-1_132_1,0
GEN_131197_ANANDGARH-1_132_2,0
GEN_132204_LEHRAMOHABBA_220_1,0
GEN_132204_LEHRAMOHABBA_220_2,0
GEN_132204_LEHRAMOHABBA_220_3,0
GEN_132204_LEHRAMOHABBA_220_4,0
GEN_132221_RSD_220_1,0
GEN_132221_RSD_220_2,0
GEN_132221_RSD_220_3,0
GEN_132221_RSD_220_4,0
GEN_132232_ROPAR_220_1,0
GEN_132232_ROPAR_220_2,0
GEN_132232_ROPAR_220_3,0
GEN_132232_ROPAR_220_4,0
GEN_132232_ROPAR_220_5,0
GEN_132232_ROPAR_220_6,0
GEN_132247_BATHINDA_220_1,0
GEN_132247_BATHINDA_220_2,0
