Generator,VO&M Charge
GEN_351014_SILTARA_132_1,5055.00894133382
GEN_351034_KVK_132_1,5055.00894133382
GEN_351087_VANDANA_132_1,5055.00894133382
GEN_352006_SILTARA_220_1,5055.00894133382
GEN_521041_PALAPOL1_132_1,5055.00894133382
GEN_521041_PALAPOL1_132_2,5055.00894133382
GEN_551008_BAIRABI1_132_1,5055.00894133382
GEN_211002_BARAUNI_132_6,2830
GEN_211002_BARAUNI_132_7,2830
GEN_214001_KHALGAON4_400_1,2810
GEN_214001_KHALGAON4_400_2,2810
GEN_214001_KHALGAON4_400_3,2810
GEN_214001_KHALGAON4_400_4,2810
GEN_214001_KHALGAON4_400_5,2436
GEN_214001_KHALGAON4_400_6,2436
GEN_214001_KHALGAON4_400_7,2436
GEN_214008_BARH_400_1,4156
GEN_221007_SUBRNKA_132_1,0
GEN_221007_SUBRNKA_132_2,0
GEN_222001_PATRTU2_220_5,1600
GEN_222001_PATRTU2_220_6,1600
GEN_222001_PATRTU2_220_7,1600
GEN_222001_PATRTU2_220_8,1600
GEN_222001_PATRTU2_220_9,1600
GEN_222004_TENGHAT_220_1,1257.4
GEN_222004_TENGHAT_220_2,1257.4
GEN_224001_MPL_400_1,2030
GEN_224001_MPL_400_2,1660
GEN_224002_ADUNIK_400_1,1620
GEN_224002_ADUNIK_400_2,1620
GEN_231007_PANCHET_132_1,0
GEN_231007_PANCHET_132_2,0
GEN_232001_MEJIA2_220_1,1260
GEN_232001_MEJIA2_220_2,1260
GEN_232001_MEJIA2_220_3,1260
GEN_232001_MEJIA2_220_4,1260
GEN_232001_MEJIA2_220_5,1260
GEN_232001_MEJIA2_220_6,1260
GEN_232007_WARIA_GEN_220_1,1650
GEN_232007_WARIA_GEN_220_2,1650
GEN_234000_RAGHUNAT_400_1,4070
GEN_234001_DSTPS_400_1,2600
GEN_234001_DSTPS_400_2,2700
GEN_234002_MEJIA_400_1,1890
GEN_234002_MEJIA_400_2,2200
GEN_241001_BOKARO1_132_1,1070
GEN_241001_BOKARO1_132_2,1070
GEN_241001_BOKARO1_132_3,1070
GEN_241001_BOKARO1_132_4,1070
GEN_241002_CHNPUR1_132_1,1220
GEN_241002_CHNPUR1_132_2,1220
GEN_241002_CHNPUR1_132_3,1220
GEN_241002_CHNPUR1_132_4,1220
GEN_241006_MAITHON_132_1,0
GEN_241006_MAITHON_132_2,0
GEN_241006_MAITHON_132_3,0
GEN_241031_JOJOBE_1_132_3,2200
GEN_242000_BOKARO2_220_1,2025.58899785819
GEN_242000_BOKARO2_220_2,2025.58899785819
GEN_242000_BOKARO2_220_3,2025.58899785819
GEN_242001_CHNPUR2_220_7,1220
GEN_242001_CHNPUR2_220_8,1220
GEN_244002_KODERMA4_400_1,1830
GEN_244002_KODERMA4_400_2,1830
GEN_251012_HIRAKUD1_132_1,0
GEN_251012_HIRAKUD1_132_2,0
GEN_251012_HIRAKUD1_132_3,0
GEN_251012_HIRAKUD1_132_4,0
GEN_251012_HIRAKUD1_132_5,0
GEN_251012_HIRAKUD1_132_6,0
GEN_251012_HIRAKUD1_132_7,0
GEN_251014_CHIPLIMA_132_1,0
GEN_251014_CHIPLIMA_132_2,0
GEN_251014_CHIPLIMA_132_3,0
GEN_251022_ICCL1_132_1,2140
GEN_251022_ICCL1_132_2,2140
GEN_251065_HINDLCO_132_1,2140
GEN_251066_NBVLBSSL_132_1,1410
GEN_251066_NBVLBSSL_132_2,1410
GEN_252001_BALIMELA_220_1,0
GEN_252001_BALIMELA_220_2,0
GEN_252001_BALIMELA_220_3,0
GEN_252001_BALIMELA_220_4,0
GEN_252001_BALIMELA_220_5,0
GEN_252001_BALIMELA_220_6,0
GEN_252001_BALIMELA_220_7,0
GEN_252003_UPKOLAB2_220_1,0
GEN_252003_UPKOLAB2_220_2,0
GEN_252003_UPKOLAB2_220_3,0
GEN_252003_UPKOLAB2_220_4,0
GEN_252006_TTPS2_220_1,1140
GEN_252006_TTPS2_220_2,1140
GEN_252011_NALCO2_220_1,2140
GEN_252011_NALCO2_220_2,2140
GEN_252011_NALCO2_220_3,2140
GEN_252011_NALCO2_220_4,2140
GEN_252011_NALCO2_220_5,2140
GEN_252011_NALCO2_220_6,2140
GEN_252011_NALCO2_220_7,2140
GEN_252011_NALCO2_220_8,2140
GEN_252011_NALCO2_220_9,2140
GEN_252012_INDRVT12_220_1,0
GEN_252012_INDRVT12_220_2,0
GEN_252012_INDRVT12_220_3,0
GEN_252012_INDRVT12_220_4,0
GEN_252015_IBTPS2_220_1,3500
GEN_252015_IBTPS2_220_2,3500
GEN_252018_RENGLPS_220_1,0
GEN_252018_RENGLPS_220_2,0
