YEAR,MONTH,ANDHRA PRADESH_KARNATAKA_Interface,ANDHRA PRADESH_ODISHA_Interface,ANDHRA PRADESH_TAMIL NADU_Interface,ANDHRA PRADESH_TELANGANA_Interface,ARUNACHAL PRADESH_ASSAM_Interface,ASSAM_BHUTAN_Interface,ASSAM_MANIPUR_Interface,ASSAM_MEGHALAYA_Interface,ASSAM_MIZORAM_Interface,ASSAM_NAGALAND_Interface,ASSAM_TRIPURA_Interface,ASSAM_UTTAR PRADESH_Interface,ASSAM_WEST BENGAL_Interface,BANGLADESH_TRIPURA_Interface,BANGLADESH_WEST BENGAL_Interface,BHUTAN_WEST BENGAL_Interface,BIHAR_JHARKHAND_Interface,BIHAR_SIKKIM_Interface,BIHAR_UTTAR PRADESH_Interface,BIHAR_WEST BENGAL_Interface,CHANDIGARH_HARYANA_Interface,CHANDIGARH_HIMACHAL PRADESH_Interface,CHANDIGARH_PUNJAB_Interface,CHHATTISGARH_HARYANA_Interface,CHHATTISGARH_JHARKHAND_Interface,CHHATTISGARH_MADHYA PRADESH_Interface,CHHATTISGARH_MAHARASHTRA_Interface,CHHATTISGARH_ODISHA_Interface,CHHATTISGARH_TAMIL NADU_Interface,DADRA & NAGAR HAVELI_GUJARAT_Interface,DADRA & NAGAR HAVELI_MAHARASHTRA_Interface,DAMAN & DIU_GUJARAT_Interface,DAMAN & DIU_MAHARASHTRA_Interface,DELHI_HARYANA_Interface,DELHI_RAJASTHAN_Interface,DELHI_UTTAR PRADESH_Interface,GOA_KARNATAKA_Interface,GOA_MAHARASHTRA_Interface,GUJARAT_HARYANA_Interface,GUJARAT_MADHYA PRADESH_Interface,GUJARAT_MAHARASHTRA_Interface,GUJARAT_RAJASTHAN_Interface,HARYANA_HIMACHAL PRADESH_Interface,HARYANA_PUNJAB_Interface,HARYANA_RAJASTHAN_Interface,HARYANA_UTTAR PRADESH_Interface,HARYANA_UTTARAKHAND_Interface,HIMACHAL PRADESH_JAMMU & KASHMIR_Interface,HIMACHAL PRADESH_PUNJAB_Interface,HIMACHAL PRADESH_UTTARAKHAND_Interface,JAMMU & KASHMIR_PUNJAB_Interface,JHARKHAND_ODISHA_Interface,JHARKHAND_WEST BENGAL_Interface,KARNATAKA_KERALA_Interface,KARNATAKA_MAHARASHTRA_Interface,KARNATAKA_ODISHA_Interface,KARNATAKA_TAMIL NADU_Interface,KARNATAKA_TELANGANA_Interface,KERALA_TAMIL NADU_Interface,MADHYA PRADESH_MAHARASHTRA_Interface,MADHYA PRADESH_RAJASTHAN_Interface,MADHYA PRADESH_UTTAR PRADESH_Interface,MAHARASHTRA_TELANGANA_Interface,MANIPUR_MIZORAM_Interface,MANIPUR_NAGALAND_Interface,MIZORAM_TRIPURA_Interface,ODISHA_WEST BENGAL_Interface,PAKISTAN_PUNJAB_Interface,PUDUCHERRY_TAMIL NADU_Interface,PUNJAB_RAJASTHAN_Interface,PUNJAB_UTTAR PRADESH_Interface,RAJASTHAN_UTTAR PRADESH_Interface,SIKKIM_WEST BENGAL_Interface,UTTAR PRADESH_UTTARAKHAND_Interface,UTTAR PRADESH_WEST BENGAL_Interface
2022,1,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,2,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,3,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,4,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,5,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,6,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,7,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,8,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,9,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
2022,10,11177,5600,9075,21450,12731,2300,1250,2912,700,1708,2300,3000,3656,96,1100,6481,9394,1294,18022,7824,154,440,100,6000,5508,19224,19070,12173,6000,1749,1034,1406,1120,8953,208,9160,200,1382,2500,7450,4355,7068,3477,11014,11334,10205,1362,517,8405,486,15646,3812,15913,1165,6687,2000,4563,917,7911,17154,5750,12250,9800,50,1200,100,1100,517,1434,5000,6594,6327,1250,12699,3000
