NAME,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
ANDHRA PRADESH & TELANGANA_KARNATAKA_Interface,-5908,-5908,-5908,-5908,-5908,-5908,-5908,-5908,-5908,-5908,-5908,-5908
ANDHRA PRADESH & TELANGANA_MAHARASHTRA_Interface,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
ANDHRA PRADESH & TELANGANA_ODISHA_Interface,-700,-700,-700,-700,-700,-700,-700,-700,-700,-700,-700,-700
ANDHRA PRADESH & TELANGANA_TAMIL NADU_Interface,-8925,-8925,-8925,-8925,-8925,-8925,-8925,-8925,-8925,-8925,-8925,-8925
ARUNACHAL PRADESH_ASSAM_Interface,-1302,-1302,-1302,-1302,-1302,-1302,-1302,-1302,-1302,-1302,-1302,-1302
ASSAM_BHUTAN-NER_Interface,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94
ASSAM_MANIPUR_Interface,-548,-548,-548,-548,-548,-548,-548,-548,-548,-548,-548,-548
ASSAM_MEGHALAYA_Interface,-1544,-1544,-1544,-1544,-1544,-1544,-1544,-1544,-1544,-1544,-1544,-1544
ASSAM_MIZORAM_Interface,-141,-141,-141,-141,-141,-141,-141,-141,-141,-141,-141,-141
ASSAM_NAGALAND_Interface,-336,-336,-336,-336,-336,-336,-336,-336,-336,-336,-336,-336
ASSAM_TRIPURA_Interface,-1124,-1124,-1124,-1124,-1124,-1124,-1124,-1124,-1124,-1124,-1124,-1124
ASSAM_WEST BENGAL_Interface,-2322,-2322,-2322,-2322,-2322,-2322,-2322,-2322,-2322,-2322,-2322,-2322
BANGLADESH_WEST BENGAL_Interface,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034
BHUTAN_WEST BENGAL_Interface,-2461,-2461,-2461,-2461,-2461,-2461,-2461,-2461,-2461,-2461,-2461,-2461
BIHAR_DVC_Interface,-5250,-5250,-5250,-5250,-5250,-5250,-5250,-5250,-5250,-5250,-5250,-5250
BIHAR_JHARKHAND_Interface,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319
BIHAR_NEPAL_Interface,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179
BIHAR_UTTAR PRADESH_Interface,-15032,-15032,-15032,-15032,-15032,-15032,-15032,-15032,-15032,-15032,-15032,-15032
BIHAR_WEST BENGAL_Interface,-5772,-5772,-5772,-5772,-5772,-5772,-5772,-5772,-5772,-5772,-5772,-5772
CHANDIGARH_HARYANA_Interface,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68
CHANDIGARH_HIMACHAL PRADESH_Interface,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262
CHANDIGARH_PUNJAB_Interface,-136,-136,-136,-136,-136,-136,-136,-136,-136,-136,-136,-136
CHHATTISGARH_JHARKHAND_Interface,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228
CHHATTISGARH_MADHYA PRADESH_Interface,-7374,-7374,-7374,-7374,-7374,-7374,-7374,-7374,-7374,-7374,-7374,-7374
CHHATTISGARH_MAHARASHTRA_Interface,-7828,-7828,-7828,-7828,-7828,-7828,-7828,-7828,-7828,-7828,-7828,-7828
CHHATTISGARH_ODISHA_Interface,-7056,-7056,-7056,-7056,-7056,-7056,-7056,-7056,-7056,-7056,-7056,-7056
DADRA NAGAR HAVELI_DAMAN DIU_Interface,-1126,-1126,-1126,-1126,-1126,-1126,-1126,-1126,-1126,-1126,-1126,-1126
DADRA NAGAR HAVELI_GUJARAT_Interface,-1700,-1700,-1700,-1700,-1700,-1700,-1700,-1700,-1700,-1700,-1700,-1700
DAMAN DIU_GUJARAT_Interface,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296
DELHI_HARYANA_Interface,-8240,-8240,-8240,-8240,-8240,-8240,-8240,-8240,-8240,-8240,-8240,-8240
DELHI_UTTAR PRADESH_Interface,-7632,-7632,-7632,-7632,-7632,-7632,-7632,-7632,-7632,-7632,-7632,-7632
DVC_JHARKHAND_Interface,-3554,-3554,-3554,-3554,-3554,-3554,-3554,-3554,-3554,-3554,-3554,-3554
DVC_ODISHA_Interface,-2193,-2193,-2193,-2193,-2193,-2193,-2193,-2193,-2193,-2193,-2193,-2193
DVC_WEST BENGAL_Interface,-2215,-2215,-2215,-2215,-2215,-2215,-2215,-2215,-2215,-2215,-2215,-2215
GOA_KARNATAKA_Interface,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262
GOA_MAHARASHTRA_Interface,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296,-1296
GUJARAT_HARYANA_Interface,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000,-2000
GUJARAT_MADHYA PRADESH_Interface,-6051,-6051,-6051,-6051,-6051,-6051,-6051,-6051,-6051,-6051,-6051,-6051
GUJARAT_MAHARASHTRA_Interface,-2708,-2708,-2708,-2708,-2708,-2708,-2708,-2708,-2708,-2708,-2708,-2708
GUJARAT_RAJASTHAN_Interface,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034,-1034
HARYANA_HIMACHAL PRADESH_Interface,-4055,-4055,-4055,-4055,-4055,-4055,-4055,-4055,-4055,-4055,-4055,-4055
HARYANA_PUNJAB_Interface,-5227,-5227,-5227,-5227,-5227,-5227,-5227,-5227,-5227,-5227,-5227,-5227
HARYANA_RAJASTHAN_Interface,-2817,-2817,-2817,-2817,-2817,-2817,-2817,-2817,-2817,-2817,-2817,-2817
HARYANA_UTTAR PRADESH_Interface,-8263,-8263,-8263,-8263,-8263,-8263,-8263,-8263,-8263,-8263,-8263,-8263
HIMACHAL PRADESH_JAMMU KASHMIR_Interface,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517,-517
