Fuel,Generator,Transport Charge
CCGT-GAS,GEN_111129_PAMPORE1_132_1,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_2,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_3,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_4,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_5,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_6,1857.61
CCGT-GAS,GEN_111129_PAMPORE1_132_7,1857.61
SUBCRITICAL-COAL,GEN_132204_LEHRAMOHABBA_220_1,261.46
SUBCRITICAL-COAL,GEN_132204_LEHRAMOHABBA_220_2,261.46
SUBCRITICAL-COAL,GEN_132204_LEHRAMOHABBA_220_3,261.46
SUBCRITICAL-COAL,GEN_132204_LEHRAMOHABBA_220_4,261.46
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_1,305.21
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_2,305.21
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_3,305.21
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_4,305.21
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_5,305.21
SUBCRITICAL-COAL,GEN_132232_ROPAR_220_6,305.21
SUBCRITICAL-COAL,GEN_132247_BATHINDA_220_1,273.71
SUBCRITICAL-COAL,GEN_132247_BATHINDA_220_2,273.71
SUBCRITICAL-COAL,GEN_132247_BATHINDA_220_3,273.71
SUBCRITICAL-COAL,GEN_132247_BATHINDA_220_4,273.71
SUBCRITICAL-COAL,GEN_132270_GOINDWAL_220_1,171.35
SUBCRITICAL-COAL,GEN_132270_GOINDWAL_220_2,171.35
SUPERCRITICAL-COAL,GEN_134401_TALWANDISABO_400_1,155.56
SUPERCRITICAL-COAL,GEN_134401_TALWANDISABO_400_2,155.56
SUPERCRITICAL-COAL,GEN_134401_TALWANDISABO_400_3,155.56
SUPERCRITICAL-COAL,GEN_134406_RAJPURA_TH_400_1,190.74
SUPERCRITICAL-COAL,GEN_134406_RAJPURA_TH_400_2,190.74
SUBCRITICAL-COAL,GEN_142211_PANIPAT_OLD_220_1,303.46
SUBCRITICAL-COAL,GEN_142211_PANIPAT_OLD_220_2,303.46
SUBCRITICAL-COAL,GEN_142211_PANIPAT_OLD_220_3,303.46
SUBCRITICAL-COAL,GEN_142211_PANIPAT_OLD_220_4,303.46
SUBCRITICAL-COAL,GEN_142235_YAMUNA2_220_1,183.6
SUBCRITICAL-COAL,GEN_142235_YAMUNA2_220_2,183.6
SUBCRITICAL-COAL,GEN_142929_PANIPAT_NEW_220_5,229.97
SUBCRITICAL-COAL,GEN_142929_PANIPAT_NEW_220_6,229.97
SUBCRITICAL-COAL,GEN_142929_PANIPAT_NEW_220_7,222.97
SUBCRITICAL-COAL,GEN_142929_PANIPAT_NEW_220_8,222.97
SUBCRITICAL-COAL,GEN_144401_KHEDAR_400_1,219.44
SUBCRITICAL-COAL,GEN_144401_KHEDAR_400_2,219.44
SUPERCRITICAL-COAL,GEN_144404_JHAJAR_N_400_1,232.41
SUPERCRITICAL-COAL,GEN_144404_JHAJAR_N_400_2,232.41
CCGT-GAS,GEN_152203_PRAGATI_BDR_220_G1,406.31
CCGT-GAS,GEN_152207_PRAGATI_MND_220_G2,406.31
CCGT-GAS,GEN_152207_PRAGATI_MND_220_S1,406.31
CCGT-GAS,GEN_153006_RAJGHATG_33_1,318.66
CCGT-GAS,GEN_153006_RAJGHATG_33_2,318.66
CCGT-GAS,GEN_154426_BAWANA-G_400_G1,222.5
CCGT-GAS,GEN_154426_BAWANA-G_400_G2,222.5
CCGT-GAS,GEN_154426_BAWANA-G_400_G3,222.5
CCGT-GAS,GEN_154426_BAWANA-G_400_G4,222.5
CCGT-GAS,GEN_154426_BAWANA-G_400_S1,222.5
CCGT-GAS,GEN_154426_BAWANA-G_400_S2,222.5
CCGT-GAS,GEN_156001_DEL_GAS6_66_G1,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_G2,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_G3,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_G4,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_G5,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_G6,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_S1,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_S2,79.84
CCGT-GAS,GEN_156001_DEL_GAS6_66_S3,79.84
CCGT-GAS,GEN_161117_RAMGARH21_132_1,145.68
CCGT-GAS,GEN_161117_RAMGARH21_132_2,145.68
CCGT-GAS,GEN_161117_RAMGARH21_132_3,145.68
SUBCRITICAL-COAL,GEN_162218_GIRALTPS_220_1,55.16
SUBCRITICAL-COAL,GEN_162218_GIRALTPS_220_2,55.16
CCGT-GAS,GEN_162220_DHOLPU-4_220_1,214.27
CCGT-GAS,GEN_162220_DHOLPU-4_220_2,214.27
CCGT-GAS,GEN_162220_DHOLPU-4_220_3,214.27
SUBCRITICAL-COAL,GEN_162242_BARSINGS_220_1,17.37
SUBCRITICAL-COAL,GEN_162242_BARSINGS_220_2,17.37
SUBCRITICAL-COAL,GEN_162257_SURATGARH-42_220_1,263.21
SUBCRITICAL-COAL,GEN_162257_SURATGARH-42_220_2,263.21
SUBCRITICAL-COAL,GEN_162261_KTPS_220_1,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_2,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_3,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_4,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_5,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_6,236.09
SUBCRITICAL-COAL,GEN_162261_KTPS_220_7,236.09
SUBCRITICAL-COAL,GEN_162278_RAJWEST_220_7,96.98
SUBCRITICAL-COAL,GEN_162278_RAJWEST_220_8,96.98
CCGT-GAS,GEN_162314_RAMGARH_220_4,145.68
CCGT-GAS,GEN_162314_RAMGARH_220_5,145.68
SUBCRITICAL-COAL,GEN_162321_VSLP_220_1,274.58
SUBCRITICAL-COAL,GEN_164411_CHABRA-4_400_1,140.73
SUBCRITICAL-COAL,GEN_164411_CHABRA-4_400_2,140.73
SUBCRITICAL-COAL,GEN_164411_CHABRA-4_400_3,140.73
SUBCRITICAL-COAL,GEN_164411_CHABRA-4_400_4,140.73
SUPERCRITICAL-COAL,GEN_164411_CHABRA-4_400_5,155.56
SUPERCRITICAL-COAL,GEN_164411_CHABRA-4_400_6,155.56
SUBCRITICAL-COAL,GEN_164412_KALISI-4_400_1,160.19
SUBCRITICAL-COAL,GEN_164412_KALISI-4_400_2,160.19
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_1,96.98
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_2,96.98
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_3,96.98
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_4,96.98
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_5,96.98
SUBCRITICAL-COAL,GEN_164413_RAJWEST_400_6,96.98
SUPERCRITICAL-COAL,GEN_164414_KAWAI_400_1,155.56
SUPERCRITICAL-COAL,GEN_164414_KAWAI_400_2,155.56
SUBCRITICAL-COAL,GEN_164457_SURATG-4_400_3,263.21
SUBCRITICAL-COAL,GEN_164457_SURATG-4_400_4,263.21
SUBCRITICAL-COAL,GEN_164457_SURATG-4_400_5,263.21
SUBCRITICAL-COAL,GEN_164457_SURATG-4_400_6,263.21
COGENERATION-BAGASSE,GEN_171610_KHAMBAKH_132_1,382.93
COGENERATION-BAGASSE,GEN_171610_KHAMBAKH_132_2,382.93
COGENERATION-BAGASSE,GEN_171627_UTRAULA_132_1,382.93
COGENERATION-BAGASSE,GEN_171627_UTRAULA_132_2,382.93
COGENERATION-BAGASSE,GEN_171663_MAQSUDPR_132_1,382.93
COGENERATION-BAGASSE,GEN_171663_MAQSUDPR_132_2,382.93
COGENERATION-BAGASSE,GEN_171666_BARKHER_132_1,382.93
COGENERATION-BAGASSE,GEN_171666_BARKHER_132_2,382.93
COGENERATION-BAGASSE,GEN_171668_KUNDARK_132_1,382.93
COGENERATION-BAGASSE,GEN_171668_KUNDARK_132_2,382.93
COGENERATION-BAGASSE,GEN_171700_AKBCHIN_132_1,398.37
COGENERATION-BAGASSE,GEN_171701_BALRCHIN_132_1,398.37
COGENERATION-BAGASSE,GEN_171702_DCM01_132_1,398.37
COGENERATION-BAGASSE,GEN_171703_HAIDER01_132_1,398.37
COGENERATION-BAGASSE,GEN_171704_LHSUGAR0_132_1,398.37
COGENERATION-BAGASSE,GEN_171705_MANCHIN_132_1,398.37
COGENERATION-BAGASSE,GEN_171706_RAUCHIN_132_1,398.37
COGENERATION-BAGASSE,GEN_171707_TRIVEN01_132_1,398.37
COGENERATION-BAGASSE,GEN_171708_TRIVEN02_132_1,398.37
COGENERATION-BAGASSE,GEN_171709_KUMBH_132_1,398.37
COGENERATION-BAGASSE,GEN_171710_GULARI01_132_1,398.37
COGENERATION-BAGASSE,GEN_171711_JKSUGAR_132_1,398.37
COGENERATION-BAGASSE,GEN_171712_MAWANA01_132_1,398.37
COGENERATION-BAGASSE,GEN_171713_MAWANA02_132_1,398.37
COGENERATION-BAGASSE,GEN_171714_MAWANA03_132_1,398.37
COGENERATION-BAGASSE,GEN_171715_SBECBIO_132_1,398.37
COGENERATION-BAGASSE,GEN_171716_SIMBHO01_132_1,398.37
COGENERATION-BAGASSE,GEN_171717_SIMBHO02_132_1,398.37
COGENERATION-BAGASSE,GEN_171719_OUDH_132_1,398.37
COGENERATION-BAGASSE,GEN_171720_DALMI01_132_1,398.37
COGENERATION-BAGASSE,GEN_171721_DALMI02_132_1,398.37
COGENERATION-BAGASSE,GEN_171722_DALMI03_132_1,398.37
COGENERATION-BAGASSE,GEN_171723_KMSAGA_132_1,398.37
COGENERATION-BAGASSE,GEN_171724_DWARIK01_132_1,398.37
COGENERATION-BAGASSE,GEN_171725_DWARIK02_132_1,398.37
COGENERATION-BAGASSE,GEN_171726_SUKHBI_132_1,398.37
COGENERATION-BAGASSE,GEN_171728_BAJAJ02_132_1,398.37
COGENERATION-BAGASSE,GEN_171729_BAJAJ03_132_1,398.37
COGENERATION-BAGASSE,GEN_171730_BAJAJ04_132_1,398.37
COGENERATION-BAGASSE,GEN_171732_BAJAJ06_132_1,398.37
COGENERATION-BAGASSE,GEN_171733_BAJAJ07_132_1,398.37
COGENERATION-BAGASSE,GEN_171734_BAJAJ08_132_1,398.37
COGENERATION-BAGASSE,GEN_171735_BAJAJ09_132_1,398.37
COGENERATION-BAGASSE,GEN_171736_BAJAJ10_132_1,398.37
COGENERATION-BAGASSE,GEN_171737_DCM02_132_1,398.37
COGENERATION-BAGASSE,GEN_171738_DCM03_132_1,398.37
COGENERATION-BAGASSE,GEN_171739_UTTAM01_132_1,398.37
COGENERATION-BAGASSE,GEN_171740_UTTAM02_132_1,398.37
COGENERATION-BAGASSE,GEN_171741_DHAMPU01_132_1,398.37
COGENERATION-BAGASSE,GEN_171742_DHAMPU02_132_1,398.37
COGENERATION-BAGASSE,GEN_171743_DHAMPU03_132_1,398.37
COGENERATION-BAGASSE,GEN_171744_UPPERG_132_1,398.37
COGENERATION-BAGASSE,GEN_171745_CHADA_132_1,398.37
COGENERATION-BAGASSE,GEN_171746_DAURAL_132_1,398.37
COGENERATION-BAGASSE,GEN_171747_PARLE01_132_1,398.37
COGENERATION-BAGASSE,GEN_171748_NEWIND_132_1,398.37
COGENERATION-BAGASSE,GEN_171749_PARLE02_132_1,398.37
COGENERATION-BAGASSE,GEN_171750_LHSUGAR0_132_1,398.37
COGENERATION-BAGASSE,GEN_171751_GULARI02_132_1,398.37
COGENERATION-BAGASSE,GEN_171752_HAIDER02_132_1,398.37
COGENERATION-BAGASSE,GEN_171753_DCM04_132_1,398.37
SUBCRITICAL-COAL,GEN_172227_ROSA-TP1_220_1,328.83
SUBCRITICAL-COAL,GEN_172227_ROSA-TP1_220_2,328.83
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_5,396.19
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_7,396.19
