"state","fuel","generator_cea","node","gen_capacity","voltage","region","vom","var_cost","heat_rate","fuel_price","owner_type","generator_posoco","type","zones_gp"
"ANDHRA PRADESH","CCGT-GAS","GEN_512043_JAGRPDU2_220_1","512043_JAGRPDU2_220",141,220,"SR",1162,2620,7.29,200,"ANDHRA PRADESH State or Private","GEN_412041_JEGRUADU_220_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512043_JAGRPDU2_220_2","512043_JAGRPDU2_220",110,220,"SR",1162,2620,7.29,200,"ANDHRA PRADESH State or Private","GEN_412041_JEGRUADU_220_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512044_KAKINADA_220_1","512044_KAKINADA_220",141,220,"SR",1303,2761,7.29,200,"ANDHRA PRADESH State or Private","GEN_412042_SPECTRUM_220_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512044_KAKINADA_220_2","512044_KAKINADA_220",68,220,"SR",1303,2761,7.29,200,"ANDHRA PRADESH State or Private","GEN_412042_SPECTRUM_220_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512044_KAKINADA_220_3","512044_KAKINADA_220",68,220,"SR",1303,2761,7.29,200,"ANDHRA PRADESH State or Private","GEN_412042_SPECTRUM_220_3","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512044_KAKINADA_220_4","512044_KAKINADA_220",68,220,"SR",1303,2761,7.29,200,"ANDHRA PRADESH State or Private","GEN_412042_SPECTRUM_220_4","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512083_KNDP_220_1","512083_KNDP_220",200,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412049_KONAPGS_220_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512083_KNDP_220_2","512083_KNDP_220",200,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412049_KONAPGS_220_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512083_KNDP_220_3","512083_KNDP_220",200,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412049_KONAPGS_220_3","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512084_VIJES1_220_1","512084_VIJES1_220",60,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412022_VIJESM-I_220_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512084_VIJES1_220_2","512084_VIJES1_220",112,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412022_VIJESM-I_220_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512084_VIJES1_220_3","512084_VIJES1_220",112,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412022_VIJESM-I_220_3","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512085_VIJES2_220_1","512085_VIJES2_220",33,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412045_VIJHE-II_220_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_512085_VIJES2_220_2","512085_VIJES2_220",33,220,"SR",2361,3819,7.29,200,"ANDHRA PRADESH State or Private","GEN_412045_VIJHE-II_220_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514017_VEMAGIR4_400_1","514017_VEMAGIR4_400",350,400,"SR",5122,6580,7.29,200,"ANDHRA PRADESH State or Private","GEN_414016_GAUTAMI_400_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514017_VEMAGIR4_400_2","514017_VEMAGIR4_400",350,400,"SR",5122,6580,7.29,200,"ANDHRA PRADESH State or Private","GEN_414016_GAUTAMI_400_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514017_VEMAGIR4_400_3","514017_VEMAGIR4_400",350,400,"SR",5122,6580,7.29,200,"ANDHRA PRADESH State or Private","GEN_414016_GAUTAMI_400_3","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514088_LANCO-OA_400_1","514088_LANCO-OA_400",115,400,"SR",824,2282,7.29,200,"ANDHRA PRADESH State or Private","GEN_414019_LANCO_400_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514088_LANCO-OA_400_2","514088_LANCO-OA_400",115,400,"SR",824,2282,7.29,200,"ANDHRA PRADESH State or Private","GEN_414019_LANCO_400_2","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CCGT-GAS","GEN_514096_GMR-OA_400_1","514096_GMR-OA_400",850,400,"SR",3822,5280,7.29,200,"ANDHRA PRADESH State or Private","GEN_414015_GMR_400_1","gas_ccgt","Andhra_Pradesh"
"ANDHRA PRADESH","CT-GAS","GEN_512042_HINDUPUR_220_W","512042_HINDUPUR_220",1000,220,"SR",125,2339,11.07,200,"ANDHRA PRADESH State or Private",NA,"gas_ct","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_511079_KRPL_132_1","511079_KRPL_132",5,132,"SR",1458,2029,11.43,50,"ANDHRA PRADESH State or Private",NA,"coal","Andhra_Pradesh"
"ANDHRA PRADESH","SUBCRITICAL-COAL","GEN_512005_VIJA_220_1","512005_VIJA_220",210,220,"SR",1988,2559,11.43,50,"ANDHRA PRADESH State or Private","GEN_412025_VTPS_220_1","coal","Andhra_Pradesh"
