state,zones_gp
ANDHRA PRADESH,Andhra_Pradesh
ARUNACHAL PRADESH,Arunachal_Pradesh
ASSAM,Assam
BHUTAN,Bhutan
BIHAR,Bihar
CHHATTISGARH,Chhattishgarh
DELHI,Delhi
GUJARAT,Gujarat
HARYANA,Haryana
HIMACHAL PRADESH,Himachal_Pradesh
JAMMU & KASHMIR,Jammu_Kashmir
JHARKHAND,Jharkhand
KARNATAKA,Karnataka
KERALA,Kerala
MADHYA PRADESH,Madhya_Pradesh
MAHARASHTRA,Maharashtra
MANIPUR,Manipur
MEGHALAYA,Meghalaya
MIZORAM,Mizoram
NAGALAND,Nagaland
ODISHA,Odisha
PUNJAB,Punjab
RAJASTHAN,Rajasthan
SIKKIM,Sikkim
TAMIL NADU,Tamil_Nadu
TELANGANA,Telangana
TRIPURA,Tripura
UTTAR PRADESH,Uttar_Pradesh
UTTARAKHAND,Uttarakhand
WEST BENGAL,West_Bengal
BHUTAN-NER,Bhutan
ANDHRA PRADESH & TELANGANA,Andhra_Pradesh_and_Telangana
