Day,HYDRO-STORAGE
1,300000
2,300000
3,300000
4,300000
5,300000
6,300000
7,300000
8,300000
9,300000
10,300000
11,300000
12,300000
13,300000
14,300000
15,300000
16,300000
17,300000
18,300000
19,200000
20,200000
21,200000
22,200000
23,200000
24,200000
25,200000
26,200000
27,200000
28,200000
29,200000
30,200000
31,200000
32,200000
33,300000
34,300000
35,300000
36,300000
37,300000
38,300000
39,300000
40,300000
41,300000
42,300000
43,300000
44,300000
45,300000
46,300000
47,300000
48,300000
49,300000
50,300000
51,300000
52,300000
53,300000
54,300000
55,300000
56,300000
57,300000
58,300000
59,300000
60,300000
61,200000
62,200000
63,200000
64,200000
65,200000
66,200000
67,200000
68,300000
69,300000
70,300000
71,300000
72,300000
73,300000
74,300000
75,300000
76,300000
77,300000
78,300000
79,300000
80,300000
81,300000
82,300000
83,300000
84,300000
85,300000
86,300000
87,300000
88,300000
89,300000
90,300000
91,300000
92,300000
93,300000
94,300000
95,300000
96,300000
97,300000
98,300000
99,300000
100,300000
101,300000
102,300000
103,300000
104,300000
105,300000
106,300000
107,300000
108,300000
109,300000
110,300000
111,300000
112,300000
113,300000
114,300000
115,300000
116,300000
117,300000
118,300000
119,300000
120,300000
121,300000
122,300000
123,300000
124,200000
125,200000
126,200000
127,200000
128,200000
129,200000
130,200000
131,300000
132,300000
133,300000
134,300000
135,300000
136,300000
137,300000
138,200000
139,200000
140,200000
141,200000
142,200000
143,200000
144,200000
145,200000
146,200000
147,200000
148,200000
149,200000
150,200000
151,200000
152,200000
153,200000
154,200000
155,200000
156,200000
157,200000
158,200000
159,200000
160,200000
161,200000
162,200000
163,200000
164,200000
165,200000
166,200000
167,200000
168,200000
169,200000
170,200000
171,200000
172,200000
173,200000
174,200000
175,200000
176,200000
177,200000
178,200000
179,200000
180,200000
181,200000
182,200000
183,200000
184,200000
185,200000
186,200000
187,200000
188,200000
189,200000
190,200000
191,200000
192,200000
193,200000
194,200000
195,200000
196,200000
197,200000
198,200000
199,200000
200,200000
201,200000
202,200000
203,200000
204,200000
205,200000
206,200000
207,200000
208,300000
209,300000
210,300000
211,300000
212,300000
213,300000
214,300000
215,300000
216,300000
217,300000
218,300000
219,300000
220,300000
221,300000
222,400000
223,400000
224,400000
225,400000
226,400000
227,400000
228,400000
229,400000
230,400000
231,400000
232,400000
233,400000
234,400000
235,400000
236,300000
237,300000
238,300000
239,300000
240,300000
241,300000
242,300000
243,300000
244,300000
245,300000
246,300000
247,300000
248,300000
249,300000
250,400000
251,400000
252,400000
253,400000
254,400000
255,400000
256,400000
257,400000
258,400000
259,400000
260,400000
261,400000
262,400000
263,400000
264,400000
265,400000
266,400000
267,400000
268,400000
269,400000
270,400000
271,400000
272,400000
273,400000
274,400000
275,400000
276,400000
277,400000
278,300000
279,300000
280,300000
281,300000
282,300000
283,300000
284,300000
285,300000
286,300000
287,300000
288,300000
289,300000
290,300000
291,300000
292,300000
293,300000
294,300000
295,300000
296,300000
297,300000
298,300000
299,200000
300,200000
301,200000
302,200000
303,200000
304,200000
305,200000
306,300000
307,300000
308,300000
309,300000
310,300000
311,300000
312,300000
313,200000
314,200000
315,200000
316,200000
317,200000
318,200000
319,200000
320,200000
321,200000
322,200000
323,200000
324,200000
325,200000
326,200000
327,300000
328,300000
329,300000
330,300000
331,300000
332,300000
333,300000
334,200000
335,200000
336,200000
337,200000
338,200000
339,200000
340,200000
341,200000
342,200000
343,200000
344,200000
345,200000
346,200000
347,200000
348,200000
349,200000
350,200000
351,200000
352,200000
353,200000
354,200000
355,200000
356,200000
357,200000
358,200000
359,200000
360,200000
361,200000
362,200000
363,200000
364,200000
365,200000
366,200000
367,200000
368,200000
