Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
1,0.2,0.2,0.678
2,0.2,0.2,0.678
3,0.2,0.2,0.678
4,0.2,0.2,0.678
5,0.2,0.2,0.678
6,0.2,0.2,0.678
7,0.2,0.2,0.678
8,0.2,0.2,0.678
9,0.2,0.2,0.678
10,0.2,0.2,0.678
11,0.2,0.2,0.678
12,0.2,0.2,0.678
13,0.2,0.2,0.678
14,0.2,0.2,0.678
15,0.2,0.2,0.678
16,0.2,0.2,0.678
17,0.2,0.1,0.678
18,0.2,0.1,0.678
19,0.2,0.1,0.678
20,0.2,0.1,0.678
21,0.2,0.1,0.678
22,0.2,0.1,0.678
23,0.2,0.1,0.678
24,0.2,0.1,0.678
25,0.2,0.1,0.678
26,0.2,0.1,0.678
27,0.2,0.1,0.678
28,0.2,0.1,0.678
29,0.2,0.1,0.678
30,0.2,0.1,0.678
31,0.2,0.1,0.678
32,0.2,0.1,0.678
33,0.2,0.1,0.678
34,0.2,0.1,0.678
35,0.2,0.2,0.678
36,0.2,0.2,0.678
37,0.2,0.2,0.678
38,0.2,0.2,0.678
39,0.2,0.2,0.678
40,0.2,0.2,0.678
41,0.2,0.2,0.678
42,0.2,0.2,0.678
43,0.2,0.2,0.678
44,0.2,0.2,0.678
45,0.2,0.2,0.678
46,0.2,0.2,0.678
47,0.2,0.2,0.678
48,0.2,0.2,0.678
49,0.2,0.2,0.678
50,0.2,0.2,0.678
51,0.2,0.2,0.678
52,0.2,0.2,0.678
53,0.2,0.2,0.678
54,0.2,0.2,0.678
55,0.2,0.2,0.678
56,0.2,0.2,0.678
57,0.2,0.2,0.678
58,0.2,0.2,0.678
59,0.2,0.2,0.678
60,0.2,0.2,0.678
61,0.2,0.2,0.678
62,0.2,0.2,0.678
63,0.2,0.2,0.678
64,0.2,0.2,0.678
65,0.2,0.2,0.678
66,0.2,0.2,0.678
67,0.2,0.2,0.678
68,0.2,0.2,0.678
69,0.2,0.2,0.678
70,0.2,0.2,0.678
71,0.2,0.2,0.678
72,0.2,0.2,0.678
73,0.2,0.2,0.678
74,0.2,0.2,0.678
75,0.2,0.2,0.678
76,0.2,0.2,0.678
77,0.2,0.3,0.678
78,0.2,0.3,0.678
79,0.3,0.3,0.678
80,0.3,0.3,0.678
81,0.3,0.3,0.678
82,0.3,0.3,0.678
83,0.3,0.3,0.678
84,0.3,0.3,0.678
85,0.3,0.3,0.678
86,0.3,0.3,0.678
87,0.3,0.3,0.678
88,0.3,0.3,0.678
89,0.3,0.3,0.678
90,0.3,0.3,0.678
91,0.3,0.3,0.678
92,0.3,0.3,0.678
93,0.4,0.3,0.678
94,0.4,0.3,0.678
95,0.4,0.3,0.678
96,0.4,0.3,0.678
97,0.4,0.3,0.678
98,0.4,0.3,0.678
99,0.4,0.3,0.678
100,0.4,0.3,0.678
101,0.4,0.3,0.678
102,0.4,0.3,0.678
103,0.4,0.3,0.678
104,0.4,0.3,0.678
105,0.4,0.3,0.678
106,0.4,0.3,0.678
107,0.4,0.3,0.678
108,0.4,0.3,0.678
109,0.4,0.3,0.678
110,0.4,0.3,0.678
111,0.4,0.3,0.678
112,0.4,0.3,0.678
113,0.4,0.3,0.678
114,0.4,0.3,0.678
115,0.4,0.3,0.678
116,0.4,0.3,0.678
117,0.4,0.3,0.678
118,0.4,0.3,0.678
119,0.5,0.3,0.678
120,0.5,0.3,0.678
121,0.5,0.3,0.678
122,0.6,0.4,0.678
123,0.6,0.4,0.678
124,0.6,0.4,0.678
125,0.7,0.4,0.678
126,0.7,0.4,0.678
127,0.7,0.4,0.678
128,0.7,0.4,0.678
129,0.7,0.4,0.678
130,0.7,0.4,0.678
131,0.7,0.4,0.678
132,0.7,0.4,0.678
133,0.6,0.4,0.678
134,0.6,0.4,0.678
135,0.6,0.4,0.678
136,0.6,0.4,0.678
137,0.6,0.4,0.678
138,0.6,0.4,0.678
139,0.6,0.4,0.678
140,0.6,0.4,0.678
141,0.6,0.4,0.678
142,0.6,0.4,0.678
143,0.6,0.4,0.678
144,0.6,0.4,0.678
145,0.6,0.4,0.678
146,0.7,0.5,0.678
147,0.7,0.5,0.678
148,0.7,0.5,0.678
149,0.7,0.5,0.678
150,0.8,0.5,0.678
151,0.8,0.5,0.678
152,0.8,0.5,0.678
153,0.8,0.5,0.678
154,0.8,0.5,0.678
155,0.8,0.5,0.678
156,0.8,0.5,0.678
157,0.9,0.5,0.678
158,0.9,0.5,0.678
159,0.9,0.5,0.678
160,0.9,0.5,0.678
161,0.9,0.5,0.678
162,0.9,0.5,0.678
163,0.9,0.5,0.678
164,0.9,0.5,0.678
165,0.9,0.5,0.678
166,0.8,0.5,0.678
167,0.8,0.5,0.678
168,0.8,0.5,0.678
169,0.8,0.5,0.678
170,0.8,0.5,0.678
171,0.8,0.5,0.678
172,0.8,0.6,0.678
173,0.8,0.6,0.678
174,0.9,0.6,0.678
175,0.9,0.6,0.678
176,0.9,0.6,0.678
177,0.9,0.6,0.678
178,0.9,0.6,0.678
179,0.9,0.6,0.678
180,0.9,0.6,0.678
181,0.9,0.6,0.678
182,0.9,0.6,0.678
183,0.9,0.6,0.678
184,0.9,0.6,0.678
185,0.9,0.6,0.678
186,0.9,0.6,0.678
187,0.9,0.6,0.678
188,0.9,0.6,0.678
189,0.9,0.6,0.678
190,0.9,0.6,0.678
191,0.9,0.6,0.678
192,0.9,0.6,0.678
193,0.9,0.6,0.678
