parameter,comment,base,high_cost_coal,coal_55mingen,coal_ccgt_0mingen,hydro_low25p,hydro_high25p,hydro_high_cea,nuclear17,hydro_high_cea_nuclear17,battery15,battery30,battery60,battery60_coalHC,wind10LC,wind20LC,wind30LC,solar10LC,solar20LC,solar30LC,wind30LC_solar30LC,wind120HH,solar1A,solar90deg,wind120HH_solar1A,battery15B25LC,battery15B50LC,battery30B25LC,battery30B50LC,battery60B50LC,battery60B50LC_wind30LC,battery60B50LC_solar30LC,battery60B50LC_wind30LC_solar30LC,battery60B50LC_coalHC,battery60B50LC_wind30LC_coalHC,battery60B50LC_solar30LC_coalHC,battery60B50LC_wind30LC_solar30LC_coalHC,wind30LC_solar30LC_coalHC,coal_55mingen_wind30LC,coal_55mingen_solar30LC,coal_55mingen_wind30LC_solar30LC,coal_55mingen_battery60,coal_55mingen_battery60B50LC,coal_55mingen_battery60_wind30LC_solar30LC,coal_55mingen_battery60B50LC_wind30LC_solar30LC,coal_55mingen_battery60B50LC_solar30LC,coal_55mingen_battery60_coalHC,coal_55mingen_battery60_wind30LC_solar30LC_coalHC,coal_55mingen_battery60B50LC_wind30LC_solar30LC_coalHC,load_modD0M0_energyOnly,load_modD50M0_energyOnly,load_modD25M25_energyOnly,load_mod_low15_energyOnly
scenario_suffix,input,ClcC70m,ChcC70m,ClcC55m,ClcC0m,ClcC70mH-25,ClcC70mH25,ClcC70mHcea,ClcC70mN17,ClcC70mHceaN17,ClcC70mB15,ClcC70mB30,ClcC70mB60,ChcC70mB60,ClcC70mW10lc,ClcC70mW20lc,ClcC70mW30lc,ClcC70mS10lc,ClcC70mS20lc,ClcC70mS30lc,ClcC70mW30lcS30lc,ClcC70mW120,ClcC70mS1A,ClcC70mS90d,ClcC70mW120S1A,ClcC70mB15B25lc,ClcC70mB15B50lc,ClcC70mB30B25lc,ClcC70mB30B50lc,ClcC70mB60B50lc,ClcC70mB60B50lcW30lc,ClcC70mB60B50lcS30lc,ClcC70mB60B50lcW30lcS30lc,ChcC70mB60B50lc,ChcC70mB60B50lcW30lc,ChcC70mB60B50lcS30lc,ChcC70mB60B50lcW30lcS30lc,ChcC70mW30lcS30lc,ClcC55mW30lc,ClcC55mS30lc,ClcC55mW30lcS30lc,ClcC55mB60,ClcC55mB60B50lc,ClcC55mB60W30lcS30lc,ClcC55mB60B50lcW30lcS30lc,ClcC55mB60B50lcS30lc,ChcC55mB60,ChcC55mB60W30lcS30lc,ChcC55mB60B50lcW30lcS30lc,ClcC70mLmod_D0_M0_energyOnly,ClcC70mLmod_D50_M0_energyOnly,ClcC70mLmod_D25_M25_energyOnly,ClcC70mLmod_low15pc_energyOnly
suggested_scenario_suffix,,ClcC70m,ChcC70m,ClcC55m,ClcC0m,ClcC70mH-25,ClcC70mH25,ClcC70mHcea,ClcC70mN17,ClcC70mHceaN17,ClcC70mB15,ClcC70mB30,ClcC70mB60,ChcC70mB60,ClcC70mW10lc,ClcC70mW20lc,ClcC70mW30lc,ClcC70mS10lc,ClcC70mS20lc,ClcC70mS30lc,ClcC70mW30lcS30lc,ClcC70mW120,ClcC70mS1A,ClcC70mS90d,ClcC70mW120S1A,ClcC70mB15B25lc,ClcC70mB15B50lc,ClcC70mB30B25lc,ClcC70mB30B50lc,ClcC70mB60B50lc,ClcC70mB60B50lcW30lc,ClcC70mB60B50lcS30lc,ClcC70mB60B50lcW30lcS30lc,ChcC70mB60B50lc,ChcC70mB60B50lcW30lc,ChcC70mB60B50lcS30lc,ChcC70mB60B50lcW30lcS30lc,ChcC70mW30lcS30lc,ClcC55mW30lc,ClcC55mS30lc,ClcC55mW30lcS30lc,ClcC55mB60,ClcC55mB60B50lc,ClcC55mB60W30lcS30lc,ClcC55mB60B50lcW30lcS30lc,ClcC55mB60B50lcS30lc,ChcC55mB60,ChcC55mB60W30lcS30lc,ChcC55mB60B50lcW30lcS30lc,ClcC70mLmod_D0_M0_energyOnly,ClcC70mLmod_D50_M0_energyOnly,ClcC70mLmod_D25_M25_energyOnly,ClcC70mLmod_low15pc_energyOnly
economic_dispatch_folder_suffix,,ClcC70m,ChcC70m,ClcC55m,ClcC0m,ClcC70mH-25,ClcC70mH25,ClcC70mHcea,ClcC70mN17,ClcC70mHceaN17,ClcC70mB15,ClcC70mB30,ClcC70mB60,ChcC70mB60,ClcC70m,ClcC70m,ClcC70m,ClcC70m,ClcC70m,ClcC70m,ClcC70m,ClcC70mW120,ClcC70mS1A,ClcC70mS90d,ClcC70mW120S1A,ClcC70mB15,ClcC70mB15,ClcC70mB30,ClcC70mB30,ClcC70mB60,ClcC70mB60,ClcC70mB60,ClcC70mB60,ChcC70mB60,ChcC70mB60,ChcC70mB60,ChcC70mB60,ChcC70m,ClcC55m,ClcC55m,ClcC55m,ClcC55mB60,ClcC55mB60,ClcC55mB60,ClcC55mB60,ClcC55mB60,ChcC55mB60,ChcC55mB60,ChcC55mB60,ClcC70mLmod_D0_M0_energyOnly,ClcC70mLmod_D50_M0_energyOnly,ClcC70mLmod_D25_M25_energyOnly,ClcC70mLmod_low15pc_energyOnly
new_conventional_capacity_folder_suffix,,coallc,coalhc,coallc,coallc,coallcH-25,coallcH25,coallcHcea,coallcN17,coallcHceaN17,coallcB15,coallcB30,coallcB60,coalhcB60,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallcW120,coallcS1A,coallcS90d,coallcW120S1A,coallcB15,coallcB15,coallcB30,coallcB30,coallcB60,coallcB60,coallcB60,coallcB60,coalhcB60,coalhcB60,coalhcB60,coalhcB60,coalhc,coallc,coallc,coallc,coallcB60,coallcB60,coallcB60,coallcB60,coallcB60,coalhcB60,coalhcB60,coalhcB60,coallcLmod_D0_M0_energyOnly,coallcLmod_D50_M0_energyOnly,coallcLmod_D25_M25_energyOnly,coallcLmod_low15pc_energyOnly
net_load_folder_suffix,,coallc,coallc,coallc,coallc,coallcH-25,coallcH25,coallcHcea,coallcN17,coallcHceaN17,coallcB15,coallcB30,coallcB60,coalhcB60,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallcW120,coallcS1A,coallcS90d,coallcW120S1A,coallcB15,coallcB15,coallcB30,coallcB30,coallcB60,coallcB60,coallcB60,coallcB60,coalhcB60,coalhcB60,coalhcB60,coalhcB60,coalhc,coallc,coallc,coallc,coallcB60,coallcB60,coallcB60,coallcB60,coallcB60,coalhcB60,coalhcB60,coalhcB60,coallcLmod_D0_M0_energyOnly,coallcLmod_D50_M0_energyOnly,coallcLmod_D25_M25_energyOnly,coallcLmod_low15pc_energyOnly
REvalue_folder_suffix,,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W120_S0d,W80_S1A,W80_S90d,W120_S1A,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d,W80_S0d
generator_cost_suffix,,coallc,coalhc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coallc,coalhc,coallcW10lc,coallcW20lc,coallcW30lc,coallcS10lc,coallcS20lc,coallcS30lc,coallcW30lcS30lc,coallc,coallc,coallc,coallc,coallcB25lc,coallcB50lc,coallcB25lc,coallcB50lc,coallcB50lc,coallcW30lcB50lc,coallcS30lcB50lc,coallcW30lcS30lcB50lc,coalhcB50lc,coalhcW30lcB50lc,coalhcS30lcB50lc,coalhcW30lcS30lcB50lc,coalhcW30lcS30lc,coallcW30lc,coallcS30lc,coallcW30lcS30lc,coallc,coallcB50lc,coallcW30lcS30lc,coallcW30lcS30lcB50lc,coallcS30lcB50lc,coalhc,coalhcW30lcS30lc,coalhcW30lcS30lcB50lc,coallc,coallc,coallc,coallc
coal_cost,"low, mid, or high. Low is base.",low,high,low,low,low,low,low,low,low,low,low,low,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,high,high,high,low,low,low,low
coal_cost_suffix,,Clc,Chc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Chc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Chc,Chc,Chc,Chc,Chc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Clc,Chc,Chc,Chc,Clc,Clc,Clc,Clc
