generator,gen_capacity,var_cost,type
GAS-CT-NEW-1,200,8200,gas_ct
GAS-CT-NEW-2,200,8201,gas_ct
GAS-CT-NEW-3,200,8202,gas_ct
GAS-CT-NEW-4,200,8203,gas_ct
GAS-CT-NEW-5,200,8204,gas_ct
GAS-CT-NEW-6,200,8205,gas_ct
GAS-CT-NEW-7,200,8206,gas_ct
GAS-CT-NEW-8,200,8207,gas_ct
GAS-CT-NEW-9,200,8208,gas_ct
GAS-CT-NEW-10,200,8209,gas_ct
GAS-CT-NEW-11,200,8210,gas_ct
GAS-CT-NEW-12,200,8211,gas_ct
GAS-CT-NEW-13,200,8212,gas_ct
GAS-CT-NEW-14,200,8213,gas_ct
GAS-CT-NEW-15,200,8214,gas_ct
GAS-CT-NEW-16,200,8215,gas_ct
GAS-CT-NEW-17,200,8216,gas_ct
GAS-CT-NEW-18,200,8217,gas_ct
GAS-CT-NEW-19,200,8218,gas_ct
GAS-CT-NEW-20,200,8219,gas_ct
GAS-CT-NEW-21,200,8220,gas_ct
GAS-CT-NEW-22,200,8221,gas_ct
GAS-CT-NEW-23,200,8222,gas_ct
GAS-CT-NEW-24,200,8223,gas_ct
GAS-CT-NEW-25,200,8224,gas_ct
GAS-CT-NEW-26,200,8225,gas_ct
GAS-CT-NEW-27,200,8226,gas_ct
GAS-CT-NEW-28,200,8227,gas_ct
GAS-CT-NEW-29,200,8228,gas_ct
GAS-CT-NEW-30,200,8229,gas_ct
GAS-CT-NEW-31,200,8230,gas_ct
GAS-CT-NEW-32,200,8231,gas_ct
GAS-CT-NEW-33,200,8232,gas_ct
GAS-CT-NEW-34,200,8233,gas_ct
GAS-CT-NEW-35,200,8234,gas_ct
GAS-CT-NEW-36,200,8235,gas_ct
GAS-CT-NEW-37,200,8236,gas_ct
GAS-CT-NEW-38,200,8237,gas_ct
GAS-CT-NEW-39,200,8238,gas_ct
GAS-CT-NEW-40,200,8239,gas_ct
GAS-CT-NEW-41,200,8240,gas_ct
GAS-CT-NEW-42,200,8241,gas_ct
GAS-CT-NEW-43,200,8242,gas_ct
GAS-CT-NEW-44,200,8243,gas_ct
GAS-CT-NEW-45,200,8244,gas_ct
GAS-CT-NEW-46,200,8245,gas_ct
GAS-CT-NEW-47,200,8246,gas_ct
GAS-CT-NEW-48,200,8247,gas_ct
GAS-CT-NEW-49,200,8248,gas_ct
GAS-CT-NEW-50,200,8249,gas_ct
GAS-CT-NEW-51,200,8250,gas_ct
GAS-CT-NEW-52,200,8251,gas_ct
GAS-CT-NEW-53,200,8252,gas_ct
GAS-CT-NEW-54,200,8253,gas_ct
GAS-CT-NEW-55,200,8254,gas_ct
GAS-CT-NEW-56,200,8255,gas_ct
GAS-CT-NEW-57,200,8256,gas_ct
GAS-CT-NEW-58,200,8257,gas_ct
GAS-CT-NEW-59,200,8258,gas_ct
GAS-CT-NEW-60,200,8259,gas_ct
GAS-CT-NEW-61,200,8260,gas_ct
GAS-CT-NEW-62,200,8261,gas_ct
GAS-CT-NEW-63,200,8262,gas_ct
GAS-CT-NEW-64,200,8263,gas_ct
GAS-CT-NEW-65,200,8264,gas_ct
GAS-CT-NEW-66,200,8265,gas_ct
GAS-CT-NEW-67,200,8266,gas_ct
GAS-CT-NEW-68,200,8267,gas_ct
GAS-CT-NEW-69,200,8268,gas_ct
GAS-CT-NEW-70,200,8269,gas_ct
GAS-CT-NEW-71,200,8270,gas_ct
GAS-CT-NEW-72,200,8271,gas_ct
GAS-CT-NEW-73,200,8272,gas_ct
GAS-CT-NEW-74,200,8273,gas_ct
GAS-CT-NEW-75,200,8274,gas_ct
GAS-CT-NEW-76,200,8275,gas_ct
GAS-CT-NEW-77,200,8276,gas_ct
GAS-CT-NEW-78,200,8277,gas_ct
GAS-CT-NEW-79,200,8278,gas_ct
GAS-CT-NEW-80,200,8279,gas_ct
GAS-CT-NEW-81,200,8280,gas_ct
GAS-CT-NEW-82,200,8281,gas_ct
GAS-CT-NEW-83,200,8282,gas_ct
GAS-CT-NEW-84,200,8283,gas_ct
GAS-CT-NEW-85,200,8284,gas_ct
GAS-CT-NEW-86,200,8285,gas_ct
GAS-CT-NEW-87,200,8286,gas_ct
GAS-CT-NEW-88,200,8287,gas_ct
GAS-CT-NEW-89,200,8288,gas_ct
GAS-CT-NEW-90,200,8289,gas_ct
GAS-CT-NEW-91,200,8290,gas_ct
GAS-CT-NEW-92,200,8291,gas_ct
GAS-CT-NEW-93,200,8292,gas_ct
GAS-CT-NEW-94,200,8293,gas_ct
GAS-CT-NEW-95,200,8294,gas_ct
GAS-CT-NEW-96,200,8295,gas_ct
GAS-CT-NEW-97,200,8296,gas_ct
GAS-CT-NEW-98,200,8297,gas_ct
GAS-CT-NEW-99,200,8298,gas_ct
GAS-CT-NEW-100,200,8299,gas_ct
GAS-CT-NEW-101,200,8300,gas_ct
GAS-CT-NEW-102,200,8301,gas_ct
GAS-CT-NEW-103,200,8302,gas_ct
GAS-CT-NEW-104,200,8303,gas_ct
GAS-CT-NEW-105,200,8304,gas_ct
GAS-CT-NEW-106,200,8305,gas_ct
GAS-CT-NEW-107,200,8306,gas_ct
GAS-CT-NEW-108,200,8307,gas_ct
GAS-CT-NEW-109,200,8308,gas_ct
GAS-CT-NEW-110,200,8309,gas_ct
GAS-CT-NEW-111,200,8310,gas_ct
GAS-CT-NEW-112,200,8311,gas_ct
GAS-CT-NEW-113,200,8312,gas_ct
GAS-CT-NEW-114,200,8313,gas_ct
GAS-CT-NEW-115,200,8314,gas_ct
GAS-CT-NEW-116,200,8315,gas_ct
GAS-CT-NEW-117,200,8316,gas_ct
GAS-CT-NEW-118,200,8317,gas_ct
GAS-CT-NEW-119,200,8318,gas_ct
GAS-CT-NEW-120,200,8319,gas_ct
GAS-CT-NEW-121,200,8320,gas_ct
GAS-CT-NEW-122,200,8321,gas_ct
GAS-CT-NEW-123,200,8322,gas_ct
GAS-CT-NEW-124,200,8323,gas_ct
GAS-CT-NEW-125,200,8324,gas_ct
GAS-CT-NEW-126,200,8325,gas_ct
GAS-CT-NEW-127,200,8326,gas_ct
GAS-CT-NEW-128,200,8327,gas_ct
GAS-CT-NEW-129,200,8328,gas_ct
GAS-CT-NEW-130,200,8329,gas_ct
GAS-CT-NEW-131,200,8330,gas_ct
GAS-CT-NEW-132,200,8331,gas_ct
GAS-CT-NEW-133,200,8332,gas_ct
GAS-CT-NEW-134,200,8333,gas_ct
GAS-CT-NEW-135,200,8334,gas_ct
GAS-CT-NEW-136,200,8335,gas_ct
GAS-CT-NEW-137,200,8336,gas_ct
GAS-CT-NEW-138,200,8337,gas_ct
GAS-CT-NEW-139,200,8338,gas_ct
GAS-CT-NEW-140,200,8339,gas_ct
GAS-CT-NEW-141,200,8340,gas_ct
GAS-CT-NEW-142,200,8341,gas_ct
GAS-CT-NEW-143,200,8342,gas_ct
GAS-CT-NEW-144,200,8343,gas_ct
GAS-CT-NEW-145,200,8344,gas_ct
GAS-CT-NEW-146,200,8345,gas_ct
GAS-CT-NEW-147,200,8346,gas_ct
GAS-CT-NEW-148,200,8347,gas_ct
GAS-CT-NEW-149,200,8348,gas_ct
GAS-CT-NEW-150,200,8349,gas_ct
GAS-CT-NEW-151,200,8350,gas_ct
GAS-CT-NEW-152,200,8351,gas_ct
GAS-CT-NEW-153,200,8352,gas_ct
GAS-CT-NEW-154,200,8353,gas_ct
GAS-CT-NEW-155,200,8354,gas_ct
GAS-CT-NEW-156,200,8355,gas_ct
GAS-CT-NEW-157,200,8356,gas_ct
GAS-CT-NEW-158,200,8357,gas_ct
GAS-CT-NEW-159,200,8358,gas_ct
GAS-CT-NEW-160,200,8359,gas_ct
GAS-CT-NEW-161,200,8360,gas_ct
GAS-CT-NEW-162,200,8361,gas_ct
GAS-CT-NEW-163,200,8362,gas_ct
GAS-CT-NEW-164,200,8363,gas_ct
GAS-CT-NEW-165,200,8364,gas_ct
GAS-CT-NEW-166,200,8365,gas_ct
GAS-CT-NEW-167,200,8366,gas_ct
GAS-CT-NEW-168,200,8367,gas_ct
GAS-CT-NEW-169,200,8368,gas_ct
GAS-CT-NEW-170,200,8369,gas_ct
GAS-CT-NEW-171,200,8370,gas_ct
GAS-CT-NEW-172,200,8371,gas_ct
GAS-CT-NEW-173,200,8372,gas_ct
GAS-CT-NEW-174,200,8373,gas_ct
GAS-CT-NEW-175,200,8374,gas_ct
GAS-CT-NEW-176,200,8375,gas_ct
GAS-CT-NEW-177,200,8376,gas_ct
GAS-CT-NEW-178,200,8377,gas_ct
GAS-CT-NEW-179,200,8378,gas_ct
GAS-CT-NEW-180,200,8379,gas_ct
GAS-CT-NEW-181,200,8380,gas_ct
GAS-CT-NEW-182,200,8381,gas_ct
GAS-CT-NEW-183,200,8382,gas_ct
GAS-CT-NEW-184,200,8383,gas_ct
GAS-CT-NEW-185,200,8384,gas_ct
GAS-CT-NEW-186,200,8385,gas_ct
GAS-CT-NEW-187,200,8386,gas_ct
GAS-CT-NEW-188,200,8387,gas_ct
GAS-CT-NEW-189,200,8388,gas_ct
GAS-CT-NEW-190,200,8389,gas_ct
