Day,HYDRO-STORAGE
1,162840.6654
2,162840.6654
3,162840.6654
4,162840.6654
5,183082.0041
6,183082.0041
7,183082.0041
8,183082.0041
9,183082.0041
10,183082.0041
11,183082.0041
12,173487.3945
13,173487.3945
14,173487.3945
15,173487.3945
16,173487.3945
17,173487.3945
18,173487.3945
19,154550.8024
20,154550.8024
21,154550.8024
22,154550.8024
23,154550.8024
24,154550.8024
25,154550.8024
26,158605.1511
27,158605.1511
28,158605.1511
29,158605.1511
30,158605.1511
31,158605.1511
32,158605.1511
33,186466.9578
34,186466.9578
35,186466.9578
36,186466.9578
37,186466.9578
38,186466.9578
39,186466.9578
40,172292.1435
41,172292.1435
42,172292.1435
43,172292.1435
44,172292.1435
45,172292.1435
46,172292.1435
47,188255.0522
48,188255.0522
49,188255.0522
50,188255.0522
51,188255.0522
52,188255.0522
53,188255.0522
54,178794.9626
55,178794.9626
56,178794.9626
57,178794.9626
58,178794.9626
59,178794.9626
60,178794.9626
61,159438.6696
62,159438.6696
63,159438.6696
64,159438.6696
65,159438.6696
66,159438.6696
67,159438.6696
68,168684.015
69,168684.015
70,168684.015
71,168684.015
72,168684.015
73,168684.015
74,168684.015
75,192427.8554
76,192427.8554
77,192427.8554
78,192427.8554
79,192427.8554
80,192427.8554
81,192427.8554
82,194876.7136
83,194876.7136
84,194876.7136
85,194876.7136
86,194876.7136
87,194876.7136
88,194876.7136
89,189050.7413
90,189050.7413
91,189050.7413
92,189050.7413
93,189050.7413
94,189050.7413
95,189050.7413
96,181316.5416
97,181316.5416
98,181316.5416
99,181316.5416
100,181316.5416
101,181316.5416
102,181316.5416
103,162417.757
104,162417.757
105,162417.757
106,162417.757
107,162417.757
108,162417.757
109,162417.757
110,183845.1919
111,183845.1919
112,183845.1919
113,183845.1919
114,183845.1919
115,183845.1919
116,183845.1919
117,172956.2874
118,172956.2874
119,172956.2874
120,172956.2874
121,172956.2874
122,172956.2874
123,172956.2874
124,140876.9273
125,140876.9273
126,140876.9273
127,140876.9273
128,140876.9273
129,140876.9273
130,140876.9273
131,164404.3665
132,164404.3665
133,164404.3665
134,164404.3665
135,164404.3665
136,164404.3665
137,164404.3665
138,157640.5479
139,157640.5479
140,157640.5479
141,157640.5479
142,157640.5479
143,157640.5479
144,157640.5479
145,130587.8212
146,130587.8212
147,130587.8212
148,130587.8212
149,130587.8212
150,130587.8212
151,130587.8212
152,129725.5006
153,129725.5006
154,129725.5006
155,129725.5006
156,129725.5006
157,129725.5006
158,129725.5006
159,135332.1963
160,135332.1963
161,135332.1963
162,135332.1963
163,135332.1963
164,135332.1963
165,135332.1963
166,120144.3136
167,120144.3136
168,120144.3136
169,120144.3136
170,120144.3136
171,120144.3136
172,120144.3136
173,147854.9302
174,147854.9302
175,147854.9302
176,147854.9302
177,147854.9302
178,147854.9302
179,147854.9302
180,136783.2329
