Timepoint,load,dateTime,Day
1,98991,1/1/2014 0:55,1
2,96643,1/1/2014 1:55,1
3,96867,1/1/2014 2:55,1
4,97683,1/1/2014 3:55,1
5,100212,1/1/2014 4:55,1
6,104110,1/1/2014 5:55,1
7,108543,1/1/2014 6:55,1
8,112838,1/1/2014 7:55,1
9,116163,1/1/2014 8:55,1
10,118052,1/1/2014 9:55,1
11,118084,1/1/2014 10:55,1
12,117042,1/1/2014 11:55,1
13,115280,1/1/2014 12:55,1
14,113344,1/1/2014 13:55,1
15,111671,1/1/2014 14:55,1
16,111160,1/1/2014 15:55,1
17,111828,1/1/2014 16:55,1
18,112687,1/1/2014 17:55,1
19,112636,1/1/2014 18:55,1
20,111596,1/1/2014 19:55,1
21,109484,1/1/2014 20:55,1
22,106018,1/1/2014 21:55,1
23,102171,1/1/2014 22:55,1
24,98940,1/1/2014 23:55,1
25,96526,1/2/2014 0:55,2
26,94705,1/2/2014 1:55,2
27,94061,1/2/2014 2:55,2
28,95130,1/2/2014 3:55,2
29,97966,1/2/2014 4:55,2
30,102232,1/2/2014 5:55,2
31,106963,1/2/2014 6:55,2
32,111460,1/2/2014 7:55,2
33,114891,1/2/2014 8:55,2
34,116606,1/2/2014 9:55,2
35,116513,1/2/2014 10:55,2
36,115380,1/2/2014 11:55,2
37,113990,1/2/2014 12:55,2
38,113113,1/2/2014 13:55,2
39,112792,1/2/2014 14:55,2
40,113401,1/2/2014 15:55,2
41,115294,1/2/2014 16:55,2
42,116902,1/2/2014 17:55,2
43,116859,1/2/2014 18:55,2
44,115912,1/2/2014 19:55,2
45,113914,1/2/2014 20:55,2
46,110326,1/2/2014 21:55,2
47,106529,1/2/2014 22:55,2
48,103533,1/2/2014 23:55,2
49,100886,1/3/2014 0:55,3
50,98861,1/3/2014 1:55,3
51,98228,1/3/2014 2:55,3
52,99220,1/3/2014 3:55,3
53,102054,1/3/2014 4:55,3
54,106547,1/3/2014 5:55,3
55,111465,1/3/2014 6:55,3
56,116060,1/3/2014 7:55,3
57,119464,1/3/2014 8:55,3
58,121224,1/3/2014 9:55,3
59,121003,1/3/2014 10:55,3
60,119710,1/3/2014 11:55,3
61,118151,1/3/2014 12:55,3
62,116781,1/3/2014 13:55,3
63,115831,1/3/2014 14:55,3
64,115995,1/3/2014 15:55,3
65,117407,1/3/2014 16:55,3
66,118703,1/3/2014 17:55,3
67,119063,1/3/2014 18:55,3
68,118322,1/3/2014 19:55,3
69,116385,1/3/2014 20:55,3
70,112956,1/3/2014 21:55,3
71,108730,1/3/2014 22:55,3
72,105033,1/3/2014 23:55,3
73,101990,1/4/2014 0:55,4
74,99518,1/4/2014 1:55,4
75,98269,1/4/2014 2:55,4
76,98988,1/4/2014 3:55,4
77,100902,1/4/2014 4:55,4
78,103875,1/4/2014 5:55,4
79,107662,1/4/2014 6:55,4
80,111466,1/4/2014 7:55,4
81,114059,1/4/2014 8:55,4
82,115507,1/4/2014 9:55,4
83,115711,1/4/2014 10:55,4
84,114721,1/4/2014 11:55,4
85,113020,1/4/2014 12:55,4
86,111475,1/4/2014 13:55,4
87,110253,1/4/2014 14:55,4
88,110017,1/4/2014 15:55,4
89,110984,1/4/2014 16:55,4
90,112192,1/4/2014 17:55,4
91,112689,1/4/2014 18:55,4
92,112501,1/4/2014 19:55,4
93,111072,1/4/2014 20:55,4
94,107958,1/4/2014 21:55,4
95,104854,1/4/2014 22:55,4
96,102308,1/4/2014 23:55,4
97,100188,1/5/2014 0:55,5
98,98566,1/5/2014 1:55,5
99,98269,1/5/2014 2:55,5
100,98988,1/5/2014 3:55,5
101,100902,1/5/2014 4:55,5
102,103875,1/5/2014 5:55,5
103,107662,1/5/2014 6:55,5
104,111466,1/5/2014 7:55,5
105,114059,1/5/2014 8:55,5
106,115507,1/5/2014 9:55,5
107,115711,1/5/2014 10:55,5
108,114721,1/5/2014 11:55,5
109,113020,1/5/2014 12:55,5
110,111475,1/5/2014 13:55,5
111,110253,1/5/2014 14:55,5
112,110017,1/5/2014 15:55,5
113,110984,1/5/2014 16:55,5
114,112192,1/5/2014 17:55,5
115,112689,1/5/2014 18:55,5
116,112501,1/5/2014 19:55,5
117,111072,1/5/2014 20:55,5
118,107958,1/5/2014 21:55,5
119,104281,1/5/2014 22:55,5
120,101157,1/5/2014 23:55,5
121,98417,1/6/2014 0:55,6
122,96153,1/6/2014 1:55,6
123,95222,1/6/2014 2:55,6
124,96156,1/6/2014 3:55,6
125,98617,1/6/2014 4:55,6
126,102613,1/6/2014 5:55,6
127,107264,1/6/2014 6:55,6
128,111823,1/6/2014 7:55,6
129,115285,1/6/2014 8:55,6
130,117260,1/6/2014 9:55,6
131,117532,1/6/2014 10:55,6
132,116810,1/6/2014 11:55,6
133,115635,1/6/2014 12:55,6
134,114464,1/6/2014 13:55,6
135,113756,1/6/2014 14:55,6
136,114069,1/6/2014 15:55,6
137,115765,1/6/2014 16:55,6
138,117571,1/6/2014 17:55,6
139,118334,1/6/2014 18:55,6
140,117981,1/6/2014 19:55,6
141,116299,1/6/2014 20:55,6
142,112582,1/6/2014 21:55,6
143,108299,1/6/2014 22:55,6
144,104686,1/6/2014 23:55,6
145,101818,1/7/2014 0:55,7
146,99608,1/7/2014 1:55,7
147,98851,1/7/2014 2:55,7
148,99768,1/7/2014 3:55,7
149,102270,1/7/2014 4:55,7
150,106364,1/7/2014 5:55,7
151,110859,1/7/2014 6:55,7
152,115030,1/7/2014 7:55,7
153,118104,1/7/2014 8:55,7
154,119652,1/7/2014 9:55,7
155,119344,1/7/2014 10:55,7
156,118220,1/7/2014 11:55,7
157,116957,1/7/2014 12:55,7
158,115654,1/7/2014 13:55,7
159,115073,1/7/2014 14:55,7
160,115328,1/7/2014 15:55,7
161,116944,1/7/2014 16:55,7
162,118624,1/7/2014 17:55,7
163,119459,1/7/2014 18:55,7
164,118963,1/7/2014 19:55,7
165,117456,1/7/2014 20:55,7
166,114098,1/7/2014 21:55,7
167,110179,1/7/2014 22:55,7
168,106972,1/7/2014 23:55,7
169,104353,1/8/2014 0:55,8
170,102237,1/8/2014 1:55,8
171,101470,1/8/2014 2:55,8
172,102490,1/8/2014 3:55,8
173,105134,1/8/2014 4:55,8
174,109388,1/8/2014 5:55,8
175,114105,1/8/2014 6:55,8
176,118575,1/8/2014 7:55,8
177,121673,1/8/2014 8:55,8
178,123041,1/8/2014 9:55,8
179,122531,1/8/2014 10:55,8
180,121145,1/8/2014 11:55,8
181,119478,1/8/2014 12:55,8
182,117982,1/8/2014 13:55,8
183,117026,1/8/2014 14:55,8
184,117026,1/8/2014 15:55,8
185,118496,1/8/2014 16:55,8
186,120022,1/8/2014 17:55,8
187,120599,1/8/2014 18:55,8
188,120359,1/8/2014 19:55,8
189,118791,1/8/2014 20:55,8
190,115288,1/8/2014 21:55,8
191,111238,1/8/2014 22:55,8
192,107739,1/8/2014 23:55,8
193,104579,1/9/2014 0:55,9
194,102208,1/9/2014 1:55,9
195,101172,1/9/2014 2:55,9
196,101889,1/9/2014 3:55,9
197,104303,1/9/2014 4:55,9
198,108392,1/9/2014 5:55,9
199,112798,1/9/2014 6:55,9
200,116909,1/9/2014 7:55,9
201,119710,1/9/2014 8:55,9
202,120707,1/9/2014 9:55,9
203,120079,1/9/2014 10:55,9
204,118648,1/9/2014 11:55,9
205,117235,1/9/2014 12:55,9
206,116182,1/9/2014 13:55,9
207,115827,1/9/2014 14:55,9
208,116196,1/9/2014 15:55,9
209,117874,1/9/2014 16:55,9
210,119344,1/9/2014 17:55,9
211,119804,1/9/2014 18:55,9
212,119615,1/9/2014 19:55,9
213,118393,1/9/2014 20:55,9
214,115394,1/9/2014 21:55,9
215,111792,1/9/2014 22:55,9
216,108631,1/9/2014 23:55,9
217,105627,1/10/2014 0:55,10
218,103158,1/10/2014 1:55,10
219,102139,1/10/2014 2:55,10
220,102787,1/10/2014 3:55,10
221,105011,1/10/2014 4:55,10
222,109194,1/10/2014 5:55,10
223,113593,1/10/2014 6:55,10
224,117789,1/10/2014 7:55,10
225,120928,1/10/2014 8:55,10
226,122664,1/10/2014 9:55,10
227,122530,1/10/2014 10:55,10
228,121766,1/10/2014 11:55,10
229,120572,1/10/2014 12:55,10
230,119473,1/10/2014 13:55,10
231,118177,1/10/2014 14:55,10
232,117747,1/10/2014 15:55,10
233,118768,1/10/2014 16:55,10
234,119865,1/10/2014 17:55,10
235,119930,1/10/2014 18:55,10
236,119848,1/10/2014 19:55,10
237,118482,1/10/2014 20:55,10
238,115168,1/10/2014 21:55,10
239,111180,1/10/2014 22:55,10
240,107927,1/10/2014 23:55,10
241,104941,1/11/2014 0:55,11
242,102545,1/11/2014 1:55,11
243,101476,1/11/2014 2:55,11
244,101965,1/11/2014 3:55,11
245,103878,1/11/2014 4:55,11
246,107492,1/11/2014 5:55,11
247,111631,1/11/2014 6:55,11
248,115596,1/11/2014 7:55,11
249,118515,1/11/2014 8:55,11
250,119916,1/11/2014 9:55,11
251,119490,1/11/2014 10:55,11
252,118256,1/11/2014 11:55,11
253,116783,1/11/2014 12:55,11
254,115632,1/11/2014 13:55,11
255,115047,1/11/2014 14:55,11
256,115396,1/11/2014 15:55,11
257,116783,1/11/2014 16:55,11
258,118208,1/11/2014 17:55,11
259,118703,1/11/2014 18:55,11
