Timepoint,load,dateTime,Day
1,234669,1/1/2030 0:55,1
2,230127,1/1/2030 1:55,1
3,230589,1/1/2030 2:55,1
4,232488,1/1/2030 3:55,1
5,237568,1/1/2030 4:55,1
6,245111,1/1/2030 5:55,1
7,254385,1/1/2030 6:55,1
8,264191,1/1/2030 7:55,1
9,272083,1/1/2030 8:55,1
10,277079,1/1/2030 9:55,1
11,276365,1/1/2030 10:55,1
12,272813,1/1/2030 11:55,1
13,267932,1/1/2030 12:55,1
14,262833,1/1/2030 13:55,1
15,258380,1/1/2030 14:55,1
16,257096,1/1/2030 15:55,1
17,258851,1/1/2030 16:55,1
18,261378,1/1/2030 17:55,1
19,262257,1/1/2030 18:55,1
20,260974,1/1/2030 19:55,1
21,256522,1/1/2030 20:55,1
22,248741,1/1/2030 21:55,1
23,240388,1/1/2030 22:55,1
24,233841,1/1/2030 23:55,1
25,229061,1/2/2030 0:55,2
26,225498,1/2/2030 1:55,2
27,224343,1/2/2030 2:55,2
28,226650,1/2/2030 3:55,2
29,232470,1/2/2030 4:55,2
30,240934,1/2/2030 5:55,2
31,250901,1/2/2030 6:55,2
32,261216,1/2/2030 7:55,2
33,270246,1/2/2030 8:55,2
34,275394,1/2/2030 9:55,2
35,274388,1/2/2030 10:55,2
36,270714,1/2/2030 11:55,2
37,266412,1/2/2030 12:55,2
38,263196,1/2/2030 13:55,2
39,261746,1/2/2030 14:55,2
40,263225,1/2/2030 15:55,2
41,267936,1/2/2030 16:55,2
42,272374,1/2/2030 17:55,2
43,273529,1/2/2030 18:55,2
44,272414,1/2/2030 19:55,2
45,267721,1/2/2030 20:55,2
46,259088,1/2/2030 21:55,2
47,250402,1/2/2030 22:55,2
48,243987,1/2/2030 23:55,2
49,238528,1/3/2030 0:55,3
50,234583,1/3/2030 1:55,3
51,233756,1/3/2030 2:55,3
52,236064,1/3/2030 3:55,3
53,241974,1/3/2030 4:55,3
54,251047,1/3/2030 5:55,3
55,261747,1/3/2030 6:55,3
56,272845,1/3/2030 7:55,3
57,281548,1/3/2030 8:55,3
58,285750,1/3/2030 9:55,3
59,284413,1/3/2030 10:55,3
60,280653,1/3/2030 11:55,3
61,276117,1/3/2030 12:55,3
62,272198,1/3/2030 13:55,3
63,269438,1/3/2030 14:55,3
64,269896,1/3/2030 15:55,3
65,273750,1/3/2030 16:55,3
66,277624,1/3/2030 17:55,3
67,279691,1/3/2030 18:55,3
68,278966,1/3/2030 19:55,3
69,274332,1/3/2030 20:55,3
70,265772,1/3/2030 21:55,3
71,255704,1/3/2030 22:55,3
72,247386,1/3/2030 23:55,3
73,241037,1/4/2030 0:55,4
74,236236,1/4/2030 1:55,4
75,234038,1/4/2030 2:55,4
76,235738,1/4/2030 3:55,4
77,239903,1/4/2030 4:55,4
78,246365,1/4/2030 5:55,4
79,253788,1/4/2030 6:55,4
80,261238,1/4/2030 7:55,4
81,266503,1/4/2030 8:55,4
82,269530,1/4/2030 9:55,4
83,269369,1/4/2030 10:55,4
84,266336,1/4/2030 11:55,4
85,261953,1/4/2030 12:55,4
86,258242,1/4/2030 13:55,4
87,255343,1/4/2030 14:55,4
88,255270,1/4/2030 15:55,4
89,258208,1/4/2030 16:55,4
90,261948,1/4/2030 17:55,4
91,263986,1/4/2030 18:55,4
92,264326,1/4/2030 19:55,4
93,261177,1/4/2030 20:55,4
94,253857,1/4/2030 21:55,4
95,247071,1/4/2030 22:55,4
96,241950,1/4/2030 23:55,4
97,237684,1/5/2030 0:55,5
98,234388,1/5/2030 1:55,5
99,234037,1/5/2030 2:55,5
100,235737,1/5/2030 3:55,5
101,239902,1/5/2030 4:55,5
102,246363,1/5/2030 5:55,5
103,253786,1/5/2030 6:55,5
104,261235,1/5/2030 7:55,5
105,266499,1/5/2030 8:55,5
106,269524,1/5/2030 9:55,5
107,269364,1/5/2030 10:55,5
108,266331,1/5/2030 11:55,5
109,261948,1/5/2030 12:55,5
110,258237,1/5/2030 13:55,5
111,255340,1/5/2030 14:55,5
112,255268,1/5/2030 15:55,5
113,258206,1/5/2030 16:55,5
114,261946,1/5/2030 17:55,5
115,263983,1/5/2030 18:55,5
116,264323,1/5/2030 19:55,5
117,261173,1/5/2030 20:55,5
118,253855,1/5/2030 21:55,5
119,245622,1/5/2030 22:55,5
120,239244,1/5/2030 23:55,5
121,233728,1/6/2030 0:55,6
122,229019,1/6/2030 1:55,6
123,227240,1/6/2030 2:55,6
124,229344,1/6/2030 3:55,6
125,234369,1/6/2030 4:55,6
126,242272,1/6/2030 5:55,6
127,251172,1/6/2030 6:55,6
128,260781,1/6/2030 7:55,6
129,268512,1/6/2030 8:55,6
130,273266,1/6/2030 9:55,6
131,273506,1/6/2030 10:55,6
132,271531,1/6/2030 11:55,6
133,268507,1/6/2030 12:55,6
134,265573,1/6/2030 13:55,6
135,263865,1/6/2030 14:55,6
136,264789,1/6/2030 15:55,6
137,269326,1/6/2030 16:55,6
138,274546,1/6/2030 17:55,6
139,277917,1/6/2030 18:55,6
140,278031,1/6/2030 19:55,6
141,274163,1/6/2030 20:55,6
142,264995,1/6/2030 21:55,6
143,254894,1/6/2030 22:55,6
144,246793,1/6/2030 23:55,6
145,240866,1/7/2030 0:55,7
146,236390,1/7/2030 1:55,7
147,234893,1/7/2030 2:55,7
148,236956,1/7/2030 3:55,7
149,242280,1/7/2030 4:55,7
150,250823,1/7/2030 5:55,7
151,260776,1/7/2030 6:55,7
152,270643,1/7/2030 7:55,7
153,277978,1/7/2030 8:55,7
154,281494,1/7/2030 9:55,7
155,279885,1/7/2030 10:55,7
156,276426,1/7/2030 11:55,7
157,272959,1/7/2030 12:55,7
158,269577,1/7/2030 13:55,7
159,268414,1/7/2030 14:55,7
160,268976,1/7/2030 15:55,7
161,272937,1/7/2030 16:55,7
162,277421,1/7/2030 17:55,7
163,280365,1/7/2030 18:55,7
164,279588,1/7/2030 19:55,7
165,276002,1/7/2030 20:55,7
166,267844,1/7/2030 21:55,7
167,259033,1/7/2030 22:55,7
168,252560,1/7/2030 23:55,7
169,247482,1/8/2030 0:55,8
170,242894,1/8/2030 1:55,8
171,241716,1/8/2030 2:55,8
172,244214,1/8/2030 3:55,8
173,249841,1/8/2030 4:55,8
174,258930,1/8/2030 5:55,8
175,269956,1/8/2030 6:55,8
176,280579,1/8/2030 7:55,8
177,288213,1/8/2030 8:55,8
178,291239,1/8/2030 9:55,8
179,288954,1/8/2030 10:55,8
180,284653,1/8/2030 11:55,8
181,279994,1/8/2030 12:55,8
182,275722,1/8/2030 13:55,8
183,272970,1/8/2030 14:55,8
184,272705,1/8/2030 15:55,8
185,276522,1/8/2030 16:55,8
186,280897,1/8/2030 17:55,8
187,283134,1/8/2030 18:55,8
188,283435,1/8/2030 19:55,8
189,280393,1/8/2030 20:55,8
190,272199,1/8/2030 21:55,8
191,262909,1/8/2030 22:55,8
192,255405,1/8/2030 23:55,8
193,248092,1/9/2030 0:55,9
194,242372,1/9/2030 1:55,9
195,240229,1/9/2030 2:55,9
196,242082,1/9/2030 3:55,9
197,247090,1/9/2030 4:55,9
198,255452,1/9/2030 5:55,9
199,265581,1/9/2030 6:55,9
200,275701,1/9/2030 7:55,9
201,282705,1/9/2030 8:55,9
202,285110,1/9/2030 9:55,9
203,283186,1/9/2030 10:55,9
204,279120,1/9/2030 11:55,9
205,275035,1/9/2030 12:55,9
206,272201,1/9/2030 13:55,9
207,271284,1/9/2030 14:55,9
208,272074,1/9/2030 15:55,9
209,277005,1/9/2030 16:55,9
210,281697,1/9/2030 17:55,9
211,283642,1/9/2030 18:55,9
212,283898,1/9/2030 19:55,9
213,281108,1/9/2030 20:55,9
214,273569,1/9/2030 21:55,9
215,264970,1/9/2030 22:55,9
216,258351,1/9/2030 23:55,9
217,251021,1/10/2030 0:55,10
218,244816,1/10/2030 1:55,10
219,242432,1/10/2030 2:55,10
220,244334,1/10/2030 3:55,10
221,249370,1/10/2030 4:55,10
222,258269,1/10/2030 5:55,10
223,268342,1/10/2030 6:55,10
224,278865,1/10/2030 7:55,10
225,286664,1/10/2030 8:55,10
226,290814,1/10/2030 9:55,10
227,289907,1/10/2030 10:55,10
228,287246,1/10/2030 11:55,10
229,283499,1/10/2030 12:55,10
230,280397,1/10/2030 13:55,10
231,276935,1/10/2030 14:55,10
232,276221,1/10/2030 15:55,10
233,279273,1/10/2030 16:55,10
234,282630,1/10/2030 17:55,10
235,283269,1/10/2030 18:55,10
236,284096,1/10/2030 19:55,10
237,280955,1/10/2030 20:55,10
238,272827,1/10/2030 21:55,10
239,263437,1/10/2030 22:55,10
240,256405,1/10/2030 23:55,10
241,249132,1/11/2030 0:55,11
242,243404,1/11/2030 1:55,11
243,241220,1/11/2030 2:55,11
244,242714,1/11/2030 3:55,11
245,246307,1/11/2030 4:55,11
246,253064,1/11/2030 5:55,11
247,261787,1/11/2030 6:55,11
248,271197,1/11/2030 7:55,11
249,278575,1/11/2030 8:55,11
250,282462,1/11/2030 9:55,11
251,281034,1/11/2030 10:55,11
252,277230,1/11/2030 11:55,11
253,272763,1/11/2030 12:55,11
254,269297,1/11/2030 13:55,11
255,267475,1/11/2030 14:55,11
256,268478,1/11/2030 15:55,11
257,272398,1/11/2030 16:55,11
258,276665,1/11/2030 17:55,11
259,279053,1/11/2030 18:55,11
260,279974,1/11/2030 19:55,11
261,277388,1/11/2030 20:55,11
262,269664,1/11/2030 21:55,11
263,260851,1/11/2030 22:55,11
264,254206,1/11/2030 23:55,11
265,247920,1/12/2030 0:55,12
266,242395,1/12/2030 1:55,12
267,239992,1/12/2030 2:55,12
268,241237,1/12/2030 3:55,12
269,244771,1/12/2030 4:55,12
270,250374,1/12/2030 5:55,12
271,257756,1/12/2030 6:55,12
272,266358,1/12/2030 7:55,12
273,273264,1/12/2030 8:55,12
274,277527,1/12/2030 9:55,12
275,277889,1/12/2030 10:55,12
276,274784,1/12/2030 11:55,12
277,270094,1/12/2030 12:55,12
278,265460,1/12/2030 13:55,12
279,261887,1/12/2030 14:55,12
280,260991,1/12/2030 15:55,12
281,263418,1/12/2030 16:55,12
282,266205,1/12/2030 17:55,12
283,268058,1/12/2030 18:55,12
284,269016,1/12/2030 19:55,12
285,267693,1/12/2030 20:55,12
286,262388,1/12/2030 21:55,12
287,256675,1/12/2030 22:55,12
288,252532,1/12/2030 23:55,12
289,248159,1/13/2030 0:55,13
290,243087,1/13/2030 1:55,13
291,241504,1/13/2030 2:55,13
292,243846,1/13/2030 3:55,13
293,248037,1/13/2030 4:55,13
294,254837,1/13/2030 5:55,13
295,263628,1/13/2030 6:55,13
296,272886,1/13/2030 7:55,13
297,280040,1/13/2030 8:55,13
298,284546,1/13/2030 9:55,13
299,284947,1/13/2030 10:55,13
300,283083,1/13/2030 11:55,13
301,279722,1/13/2030 12:55,13
302,276288,1/13/2030 13:55,13
303,272911,1/13/2030 14:55,13
304,271230,1/13/2030 15:55,13
305,272298,1/13/2030 16:55,13
306,273928,1/13/2030 17:55,13
307,274500,1/13/2030 18:55,13
308,275188,1/13/2030 19:55,13
309,273579,1/13/2030 20:55,13
310,268648,1/13/2030 21:55,13
311,262418,1/13/2030 22:55,13
312,257703,1/13/2030 23:55,13
313,251988,1/14/2030 0:55,14
314,247153,1/14/2030 1:55,14
315,245609,1/14/2030 2:55,14
316,248312,1/14/2030 3:55,14
317,251753,1/14/2030 4:55,14
318,256935,1/14/2030 5:55,14
319,263914,1/14/2030 6:55,14
320,270051,1/14/2030 7:55,14
321,274109,1/14/2030 8:55,14
322,277204,1/14/2030 9:55,14
323,276630,1/14/2030 10:55,14
324,273379,1/14/2030 11:55,14
325,269143,1/14/2030 12:55,14
326,265350,1/14/2030 13:55,14
327,261747,1/14/2030 14:55,14
328,259305,1/14/2030 15:55,14
329,260388,1/14/2030 16:55,14
330,263112,1/14/2030 17:55,14
331,265243,1/14/2030 18:55,14
332,266601,1/14/2030 19:55,14
333,265138,1/14/2030 20:55,14
334,259323,1/14/2030 21:55,14
335,252079,1/14/2030 22:55,14
336,246319,1/14/2030 23:55,14
337,240886,1/15/2030 0:55,15
338,236724,1/15/2030 1:55,15
339,235652,1/15/2030 2:55,15
340,237997,1/15/2030 3:55,15
341,242833,1/15/2030 4:55,15
342,250243,1/15/2030 5:55,15
343,259537,1/15/2030 6:55,15
344,268711,1/15/2030 7:55,15
345,275427,1/15/2030 8:55,15
346,279636,1/15/2030 9:55,15
347,279691,1/15/2030 10:55,15
348,276745,1/15/2030 11:55,15
349,272698,1/15/2030 12:55,15
350,269284,1/15/2030 13:55,15
351,266176,1/15/2030 14:55,15
352,264758,1/15/2030 15:55,15
353,266620,1/15/2030 16:55,15
354,269318,1/15/2030 17:55,15
355,270806,1/15/2030 18:55,15
356,271525,1/15/2030 19:55,15
357,269421,1/15/2030 20:55,15
358,263623,1/15/2030 21:55,15
359,256401,1/15/2030 22:55,15
360,250674,1/15/2030 23:55,15
361,245159,1/16/2030 0:55,16
362,240634,1/16/2030 1:55,16
363,238679,1/16/2030 2:55,16
364,239838,1/16/2030 3:55,16
365,244153,1/16/2030 4:55,16
366,251950,1/16/2030 5:55,16
367,261284,1/16/2030 6:55,16
368,270923,1/16/2030 7:55,16
369,279739,1/16/2030 8:55,16
370,285543,1/16/2030 9:55,16
371,284021,1/16/2030 10:55,16
372,279676,1/16/2030 11:55,16
373,274431,1/16/2030 12:55,16
374,270058,1/16/2030 13:55,16
375,266500,1/16/2030 14:55,16
376,266336,1/16/2030 15:55,16
377,269241,1/16/2030 16:55,16
378,273099,1/16/2030 17:55,16
379,275599,1/16/2030 18:55,16
380,276561,1/16/2030 19:55,16
381,274392,1/16/2030 20:55,16
382,268448,1/16/2030 21:55,16
383,261256,1/16/2030 22:55,16
384,254722,1/16/2030 23:55,16
385,249206,1/17/2030 0:55,17
386,244980,1/17/2030 1:55,17
387,243058,1/17/2030 2:55,17
388,244485,1/17/2030 3:55,17
389,248974,1/17/2030 4:55,17
390,255923,1/17/2030 5:55,17
391,264204,1/17/2030 6:55,17
392,273059,1/17/2030 7:55,17
393,280149,1/17/2030 8:55,17
394,284417,1/17/2030 9:55,17
395,284483,1/17/2030 10:55,17
396,281935,1/17/2030 11:55,17
397,278799,1/17/2030 12:55,17
398,275754,1/17/2030 13:55,17
399,272817,1/17/2030 14:55,17
400,272071,1/17/2030 15:55,17
401,274297,1/17/2030 16:55,17
402,276646,1/17/2030 17:55,17
403,276997,1/17/2030 18:55,17
404,276444,1/17/2030 19:55,17
405,273289,1/17/2030 20:55,17
406,267093,1/17/2030 21:55,17
407,259844,1/17/2030 22:55,17
408,254342,1/17/2030 23:55,17
409,247791,1/18/2030 0:55,18
410,241032,1/18/2030 1:55,18
411,236238,1/18/2030 2:55,18
412,235552,1/18/2030 3:55,18
413,237937,1/18/2030 4:55,18
414,244111,1/18/2030 5:55,18
415,252315,1/18/2030 6:55,18
416,260291,1/18/2030 7:55,18
417,267470,1/18/2030 8:55,18
418,272501,1/18/2030 9:55,18
419,273041,1/18/2030 10:55,18
420,271061,1/18/2030 11:55,18
421,268808,1/18/2030 12:55,18
422,266904,1/18/2030 13:55,18
423,265005,1/18/2030 14:55,18
424,264699,1/18/2030 15:55,18
425,268276,1/18/2030 16:55,18
426,272420,1/18/2030 17:55,18
427,274517,1/18/2030 18:55,18
428,275106,1/18/2030 19:55,18
429,273268,1/18/2030 20:55,18
430,267440,1/18/2030 21:55,18
431,259946,1/18/2030 22:55,18
432,254484,1/18/2030 23:55,18
433,249335,1/19/2030 0:55,19
434,244161,1/19/2030 1:55,19
435,240632,1/19/2030 2:55,19
436,241239,1/19/2030 3:55,19
437,244511,1/19/2030 4:55,19
438,250188,1/19/2030 5:55,19
439,257540,1/19/2030 6:55,19
440,265666,1/19/2030 7:55,19
441,271926,1/19/2030 8:55,19
442,275588,1/19/2030 9:55,19
443,275694,1/19/2030 10:55,19
444,272964,1/19/2030 11:55,19
445,269199,1/19/2030 12:55,19
446,265310,1/19/2030 13:55,19
447,261774,1/19/2030 14:55,19
448,260290,1/19/2030 15:55,19
449,261549,1/19/2030 16:55,19
450,264011,1/19/2030 17:55,19
451,266295,1/19/2030 18:55,19
452,267861,1/19/2030 19:55,19
453,266439,1/19/2030 20:55,19
454,261317,1/19/2030 21:55,19
455,254758,1/19/2030 22:55,19
456,249975,1/19/2030 23:55,19
457,244750,1/20/2030 0:55,20
458,239612,1/20/2030 1:55,20
459,237453,1/20/2030 2:55,20
460,239193,1/20/2030 3:55,20
461,244346,1/20/2030 4:55,20
462,252783,1/20/2030 5:55,20
463,262037,1/20/2030 6:55,20
464,271415,1/20/2030 7:55,20
465,279961,1/20/2030 8:55,20
466,284169,1/20/2030 9:55,20
467,283408,1/20/2030 10:55,20
468,280970,1/20/2030 11:55,20
469,277957,1/20/2030 12:55,20
470,274469,1/20/2030 13:55,20
471,272224,1/20/2030 14:55,20
472,272219,1/20/2030 15:55,20
473,275212,1/20/2030 16:55,20
474,278372,1/20/2030 17:55,20
475,279311,1/20/2030 18:55,20
476,278711,1/20/2030 19:55,20
477,275458,1/20/2030 20:55,20
478,268462,1/20/2030 21:55,20
479,260737,1/20/2030 22:55,20
480,255426,1/20/2030 23:55,20
481,249790,1/21/2030 0:55,21
482,244374,1/21/2030 1:55,21
483,241881,1/21/2030 2:55,21
484,243305,1/21/2030 3:55,21
485,246755,1/21/2030 4:55,21
486,252669,1/21/2030 5:55,21
487,259088,1/21/2030 6:55,21
488,265345,1/21/2030 7:55,21
489,268338,1/21/2030 8:55,21
490,268866,1/21/2030 9:55,21
491,266568,1/21/2030 10:55,21
492,262676,1/21/2030 11:55,21
493,259126,1/21/2030 12:55,21
494,258264,1/21/2030 13:55,21
495,257520,1/21/2030 14:55,21
496,258539,1/21/2030 15:55,21
497,263046,1/21/2030 16:55,21
498,267489,1/21/2030 17:55,21
499,269342,1/21/2030 18:55,21
500,270839,1/21/2030 19:55,21
501,268407,1/21/2030 20:55,21
502,261842,1/21/2030 21:55,21
503,254219,1/21/2030 22:55,21
504,248287,1/21/2030 23:55,21
505,241937,1/22/2030 0:55,22
506,236795,1/22/2030 1:55,22
507,234348,1/22/2030 2:55,22
508,235834,1/22/2030 3:55,22
509,238914,1/22/2030 4:55,22
510,245930,1/22/2030 5:55,22
