"","Day","load","dateTime","Timepoint"
"1",1,201660,2030-01-01 00:55:00,1
"2",1,187385,2030-01-01 01:55:00,2
"3",1,182201,2030-01-01 02:55:00,3
"4",1,180948,2030-01-01 03:55:00,4
"5",1,188605,2030-01-01 04:55:00,5
"6",1,204763,2030-01-01 05:55:00,6
"7",1,232038,2030-01-01 06:55:00,7
"8",1,260951,2030-01-01 07:55:00,8
"9",1,284519,2030-01-01 08:55:00,9
"10",1,297285,2030-01-01 09:55:00,10
"11",1,304241,2030-01-01 10:55:00,11
"12",1,297721,2030-01-01 11:55:00,12
"13",1,272655,2030-01-01 12:55:00,13
"14",1,262893,2030-01-01 13:55:00,14
"15",1,258600,2030-01-01 14:55:00,15
"16",1,253927,2030-01-01 15:55:00,16
"17",1,252498,2030-01-01 16:55:00,17
"18",1,249452,2030-01-01 17:55:00,18
"19",1,252997,2030-01-01 18:55:00,19
"20",1,252474,2030-01-01 19:55:00,20
"21",1,245648,2030-01-01 20:55:00,21
"22",1,234992,2030-01-01 21:55:00,22
"23",1,216211,2030-01-01 22:55:00,23
"24",1,200678,2030-01-01 23:55:00,24
"25",2,182467,2030-01-02 00:55:00,25
"26",2,172842,2030-01-02 01:55:00,26
"27",2,169771,2030-01-02 02:55:00,27
"28",2,170412,2030-01-02 03:55:00,28
"29",2,177218,2030-01-02 04:55:00,29
"30",2,193016,2030-01-02 05:55:00,30
"31",2,214901,2030-01-02 06:55:00,31
"32",2,246402,2030-01-02 07:55:00,32
"33",2,270767,2030-01-02 08:55:00,33
"34",2,283788,2030-01-02 09:55:00,34
"35",2,286905,2030-01-02 10:55:00,35
"36",2,279481,2030-01-02 11:55:00,36
"37",2,270871,2030-01-02 12:55:00,37
"38",2,259894,2030-01-02 13:55:00,38
"39",2,258255,2030-01-02 14:55:00,39
"40",2,256672,2030-01-02 15:55:00,40
"41",2,259969,2030-01-02 16:55:00,41
"42",2,262801,2030-01-02 17:55:00,42
"43",2,271931,2030-01-02 18:55:00,43
"44",2,271602,2030-01-02 19:55:00,44
"45",2,262648,2030-01-02 20:55:00,45
"46",2,248199,2030-01-02 21:55:00,46
"47",2,230736,2030-01-02 22:55:00,47
"48",2,210953,2030-01-02 23:55:00,48
"49",3,192214,2030-01-03 00:55:00,49
"50",3,181886,2030-01-03 01:55:00,50
"51",3,178493,2030-01-03 02:55:00,51
