"","Day","load","dateTime","Timepoint"
"1",1,235127,2030-01-01 00:55:00,1
"2",1,229550,2030-01-01 01:55:00,2
"3",1,230082,2030-01-01 02:55:00,3
"4",1,232020,2030-01-01 03:55:00,4
"5",1,238027,2030-01-01 04:55:00,5
"6",1,247285,2030-01-01 05:55:00,6
"7",1,257815,2030-01-01 06:55:00,7
"8",1,268017,2030-01-01 07:55:00,8
"9",1,275914,2030-01-01 08:55:00,9
"10",1,280401,2030-01-01 09:55:00,10
"11",1,280477,2030-01-01 10:55:00,11
"12",1,278002,2030-01-01 11:55:00,12
"13",1,273817,2030-01-01 12:55:00,13
"14",1,269218,2030-01-01 13:55:00,14
"15",1,265245,2030-01-01 14:55:00,15
"16",1,264031,2030-01-01 15:55:00,16
"17",1,265618,2030-01-01 16:55:00,17
"18",1,267658,2030-01-01 17:55:00,18
"19",1,267537,2030-01-01 18:55:00,19
"20",1,265067,2030-01-01 19:55:00,20
"21",1,260050,2030-01-01 20:55:00,21
"22",1,251817,2030-01-01 21:55:00,22
"23",1,242680,2030-01-01 22:55:00,23
"24",1,235006,2030-01-01 23:55:00,24
"25",2,229272,2030-01-02 00:55:00,25
"26",2,224946,2030-01-02 01:55:00,26
"27",2,223417,2030-01-02 02:55:00,27
"28",2,225956,2030-01-02 03:55:00,28
"29",2,232692,2030-01-02 04:55:00,29
"30",2,242825,2030-01-02 05:55:00,30
"31",2,254062,2030-01-02 06:55:00,31
"32",2,264743,2030-01-02 07:55:00,32
"33",2,272893,2030-01-02 08:55:00,33
"34",2,276966,2030-01-02 09:55:00,34
"35",2,276746,2030-01-02 10:55:00,35
"36",2,274054,2030-01-02 11:55:00,36
"37",2,270753,2030-01-02 12:55:00,37
"38",2,268670,2030-01-02 13:55:00,38
"39",2,267907,2030-01-02 14:55:00,39
"40",2,269354,2030-01-02 15:55:00,40
"41",2,273850,2030-01-02 16:55:00,41
"42",2,277670,2030-01-02 17:55:00,42
"43",2,277567,2030-01-02 18:55:00,43
"44",2,275318,2030-01-02 19:55:00,44
"45",2,270572,2030-01-02 20:55:00,45
"46",2,262050,2030-01-02 21:55:00,46
"47",2,253031,2030-01-02 22:55:00,47
"48",2,245915,2030-01-02 23:55:00,48
"49",3,239628,2030-01-03 00:55:00,49
"50",3,234818,2030-01-03 01:55:00,50
"51",3,233314,2030-01-03 02:55:00,51
"52",3,235671,2030-01-03 03:55:00,52
"53",3,242402,2030-01-03 04:55:00,53
"54",3,253074,2030-01-03 05:55:00,54
"55",3,264755,2030-01-03 06:55:00,55
"56",3,275670,2030-01-03 07:55:00,56
"57",3,283755,2030-01-03 08:55:00,57
"58",3,287935,2030-01-03 09:55:00,58
"59",3,287410,2030-01-03 10:55:00,59
"60",3,284339,2030-01-03 11:55:00,60
"61",3,280636,2030-01-03 12:55:00,61
"62",3,277382,2030-01-03 13:55:00,62
"63",3,275126,2030-01-03 14:55:00,63
"64",3,275515,2030-01-03 15:55:00,64
"65",3,278869,2030-01-03 16:55:00,65
"66",3,281947,2030-01-03 17:55:00,66
"67",3,282802,2030-01-03 18:55:00,67
"68",3,281042,2030-01-03 19:55:00,68
"69",3,276442,2030-01-03 20:55:00,69
"70",3,268297,2030-01-03 21:55:00,70
"71",3,258259,2030-01-03 22:55:00,71
"72",3,249478,2030-01-03 23:55:00,72
"73",4,242250,2030-01-04 00:55:00,73
"74",4,236378,2030-01-04 01:55:00,74
"75",4,233412,2030-01-04 02:55:00,75
"76",4,235120,2030-01-04 03:55:00,76
"77",4,239666,2030-01-04 04:55:00,77
"78",4,246727,2030-01-04 05:55:00,78
"79",4,255722,2030-01-04 06:55:00,79
"80",4,264758,2030-01-04 07:55:00,80
"81",4,270917,2030-01-04 08:55:00,81
"82",4,274356,2030-01-04 09:55:00,82
"83",4,274841,2030-01-04 10:55:00,83
"84",4,272489,2030-01-04 11:55:00,84
"85",4,268449,2030-01-04 12:55:00,85
"86",4,264779,2030-01-04 13:55:00,86
"87",4,261877,2030-01-04 14:55:00,87
"88",4,261316,2030-01-04 15:55:00,88
"89",4,263613,2030-01-04 16:55:00,89
"90",4,266482,2030-01-04 17:55:00,90
"91",4,267663,2030-01-04 18:55:00,91
"92",4,267216,2030-01-04 19:55:00,92
"93",4,263822,2030-01-04 20:55:00,93
"94",4,256425,2030-01-04 21:55:00,94
"95",4,249053,2030-01-04 22:55:00,95
"96",4,243005,2030-01-04 23:55:00,96
"97",5,237970,2030-01-05 00:55:00,97
"98",5,234117,2030-01-05 01:55:00,98
"99",5,233412,2030-01-05 02:55:00,99
"100",5,235120,2030-01-05 03:55:00,100
"101",5,239666,2030-01-05 04:55:00,101
"102",5,246727,2030-01-05 05:55:00,102
"103",5,255722,2030-01-05 06:55:00,103
"104",5,264758,2030-01-05 07:55:00,104
"105",5,270917,2030-01-05 08:55:00,105
"106",5,274356,2030-01-05 09:55:00,106
"107",5,274841,2030-01-05 10:55:00,107
"108",5,272489,2030-01-05 11:55:00,108
"109",5,268449,2030-01-05 12:55:00,109
"110",5,264779,2030-01-05 13:55:00,110
"111",5,261877,2030-01-05 14:55:00,111
"112",5,261316,2030-01-05 15:55:00,112
"113",5,263613,2030-01-05 16:55:00,113
"114",5,266482,2030-01-05 17:55:00,114
"115",5,267663,2030-01-05 18:55:00,115
"116",5,267216,2030-01-05 19:55:00,116
"117",5,263822,2030-01-05 20:55:00,117
"118",5,256425,2030-01-05 21:55:00,118
"119",5,247692,2030-01-05 22:55:00,119
"120",5,240271,2030-01-05 23:55:00,120
"121",6,233763,2030-01-06 00:55:00,121
"122",6,228386,2030-01-06 01:55:00,122
"123",6,226174,2030-01-06 02:55:00,123
"124",6,228393,2030-01-06 03:55:00,124
"125",6,234238,2030-01-06 04:55:00,125
"126",6,243730,2030-01-06 05:55:00,126
"127",6,254777,2030-01-06 06:55:00,127
"128",6,265606,2030-01-06 07:55:00,128
"129",6,273829,2030-01-06 08:55:00,129
"130",6,278520,2030-01-06 09:55:00,130
"131",6,279166,2030-01-06 10:55:00,131
"132",6,277451,2030-01-06 11:55:00,132
"133",6,274660,2030-01-06 12:55:00,133
"134",6,271879,2030-01-06 13:55:00,134
"135",6,270197,2030-01-06 14:55:00,135
"136",6,270940,2030-01-06 15:55:00,136
"137",6,274969,2030-01-06 16:55:00,137
"138",6,279259,2030-01-06 17:55:00,138
