"","Day","load","dateTime","Timepoint"
"1",1,236638,2030-01-01 00:55:00,1
"2",1,228854,2030-01-01 01:55:00,2
"3",1,226137,2030-01-01 02:55:00,3
"4",1,226190,2030-01-01 03:55:00,4
"5",1,231561,2030-01-01 04:55:00,5
"6",1,243313,2030-01-01 05:55:00,6
"7",1,260851,2030-01-01 06:55:00,7
"8",1,274477,2030-01-01 07:55:00,8
"9",1,281017,2030-01-01 08:55:00,9
"10",1,286747,2030-01-01 09:55:00,10
"11",1,289253,2030-01-01 10:55:00,11
"12",1,286833,2030-01-01 11:55:00,12
"13",1,279869,2030-01-01 12:55:00,13
"14",1,276533,2030-01-01 13:55:00,14
"15",1,274367,2030-01-01 14:55:00,15
"16",1,272894,2030-01-01 15:55:00,16
"17",1,270923,2030-01-01 16:55:00,17
"18",1,265762,2030-01-01 17:55:00,18
"19",1,268611,2030-01-01 18:55:00,19
"20",1,268395,2030-01-01 19:55:00,20
"21",1,262925,2030-01-01 20:55:00,21
"22",1,254126,2030-01-01 21:55:00,22
"23",1,243079,2030-01-01 22:55:00,23
"24",1,235925,2030-01-01 23:55:00,24
"25",2,225672,2030-01-02 00:55:00,25
"26",2,220026,2030-01-02 01:55:00,26
"27",2,219512,2030-01-02 02:55:00,27
"28",2,220162,2030-01-02 03:55:00,28
"29",2,225351,2030-01-02 04:55:00,29
"30",2,237390,2030-01-02 05:55:00,30
"31",2,253061,2030-01-02 06:55:00,31
"32",2,270152,2030-01-02 07:55:00,32
"33",2,279249,2030-01-02 08:55:00,33
"34",2,283467,2030-01-02 09:55:00,34
"35",2,284935,2030-01-02 10:55:00,35
"36",2,282771,2030-01-02 11:55:00,36
"37",2,280150,2030-01-02 12:55:00,37
"38",2,277526,2030-01-02 13:55:00,38
"39",2,276753,2030-01-02 14:55:00,39
"40",2,276381,2030-01-02 15:55:00,40
"41",2,275871,2030-01-02 16:55:00,41
"42",2,273525,2030-01-02 17:55:00,42
"43",2,275410,2030-01-02 18:55:00,43
"44",2,275202,2030-01-02 19:55:00,44
"45",2,271235,2030-01-02 20:55:00,45
"46",2,262091,2030-01-02 21:55:00,46
"47",2,251666,2030-01-02 22:55:00,47
"48",2,242623,2030-01-02 23:55:00,48
"49",3,233214,2030-01-03 00:55:00,49
"50",3,227235,2030-01-03 01:55:00,50
"51",3,225897,2030-01-03 02:55:00,51
"52",3,226823,2030-01-03 03:55:00,52
"53",3,231554,2030-01-03 04:55:00,53
"54",3,243513,2030-01-03 05:55:00,54
"55",3,261372,2030-01-03 06:55:00,55
"56",3,276530,2030-01-03 07:55:00,56
"57",3,284173,2030-01-03 08:55:00,57
"58",3,287898,2030-01-03 09:55:00,58
"59",3,290528,2030-01-03 10:55:00,59
"60",3,288635,2030-01-03 11:55:00,60
"61",3,285345,2030-01-03 12:55:00,61
"62",3,279498,2030-01-03 13:55:00,62
"63",3,276790,2030-01-03 14:55:00,63
"64",3,276397,2030-01-03 15:55:00,64
"65",3,276987,2030-01-03 16:55:00,65
"66",3,276679,2030-01-03 17:55:00,66
"67",3,278034,2030-01-03 18:55:00,67
"68",3,278437,2030-01-03 19:55:00,68
"69",3,274874,2030-01-03 20:55:00,69
"70",3,267790,2030-01-03 21:55:00,70
"71",3,259035,2030-01-03 22:55:00,71
"72",3,249084,2030-01-03 23:55:00,72
"73",4,238771,2030-01-04 00:55:00,73
"74",4,233440,2030-01-04 01:55:00,74
"75",4,231657,2030-01-04 02:55:00,75
"76",4,230777,2030-01-04 03:55:00,76
"77",4,235901,2030-01-04 04:55:00,77
"78",4,245207,2030-01-04 05:55:00,78
"79",4,261243,2030-01-04 06:55:00,79
"80",4,275925,2030-01-04 07:55:00,80
"81",4,279870,2030-01-04 08:55:00,81
"82",4,284440,2030-01-04 09:55:00,82
"83",4,286359,2030-01-04 10:55:00,83
"84",4,283718,2030-01-04 11:55:00,84
"85",4,281206,2030-01-04 12:55:00,85
"86",4,276286,2030-01-04 13:55:00,86
"87",4,275195,2030-01-04 14:55:00,87
"88",4,274700,2030-01-04 15:55:00,88
"89",4,274435,2030-01-04 16:55:00,89
"90",4,271840,2030-01-04 17:55:00,90
"91",4,272620,2030-01-04 18:55:00,91
"92",4,271715,2030-01-04 19:55:00,92
"93",4,269591,2030-01-04 20:55:00,93
"94",4,265136,2030-01-04 21:55:00,94
"95",4,261404,2030-01-04 22:55:00,95
"96",4,258999,2030-01-04 23:55:00,96
"97",5,235877,2030-01-05 00:55:00,97
"98",5,231452,2030-01-05 01:55:00,98
"99",5,232280,2030-01-05 02:55:00,99
"100",5,233725,2030-01-05 03:55:00,100
"101",5,236869,2030-01-05 04:55:00,101
"102",5,246409,2030-01-05 05:55:00,102
"103",5,260126,2030-01-05 06:55:00,103
"104",5,272104,2030-01-05 07:55:00,104
"105",5,277526,2030-01-05 08:55:00,105
"106",5,280876,2030-01-05 09:55:00,106
"107",5,283911,2030-01-05 10:55:00,107
"108",5,282881,2030-01-05 11:55:00,108
"109",5,279443,2030-01-05 12:55:00,109
"110",5,274902,2030-01-05 13:55:00,110
"111",5,273712,2030-01-05 14:55:00,111
"112",5,271402,2030-01-05 15:55:00,112
"113",5,269744,2030-01-05 16:55:00,113
"114",5,266182,2030-01-05 17:55:00,114
