"","Timepoint","load","dateTime","Day","load_mod_D0_M0_energyPeak","load_mod_D0.25_M0.25_energyPeak","load_mod_D0.5_M0_energyPeak","load_mod_D0_M0_energyOnly","load_mod_D0.25_M0.25_energyOnly","load_mod_D0.5_M0_energyOnly"
"1",1,234669,2030-01-01 00:55:00,1,233966,236638,257221,235127,218368,201660
"2",2,230127,2030-01-01 01:55:00,1,228388,228854,249658,229550,209122,187385
"3",3,230589,2030-01-01 02:55:00,1,228920,226137,246765,230082,206049,182201
"4",4,232488,2030-01-01 03:55:00,1,230858,226190,246016,232020,206114,180948
"5",5,237568,2030-01-01 04:55:00,1,236867,231561,250213,238027,212188,188605
"6",6,245111,2030-01-01 05:55:00,1,246131,243313,258942,247285,226523,204763
"7",7,254385,2030-01-01 06:55:00,1,256674,260851,273062,257815,248338,232038
"8",8,264191,2030-01-01 07:55:00,1,266919,274477,276562,268017,268814,260951
"9",9,272083,2030-01-01 08:55:00,1,274968,281017,275284,275914,283724,284519
"10",10,277079,2030-01-01 09:55:00,1,279704,286747,277676,280401,295170,297285
"11",11,276365,2030-01-01 10:55:00,1,279788,289253,279275,280477,299587,304241
"12",12,272813,2030-01-01 11:55:00,1,277148,286833,277798,278002,295336,297721
"13",13,267932,2030-01-01 12:55:00,1,272807,279869,275082,273817,281189,272655
"14",14,262833,2030-01-01 13:55:00,1,268134,276533,276430,269218,273092,262893
"15",15,258380,2030-01-01 14:55:00,1,264128,274367,276728,265245,268575,258600
"16",16,257096,2030-01-01 15:55:00,1,262908,272894,277152,264031,265970,253927
"17",17,258851,2030-01-01 16:55:00,1,264503,270923,277134,265618,262616,252498
"18",18,261378,2030-01-01 17:55:00,1,266558,265762,277267,267658,255077,249452
"19",19,262257,2030-01-01 18:55:00,1,266436,268611,277027,267537,259056,252997
"20",20,260974,2030-01-01 19:55:00,1,263949,268395,277148,265067,258776,252474
"21",21,256522,2030-01-01 20:55:00,1,258914,262925,277238,260050,251162,245648
"22",22,248741,2030-01-01 21:55:00,1,250667,254126,274167,251817,239628,234992
"23",23,240388,2030-01-01 22:55:00,1,241522,243079,265078,242680,226239,216211
"24",24,233841,2030-01-01 23:55:00,1,233845,235925,256592,235006,217484,200678
"25",25,229061,2030-01-02 00:55:00,2,228110,225672,246905,229272,205527,182467
"26",26,225498,2030-01-02 01:55:00,2,223784,220026,240304,224946,199292,172842
"27",27,224343,2030-01-02 02:55:00,2,222254,219512,237835,223417,198721,169771
"28",28,226650,2030-01-02 03:55:00,2,224794,220162,238350,225956,199440,170412
"29",29,232470,2030-01-02 04:55:00,2,231531,225351,243464,232692,205171,177218
"30",30,240934,2030-01-02 05:55:00,2,241667,237390,252414,242825,219334,193016
"31",31,250901,2030-01-02 06:55:00,2,252914,253061,264303,254062,238284,214901
"32",32,261216,2030-01-02 07:55:00,2,263624,270152,277296,264743,261335,246402
"33",33,270246,2030-01-02 08:55:00,2,271862,279249,275315,272893,279657,270767
"34",34,275394,2030-01-02 09:55:00,2,276063,283467,275165,276966,288694,283788
"35",35,274388,2030-01-02 10:55:00,2,275833,284935,275461,276746,291696,286905
"36",36,270714,2030-01-02 11:55:00,2,273051,282771,275160,274054,287456,279481
"37",37,266412,2030-01-02 12:55:00,2,269687,280150,275322,270753,281838,270871
"38",38,263196,2030-01-02 13:55:00,2,267580,277526,276669,268670,275467,259894
"39",39,261746,2030-01-02 14:55:00,2,266809,276753,276736,267907,273602,258255
"40",40,263225,2030-01-02 15:55:00,2,268270,276381,276805,269354,272816,256672
"41",41,267936,2030-01-02 16:55:00,2,272842,275871,276652,273850,271827,259969
"42",42,272374,2030-01-02 17:55:00,2,276799,273525,276376,277670,267039,262801
"43",43,273529,2030-01-02 18:55:00,2,276692,275410,275093,277567,270845,271931
"44",44,272414,2030-01-02 19:55:00,2,274351,275202,275149,275318,270334,271602
"45",45,267721,2030-01-02 20:55:00,2,269505,271235,276441,270572,263132,262648
"46",46,259088,2030-01-02 21:55:00,2,260920,262091,277359,262050,250007,248199
"47",47,250402,2030-01-02 22:55:00,2,251882,251666,272576,253031,236607,230736
"48",48,243987,2030-01-02 23:55:00,2,244759,242623,262315,245915,225691,210953
"49",49,238528,2030-01-03 00:55:00,3,238468,233214,252159,239628,214141,192214
"50",50,234583,2030-01-03 01:55:00,3,233657,227235,246574,234818,207287,181886
"51",51,233756,2030-01-03 02:55:00,3,232153,225897,244378,233314,205778,178493
"52",52,236064,2030-01-03 03:55:00,3,234510,226823,244324,235671,206825,178414
"53",53,241974,2030-01-03 04:55:00,3,241244,231554,248289,242402,212177,184504
"54",54,251047,2030-01-03 05:55:00,3,251925,243513,257492,253074,226764,202249
"55",55,261747,2030-01-03 06:55:00,3,263636,261372,271402,264755,249038,228339
"56",56,272845,2030-01-03 07:55:00,3,274715,276530,276488,275670,273129,261339
"57",57,281548,2030-01-03 08:55:00,3,283413,284173,275372,283755,290108,286469
"58",58,285750,2030-01-03 09:55:00,3,288276,287898,277071,287935,297175,295225
"59",59,284413,2030-01-03 10:55:00,3,287657,290528,279487,287410,301605,304731
"60",60,280653,2030-01-03 11:55:00,3,284072,288635,277974,284339,298507,298290
"61",61,276117,2030-01-03 12:55:00,3,279958,285345,275745,280636,292452,289941
"62",62,272198,2030-01-03 13:55:00,3,276498,279498,275421,277382,280197,270035
"63",63,269438,2030-01-03 14:55:00,3,274151,276790,276494,275126,273701,261319
"64",64,269896,2030-01-03 15:55:00,3,274555,276397,276772,275515,272861,258831
"65",65,273750,2030-01-03 16:55:00,3,278063,276987,276152,278869,274416,264658
"66",66,277624,2030-01-03 17:55:00,3,281391,276679,275168,281947,273417,274875
"67",67,279691,2030-01-03 18:55:00,3,282338,278034,275228,282802,276813,286035
"68",68,278966,2030-01-03 19:55:00,3,280399,278437,275747,281042,277656,288551
"69",69,274332,2030-01-03 20:55:00,3,275515,274874,275254,276442,269650,277656
"70",70,265772,2030-01-03 21:55:00,3,267202,267790,276057,268297,257900,265115
"71",71,255704,2030-01-03 22:55:00,3,257119,259035,277209,258259,245990,245340
"72",72,247386,2030-01-03 23:55:00,3,248325,249084,269752,249478,233477,225186
"73",73,241037,2030-01-04 00:55:00,4,241092,238771,258591,242250,221002,204132
"74",74,236236,2030-01-04 01:55:00,4,235218,233440,252288,236378,214409,192644
"75",75,234038,2030-01-04 02:55:00,4,232251,231657,249838,233412,212305,187849
"76",76,235738,2030-01-04 03:55:00,4,233959,230777,249240,235120,211299,186481
"77",77,239903,2030-01-04 04:55:00,4,238506,235901,251012,239666,217451,190137
"78",78,246365,2030-01-04 05:55:00,4,245572,245207,258930,246727,228773,204736
"79",79,253788,2030-01-04 06:55:00,4,254577,261243,273287,255722,248878,232584
"80",80,261238,2030-01-04 07:55:00,4,263638,275925,276588,264758,271953,260914
"81",81,266503,2030-01-04 08:55:00,4,269854,279870,275185,270917,281138,275019
"82",82,269530,2030-01-04 09:55:00,4,273361,284440,275466,274356,290661,286885
"83",83,269369,2030-01-04 10:55:00,4,273858,286359,275872,274841,294478,290355
"84",84,266336,2030-01-04 11:55:00,4,271450,283718,275017,272489,289210,282010
"85",85,261953,2030-01-04 12:55:00,4,267356,281206,275118,268449,284130,273408
"86",86,258242,2030-01-04 13:55:00,4,263660,276286,276708,264779,272680,259080
"87",87,255343,2030-01-04 14:55:00,4,260746,275195,276900,261877,270323,256120
"88",88,255270,2030-01-04 15:55:00,4,260183,274700,276987,261316,269288,254791
"89",89,258208,2030-01-04 16:55:00,4,262488,274435,276927,263613,268702,255688
"90",90,261948,2030-01-04 17:55:00,4,265373,271840,276235,266482,264119,263831
"91",91,263986,2030-01-04 18:55:00,4,266562,272620,276337,267663,265462,263121
"92",92,264326,2030-01-04 19:55:00,4,266113,271715,276411,267216,263891,262898
"93",93,261177,2030-01-04 20:55:00,4,262698,269591,276487,263822,260465,261201
"94",94,253857,2030-01-04 21:55:00,4,255281,265136,276825,256425,254187,257503
"95",95,247071,2030-01-04 22:55:00,4,247899,261404,277151,249053,249083,253816
"96",96,241950,2030-01-04 23:55:00,4,241848,258999,277067,243005,245944,250793
"97",97,237684,2030-01-05 00:55:00,5,236810,235877,253989,237970,217417,195955
"98",98,234388,2030-01-05 01:55:00,5,232956,231452,248623,234117,212059,185225
"99",99,234037,2030-01-05 02:55:00,5,232251,232280,249042,233412,213034,186130
"100",100,235737,2030-01-05 03:55:00,5,233959,233725,250003,235120,214783,188242
"101",101,239902,2030-01-05 04:55:00,5,238506,236869,252248,239666,218677,192569
"102",102,246363,2030-01-05 05:55:00,5,245572,246409,258814,246727,230247,204526
"103",103,253786,2030-01-05 06:55:00,5,254577,260126,271317,255722,247410,228141
"104",104,261235,2030-01-05 07:55:00,5,263638,272104,277251,264758,264543,249050
"105",105,266499,2030-01-05 08:55:00,5,269854,277526,276146,270917,275463,264665
"106",106,269524,2030-01-05 09:55:00,5,273361,280876,275178,274356,283491,274014
"107",107,269364,2030-01-05 10:55:00,5,273858,283911,275082,274841,289612,282976
"108",108,266331,2030-01-05 11:55:00,5,271450,282881,275271,272489,287652,277608
"109",109,261948,2030-01-05 12:55:00,5,267356,279443,276029,268449,280020,265149
"110",110,258237,2030-01-05 13:55:00,5,263660,274902,277078,264779,269700,251953
"111",111,255340,2030-01-05 14:55:00,5,260746,273712,276991,261877,267448,251424
"112",112,255268,2030-01-05 15:55:00,5,260183,271402,276999,261316,263385,244143
"113",113,258206,2030-01-05 16:55:00,5,262488,269744,277012,263613,260664,244118
"114",114,261946,2030-01-05 17:55:00,5,265373,266182,277329,266482,255685,248613
"115",115,263983,2030-01-05 18:55:00,5,266562,270697,276752,267663,262261,257755
"116",116,264323,2030-01-05 19:55:00,5,266113,270982,276658,267216,262710,259922
"117",117,261173,2030-01-05 20:55:00,5,262698,266484,276965,263822,256101,255038
"118",118,253855,2030-01-05 21:55:00,5,255281,258840,276903,256425,245754,243794
"119",119,245622,2030-01-05 22:55:00,5,246537,250237,272246,247692,234876,229952
"120",120,239244,2030-01-05 23:55:00,5,239112,241883,262003,240271,224782,210479
"121",121,233728,2030-01-06 00:55:00,6,232602,233558,252399,233763,214566,192930
"122",122,229019,2030-01-06 01:55:00,6,227224,227540,246745,228386,207631,182150
"123",123,227240,2030-01-06 02:55:00,6,225012,223681,242920,226174,203309,176432
"124",124,229344,2030-01-06 03:55:00,6,227231,225321,242692,228393,205127,176032
"125",125,234369,2030-01-06 04:55:00,6,233077,229733,246890,234238,210126,182435
"126",126,242272,2030-01-06 05:55:00,6,242573,243715,258206,243730,227025,203363
"127",127,251172,2030-01-06 06:55:00,6,253630,260182,272703,254777,247477,231231
"128",128,260781,2030-01-06 07:55:00,6,264491,275471,276481,265606,270976,262177
"129",129,268512,2030-01-06 08:55:00,6,272819,282316,275277,273829,286594,284525
"130",130,273266,2030-01-06 09:55:00,6,277694,285310,275734,278520,292395,289176
"131",131,273506,2030-01-06 10:55:00,6,278377,287617,277563,279166,296722,296794
"132",132,271531,2030-01-06 11:55:00,6,276571,288498,277585,277451,298168,296984
"133",133,268507,2030-01-06 12:55:00,6,273673,283203,275009,274660,288212,281754
"134",134,265573,2030-01-06 13:55:00,6,270830,279266,275382,271879,279722,269715
"135",135,263865,2030-01-06 14:55:00,6,269124,278284,275752,270197,277354,266233
"136",136,264789,2030-01-06 15:55:00,6,269878,277583,276390,270940,275623,262790
"137",137,269326,2030-01-06 16:55:00,6,273990,277342,276162,274969,275153,264301
"138",138,274546,2030-01-06 17:55:00,6,278474,275419,275410,279259,270869,269967
"139",139,277917,2030-01-06 18:55:00,6,280429,278942,275171,281071,278888,278252
"140",140,278031,2030-01-06 19:55:00,6,279523,279060,275042,280232,279167,281522
"141",141,274163,2030-01-06 20:55:00,6,275303,274165,275342,276237,268245,270595
"142",142,264995,2030-01-06 21:55:00,6,266306,266247,276983,267408,255798,254610
