"Day","HYDRO-PONDAGE","HYDRO-ROR","NUCLEAR"
1,0.159,0.159,0.5
2,0.159,0.158,0.5
3,0.159,0.159,0.5
4,0.159,0.159,0.5
5,0.16,0.159,0.5
6,0.16,0.158,0.5
7,0.161,0.157,0.5
8,0.161,0.155,0.5
9,0.161,0.155,0.5
10,0.155,0.156,0.5
11,0.155,0.155,0.5
12,0.155,0.155,0.5
13,0.155,0.154,0.5
14,0.154,0.153,0.5
15,0.155,0.152,0.5
16,0.158,0.151,0.5
17,0.163,0.148,0.5
18,0.163,0.146,0.5
19,0.163,0.147,0.5
20,0.165,0.145,0.5
21,0.166,0.144,0.5
22,0.165,0.143,0.5
23,0.162,0.142,0.5
24,0.161,0.141,0.5
25,0.161,0.14,0.5
26,0.16,0.138,0.5
27,0.157,0.139,0.5
28,0.156,0.14,0.5
29,0.156,0.141,0.5
30,0.156,0.143,0.5
31,0.156,0.144,0.5
32,0.157,0.147,0.5
33,0.157,0.147,0.5
34,0.157,0.148,0.5
35,0.162,0.15,0.5
36,0.16,0.153,0.5
37,0.159,0.157,0.5
38,0.156,0.16,0.5
39,0.154,0.161,0.5
40,0.154,0.162,0.5
41,0.156,0.162,0.5
42,0.155,0.161,0.5
43,0.16,0.16,0.5
44,0.163,0.158,0.5
45,0.168,0.158,0.5
46,0.171,0.161,0.5
47,0.172,0.163,0.5
48,0.171,0.165,0.5
49,0.167,0.167,0.5
50,0.167,0.167,0.5
51,0.166,0.168,0.5
52,0.167,0.167,0.5
53,0.167,0.165,0.5
54,0.167,0.165,0.5
55,0.168,0.164,0.5
56,0.169,0.166,0.5
57,0.169,0.167,0.5
58,0.17,0.169,0.5
59,0.169,0.171,0.5
60,0.17,0.171,0.5
61,0.169,0.173,0.5
62,0.169,0.177,0.5
63,0.17,0.179,0.5
64,0.169,0.18,0.5
65,0.168,0.181,0.5
66,0.166,0.183,0.5
67,0.166,0.188,0.5
68,0.171,0.193,0.5
69,0.175,0.199,0.5
70,0.18,0.207,0.5
71,0.186,0.214,0.5
72,0.192,0.221,0.5
73,0.203,0.228,0.5
74,0.217,0.235,0.5
75,0.226,0.244,0.5
76,0.235,0.248,0.5
77,0.241,0.25,0.5
78,0.248,0.255,0.5
79,0.254,0.258,0.5
80,0.258,0.258,0.5
81,0.255,0.257,0.5
82,0.253,0.253,0.5
83,0.253,0.25,0.5
84,0.256,0.251,0.5
85,0.26,0.254,0.5
86,0.265,0.256,0.5
87,0.271,0.263,0.5
88,0.283,0.267,0.5
89,0.294,0.272,0.5
