Timepoint,net_load_final,hydro_dispatch_final
1.0,226799.0,1396.73355
2.0,222257.0,1396.73355
3.0,222719.0,1396.73355
4.0,224618.0,1396.73355
5.0,229698.0,1396.73355
6.0,230998.207028,7639.52652191
7.0,230998.207028,16913.5265219
8.0,230998.207028,20238.5265219
9.0,222164.0,1396.73355
10.0,190925.0,1396.73355
11.0,160813.0,1396.73355
12.0,139513.0,1396.73355
13.0,127486.0,1396.73355
14.0,126896.0,1396.73355
15.0,132784.0,1396.73355
16.0,153758.0,1396.73355
17.0,194024.0,1396.73355
18.0,230998.207028,16685.5265219
19.0,232110.28355,23673.45
20.0,230998.207028,23502.5265219
21.0,230998.207028,19050.5265219
22.0,230998.207028,11269.5265219
23.0,230998.207028,2916.52652191
24.0,225971.0,1396.73355
25.0,221240.0,1361.223375
26.0,217677.0,1361.223375
27.0,216522.0,1361.223375
28.0,218829.0,1361.223375
29.0,224649.0,1361.223375
30.0,233113.0,1361.223375
31.0,235559.562575,8881.66080004
32.0,235559.562575,12958.6608
33.0,219907.0,1361.223375
34.0,188638.0,1361.223375
35.0,159154.0,1361.223375
36.0,136026.0,1361.223375
37.0,126424.0,1361.223375
38.0,125630.0,1361.223375
39.0,132130.0,1361.223375
40.0,156371.0,1361.223375
41.0,199184.0,1361.223375
42.0,235559.562575,22142.6608
43.0,243395.773375,23673.45
44.0,242280.773375,23673.45
45.0,237587.773375,23673.45
46.0,235559.562575,17068.6608
47.0,235559.562575,8382.66080004
48.0,235559.562575,1967.66080004
49.0,230627.0,1427.509035
50.0,226682.0,1427.509035
51.0,225855.0,1427.509035
52.0,228163.0,1427.509035
53.0,234073.0,1427.509035
54.0,243146.0,1427.509035
55.0,243522.674862,11750.834173
56.0,243522.674862,16558.834173
57.0,230961.0,1427.509035
58.0,198513.0,1427.509035
59.0,165471.0,1427.509035
60.0,142716.0,1427.509035
61.0,129617.0,1427.509035
62.0,126668.0,1427.509035
63.0,136628.0,1427.509035
64.0,162428.0,1427.509035
65.0,205312.0,1427.509035
66.0,243522.674862,19186.834173
67.0,249544.059035,23673.45
68.0,248819.059035,23673.45
69.0,244185.059035,23673.45
70.0,243522.674862,15775.834173
71.0,243522.674862,5707.83417305
72.0,239485.0,1427.509035
73.0,232982.0,1581.38646
74.0,228181.0,1581.38646
75.0,225983.0,1581.38646
76.0,227683.0,1581.38646
77.0,231848.0,1581.38646
78.0,233495.342087,6396.04437316
79.0,233495.342087,13819.0443732
80.0,233495.342087,15385.0443732
81.0,215024.0,1581.38646
82.0,180095.0,1581.38646
83.0,149098.0,1581.38646
84.0,127918.0,1581.38646
85.0,113059.0,1581.38646
86.0,113293.0,1581.38646
87.0,123713.0,1581.38646
88.0,149791.0,1581.38646
89.0,192070.0,1581.38646
90.0,233495.342087,13575.0443732
91.0,233838.93646,23673.45
92.0,234178.93646,23673.45
93.0,233495.342087,21208.0443732
94.0,233495.342087,13888.0443732
95.0,233495.342087,7102.04437316
96.0,233495.342087,1981.04437316
97.0,229529.0,1676.08026
98.0,226233.0,1676.08026
99.0,225882.0,1676.08026
100.0,227582.0,1676.08026
101.0,230645.753922,2777.32633796
102.0,230645.753922,9238.32633796
103.0,230645.753922,16661.326338
104.0,230645.753922,18301.326338
105.0,214827.0,1676.08026
106.0,179972.0,1676.08026
107.0,147898.0,1676.08026
108.0,124279.0,1676.08026
109.0,109727.0,1676.08026
110.0,108181.0,1676.08026
111.0,118874.0,1676.08026
112.0,144804.0,1676.08026
113.0,188111.0,1676.08026
114.0,230645.753922,15947.326338
115.0,233830.63026,23673.45
116.0,234170.63026,23673.45
117.0,231020.63026,23673.45
118.0,230645.753922,16730.326338
119.0,230645.753922,8497.32633796
120.0,230645.753922,2119.32633796
121.0,225479.0,1784.97813
122.0,220770.0,1784.97813
123.0,218991.0,1784.97813
124.0,221095.0,1784.97813
125.0,226120.0,1784.97813
126.0,234023.0,1784.97813
127.0,235587.314441,9120.66368895
128.0,235587.314441,13042.663689
129.0,216637.0,1784.97813
130.0,183558.0,1784.97813
131.0,153554.0,1784.97813
132.0,131150.0,1784.97813
133.0,118556.0,1784.97813
134.0,116782.0,1784.97813
135.0,126275.0,1784.97813
136.0,151787.0,1784.97813
137.0,196268.0,1784.97813
138.0,235587.314441,22595.663689
139.0,247779.52813,23673.45
140.0,247893.52813,23673.45
141.0,244025.52813,23673.45
142.0,235587.314441,22943.663689
143.0,235587.314441,12842.663689
144.0,235587.314441,4741.66368895
145.0,232586.0,1825.222995
146.0,228110.0,1825.222995
147.0,226613.0,1825.222995
148.0,228676.0,1825.222995
149.0,234000.0,1825.222995
150.0,241573.146973,2795.07602196
151.0,241573.146973,12748.076022
152.0,241573.146973,16905.076022
153.0,226130.0,1825.222995
154.0,190089.0,1825.222995
155.0,156454.0,1825.222995
156.0,131961.0,1825.222995
157.0,118751.0,1825.222995
158.0,116971.0,1825.222995
159.0,128442.0,1825.222995
160.0,154684.0,1825.222995
161.0,199161.0,1825.222995
162.0,241573.146973,18707.076022
163.0,250236.772995,23673.45
