Timepoint,net_load_final,hydro_dispatch_final
1.0,98693.0,1396.73355
2.0,98908.0,1396.73355
3.0,104160.0,1396.73355
4.0,115008.0,1396.73355
5.0,126847.0,1396.73355
6.0,138202.0,1396.73355
7.0,149400.0,1396.73355
8.0,160383.0,1396.73355
9.0,166771.593977,11970.1395725
10.0,166771.593977,22199.1395725
11.0,166771.593977,16486.1395725
12.0,166771.593977,13467.1395725
13.0,166771.593977,13763.1395725
14.0,166771.593977,19044.1395725
15.0,166771.593977,19155.1395725
16.0,166771.593977,13132.1395725
17.0,166771.593977,6190.13957252
18.0,166771.593977,7879.13957252
19.0,160642.0,1396.73355
20.0,134852.0,1396.73355
21.0,116604.0,1396.73355
22.0,108904.0,1396.73355
23.0,106505.0,1396.73355
24.0,110302.0,1396.73355
25.0,115566.0,1361.223375
26.0,119978.0,1361.223375
27.0,124778.0,1361.223375
28.0,136499.0,1361.223375
29.0,150293.0,1361.223375
30.0,163064.0,1361.223375
31.0,176451.0,1361.223375
32.0,190179.0,1361.223375
33.0,209267.0,1361.223375
34.0,216542.410619,7543.81275558
35.0,216542.410619,7444.81275558
36.0,216542.410619,13704.8127556
37.0,216542.410619,19628.8127556
38.0,216542.410619,21971.8127556
39.0,216542.410619,22267.8127556
40.0,216542.410619,19784.8127556
41.0,216542.410619,17264.8127556
42.0,216542.410619,12810.8127556
43.0,209469.0,1361.223375
44.0,181824.0,1361.223375
45.0,158590.0,1361.223375
46.0,147797.0,1361.223375
47.0,143674.0,1361.223375
48.0,143533.0,1361.223375
49.0,146963.0,1427.509035
50.0,149341.0,1427.509035
51.0,152942.0,1427.509035
52.0,159892.0,1427.509035
53.0,171759.0,1427.509035
54.0,185482.0,1427.509035
55.0,199153.0,1427.509035
56.0,214143.0,1427.509035
57.0,233226.0,1427.509035
58.0,237350.141038,11915.3679973
59.0,237350.141038,11991.3679973
60.0,237350.141038,13901.3679973
61.0,237350.141038,15507.3679973
62.0,237350.141038,15569.3679973
63.0,237350.141038,14555.3679973
64.0,237350.141038,14059.3679973
65.0,237350.141038,15371.3679973
66.0,237350.141038,16580.3679973
67.0,237350.141038,12579.3679973
68.0,237350.141038,2252.3679973
69.0,226327.0,1427.509035
70.0,219923.0,1427.509035
71.0,215068.0,1427.509035
72.0,211012.0,1427.509035
73.0,207681.0,1581.38646
74.0,206195.0,1581.38646
75.0,206572.0,1581.38646
76.0,211047.0,1581.38646
77.0,215823.0,1581.38646
78.0,217930.867315,4683.51914452
79.0,217930.867315,9527.51914452
80.0,217930.867315,13890.5191445
81.0,217930.867315,21863.5191445
82.0,222145.93646,23673.45
83.0,217930.867315,19664.5191445
84.0,217930.867315,16417.5191445
85.0,217930.867315,13590.5191445
86.0,217930.867315,9818.51914452
87.0,217930.867315,6144.51914452
88.0,217930.867315,3008.51914452
89.0,215163.0,1581.38646
90.0,213074.0,1581.38646
91.0,205140.0,1581.38646
92.0,190557.0,1581.38646
93.0,176827.0,1581.38646
94.0,163875.0,1581.38646
95.0,156782.0,1581.38646
96.0,156658.0,1581.38646
97.0,161322.0,1676.08026
98.0,166412.0,1676.08026
99.0,174598.0,1676.08026
100.0,183291.0,1676.08026
101.0,190161.0,1676.08026
102.0,197095.0,1676.08026
103.0,204882.0,1676.08026
104.0,213347.0,1676.08026
105.0,221272.91018,4042.17008031
106.0,221272.91018,12665.1700803
107.0,221272.91018,17432.1700803
108.0,221272.91018,17607.1700803
109.0,221272.91018,17944.1700803
110.0,221272.91018,17564.1700803
111.0,221272.91018,16305.1700803
112.0,221272.91018,15143.1700803
113.0,221272.91018,15450.1700803
114.0,221272.91018,15474.1700803
115.0,221272.91018,11339.1700803
116.0,221272.91018,2002.17008031
117.0,211558.0,1676.08026
118.0,202383.0,1676.08026
119.0,194974.0,1676.08026
120.0,190100.0,1676.08026
121.0,185563.0,1784.97813
122.0,182242.0,1784.97813
123.0,180602.0,1784.97813
124.0,185514.0,1784.97813
125.0,192827.0,1784.97813
126.0,202088.0,1784.97813
127.0,212534.0,1784.97813
128.0,221611.641478,3540.33665237
129.0,221611.641478,16330.3366524
130.0,222004.52813,23673.45
131.0,222198.52813,23673.45
132.0,221611.641478,19726.3366524
133.0,221611.641478,17076.3366524
134.0,221611.641478,13552.3366524
135.0,221611.641478,10725.3366524
136.0,221611.641478,8931.33665237
137.0,221611.641478,10183.3366524
138.0,221611.641478,10965.3366524
139.0,221611.641478,3284.33665237
140.0,204755.0,1784.97813
141.0,188946.0,1784.97813
142.0,173538.0,1784.97813
143.0,160159.0,1784.97813
144.0,150956.0,1784.97813
145.0,144556.0,1825.222995
146.0,141913.0,1825.222995
147.0,143074.0,1825.222995
148.0,149097.0,1825.222995
149.0,159668.0,1825.222995
150.0,172946.0,1825.222995
151.0,186869.0,1825.222995
152.0,200869.0,1825.222995
153.0,213573.122527,6056.10046806
154.0,213573.122527,23093.1004681
155.0,213573.122527,23343.1004681
156.0,213573.122527,19061.1004681
157.0,213573.122527,16533.1004681
158.0,213573.122527,14104.1004681
159.0,213573.122527,11508.1004681
160.0,213573.122527,9630.10046806
161.0,213573.122527,11327.1004681
162.0,213573.122527,15276.1004681
163.0,213573.122527,9422.10046806
164.0,204073.0,1825.222995
165.0,189902.0,1825.222995
166.0,178096.0,1825.222995
167.0,167691.0,1825.222995
168.0,161749.0,1825.222995
169.0,158028.0,1879.67193
170.0,155074.0,1879.67193
171.0,154831.0,1879.67193
172.0,162054.0,1879.67193
173.0,171065.0,1879.67193
174.0,172770.243489,9516.42844125
175.0,172770.243489,4290.42844125
176.0,172770.243489,6646.42844125
177.0,172770.243489,15033.4284412
178.0,172770.243489,22043.4284412
179.0,172770.243489,3907.42844125
180.0,164151.0,1879.67193
181.0,166480.0,1879.67193
182.0,171756.0,1879.67193
183.0,172770.243489,6307.42844125
184.0,172770.243489,9445.42844125
185.0,172770.243489,15602.4284412
186.0,178670.22193,23673.45
187.0,179659.22193,23673.45
188.0,172770.243489,17609.4284412
189.0,172770.243489,4656.42844125
190.0,166492.0,1879.67193
191.0,161582.0,1879.67193
192.0,159066.0,1879.67193
193.0,156925.0,2078.52891
194.0,156122.0,2078.52891
195.0,159093.0,2078.52891
196.0,163621.0,2078.52891
197.0,169660.0,2078.52891
198.0,179099.0,2078.52891
199.0,188561.0,2078.52891
200.0,198370.0,2078.52891
201.0,201733.061085,9285.46782537
202.0,201733.061085,18126.4678254
203.0,201733.061085,16784.4678254
204.0,201733.061085,3046.46782537
205.0,201733.061085,2746.46782537
206.0,201733.061085,9387.46782537
207.0,201733.061085,15534.4678254
208.0,201733.061085,18741.4678254
209.0,201733.061085,22174.4678254
210.0,202874.07891,23673.45
211.0,201733.061085,16560.4678254
212.0,196438.0,2078.52891
213.0,181199.0,2078.52891
214.0,169352.0,2078.52891
215.0,162042.0,2078.52891
216.0,160902.0,2078.52891
217.0,160804.0,2102.20236
218.0,161986.0,2102.20236
219.0,163484.0,2102.20236
220.0,172331.0,2102.20236
221.0,182958.0,2102.20236
222.0,193593.0,2102.20236
223.0,207372.0,2102.20236
224.0,224272.0,2102.20236
225.0,225075.710779,19679.4915809
226.0,233933.75236,23673.45
227.0,237076.75236,23673.45
228.0,234423.75236,23673.45
229.0,228202.75236,23673.45
230.0,225075.710779,19971.4915809
231.0,225075.710779,11858.4915809
232.0,225075.710779,3243.49158093
233.0,220343.0,2102.20236
234.0,215440.0,2102.20236
235.0,203207.0,2102.20236
236.0,183289.0,2102.20236
237.0,169855.0,2102.20236
238.0,162639.0,2102.20236
239.0,159854.0,2102.20236
240.0,159683.0,2102.20236
241.0,157880.0,2052.488115
242.0,156232.0,2052.488115
243.0,155411.0,2052.488115
244.0,159696.0,2052.488115
245.0,167047.0,2052.488115
246.0,176084.0,2052.488115
247.0,187996.0,2052.488115
248.0,202370.0,2052.488115
249.0,215367.867256,6408.62085887
250.0,215367.867256,21646.6208589
251.0,217917.038115,23673.45
