Timepoint,net_load_final,hydro_dispatch_final
1,323896.0,1396.73355
2,315967.0,1396.73355
3,316609.0,1396.73355
4,319219.0,1396.73355
5,326601.0,1396.73355
6,338371.0,1396.73355
7,339230.417825,15197.315725
8,340187.28355,23673.45
9,339230.417825,3145.31572505
10,314283.0,1396.73355
11,283932.0,1396.73355
12,260306.0,1396.73355
13,245181.0,1396.73355
14,241686.0,1396.73355
15,244840.0,1396.73355
16,264852.0,1396.73355
17,305515.0,1396.73355
18,339230.417825,21014.315725
19,344926.28355,23673.45
20,342969.28355,23673.45
21,339230.417825,20845.315725
22,339230.417825,9270.31572505
23,334219.0,1396.73355
24,323739.0,1396.73355
25,315954.0,1361.223375
26,309909.0,1361.223375
27,307701.0,1361.223375
28,310626.0,1361.223375
29,318988.0,1361.223375
30,331854.0,1361.223375
31,342678.900519,5521.32285631
32,342678.900519,15035.3228563
33,335377.0,1361.223375
34,308486.0,1361.223375
35,278263.0,1361.223375
36,252877.0,1361.223375
37,240790.0,1361.223375
38,238389.0,1361.223375
39,244660.0,1361.223375
40,270156.0,1361.223375
41,315459.0,1361.223375
42,352081.773375,23673.45
43,360973.773375,23673.45
44,358352.773375,23673.45
45,351122.773375,23673.45
46,342678.900519,19367.3228563
47,342678.900519,6443.32285631
48,337974.0,1361.223375
49,329295.0,1427.509035
50,322740.0,1427.509035
51,321004.0,1427.509035
52,323995.0,1427.509035
53,332615.0,1427.509035
54,346931.0,1427.509035
55,356919.438425,8449.07061008
56,356919.438425,20583.0706101
57,355548.0,1427.509035
58,326786.0,1427.509035
59,292998.0,1427.509035
60,268226.0,1427.509035
61,252525.0,1427.509035
62,247176.0,1427.509035
63,255186.0,1427.509035
64,280604.0,1427.509035
65,324574.0,1427.509035
66,359191.059035,23673.45
67,369702.059035,23673.45
68,367436.059035,23673.45
69,360409.059035,23673.45
70,356919.438425,14847.0706101
71,355707.0,1427.509035
72,343390.0,1427.509035
73,333324.0,1581.38646
74,325295.0,1581.38646
75,321502.0,1581.38646
76,323690.0,1581.38646
77,329318.0,1581.38646
78,338565.0,1581.38646
79,339972.160047,11779.226413
80,339972.160047,18384.226413
81,328219.0,1581.38646
82,296479.0,1581.38646
83,266343.0,1581.38646
84,243657.0,1581.38646
85,226292.0,1581.38646
86,224503.0,1581.38646
87,233060.0,1581.38646
88,258264.0,1581.38646
89,301364.0,1581.38646
90,339972.160047,17699.226413
91,345188.93646,23673.45
92,345680.93646,23673.45
93,341217.93646,23673.45
94,339972.160047,14399.226413
95,339972.160047,4256.22641305
96,334530.0,1581.38646
97,327448.0,1676.08026
98,322182.0,1676.08026
99,321401.0,1676.08026
100,323589.0,1676.08026
101,329217.0,1676.08026
102,336170.505229,3968.57503062
103,336170.505229,15572.5750306
104,336170.505229,22250.5750306
105,328019.0,1676.08026
106,296354.0,1676.08026
107,265139.0,1676.08026
108,240017.0,1676.08026
109,222954.0,1676.08026
110,219391.0,1676.08026
111,228220.0,1676.08026
112,253276.0,1676.08026
113,297404.0,1676.08026
114,336170.505229,21020.5750306
115,345179.63026,23673.45
116,345670.63026,23673.45
117,341207.63026,23673.45
118,336170.505229,18192.5750306
119,336170.505229,5915.57503062
120,330373.0,1676.08026
121,321537.0,1784.97813
122,314260.0,1784.97813
123,311424.0,1784.97813
124,314389.0,1784.97813
125,321525.0,1784.97813
126,333419.0,1784.97813
127,342914.610129,6640.36800124
128,342914.610129,16601.3680012
129,333305.0,1784.97813
130,304418.0,1784.97813
131,274504.0,1784.97813
132,250859.0,1784.97813
133,236641.0,1784.97813
134,233084.0,1784.97813
135,241354.0,1784.97813
136,266870.0,1784.97813
137,313245.0,1784.97813
138,353721.52813,23673.45
139,367981.52813,23673.45
140,367351.52813,23673.45
141,361448.52813,23673.45
142,347629.52813,23673.45
143,342914.610129,12913.3680012
144,341471.0,1784.97813
145,331971.0,1825.222995
146,324581.0,1825.222995
147,321917.0,1825.222995
148,324596.0,1825.222995
149,332129.0,1825.222995
150,345479.0,1825.222995
151,353630.813954,9904.40904093
152,353630.813954,21053.4090409
153,348754.0,1825.222995
154,315976.0,1825.222995
155,281335.0,1825.222995
156,254597.0,1825.222995
157,239508.0,1825.222995
158,235940.0,1825.222995
159,247212.0,1825.222995
160,273746.0,1825.222995
161,319773.0,1825.222995
162,358666.772995,23673.45
163,372247.772995,23673.45
164,369086.772995,23673.45
165,362980.772995,23673.45
166,353630.813954,20661.4090409
167,353630.813954,7565.40904093
168,349846.0,1825.222995
169,342043.0,1879.67193
170,334331.0,1879.67193
171,332203.0,1879.67193
172,335764.0,1879.67193
173,344257.0,1879.67193
174,358636.0,1879.67193
175,364721.646903,13715.0250267
176,367822.22193,23673.45
177,364721.646903,4055.02502674
178,334120.0,1879.67193
179,297719.0,1879.67193
180,269672.0,1879.67193
181,251412.0,1879.67193
182,246980.0,1879.67193
183,255396.0,1879.67193
184,280259.0,1879.67193
185,324798.0,1879.67193
186,364721.646903,22372.0250267
187,375737.22193,23673.45
188,374900.22193,23673.45
189,370098.22193,23673.45
190,364721.646903,16827.0250267
191,364721.646903,3224.02502674
192,355056.0,1879.67193
193,343698.0,2078.52891
194,334427.0,2078.52891
195,330816.0,2078.52891
196,333357.0,2078.52891
197,340777.0,2078.52891
198,353674.0,2078.52891
199,364605.593529,7859.93538093
200,364605.593529,20725.9353809
201,359213.0,2078.52891
202,324579.0,2078.52891
203,288736.0,2078.52891
204,260610.0,2078.52891
205,244666.0,2078.52891
206,241771.0,2078.52891
207,254004.0,2078.52891
208,279700.0,2078.52891
209,326012.0,2078.52891
210,365639.07891,23673.45
211,378943.07891,23673.45
212,377711.07891,23673.45
213,372610.07891,23673.45
214,364605.593529,19884.9353809
215,364605.593529,6660.93538093
216,359276.0,2078.52891
217,347813.0,2102.20236
218,337437.0,2102.20236
219,333139.0,2102.20236
220,335556.0,2102.20236
221,342759.0,2102.20236
222,357011.0,2102.20236
223,365049.168623,10830.0337367
224,366142.75236,23673.45
225,365049.168623,3238.03373674
226,336515.0,2102.20236
227,302939.0,2102.20236
228,275556.0,2102.20236
229,257671.0,2102.20236
230,252888.0,2102.20236
231,259525.0,2102.20236
232,282003.0,2102.20236
233,326088.0,2102.20236
234,365049.168623,22299.0337367
235,375420.75236,23673.45
236,375781.75236,23673.45
237,370953.75236,23673.45
238,365049.168623,17342.0337367
239,365049.168623,3146.03373674
240,355684.0,2102.20236
241,344344.0,2052.488115
242,334815.0,2052.488115
243,330869.0,2052.488115
244,332660.0,2052.488115
245,337473.0,2052.488115
246,348162.0,2052.488115
247,356191.519266,8451.96884874
248,356191.519266,19996.9688487
249,352803.0,2052.488115
250,325157.0,2052.488115
251,290965.0,2052.488115
252,263616.0,2052.488115
253,243828.0,2052.488115
254,238919.0,2052.488115
255,247398.0,2052.488115
256,272638.0,2052.488115
257,316655.0,2052.488115
258,356191.519266,21428.9688487
259,368672.038115,23673.45
260,369337.038115,23673.45
261,365631.038115,23673.45
262,356191.519266,21366.9688487
263,356191.519266,7976.96884874
264,351712.0,2052.488115
265,341589.0,2033.549355
266,332577.0,2033.549355
267,328683.0,2033.549355
268,330391.0,2033.549355
269,335359.0,2033.549355
270,343997.0,2033.549355
271,348130.248655,10073.3007001
272,348130.248655,18952.3007001
273,339907.0,2033.549355
274,309341.0,2033.549355
275,277936.0,2033.549355
276,251694.0,2033.549355
277,234073.0,2033.549355
278,227678.0,2033.549355
279,234249.0,2033.549355
280,257306.0,2033.549355
281,299228.0,2033.549355
282,348130.248655,11498.3007001
283,350154.099355,23673.45
284,351180.099355,23673.45
285,349518.099355,23673.45
286,348130.248655,17623.3007001
287,348130.248655,9649.30070014
288,348130.248655,4167.30070014
289,343549.0,2069.05953
290,335091.0,2069.05953
291,332724.0,2069.05953
292,336474.0,2069.05953
293,342161.0,2069.05953
294,352633.0,2069.05953
295,359149.241121,9334.81840917
296,359149.241121,19288.8184092
297,353028.0,2069.05953
298,324728.0,2069.05953
299,295630.0,2069.05953
300,269326.0,2069.05953
301,254438.0,2069.05953
302,252353.0,2069.05953
303,260252.0,2069.05953
304,280358.0,2069.05953
305,319931.0,2069.05953
306,359149.241121,14893.8184092
307,362947.60953,23673.45
308,362780.60953,23673.45
309,360093.60953,23673.45
310,359149.241121,17530.8184092
311,359149.241121,8313.81840917
312,358859.0,2069.05953
313,350126.0,2166.120675
314,341918.0,2166.120675
315,339336.0,2166.120675
316,344133.0,2166.120675
317,349076.0,2166.120675
318,350974.360054,8193.76062098
319,350974.360054,19082.760621
320,351868.670675,23673.45
321,344389.0,2166.120675
322,311504.0,2166.120675
323,279450.0,2166.120675
324,254270.0,2166.120675
325,238278.0,2166.120675
326,235133.0,2166.120675
327,244359.0,2166.120675
328,262305.0,2166.120675
329,300655.0,2166.120675
330,350974.360054,7118.76062098
331,350974.360054,22650.760621
332,350996.670675,23673.45
333,350974.360054,21523.760621
334,350974.360054,12912.760621
335,350806.0,2166.120675
336,342133.0,2166.120675
337,333732.0,2142.447225
338,326924.0,2142.447225
339,324937.0,2142.447225
340,328279.0,2142.447225
341,335087.0,2142.447225
342,346814.0,2142.447225
343,353253.86944,10846.5777852
