Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,158555.246605,1378.9784625,0.0,0.0
2,156294.144997,1378.9784625,0.0,0.0
3,159404.058036,1378.9784625,0.0,0.0
4,165654.602009,1378.9784625,0.0,0.0
5,174893.917531,1378.9784625,0.0,0.0
6,181697.208048,4149.02412092,0.0,0.0
7,181697.208048,13832.8084673,0.0,0.0
8,181697.208048,17373.9864681,0.0,0.0
9,173778.103112,1378.9784625,0.0,0.0
10,145015.768117,1378.9784625,0.0,0.0
11,111877.126254,1378.9784625,0.0,0.0
12,89355.4944919,1378.9784625,0.0,0.0
13,79270.1565898,1378.9784625,0.0,0.0
14,84937.4067082,1378.9784625,0.0,0.0
15,93683.1901824,1378.9784625,0.0,0.0
16,112513.157455,1378.9784625,0.0,0.0
17,148567.224048,1378.9784625,0.0,0.0
18,181697.208048,20407.1537638,0.0,0.0
19,181697.208048,21555.2844153,0.0,0.0
20,181697.208048,7774.969297,0.0,0.0
21,176137.235944,1378.9784625,0.0,0.0
22,167634.636323,1378.9784625,0.0,0.0
23,162188.369459,1378.9784625,0.0,0.0
24,161222.880471,1378.9784625,0.0,0.0
25,162293.864877,1394.366205,0.0,0.0
26,163122.724057,1394.366205,0.0,0.0
27,165626.841942,1394.366205,0.0,0.0
28,172794.021232,1394.366205,0.0,0.0
29,182778.171742,1394.366205,0.0,0.0
30,193539.875595,1394.366205,0.0,0.0
31,198610.102497,7852.15117119,0.0,0.0
32,198610.102497,13540.4505895,0.0,0.0
33,188826.53372,1394.366205,0.0,0.0
34,162231.425394,1394.366205,0.0,0.0
35,133382.041044,1394.366205,0.0,0.0
36,115867.590631,1394.366205,0.0,0.0
37,112462.388696,1394.366205,0.0,0.0
38,115308.214511,1394.366205,0.0,0.0
39,123327.874612,1394.366205,0.0,0.0
40,145810.056833,1394.366205,0.0,0.0
41,185112.687792,1394.366205,0.0,0.0
42,215415.96647,23673.45,0.0,0.0
43,214214.113496,23673.45,0.0,0.0
44,198870.847006,23673.45,0.0,0.0
45,198610.102497,8566.19955027,0.0,0.0
46,195241.162381,1394.366205,0.0,0.0
47,189149.000145,1394.366205,0.0,0.0
48,186029.490377,1394.366205,0.0,0.0
49,184440.92602,1504.4477475,0.0,0.0
