Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,158530.273483,1396.73355,0.0,0.0
2,156269.171875,1396.73355,0.0,0.0
3,159379.084913,1396.73355,0.0,0.0
4,165629.628887,1396.73355,0.0,0.0
5,171406.529832,4859.14812566,0.0,0.0
6,171406.529832,14432.484301,0.0,0.0
7,171849.34848,23673.45,0.0,0.0
8,175390.526481,23673.45,0.0,0.0
9,171406.529832,3743.33370737,0.0,0.0
10,144990.794995,1396.73355,0.0,0.0
11,111852.153131,1396.73355,0.0,0.0
12,89330.5213694,1396.73355,0.0,0.0
13,79245.1834673,1396.73355,0.0,0.0
14,84912.4335857,1396.73355,0.0,0.0
15,93658.2170599,1396.73355,0.0,0.0
16,112488.184332,1396.73355,0.0,0.0
17,148542.250925,1396.73355,0.0,0.0
18,178423.693776,23673.45,0.0,0.0
19,179571.824428,23673.45,0.0,0.0
20,171406.529832,18058.4294771,0.0,0.0
21,171406.529832,6102.46653889,0.0,0.0
22,167609.663201,1396.73355,0.0,0.0
23,162163.396337,1396.73355,0.0,0.0
24,161197.907348,1396.73355,0.0,0.0
25,162334.225742,1361.223375,0.0,0.0
26,163163.084922,1361.223375,0.0,0.0
27,165667.202807,1361.223375,0.0,0.0
28,172834.382097,1361.223375,0.0,0.0
29,182818.532607,1361.223375,0.0,0.0
30,189470.845592,5470.61424281,0.0,0.0
31,189470.845592,16998.6261103,0.0,0.0
32,189470.845592,22686.9255286,0.0,0.0
33,188866.894585,1361.223375,0.0,0.0
34,162271.786259,1361.223375,0.0,0.0
35,133422.401909,1361.223375,0.0,0.0
36,115907.951496,1361.223375,0.0,0.0
37,112502.749561,1361.223375,0.0,0.0
38,115348.575376,1361.223375,0.0,0.0
39,123368.235477,1361.223375,0.0,0.0
40,145850.417698,1361.223375,0.0,0.0
41,185153.048657,1361.223375,0.0,0.0
42,215423.184505,23673.45,0.0,0.0
43,214221.331531,23673.45,0.0,0.0
44,198878.065041,23673.45,0.0,0.0
45,189470.845592,17712.6744894,0.0,0.0
46,189470.845592,7171.90102886,0.0,0.0
47,189189.36101,1361.223375,0.0,0.0
48,186069.851242,1361.223375,0.0,0.0
49,184517.864732,1427.509035,0.0,0.0
50,183720.488907,1427.509035,0.0,0.0
51,184926.993975,1427.509035,0.0,0.0
52,189318.626427,1427.509035,0.0,0.0
53,198490.257137,1427.509035,0.0,0.0
54,209572.239262,1427.509035,0.0,0.0
55,219738.279378,3493.35375398,0.0,0.0
56,219738.279378,10261.3624305,0.0,0.0
57,206120.115268,1427.509035,0.0,0.0
58,179683.042753,1427.509035,0.0,0.0
59,147381.086532,1427.509035,0.0,0.0
60,127952.584641,1427.509035,0.0,0.0
61,118810.459175,1427.509035,0.0,0.0
62,118626.725252,1427.509035,0.0,0.0
63,129917.790025,1427.509035,0.0,0.0
64,155300.122978,1427.509035,0.0,0.0
65,197211.980368,1427.509035,0.0,0.0
66,229667.029337,23673.45,0.0,0.0
67,236733.50008,23673.45,0.0,0.0
68,230465.840878,23673.45,0.0,0.0
69,221365.754971,23673.45,0.0,0.0
70,219738.279378,17773.4478901,0.0,0.0
71,219738.279378,10584.5655902,0.0,0.0
72,219738.279378,4621.50021022,0.0,0.0
73,212729.223003,6999.98788613,0.0,0.0
74,212729.223003,4181.6049725,0.0,0.0
75,212729.223003,3592.70592808,0.0,0.0
76,212729.223003,7119.16877783,0.0,0.0
77,212729.223003,11554.2254494,0.0,0.0
78,212729.223003,17517.5157099,0.0,0.0
79,212888.400291,23673.45,0.0,0.0
80,212986.067526,23673.45,0.0,0.0
81,204420.12447,1581.38646,0.0,0.0
82,171131.313907,1581.38646,0.0,0.0
83,136642.892377,1581.38646,0.0,0.0
84,115569.830329,1581.38646,0.0,0.0
85,101544.389571,1581.38646,0.0,0.0
86,101775.16467,1581.38646,0.0,0.0
87,111911.736433,1581.38646,0.0,0.0
88,136757.239612,1581.38646,0.0,0.0
89,175352.829388,1581.38646,0.0,0.0
90,212729.223003,14121.9766046,0.0,0.0
91,212729.223003,18608.0818769,0.0,0.0
92,212729.223003,10902.6938988,0.0,0.0
93,212729.223003,1919.16677587,0.0,0.0
94,202365.830287,1581.38646,0.0,0.0
95,195306.831322,1581.38646,0.0,0.0
96,193043.754572,1581.38646,0.0,0.0
97,193831.161881,1676.08026,0.0,0.0
98,196012.001936,1676.08026,0.0,0.0
99,200531.912702,1676.08026,0.0,0.0
100,206063.733885,1676.08026,0.0,0.0
101,210538.847734,2831.6417,0.0,0.0
102,210538.847734,9912.08305856,0.0,0.0
103,210538.847734,17155.8376757,0.0,0.0
104,210538.847734,18812.4837922,0.0,0.0
105,196988.378246,1676.08026,0.0,0.0
106,164607.529815,1676.08026,0.0,0.0
107,135086.526252,1676.08026,0.0,0.0
108,113240.000871,1676.08026,0.0,0.0
109,101158.37779,1676.08026,0.0,0.0
110,101508.033088,1676.08026,0.0,0.0
111,113375.481603,1676.08026,0.0,0.0
112,138933.999363,1676.08026,0.0,0.0
113,180942.740694,1676.08026,0.0,0.0
114,213921.707128,23673.45,0.0,0.0
115,221111.22487,23673.45,0.0,0.0
116,215987.925283,23673.45,0.0,0.0
117,210538.847734,21732.4362155,0.0,0.0
118,210538.847734,13363.8514604,0.0,0.0
119,210538.847734,4788.19655762,0.0,0.0
120,207736.157054,1676.08026,0.0,0.0
121,202965.010201,1784.97813,0.0,0.0
122,198811.087509,1784.97813,0.0,0.0
123,197247.988507,1784.97813,0.0,0.0
124,200678.085721,1784.97813,0.0,0.0
125,206651.557264,2307.8216627,0.0,0.0
126,206651.557264,10740.1656309,0.0,0.0
127,206651.557264,20681.3014081,0.0,0.0
128,208712.338669,23673.45,0.0,0.0
129,203401.191491,1784.97813,0.0,0.0
130,172132.457344,1784.97813,0.0,0.0
131,142283.752781,1784.97813,0.0,0.0
132,118458.158855,1784.97813,0.0,0.0
133,106010.538793,1784.97813,0.0,0.0
134,104100.518827,1784.97813,0.0,0.0
135,113186.02119,1784.97813,0.0,0.0
136,137748.946,1784.97813,0.0,0.0
137,181296.002008,1784.97813,0.0,0.0
138,217651.47418,23673.45,0.0,0.0
139,224327.941613,23673.45,0.0,0.0
140,214343.171213,23673.45,0.0,0.0
141,206651.557264,20536.5396458,0.0,0.0
142,206651.557264,7347.70380245,0.0,0.0
143,200031.565381,1784.97813,0.0,0.0
144,191380.563861,1784.97813,0.0,0.0
145,185257.728951,1825.222995,0.0,0.0
146,181493.232595,1825.222995,0.0,0.0
147,181143.569425,1825.222995,0.0,0.0
148,185267.641729,1825.222995,0.0,0.0
149,193268.925099,1825.222995,0.0,0.0
150,202756.628174,3427.10629356,0.0,0.0
151,202756.628174,15493.6212753,0.0,0.0
152,202756.628174,22510.471516,0.0,0.0
153,198417.511247,1825.222995,0.0,0.0
154,169025.884508,1825.222995,0.0,0.0
155,136414.942208,1825.222995,0.0,0.0
156,111399.314877,1825.222995,0.0,0.0
157,98613.4793782,1825.222995,0.0,0.0
158,97813.4294534,1825.222995,0.0,0.0
159,109212.043458,1825.222995,0.0,0.0
160,134447.770928,1825.222995,0.0,0.0
161,177913.226898,1825.222995,0.0,0.0
162,214987.689703,23673.45,0.0,0.0
163,223378.745811,23673.45,0.0,0.0
164,213535.307309,23673.45,0.0,0.0
165,203715.109716,23673.45,0.0,0.0
166,202756.628174,14471.8719004,0.0,0.0
167,202756.628174,5106.78818969,0.0,0.0
168,200386.169759,1825.222995,0.0,0.0
169,196973.775928,1879.67193,0.0,0.0
170,194308.635654,1879.67193,0.0,0.0
171,194243.458564,1879.67193,0.0,0.0
172,199163.097329,1879.67193,0.0,0.0
173,202906.549492,5650.5245748,0.0,0.0
174,202906.549492,14654.3637728,0.0,0.0
175,202906.549492,17079.5522873,0.0,0.0
176,202906.549492,17861.9163571,0.0,0.0
177,189271.842391,1879.67193,0.0,0.0
178,153257.684407,1879.67193,0.0,0.0
179,109865.244934,1879.67193,0.0,0.0
180,81360.7330372,1879.67193,0.0,0.0
181,69582.0344941,1879.67193,0.0,0.0
182,72150.8969911,1879.67193,0.0,0.0
183,86687.8093271,1879.67193,0.0,0.0
184,114019.43745,1879.67193,0.0,0.0
185,159261.752715,1879.67193,0.0,0.0
186,202906.549492,22174.7459456,0.0,0.0
187,212725.143453,23673.45,0.0,0.0
188,205799.07837,23673.45,0.0,0.0
189,202906.549492,18493.4940843,0.0,0.0
190,202906.549492,10100.2334479,0.0,0.0
191,202906.549492,3404.86661012,0.0,0.0
192,199652.996431,1879.67193,0.0,0.0
193,195071.187032,2078.52891,0.0,0.0
194,191874.77546,2078.52891,0.0,0.0
195,191755.328451,2078.52891,0.0,0.0
196,194935.039164,2078.52891,0.0,0.0
197,200693.535017,2078.52891,0.0,0.0
198,204886.804962,6532.62420162,0.0,0.0
199,204886.804962,16441.9866126,0.0,0.0
200,204886.804962,20871.0848051,0.0,0.0
201,194639.723908,2078.52891,0.0,0.0
202,160469.118748,2078.52891,0.0,0.0
203,126430.828283,2078.52891,0.0,0.0
204,95853.2250836,2078.52891,0.0,0.0
205,84404.4026892,2078.52891,0.0,0.0
206,89031.6592262,2078.52891,0.0,0.0
207,105529.742866,2078.52891,0.0,0.0
208,132991.447815,2078.52891,0.0,0.0
209,177461.612615,2078.52891,0.0,0.0
210,214546.704199,23673.45,0.0,0.0
211,223166.717737,23673.45,0.0,0.0
212,212878.914773,23673.45,0.0,0.0
213,204886.804962,21972.1575755,0.0,0.0
214,204886.804962,11568.5810415,0.0,0.0
215,204886.804962,3497.28621362,0.0,0.0
216,201977.084635,2078.52891,0.0,0.0
217,198456.371928,2102.20236,0.0,0.0
218,196277.675558,2102.20236,0.0,0.0
219,196805.942982,2102.20236,0.0,0.0
220,202594.653537,2102.20236,0.0,0.0
221,210316.057788,2102.20236,0.0,0.0
222,210660.464793,12199.6151652,0.0,0.0
223,210945.918434,23673.45,0.0,0.0
224,219413.163485,23673.45,0.0,0.0
225,210660.464793,8139.75484704,0.0,0.0
226,186925.173212,2102.20236,0.0,0.0
227,157009.620935,2102.20236,0.0,0.0
228,131681.217019,2102.20236,0.0,0.0
229,115387.044934,2102.20236,0.0,0.0
230,110903.650576,2102.20236,0.0,0.0
231,118215.180392,2102.20236,0.0,0.0
232,138190.805243,2102.20236,0.0,0.0
233,177151.647236,2102.20236,0.0,0.0
234,210660.464793,22281.5833697,0.0,0.0
235,216222.87359,23673.45,0.0,0.0
236,210660.464793,20825.3348931,0.0,0.0
237,210660.464793,12552.2952355,0.0,0.0
238,210660.464793,4530.03518954,0.0,0.0
239,206436.232251,2102.20236,0.0,0.0
240,201693.091325,2102.20236,0.0,0.0
241,196990.243908,2052.488115,0.0,0.0
242,192463.497113,2052.488115,0.0,0.0
243,190977.569088,2052.488115,0.0,0.0
244,193503.765486,2052.488115,0.0,0.0
245,198933.386112,2052.488115,0.0,0.0
246,205988.564584,3220.33583215,0.0,0.0
247,205988.564584,13316.0835378,0.0,0.0
248,205988.564584,19966.660999,0.0,0.0
249,200434.590281,2052.488115,0.0,0.0
250,173748.148428,2052.488115,0.0,0.0
251,142748.456536,2052.488115,0.0,0.0
252,112098.668341,2052.488115,0.0,0.0
253,95710.9535376,2052.488115,0.0,0.0
254,96791.5555963,2052.488115,0.0,0.0
255,109367.449313,2052.488115,0.0,0.0
256,135685.353925,2052.488115,0.0,0.0
257,178936.034113,2052.488115,0.0,0.0
258,213471.77634,23673.45,0.0,0.0
259,224027.309721,23673.45,0.0,0.0
260,215980.810489,23673.45,0.0,0.0
261,206635.911317,23673.45,0.0,0.0
262,205988.564584,14713.7930152,0.0,0.0
263,205988.564584,6384.00899087,0.0,0.0
264,204550.756422,2052.488115,0.0,0.0
265,199144.802678,2033.549355,0.0,0.0
266,194954.417572,2033.549355,0.0,0.0
267,194146.496961,2033.549355,0.0,0.0
268,197651.647901,2033.549355,0.0,0.0
269,203881.202828,2033.549355,0.0,0.0
270,206177.663415,7538.73085241,0.0,0.0
271,206177.663415,16686.0606444,0.0,0.0
272,206177.663415,21874.23468,0.0,0.0
273,200400.311202,2033.549355,0.0,0.0
274,173546.687038,2033.549355,0.0,0.0
275,144138.574024,2033.549355,0.0,0.0
276,119256.029181,2033.549355,0.0,0.0
277,105866.65261,2033.549355,0.0,0.0
278,104026.398312,2033.549355,0.0,0.0
279,113463.21162,2033.549355,0.0,0.0
280,135713.851473,2033.549355,0.0,0.0
281,173061.271484,2033.549355,0.0,0.0
