Timepoint,net_load_final,HYDRO-STORAGE,Bat-Storage-Discharge,Bat-Storage-Charge
1,158555.246605,1378.9784625,0.0,0.0
2,156294.144997,1378.9784625,0.0,0.0
3,159404.058036,1378.9784625,0.0,0.0
4,165654.602009,1378.9784625,0.0,0.0
5,172996.505691,1378.9784625,1897.41183974,0.0
6,172996.505691,1378.9784625,11470.7480151,0.0
7,172996.505691,1378.9784625,21154.5323614,0.0
8,172996.505691,1378.9784625,24695.7103623,0.0
9,172996.505691,1378.9784625,781.597421449,0.0
10,145015.768117,1378.9784625,0.0,0.0
11,127195.141854,1378.9784625,0.0,-15318.0156005
12,119355.494492,1378.9784625,0.0,-30000.0
13,109270.15659,1378.9784625,0.0,-30000.0
14,114937.406708,1378.9784625,0.0,-30000.0
15,123683.190182,1378.9784625,0.0,-30000.0
16,127195.141854,1378.9784625,0.0,-14681.9843995
17,148567.224048,1378.9784625,0.0,0.0
18,176014.038242,23673.45,2416.87356975,0.0
19,176014.038242,16121.6740411,11116.7801801,0.0
20,176014.038242,1378.9784625,12079.1606404,0.0
21,176014.038242,1378.9784625,123.197702222,0.0
22,167634.636323,1378.9784625,0.0,0.0
23,162188.369459,1378.9784625,0.0,0.0
24,161222.880471,1378.9784625,0.0,0.0
25,162293.864877,1394.366205,0.0,0.0
26,163122.724057,1394.366205,0.0,0.0
27,165626.841942,1394.366205,0.0,0.0
28,172794.021232,1394.366205,0.0,0.0
29,182778.171742,1394.366205,0.0,0.0
30,186695.136576,1394.366205,6844.73901932,0.0
31,186695.136576,1394.366205,18372.7508868,0.0
32,186695.136576,1394.366205,24061.0503051,0.0
33,186695.136576,1394.366205,2131.39714431,0.0
34,162231.425394,1394.366205,0.0,0.0
35,139356.109261,1394.366205,0.0,-5974.06821679
36,139356.109261,1394.366205,0.0,-23488.5186301
37,139356.109261,1394.366205,0.0,-26893.7205642
38,139356.109261,1394.366205,0.0,-24047.8947501
39,139356.109261,1394.366205,0.0,-16028.234649
40,145810.056833,1394.366205,0.0,0.0
41,185112.687792,1394.366205,0.0,0.0
42,193488.748681,23673.45,21927.2177894,0.0
43,193488.748681,23673.45,20725.3648155,0.0
44,193488.748681,23673.45,5382.09832529,0.0
45,188372.044819,18804.257228,0.0,0.0
46,188372.044819,8263.48376747,0.0,0.0
