Timepoint,net_load_final,hydro_dispatch_final
1,224420.0,1396.73355
2,219822.0,1396.73355
3,224342.0,1396.73355
4,233551.0,1396.73355
5,246628.0,1396.73355
6,249296.951394,13195.7821563
7,254719.28355,23673.45
8,261464.28355,23673.45
9,249296.951394,2885.78215631
10,211040.0,1396.73355
11,163497.0,1396.73355
12,130807.0,1396.73355
13,115613.0,1396.73355
14,123399.0,1396.73355
15,134754.0,1396.73355
16,161708.0,1396.73355
17,214526.0,1396.73355
18,267821.28355,23673.45
19,268879.28355,23673.45
20,249296.951394,23243.7821563
21,249296.951394,6473.78215631
22,242463.0,1396.73355
23,234172.0,1396.73355
24,232037.0,1396.73355
25,232196.0,1361.223375
26,232719.0,1361.223375
27,235158.0,1361.223375
28,245653.0,1361.223375
29,260113.0,1361.223375
30,276218.150519,1476.07285631
31,276218.150519,18910.0728563
32,280562.773375,23673.45
33,271474.0,1361.223375
34,234882.0,1361.223375
35,191811.0,1361.223375
36,165420.0,1361.223375
37,158411.0,1361.223375
38,160780.0,1361.223375
39,173262.0,1361.223375
40,208017.0,1361.223375
41,267792.0,1361.223375
42,320861.773375,23673.45
43,317200.773375,23673.45
44,294367.773375,23673.45
45,276218.150519,20463.0728563
46,276218.150519,5518.07285631
47,270817.0,1361.223375
48,265932.0,1361.223375
49,263863.0,1427.509035
50,262033.0,1427.509035
51,263496.0,1427.509035
52,269972.0,1427.509035
53,283365.0,1427.509035
54,300936.0,1427.509035
55,320280.0,1427.509035
56,320620.105092,13105.4039434
57,301689.0,1427.509035
58,264718.0,1427.509035
59,217067.0,1427.509035
60,186006.0,1427.509035
61,169975.0,1427.509035
62,168365.0,1427.509035
63,184386.0,1427.509035
64,222418.0,1427.509035
65,285692.0,1427.509035
66,341827.059035,23673.45
67,350581.059035,23673.45
68,340879.059035,23673.45
69,328439.059035,23673.45
70,320620.105092,20570.4039434
71,320620.105092,10203.4039434
72,320566.0,1427.509035
73,307698.217087,6933.16937316
74,307698.217087,1654.16937316
75,306111.0,1581.38646
76,307698.217087,4493.16937316
77,307698.217087,10564.1693732
78,307698.217087,18902.1693732
79,312755.93646,23673.45
80,314056.93646,23673.45
81,291551.0,1581.38646
82,244060.0,1581.38646
83,195011.0,1581.38646
84,163948.0,1581.38646
85,144705.0,1581.38646
86,145324.0,1581.38646
87,160387.0,1581.38646
88,195919.0,1581.38646
89,251481.0,1581.38646
90,307698.217087,16406.1693732
91,307698.217087,22719.1693732
92,307698.217087,11682.1693732
93,305197.0,1581.38646
94,290149.0,1581.38646
95,279762.0,1581.38646
96,275337.0,1581.38646
97,275367.0,1676.08026
98,277035.0,1676.08026
99,282733.0,1676.08026
100,290526.0,1676.08026
101,298081.0,1676.08026
102,304472.480223,5019.60003674
103,304472.480223,16814.6000367
104,304472.480223,21035.6000367
105,280360.0,1676.08026
106,236118.0,1676.08026
107,194633.0,1676.08026
108,161803.0,1676.08026
109,143300.0,1676.08026
110,142557.0,1676.08026
111,160134.0,1676.08026
112,198166.0,1676.08026
113,259744.0,1676.08026
114,316392.63026,23673.45
115,326520.63026,23673.45
116,319341.63026,23673.45
117,309194.63026,23673.45
118,304472.480223,16389.6000367
119,304472.480223,3987.60003674
120,297589.0,1676.08026
121,289978.0,1784.97813
122,283643.0,1784.97813
123,281092.0,1784.97813
124,286185.0,1784.97813
125,295260.0,1784.97813
126,302123.943462,7845.0346679
127,302123.943462,23511.0346679
128,310054.52813,23673.45
129,293422.0,1784.97813
130,249893.0,1784.97813
131,205706.0,1784.97813
132,170415.0,1784.97813
133,150924.0,1784.97813
134,147113.0,1784.97813
135,159955.0,1784.97813
136,195746.0,1784.97813
137,260616.0,1784.97813
138,322966.52813,23673.45
139,332145.52813,23673.45
140,317256.52813,23673.45
141,302500.52813,23673.45
142,302123.943462,4799.0346679
143,287009.0,1784.97813
144,273876.0,1784.97813
145,264182.0,1825.222995
146,257527.0,1825.222995
147,256890.0,1825.222995
148,262449.0,1825.222995
149,273884.0,1825.222995
150,290581.0,1825.222995
151,294343.827607,17305.3953879
152,299476.772995,23673.45
153,286435.0,1825.222995
154,245373.0,1825.222995
155,197390.0,1825.222995
156,159101.0,1825.222995
157,140487.0,1825.222995
158,138687.0,1825.222995
159,155700.0,1825.222995
160,193543.0,1825.222995
161,258315.0,1825.222995
162,322413.772995,23673.45
163,333106.772995,23673.45
164,317021.772995,23673.45
165,302320.772995,23673.45
166,294343.827607,16320.3953879
167,294343.827607,1885.3953879
168,285547.0,1825.222995
169,279152.0,1879.67193
170,273687.0,1879.67193
171,272896.0,1879.67193
172,280240.0,1879.67193
173,291496.0,1879.67193
174,295443.691289,12322.9806407
175,295443.691289,18031.9806407
176,295443.691289,21784.9806407
177,274699.0,1879.67193
178,225492.0,1879.67193
179,162024.0,1879.67193
180,119598.0,1879.67193
181,101670.0,1879.67193
182,104911.0,1879.67193
183,125346.0,1879.67193
184,165697.0,1879.67193
185,233039.0,1879.67193
186,302268.22193,23673.45
187,317139.22193,23673.45
188,306137.22193,23673.45
189,295443.691289,21390.9806407
190,295443.691289,8455.98064074
191,291933.0,1879.67193
192,284789.0,1879.67193
193,277577.0,2078.52891
194,272097.0,2078.52891
195,272651.0,2078.52891
196,277191.0,2078.52891
197,285724.0,2078.52891
198,299339.098402,2192.4305079
199,299339.098402,18484.4305079
200,303802.07891,23673.45
201,285572.0,2078.52891
202,237065.0,2078.52891
203,187241.0,2078.52891
204,141939.0,2078.52891
205,122968.0,2078.52891
206,129758.0,2078.52891
207,153976.0,2078.52891
208,195750.0,2078.52891
209,260248.0,2078.52891
210,323474.07891,23673.45
211,333418.07891,23673.45
212,316894.07891,23673.45
213,301788.07891,23673.45
214,299339.098402,10781.4305079
215,295534.0,2078.52891
216,289688.0,2078.52891
217,283909.0,2102.20236
218,279166.0,2102.20236
219,278459.0,2102.20236
220,286402.0,2102.20236
221,297843.0,2102.20236
222,306652.460779,9306.74158093
223,312033.75236,23673.45
224,328071.75236,23673.45
225,306652.460779,13458.7415809
226,277436.0,2102.20236
227,232286.0,2102.20236
228,193793.0,2102.20236
229,168058.0,2102.20236
230,160579.0,2102.20236
231,171348.0,2102.20236
232,199750.0,2102.20236
233,256475.0,2102.20236
234,312524.75236,23673.45
235,319919.75236,23673.45
236,306652.460779,22389.7415809
237,306652.460779,9597.74158093
238,302475.0,2102.20236
239,292811.0,2102.20236
240,287400.0,2102.20236
241,280058.0,2052.488115
242,273374.0,2052.488115
243,270517.0,2052.488115
244,274288.0,2052.488115
